ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
1	4	0	2,0	0,5	252	149	0.00184466076487	0.025825250708180002
16	6	2	2,0	3,10	355	149	0.000289699720253	0.00709439677793526
17	8	0	7,13	2,0	273	149	0.674363071508	1.0
22	2	5	0,0	6,6	209	149	0.0617638762164	0.2901195299204738
36	0	2	2,0	0,0	297	149	1	1.0
41	3	5	7,7	4,15	658	149	0.689416292784	1.0
45	2	0	4,0	0,2	253	149	0.0433101851598	0.225726540996415
48	216	46	189,214	16,13	1244	149	9.18987485952e-05	0.0030957339143398085
90	83	15	54,39	4,0	212	149	0.00163118983619	0.023704421774044165
94	2	0	17,13	2,9	266	149	0.00634605455413	0.06054742943828149
95	2	0	17,12	9,12	266	149	0.00327103692936	0.03835320050132579
96	6	3	130,312	10,3	474	149	0.00518269521719	0.05283079718064937
97	6	0	132,319	9,12	474	149	0.0217950232186	0.13985139898601667
99	8	2	86,78	237,234	403	149	0.00104857459786	0.017397391701009082
101	4	12	0,2	3,10	507	149	0.127297143385	0.4729353636568114
102	4	12	0,2	3,10	267	149	0.0759196290031	0.3343541887820199
107	100	1	186,104	4,0	235	149	0.59409441171	1.0
109	171	0	230,111	2,0	312	149	1	1.0
110	136	0	173,94	0,2	251	149	1	1.0
111	180	2	255,163	0,0	214	149	0.554877716079	1.0
112	8	4	5,2	2,16	203	149	0.108913344021	0.4274932589643972
113	14	48	22,11	64,38	203	149	0.786092795215	1.0
114	8	48	9,16	64,38	222	149	0.357307060716	0.8604920041130706
115	8	10	7,2	17,11	222	149	0.110143477642	0.43040739747502244
116	739	2	883,742	0,0	1215	149	0.527573613869	1.0
118	41	0	35,50	0,1	312	149	1	1.0
119	13	0	6,0	0,2	295	149	0.0337974867519	0.18952031549586937
120	13	15	10,0	12,22	295	149	0.0378346365649	0.20479383622791344
121	3	15	11,4	12,22	1104	149	0.193716982349	0.625884240633646
122	5	2	11,2	4,0	1104	149	0.807709506983	1.0
123	0	15	2,0	12,22	271	149	0.734671870756	1.0
126	6	0	10,0	0,4	187	149	0.00936957572458	0.07910017828411063
127	2	26	2,4	29,4	243	149	0.293951326582	0.7903059111188736
134	30	2	2,6	0,0	289	149	0.182640499267	0.6020498342451633
136	1	403	0,0	192,264	201	149	1	1.0
139	359	2	175,234	0,0	262	149	1	1.0
140	684	0	440,400	0,2	279	149	1	1.0
141	172	1	66,57	0,0	287	149	1	1.0
142	241	2	111,126	0,0	348	149	0.528815657661	1.0
143	5	32	0,0	26,15	351	149	0.0101214113768	0.08318528819305465
144	139	8	81,51	2,0	307	149	0.00712391439633	0.06551717023574677
145	34	0	17,19	2,0	307	149	0.920938500354	1.0
151	81	7	60,56	5,0	216	149	0.148541808066	0.5260750621828115
152	59	0	65,33	1,0	265	149	1	1.0
154	0	2	2,0	0,0	178	149	1	1.0
