IncLevel1	IncLevel2	IncLevelDifference
0.0	0.0,0.453	-0.227
0.116	1.0,NA	-0.884
0.667	0.16,0.207	0.484
0.0	0.065,0.103	-0.084
0.0	0.049,0.014	-0.032
0.009	0.02,0.004	-0.003
0.055	0.0,0.036	0.037
0.846	0.822,0.924	-0.027
1.0	0.896,0.756	0.174
1.0	0.485,0.439	0.538
0.181	0.062,0.167	0.066
0.154	0.109,0.0	0.1
0.0	0.0,0.319	-0.16
0.0	0.122,0.0	-0.061
0.003	0.012,0.012	-0.009
0.111	0.2,0.143	-0.06
1.0	0.687,1.0	0.156
0.012	0.227,0.167	-0.185
0.012	0.227,0.167	-0.185
0.0	1.0,NA	-1.0
0.84	1.0,1.0	-0.16
0.88	1.0,0.836	-0.038
0.44	0.162,0.139	0.289
0.492	0.492,0.659	-0.084
0.0	0.104,0.052	-0.078
0.845	1.0,NA	-0.155
1.0	0.0,1.0	0.5
0.937	1.0,1.0	-0.063
0.153	0.083,0.085	0.069
1.0	0.667,1.0	0.166
0.0	0.0,0.167	-0.084
1.0	0.853,1.0	0.074
0.6	0.333,0.4	0.233
0.0	0.493,1.0	-0.746
1.0	NA,0.69	0.31
0.909	1.0,0.978	-0.08
0.111	NA,0.0	0.111
0.006	0.0,0.0	0.006
0.875	NA,1.0	-0.125
0.875	0.982,1.0	-0.116
0.109	0.0,0.491	-0.137
0.002	0.002,0.001	0.001
0.858	1.0,0.945	-0.114
1.0	0.27,1.0	0.365
0.0	1.0,0.0	-0.5
0.0	0.0,0.236	-0.118
0.047	0.0,0.0	0.047
0.025	0.063,0.102	-0.057
0.0	0.0,0.087	-0.043
1.0	0.936,0.956	0.054
0.0	0.0,1.0	-0.5
0.418	0.0,1.0	-0.082
0.5	0.286,0.316	0.199
0.422	0.907,0.637	-0.35
0.353	0.22,0.137	0.174
1.0	0.943,1.0	0.028
0.943	0.726,NA	0.217
0.0	0.333,1.0	-0.666
0.636	0.765,1.0	-0.247
0.323	0.0,NA	0.323
0.778	1.0,1.0	-0.222
0.56	0.784,0.742	-0.203
0.0	0.0,0.051	-0.025
0.394	0.14,0.085	0.281
1.0	1.0,0.912	0.044
0.03	0.189,0.132	-0.131
0.126	NA,0.0	0.126
0.149	0.204,0.232	-0.069
0.054	0.049,0.077	-0.009
0.314	0.462,0.0	0.083
1.0	0.983,0.982	0.018
1.0	0.0,NA	1.0
0.0	0.124,0.064	-0.094
0.432	0.349,0.271	0.122
0.583	0.583,0.521	0.031
0.333	NA,1.0	-0.667
0.492	0.592,1.0	-0.304
0.5	1.0,NA	-0.5
0.039	0.028,0.005	0.022
0.059	0.039,0.015	0.032
1.0	0.337,0.276	0.694
0.062	0.055,0.042	0.013
0.052	0.052,0.038	0.007
0.818	1.0,0.765	-0.065
0.095	0.438,0.311	-0.279
0.946	0.647,0.595	0.325
0.07	0.0,0.0	0.07
1.0	0.978,0.951	0.036
0.0	0.355,1.0	-0.677
0.011	0.035,0.0	-0.007
0.718	0.807,0.713	-0.042
0.058	0.164,0.375	-0.212
1.0	0.976,1.0	0.012
1.0	0.714,NA	0.286
0.378	0.156,0.198	0.201
0.873	1.0,0.751	-0.002
0.0	0.614,0.629	-0.621
0.658	0.299,0.307	0.355
0.008	0.013,0.007	-0.002
1.0	0.0,0.75	0.625
0.958	0.958,0.917	0.02
0.0	0.0,0.05	-0.025
1.0	0.6,1.0	0.2
0.935	0.949,0.803	0.059
0.034	0.034,0.03	0.002
0.867	0.853,1.0	-0.059
1.0	1.0,0.775	0.113
1.0	1.0,0.818	0.091
1.0	1.0,0.818	0.091
0.767	0.841,0.268	0.213
0.003	0.002,0.002	0.001
0.0	0.018,0.0	-0.009
0.0	0.018,0.0	-0.009
1.0	NA,0.431	0.569
0.016	0.034,0.0	-0.001
0.964	1.0,1.0	-0.036
0.0	0.034,0.0	-0.017
0.0	NA,1.0	-1.0
0.0	NA,1.0	-1.0
1.0	0.742,1.0	0.129
0.362	1.0,1.0	-0.638
0.0	1.0,NA	-1.0
0.0	0.048,0.055	-0.052
0.679	1.0,1.0	-0.321
0.252	0.286,0.3	-0.041
1.0	0.917,1.0	0.041
0.429	0.765,0.7	-0.303
1.0	0.867,1.0	0.067
0.481	0.435,0.085	0.221
1.0	1.0,0.75	0.125
0.674	0.58,1.0	-0.116
0.125	0.0,0.0	0.125
0.093	0.272,0.158	-0.122
0.868	1.0,1.0	-0.132
0.254	0.096,0.0	0.206
1.0	1.0,0.971	0.014
0.039	0.0,0.0	0.039
0.609	1.0,1.0	-0.391
0.2	1.0,1.0	-0.8
0.011	0.09,0.053	-0.06
1.0	0.907,0.745	0.174
0.0	0.0,0.046	-0.023
0.067	0.284,0.0	-0.075
1.0	0.836,1.0	0.082
1.0	0.937,0.809	0.127
0.714	1.0,0.957	-0.264
0.0	0.0,1.0	-0.5
0.152	0.433,0.235	-0.182
1.0	1.0,0.89	0.055
1.0	0.733,1.0	0.133
0.143	0.5,0.375	-0.294
0.144	0.341,0.291	-0.172
0.778	0.919,0.938	-0.15
0.055	0.072,0.037	0.001
1.0	0.452,1.0	0.274
1.0	0.793,1.0	0.103
0.426	1.0,0.597	-0.372
0.444	0.432,0.603	-0.073
0.0	0.0,1.0	-0.5
1.0	0.923,1.0	0.038
0.0	0.108,0.0	-0.054
0.934	1.0,1.0	-0.066
0.06	0.071,0.285	-0.118
