ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	11	10	9,9	13,22	298	149	0.152855152246	0.3354454083273547	0.355	0.257,0.17	0.141
11	11	0	104,174	0,2	298	149	1	1.0	1.0	1.0,0.978	0.011
16	5	45	12,15	62,35	298	149	0.0465272009326	0.13699675830154445	0.053	0.088,0.176	-0.079
17	10	2	17,7	0,2	273	149	0.141599793483	0.317188054141744	0.732	1.0,0.656	-0.096
18	12	1	11,6	0,0	298	149	0.540927251405	0.7728711338741836	0.857	1.0,1.0	-0.143
20	0	2	0,2	0,0	298	149	1	1.0	0.0	NA,1.0	-1.0
23	9	289	20,12	110,75	262	149	5.5204430246e-06	0.00014910504284712886	0.017	0.094,0.083	-0.071
24	18	65	95,77	32,42	298	149	2.84540169204e-11	4.7016078546708e-09	0.122	0.597,0.478	-0.415
25	38	17	71,110	13,27	298	149	0.0520274583288	0.1494326487173816	0.528	0.732,0.671	-0.173
57	2	6	0,2	6,4	298	149	0.206067896551	0.4176033122139532	0.143	0.0,0.2	0.043
62	0	8	2,6	8,2	298	149	0.00207434108726	0.014351783532298866	0.0	0.111,0.6	-0.355
64	194	243	626,301	83,90	298	149	3.76365605348e-14	7.551507038732372e-12	0.285	0.79,0.626	-0.423
71	0	2	2,0	3,6	298	149	0.799044154471	0.9775762325387799	0.0	0.25,0.0	-0.125
81	4	0	7,0	0,2	298	149	0.0340919483275	0.10772135303931103	1.0	1.0,0.0	0.5
85	2	1	7,5	0,0	298	149	0.0507909683415	0.14663086338260378	0.5	1.0,1.0	-0.5
87	45	3	45,19	3,4	298	149	0.540003879259	0.7719444767626111	0.882	0.882,0.704	0.089
88	46	2	48,20	7,0	298	149	0.34747657165	0.579657665851766	0.92	0.774,1.0	0.033
89	14	2	23,14	0,0	298	149	0.0485155420763	0.14225486189178152	0.778	1.0,1.0	-0.222
90	5	1	4,11	0,0	298	149	0.235444306949	0.4551707214175781	0.714	1.0,1.0	-0.286
91	4	0	11,16	4,0	298	149	0.0176466074483	0.06680501391142142	1.0	0.579,1.0	0.211
96	4	1	11,5	2,0	298	149	0.427151869526	0.6669917183462434	0.667	0.733,1.0	-0.2
97	2	2	4,0	0,0	298	149	1	1.0	0.333	1.0,NA	-0.667
103	46	2	106,56	0,2	230	149	0.193432539964	0.39922998145398675	0.937	1.0,0.948	-0.037
