ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
4	63	0	38	2	279	149
5	497	0	231	2	1476	149
40	3	0	0	27	297	149
43	2	0	10	2	169	149
46	10	2	4	24	658	149
52	151	0	122	4	270	149
53	276	131	252	59	1244	149
68	0	2	4	5	329	149
69	0	1	2	0	329	149
71	6	1	9	0	204	149
77	8	0	47	1	269	149
97	7	0	0	2	279	149
98	131	0	25	1	264	149
99	253	11	69	6	212	149
100	155	0	50	1	256	149
105	7	3	4	0	474	149
107	52	9	7	12	403	149
109	16	12	38	84	507	149
110	16	12	7	84	267	149
115	315	8	52	2	235	149
116	0	195	2	20	255	149
118	455	1	83	0	210	149
119	487	4	67	0	251	149
120	448	5	81	0	214	149
121	795	3	128	0	476	149
122	20	8	4	2	203	149
123	27	170	3	32	203	149
124	12	170	6	32	222	149
125	17	20	7	2	222	149
126	154	1	79	2	251	149
127	0	33	2	55	201	149
128	44	1	22	0	310	149
129	5	1	4	0	217	149
130	58	2	24	0	312	149
131	11	24	2	12	295	149
132	16	24	7	12	1104	149
133	6	24	2	12	271	149
134	29	0	20	4	339	149
135	14	0	13	1	238	149
136	0	17	3	2	243	149
147	829	2	307	1	262	149
148	1874	8	544	1	279	149
149	143	2	288	0	200	149
150	307	2	87	0	291	149
151	132	4	24	0	280	149
152	178	1	56	0	287	149
153	314	2	105	0	348	149
154	0	66	2	25	351	149
155	403	5	93	1	307	149
161	133	2	29	2	216	149
169	6	0	141	1	346	149
170	7	2	63	6	346	149
171	2	2	44	6	273	149
172	2	1	121	0	273	149
185	10	0	0	1	294	149
187	39	0	22	1	245	149
189	89	0	55	2	217	149
190	147	4	95	0	317	149
191	25	0	60	1	287	149
195	6136	0	2220	3	246	149
196	7507	0	1801	2	219	149
197	122	2	17	0	231	149
201	13	2	25	2	326	149
204	437	2	99	0	443	149
207	922	1	364	1	229	149
208	2	117	1	220	186	149
220	15	1	10	0	252	149
222	315	1	28	0	294	149
223	122	2	10	0	294	149
224	98	2	15	0	234	149
225	293	2	33	0	234	149
226	234	2	31	0	203	149
261	160	11	4	0	212	149
262	799	4	28	0	686	149
263	0	61	2	6	281	149
267	13	53	0	5	271	149
268	2	53	0	5	200	149
272	3	64	0	8	211	149
274	3	64	0	8	294	149
275	8	64	2	8	294	149
