IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	0	42	1	182	149
0	2	3	70	263	149
10	0	0	2	354	149
0	6	55	0	273	149
13	56	0	13	332	149
0	8	2	4	280	149
358	9	82	12	874	149
6	9	7	12	199	149
0	42	21	214	254	149
19	885	9	355	1041	149
3	148	0	61	153	149
15	17	12	2	166	149
15	0	63	3	158	149
6	0	4	3	201	149
0	9	2	61	192	149
0	9	10	30	204	149
0	2	11	67	267	149
9	697	2	464	220	149
4	32	4	18	381	149
8	16	6	51	316	149
4	16	5	51	317	149
1	0	43	1	230	149
990	0	636	1	2962	149
9	52	7	20	154	149
6	9	6	2	154	149
0	1	1	0	185	149
1	6	4	2	240	149
0	7	2	16	160	149
3	0	359	3	401	149
1	1	2	0	184	149
1	8	7	42	184	149
25	2	2	0	243	149
9	0	5	6	373	149
130	0	3483	25	159	149
34	0	78	25	327	149
34	130	64	3469	317	149
0	2	26	2712	173	149
82	0	560	7	1563	149
82	0	554	1	1551	149
339	1	164	1	2099	149
12	0	21	5	1152	149
0	2	1	124	232	149
50	46225	56	14155	183	149
37	0	120	13	284	149
4	3	0	1	161	149
1	0	1	7	583	149
2	0	0	12	431	149
21	5	4	0	911	149
25	171	4	16	911	149
3	137	0	5	159	149
0	34	1	43	196	149
12	0	391	12	159	149
0	2	1	10	204	149
32	0	123	2	370	149
9	1	4	0	396	149
3	4	1	0	263	149
0	1	1	0	209	149
1	7	1	16	226	149
2	7	0	16	166	149
2	1	7	0	227	149
3	2	7	8	304	149
7	1	10	8	153	149
7	2	22	77	182	149
11	0	63	6	225	149
4	0	85	4	438	149
2	0	90	2	170	149
2	10	0	6	155	149
6	6	10	4	308	149
9	0	29	4	710	149
0	12	2	89	231	149
4	0	14	11	164	149
1	8	2	20	153	149
7	0	269	3	151	149
0	16	7	83	187	149
0	12	4	6	173	149
43	171	17	100	338	149
10	4	8	0	363	149
9	2	11	0	280	149
1	23	22	244	171	149
1	14	0	10	217	149
0	10	6	185	156	149
2	0	4	2	619	149
8	29	7	16	160	149
1	5	1	2	160	149
3	3	6	7	619	149
2	0	2	3	154	149
69	1	102	1	701	149
7	297	14	624	177	149
0	2	1	13	220	149
41	33	4	17	159	149
33	415	3	140	195	149
14	1	3	4	195	149
4	74	5	224	247	149
22	74	23	224	442	149
18	0	19	1	344	149
1	24	9	19	203	149
24	3	16	1	203	149
1	7	4	39	474	149
37	1	102	5	152	149
3	0	9	7	203	149
2	219	3	262	323	149
29	6	130	51	270	149
2	9	1	54	161	149
3926	2	1251	2	5323	149
1316	8	560	4	222	149
12	42	2	31	201	149
11	8	18	26	176	149
0	2	4	25	203	149
0	2	5	25	1032	149
1	0	1	5	155	149
10	1404	15	699	222	149
13	1	117	0	592	149
0	2	1	2	231	149
3	0	119	16	1106	149
3	0	106	2	1106	149
821	21	177	2	292	149
6	0	138	2	1039	149
356	50	49	7	155	149
73	2288	21	402	162	149
40	5	10	0	162	149
82	0	19	2	296	149
174	2	88	3	452	149
16	0	10	1	440	149
87	22	18	12	226	149
0	87	10	2009	158	149
0	35	54	1466	250	149
17	0	598	13	316	149
52	0	2010	13	215	149
0	25	27	1374	835	149
0	25	19	1374	395	149
0	25	2	1374	151	149
3	0	38	1053	709	149
2	0	30	1053	665	149
2	0	16	1053	591	149
4	0	21	5	963	149
2	0	47	4	483	149
6	229	4	118	153	149
0	3	19	765	323	149
5	2	3	0	259	149
5	0	2156	10	930	149
31	196	32	64	165	149
198	1	121	0	646	149
0	5	1	111	198	149
0	2	14	9	161	149
3	3	19	0	417	149
16	0	31	6	252	149
20	16	2	23	1011	149
28	2	30	0	154	149
6	0	15	2	1496	149
0	8	2	8	175	149
76	0	287	4	1046	149
0	49	2	266	153	149
1	0	3	3	230	149
183	0	170	2	1153	149
0	11	1	48	192	149
3	1	9	2	176	149
1	0	1	7	429	149
0	2	4	65	311	149
5	2	56	5	340	149
8	1	4	0	614	149
9	13	2	22	420	149
3	6	0	11	169	149
16	6	21	43	486	149
64	1	24	0	999	149
2	8	15	7	341	149
8	14	0	4	242	149
119	16	59	11	158	149
1	31	1	118	285	149
4	0	6	2	233	149
4	0	5	1	201	149
72	80	31	19	155	149
72	1	76	0	595	149
491	3	142	0	229	149
2	0	0	16	166	149
3	36	1	21	187	149
2	0	35	4	503	149
34	1	13	1	229	149
8	2	7	0	217	149
1	21	0	37	230	149
0	2	149	51	206	149
12	2	590	225	206	149
2	0	1	2	168	149
47	2	59	0	153	149
0	2	2	2	161	149
95	0	64	1	366	149
386	0	238	2	341	149
0	1	3	156	159	149
0	74	3	45	272	149
0	20	3	15	228	149
2	88	8	76	222	149
6	0	13	1	173	149
8	0	35	7	167	149
3	0	25	71	1671	149
2	0	0	3	377	149
0	23	3	49	167	149
0	8	2	7	209	149
70	10	35	7	276	149
1	161	0	92	153	149
21	1	14	0	363	149
78	47	20	16	1298	149
0	34	5	77	275	149
0	65	2	140	216	149
0	2	7	198	175	149
10	0	258	1	194	149
2	5	3	26	513	149
36	17	28	24	180	149
442	12	443	19	197	149
0	108	1	42	158	149
398	2	613	0	1496	149
324	2	574	0	1384	149
2	165	1	341	180	149
7	12	69	510	305	149
14	0	61	4	178	149
2	92	0	81	175	149
0	2	31	0	342	149
0	2	4	0	194	149
2	59	3	32	162	149
4	0	1	4	2832	149
12	0	739	1	593	149
2	18	0	28	2056	149
0	10	1	33	2056	149
9	0	79	1	280	149
15	2	15	0	213	149
0	1	149	10	216	149
908	2	394	0	171	149
0	2	34	177	185	149
12	80	8	63	1537	149
181	1	86	0	1215	149
19	8	0	1	344	149
101	5	54	1	211	149
0	2	11	8	197	149
0	25	3	20	182	149
6	0	33	3	298	149
0	3	2	66	192	149
196	5	31	1	251	149
0	4	4	11	206	149
1	3	0	1	215	149
1	0	69	3	181	149
47	0	161	49	347	149
5	0	22	3	399	149
4	0	273	2	200	149
266	0	530	8	182	149
0	1	1	6	203	149
0	1	1	16	252	149
44	3	34	6	297	149
2	7	7	6	550	149
16	34	22	39	724	149
0	2	3	161	283	149
341	3	258	2	301	149
208	4	145	0	301	149
32	2	29	1	600	149
3	0	4	3	451	149
32	4	22	26	751	149
5	9	7	18	156	149
6	32	2	0	166	149
0	4	12	23	348	149
2	35	2	33	211	149
8	0	108	14	436	149
2	1	2	2	153	149
235	5	161	2	263	149
177	0	235	1	2017	149
176	1	22	0	156	149
32	447	8	111	215	149
822	2	216	1	261	149
9	32	2	17	270	149
1	580	1	786	156	149
4	253	4	837	159	149
1	0	1	1	174	149
1	44	0	4	153	149
174	2	49	0	270	149
0	1	1	7	372	149
62	3	26	2	169	149
209	0	18	1	244	149
32	598	5	203	466	149
13	598	2	203	158	149
47	181	9	21	244	149
8	0	25	6	189	149
11	7	25	29	289	149
4	122	2	33	153	149
87	85	12	13	185	149
6	31	5	7	179	149
101	2	17	1	1099	149
172	2	207	2	223	149
0	13	1	58	327	149
0	10	2	26	212	149
5	2	6	20	288	149
1	6	0	39	226	149
0	8	2	135	236	149
7	83	6	103	170	149
89	19	87	32	164	149
0	15	1	14	178	149
24	228	1	49	229	149
7	3	10	4	162	149
443	2	152	0	912	149
766	2	257	0	1456	149
324	1	105	0	693	149
673	61	209	15	2170	149
13	43	4	5	197	149
30	11	9	3	154	149
9	0	2	1	237	149
0	2	1	12	161	149
4	0	10	1	153	149
117	4	76	2	153	149
40	2	18	0	152	149
24	1	15	0	153	149
69	74	32	55	470	149
66	2	31	45	464	149
298	70521	129	23161	369	149
2	0	0	1	167	149
54	1	32	0	153	149
1	4	6	14	395	149
56	87	14	35	188	149
35	5	51	4	164	149
538	4	387	2	165	149
2	11	57	6	634	149
2	52	3	21	185	149
47	11	5	0	664	149
6	10	0	77	175	149
10	0	19	2	191	149
0	1	1	9	205	149
1297	0	583	1	188	149
37	13	10	0	173	149
0	8	2	17	251	149
31	33	7	15	161	149
0	3	40	20	194	149
261	3	143	1	188	149
4	66	0	15	164	149
1	3	0	3	644	149
9	133	29	112	1687	149
6	63	34	114	2544	149
6	63	24	114	1396	149
0	63	5	114	312	149
2	32	3	89	502	149
0	32	4	89	262	149
831	0	200	2	1090	149
259	3	20	0	311	149
124	35	34	10	196	149
87	3	26	0	196	149
8	142	1	57	180	149
0	304	3	136	374	149
39	37	7	2	173	149
2	42	0	15	189	149
1497	3	183	1	259	149
21	85	3	6	164	149
68	619	11	121	164	149
957	17	253	10	1526	149
1613	3	658	0	287	149
3072	29	101	4	292	149
3880	11	138	3	403	149
837	11	41	3	260	149
57	20	81	38	155	149
6	36	2	32	212	149
0	6	2	3	212	149
204	356	71	100	1939	149
293	2	121	0	2266	149
597	1	215	0	2329	149
6	0	40	1	153	149
0	1	7	40	208	149
7	0	8	1	156	149
84	0	98	1	161	149
77	0	92	2	154	149
6	383	4	332	223	149
0	23	1	52	153	149
17	0	57	4	193	149
17	0	46	1	518	149
23	8	123	14	172	149
0	3	19	5	172	149
0	1	2	167	560	149
0	1	3	234	160	149
4	1	6	8	319	149
0	65	12	275	156	149
2	2	2	3	155	149
29	1	42	2	240	149
60	0	187	6	1159	149
94	587	74	664	188	149
2	631	0	48	174	149
4	426	0	47	219	149
2	0	0	23	203	149
2	0	1	23	193	149
1	0	22	5	210	149
6	0	99	5	215	149
5	0	79	2	154	149
0	2	1	80	219	149
25	0	178	1	278	149
14	0	70	1	385	149
3	14	1	109	256	149
0	4	1	4	153	149
1	89	0	7	1060	149
38	5	0	5	1098	149
20	40	0	23	259	149
3	0	6	1	244	149
1	127	1	105	165	149
213	1	181	0	188	149
5	165	9	125	219	149
904	2	98	0	176	149
22	4712	9	3550	182	149
602	5	295	7	254	149
390	13	233	6	175	149
24	20	8	9	206	149
2	33	3	17	224	149
0	1	2	0	340	149
4	228	5	310	251	149
2	6	5	2	153	149
29	2	26	0	438	149
43	6	32	13	604	149
16	6	6	13	315	149
16	4	6	4	315	149
207	3	14	0	174	149
8	64	12	49	216	149
8	7	10	42	653	149
16	1	8	0	203	149
0	9	1	443	177	149
24	0	238	11	292	149
0	59	1	128	153	149
18	2	11	0	286	149
543	2	74	0	1220	149
2	3	6	15	182	149
118	704	24	172	305	149
137	4	53	2	337	149
178	3	43	0	220	149
182	81	48	25	224	149
7	81	5	25	153	149
31	216	12	161	493	149
45	0	22	4	407	149
0	1	45	84	200	149
6	789	6	513	163	149
20	856	18	527	188	149
2	36	2	11	194	149
2	33	0	19	154	149
106	104	325	660	438	149
3	0	5	2	353	149
20	47	24	88	1270	149
0	1	25	3915	153	149
315	0	2323	1	265	149
