ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
3	1	4	0	4	193	204	0.910044784585
5	0	6	2	9	329	204	0.0906899784757
8	27	12	3	6	203	222	0.0418246433287
9	16	11	7	2	1104	295	0.299732107467
10	6	11	2	2	271	295	0.480325800659
12	39	10	22	0	245	294	0.000698314828062
14	59	5	51	9	317	217	0.200243391204
15	496	2005	933	526	246	219	0
16	8	48	14	7	254	231	1.21860462209e-05
18	122	98	10	15	294	234	0.143244460445
23	4	56	0	5	209	221	0.0755423414109
25	3	8	0	2	211	294	0.00705253313727
26	2	118	0	13	211	221	0.533056339891
27	3	8	0	2	294	294	0.0129576368252
29	113	4	4	0	210	210	0.237906126354
30	113	17	4	1	210	337	0.464007929242
31	89	28	4	2	210	264	0.699955468487
33	4	20	0	1	185	337	0.00508296906749
34	4	22	0	3	185	354	0.00492044793399
42	38	2	12	4	275	298	0.0409734629921
43	0	21	23	39	233	245	4.7762827915e-06
44	0	9	17	5	326	220	4.77733298587e-07
47	4	142	55	127	228	220	3.1850633242e-11
48	5	376	54	148	228	235	0
49	108	375	78	150	220	235	0.00950745237628
51	5	204	9	37	216	301	0.000132106476161
53	445	387	289	203	229	211	0.24013883745
62	0	11	8	19	313	428	0.000559715424292
63	9	0	16	10	305	313	0.000344646283154
64	3	4	8	10	275	305	0.929124499559
65	7	0	19	2	219	186	0.107721259536
67	2	2	27	5	247	273	0.231749161403
68	2	2	0	5	223	273	0.0049673760281
69	2	2	0	27	223	247	0.00365372578332
70	0	2	3	20	258	247	0.0530051714526
73	0	258	3	136	203	374	0.278160790918
74	69	73	27	25	294	197	0.71289711269
75	12	2	22	1	297	508	0.257754767658
76	5	2	16	0	297	187	0.0083230819512
77	12	2	22	0	297	187	0.0288463785008
78	7	0	2	7	301	330	9.10855082448e-06
81	21	56	5	6	201	241	0.255389068154
84	20	5	19	32	277	468	0.000263840533255
85	25	3	30	28	320	468	0.00019288353119
86	2	1	1	12	269	494	0.00710270805812
87	130	229	100	129	264	281	0.162608530984
88	0	2	19	172	219	360	0.0189157829346
90	6	3	2	2	270	260	0.493792779099
99	22	56	2314	1873	272	336	3.74002827399e-05
101	0	3	439	198	308	212	0.000279241997846
110	23	5	2	4	456	254	0.0103218018113
111	22	6	23	0	260	254	0.000829287779508
112	9114	21372	11	33	244	327	0.442806438625
113	9687	21328	7	33	276	327	0.0444005811867
114	9732	9592	7	16	276	244	0.0514050067439
115	11940	9584	22	16	358	244	0.795942136927
116	11955	13801	22	16	358	276	0.20156931422
118	2	87	6	140	307	294	0.303550799437
121	31	5	1	1	241	191	0.443049228408
122	30	7	1	0	241	281	0.0165528585921
125	100	2	49	0	437	242	0.612399867003
135	36	143	8	15	1037	353	0.236667289874
136	20	143	4	15	275	353	0.497590585103
137	186	5	20	0	275	258	0.2332227529
138	0	7	9	23	181	208	0.00173048412405
139	50	20	6	17	199	232	0.000146917378225
140	34	14	4	10	199	199	0.00382329596829
142	1	2	5	0	242	270	0.00272629081052
145	1	0	11	2	265	288	0.0926511568175
156	100	45	45	50	272	326	0.00289473829435
166	3	10	20	7	392	321	0.00108689408402
167	22	6	9	3	321	253	0.809878982806
171	8	130	62	87	202	240	7.69906360887e-12
177	12	2	25	9	266	232	0.254091591878
179	26	7	95	11	288	288	0.173298198324
180	9	14	1	0	241	276	0.00333915741964
183	0	4	4	52	266	355	0.0466253939885
184	0	3	4	68	266	323	0.0857750979527
186	0	9	5	52	200	232	0.0213605421533
189	2	0	0	1	343	339	3.77235726327e-05
199	13	15	201	259	298	324	0.799541510421
208	301	258	110	107	245	218	0.552547688355
209	652	12	237	4	245	230	0.725502689059
210	34	308	12	105	175	245	0.940246024994
211	32	13	11	9	175	245	0.229532380958
214	2	1	0	4	423	249	0.00638846963725
218	129	194	101	105	253	247	0.105631643034
219	98	4	65	57	249	258	2.53352894219e-13
223	0	2	2	22	300	354	0.142066157821
227	0	2	1	4	263	304	0.64335033718
