IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
63	0	38	2	279	149
497	0	231	2	1476	149
3	0	0	27	297	149
2	0	10	2	169	149
10	2	4	24	658	149
151	0	122	4	270	149
276	131	252	59	1244	149
0	2	4	5	329	149
0	1	2	0	329	149
6	1	9	0	204	149
8	0	47	1	269	149
7	0	0	2	279	149
131	0	25	1	264	149
253	11	69	6	212	149
155	0	50	1	256	149
7	3	4	0	474	149
52	9	7	12	403	149
16	12	38	84	507	149
16	12	7	84	267	149
315	8	52	2	235	149
0	195	2	20	255	149
455	1	83	0	210	149
487	4	67	0	251	149
448	5	81	0	214	149
795	3	128	0	476	149
20	8	4	2	203	149
27	170	3	32	203	149
12	170	6	32	222	149
17	20	7	2	222	149
154	1	79	2	251	149
0	33	2	55	201	149
44	1	22	0	310	149
5	1	4	0	217	149
58	2	24	0	312	149
11	24	2	12	295	149
16	24	7	12	1104	149
6	24	2	12	271	149
29	0	20	4	339	149
14	0	13	1	238	149
0	17	3	2	243	149
829	2	307	1	262	149
1874	8	544	1	279	149
143	2	288	0	200	149
307	2	87	0	291	149
132	4	24	0	280	149
178	1	56	0	287	149
314	2	105	0	348	149
0	66	2	25	351	149
403	5	93	1	307	149
133	2	29	2	216	149
6	0	141	1	346	149
7	2	63	6	346	149
2	2	44	6	273	149
2	1	121	0	273	149
10	0	0	1	294	149
39	0	22	1	245	149
89	0	55	2	217	149
147	4	95	0	317	149
25	0	60	1	287	149
6136	0	2220	3	246	149
7507	0	1801	2	219	149
122	2	17	0	231	149
13	2	25	2	326	149
437	2	99	0	443	149
922	1	364	1	229	149
2	117	1	220	186	149
15	1	10	0	252	149
315	1	28	0	294	149
122	2	10	0	294	149
98	2	15	0	234	149
293	2	33	0	234	149
234	2	31	0	203	149
160	11	4	0	212	149
799	4	28	0	686	149
0	61	2	6	281	149
13	53	0	5	271	149
2	53	0	5	200	149
3	64	0	8	211	149
3	64	0	8	294	149
8	64	2	8	294	149
118	8	13	0	221	149
11	78	0	8	344	149
9	127	0	4	344	149
79	118	0	4	825	149
86	2	4	0	210	149
89	4	4	0	210	149
113	12	4	2	210	149
89	2	4	2	210	149
4	12	0	2	210	149
17	12	1	2	337	149
20	32	1	0	337	149
22	32	3	0	354	149
28	2	2	2	264	149
3	2	2	0	198	149
285	8	70	2	273	149
208	4	46	0	236	149
338	10	49	8	277	149
150	2	31	0	245	149
344	3	82	0	311	149
302	2	53	0	292	149
12	126	1	18	245	149
1	1	0	5	217	149
0	2	2	5	228	149
4	0	5	2	201	149
3	2	0	1	339	149
2	1	2	0	272	149
2	0	0	3	219	149
11	18	6	5	307	149
8	1	4	0	307	149
0	2	2	6	1300	149
4	2	10	0	198	149
95	0	48	2	258	149
46	2	9	1	275	149
38	23	12	19	275	149
2	23	4	19	298	149
17	8	9	8	298	149
18	0	70	1	262	149
5	7	42	8	230	149
2	6	9	182	297	149
10	184	37	156	330	149
8	1	79	128	275	149
15	8	42	13	305	149
4	0	17	1	233	149
8	0	15	2	233	149
0	4	13	10	249	149
283	1	128	1	352	149
2	16	0	7	284	149
1	59	7	41	305	149
1	59	7	41	314	149
11	59	15	41	339	149
7	112	6	53	378	149
324	0	279	2	812	149
108	0	51	2	231	149
183	1	127	0	231	149
0	3	3	43	214	149
39	2	75	0	236	149
21	2	36	0	287	149
10	0	265	1	292	149
173	0	257	1	290	149
2	0	4	1	466	149
3	7	0	25	483	149
7	0	25	128	381	149
4	0	10	128	755	149
6	0	194	2	219	149
8	0	68	2	267	149
10	0	29	1	291	149
18	0	50	1	236	149
0	13	5	31	315	149
3	0	4	3	402	149
5	14	0	29	268	149
2	14	2	29	292	149
8	0	37	1	325	149
8	0	54	1	283	149
175	0	242	2	228	149
4	1	55	2	228	149
142	1	127	2	220	149
316	0	317	3	220	149
108	1	78	2	220	149
375	1	150	2	235	149
578	0	381	1	235	149
9	0	34	3	265	149
11	0	73	1	266	149
12	11	7	39	241	149
58	0	174	1	330	149
0	101	1	60	268	149
5	177	0	33	286	149
309	0	72	1	301	149
204	6	37	2	301	149
204	0	37	1	301	149
5	6	9	2	216	149
6	0	19	1	210	149
0	9	2	27	260	149
0	9	1	27	324	149
2	22	0	124	399	149
69	0	182	2	353	149
245	19	303	0	326	149
