ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	2	0	42	1	182	149	0.337456735134	0.5970820667441715	1.0	0.972	0.028
6	0	2	3	70	263	149	0.44438150307	0.707604146279869	0.0	0.024	-0.024
7	8	0	0	2	298	149	1.25087145719e-06	0.00010223468640495192	1.0	0.0	1.0
9	0	6	55	0	273	149	3.53084228522e-12	1.875759964023125e-09	0.0	1.0	-1.0
10	13	56	0	13	298	149	0.00455876791597	0.02980732868134231	0.104	0.0	0.104
11	0	8	2	4	280	149	0.0337332637811	0.12532025443153408	0.0	0.21	-0.21
13	46	9	28	12	298	149	0.119379892308	0.31670695524906367	0.719	0.538	0.181
14	6	9	7	12	199	149	0.851281956787	1.0	0.333	0.304	0.029
15	0	42	21	214	254	149	0.00445851564681	0.029278344775196755	0.0	0.054	-0.054
17	0	885	1	355	298	149	1	1.0	0.0	0.001	-0.001
19	3	148	0	61	153	149	0.724458720934	0.927394446978765	0.019	0.0	0.019
21	15	17	12	2	166	149	0.00523877571937	0.032267821459887686	0.442	0.843	-0.401
22	15	0	63	3	158	149	0.167069998346	0.4029846053347962	1.0	0.952	0.048
23	6	0	4	3	201	149	0.00175006604295	0.015495376421953125	1.0	0.497	0.503
24	0	9	2	61	192	149	0.670576737595	0.8906097296183595	0.0	0.025	-0.025
57	0	9	10	30	204	149	0.00245655912851	0.019924382244594467	0.0	0.196	-0.196
62	0	2	11	67	267	149	0.034413844901	0.12740317145405053	0.0	0.084	-0.084
67	9	697	2	464	220	149	1	1.0	0.009	0.003	0.006
75	3	32	2	18	298	149	0.863594084552	1.0	0.045	0.053	-0.008
79	5	16	6	51	298	149	0.216169452047	0.475036282936789	0.135	0.056	0.079
80	1	16	5	51	298	149	0.366339334638	0.6222790456480816	0.03	0.047	-0.017
83	1	0	43	1	230	149	0.304536131697	0.5607792719723786	1.0	0.965	0.035
87	43	0	47	1	298	149	0.284987892163	0.5384662029185892	1.0	0.959	0.041
89	9	52	7	20	154	149	0.261441669529	0.5251073230142957	0.143	0.253	-0.11
90	6	9	6	2	154	149	0.062327161713	0.1970910991668527	0.392	0.744	-0.352
92	0	1	1	0	185	149	7.56222339521e-05	0.0015304499728401191	0.0	1.0	-1.0
96	1	6	4	2	240	149	0.0238955636705	0.09840711782909399	0.094	0.554	-0.46
111	0	7	2	16	160	149	0.112336311945	0.3048037847534987	0.0	0.104	-0.104
119	1	0	249	3	298	149	0.454319263596	0.7188595942974684	1.0	0.976	0.024
120	1	1	2	0	184	149	0.0246270496393	0.10083329572931117	0.447	1.0	-0.553
122	1	8	7	42	184	149	0.528266265861	0.7911406088542249	0.092	0.119	-0.027
143	25	2	2	0	243	149	0.115289427423	0.30894077335923703	0.885	1.0	-0.115
147	9	0	5	6	298	149	4.69272677798e-05	0.0010487120888	1.0	0.294	0.706
163	130	0	3483	25	159	149	1	1.0	1.0	0.992	0.008
165	0	130	52	3469	298	149	1	1.0	0.0	0.007	-0.007
168	0	2	26	2712	173	149	1	1.0	0.0	0.008	-0.008
174	3	0	44	7	298	149	0.00912596008277	0.048848023113063604	1.0	0.759	0.241
175	3	0	38	1	298	149	0.264677455314	0.5271191760148642	1.0	0.95	0.05
182	79	1	23	1	298	149	0.895809168588	1.0	0.975	0.92	0.055
184	0	2	1	124	232	149	1	1.0	0.0	0.005	-0.005
194	50	46225	56	14155	183	149	1	1.0	0.001	0.003	-0.002
196	26	0	118	13	284	149	0.00222694542762	0.01841345927506809	1.0	0.826	0.174
197	4	3	0	1	161	149	0.00114530872129	0.011372808564211448	0.552	0.0	0.552
218	10	5	2	0	298	149	0.00192414610002	0.016621180742042684	0.5	1.0	-0.5
219	14	171	2	16	298	149	0.592581399221	0.8353776718525364	0.039	0.059	-0.02
223	3	137	0	5	159	149	0.575107437794	0.8239461343218856	0.02	0.0	0.02
229	0	34	1	43	196	149	0.498597434671	0.7695127210555556	0.0	0.017	-0.017
235	12	0	391	12	159	149	0.11190322767	0.30447421100992317	1.0	0.968	0.032
244	0	2	1	10	204	149	0.233440017817	0.4906627476371167	0.0	0.068	-0.068
252	32	0	121	2	298	149	0.574157617755	0.823825076117066	1.0	0.968	0.032
258	9	1	1	0	298	149	0.73253083701	0.9338255405877324	0.818	1.0	-0.182
265	3	4	1	0	263	149	0.000642420953718	0.007584136259170833	0.298	1.0	-0.702
270	0	1	1	0	209	149	7.43665270646e-05	0.0015195083655026444	0.0	1.0	-1.0
271	1	7	1	16	226	149	0.903542019244	1.0	0.086	0.04	0.046
272	2	7	0	16	166	149	0.0310788819225	0.11921051278937274	0.204	0.0	0.204
276	2	1	7	0	227	149	0.138652027537	0.3528569563067365	0.568	1.0	-0.432
279	3	2	7	8	298	149	0.538291192616	0.7928066557530297	0.429	0.304	0.125
280	7	1	10	8	153	149	0.0368491372824	0.13525405082832467	0.872	0.549	0.323
288	7	2	22	77	182	149	0.000873131611829	0.009370730682508207	0.741	0.19	0.551
304	11	0	63	6	225	149	0.0132933326137	0.06523864157993649	1.0	0.874	0.126
317	4	0	68	4	298	149	0.0368527507904	0.13525405082832467	1.0	0.895	0.105
326	2	0	90	2	170	149	0.846764461504	1.0	1.0	0.975	0.025
331	2	10	0	6	155	149	0.0650596977469	0.20451458241444156	0.161	0.0	0.161
335	5	6	8	4	298	149	0.270345366486	0.5281461710957032	0.294	0.5	-0.206
346	0	12	2	89	231	149	0.58955838637	0.8346512798376083	0.0	0.014	-0.014
348	4	0	14	11	164	149	0.00107859636486	0.01086264111529621	1.0	0.536	0.464
354	1	8	2	20	153	149	0.751492406651	0.9466042466706432	0.109	0.089	0.02
360	7	0	269	3	151	149	0.827104698456	0.9969356121491776	1.0	0.989	0.011
389	0	16	7	83	187	149	0.0280226678778	0.11007055312444547	0.0	0.063	-0.063
394	0	12	4	6	173	149	0.00114362828694	0.011372808564211448	0.0	0.365	-0.365
396	21	171	13	100	298	149	0.949530913838	1.0	0.058	0.061	-0.003
397	7	4	5	0	298	149	0.000616601635063	0.007487305568622142	0.467	1.0	-0.533
398	9	2	9	0	280	149	0.0224793875378	0.09459148221351485	0.705	1.0	-0.295
399	1	23	22	244	171	149	0.165793689318	0.40292566824171433	0.037	0.073	-0.036
400	1	14	0	10	217	149	0.266948157655	0.5279226113048893	0.047	0.0	0.047
402	0	10	6	185	156	149	0.187883715409	0.4337259676398971	0.0	0.03	-0.03
412	8	29	7	16	160	149	0.457327248388	0.7225430504271375	0.204	0.289	-0.085
414	1	5	1	2	160	149	0.604667064473	0.8436753197669895	0.157	0.318	-0.161
422	0	3	4	7	298	149	0.00934824964449	0.04978704384596805	0.0	0.222	-0.222
423	2	0	2	3	154	149	0.00133327859164	0.012669814768364538	1.0	0.392	0.608
432	8	1	39	1	298	149	0.83709365384	1.0	0.8	0.951	-0.151
433	7	297	14	624	177	149	0.895142549708	1.0	0.019	0.019	0.0
434	0	2	1	13	220	149	0.262386331934	0.5253737047045669	0.0	0.05	-0.05
439	41	33	4	17	159	149	0.00183586180912	0.01593114764217857	0.538	0.181	0.357
441	33	415	3	140	195	149	0.00593644469139	0.0357363880147415	0.057	0.016	0.041
442	14	1	3	4	195	149	0.0038386489866	0.026832661501726977	0.915	0.364	0.551
444	4	74	5	224	247	149	0.312990376509	0.571395661582152	0.032	0.013	0.019
445	7	74	5	224	298	149	0.0243505382601	0.10008683520834138	0.045	0.011	0.034
446	11	0	13	1	298	149	0.378947699031	0.6365722216923912	1.0	0.867	0.133
447	1	24	9	19	203	149	0.0015919634883	0.014395414521861704	0.03	0.258	-0.228
461	24	3	16	1	203	149	0.344523924383	0.6030587638499795	0.854	0.922	-0.068
464	1	7	2	39	298	149	0.513963548769	0.7821776701692597	0.067	0.025	0.042
466	37	1	102	5	152	149	0.306395164073	0.5637140464546537	0.973	0.952	0.021
472	3	0	9	7	203	149	0.00135044359639	0.012669814768364538	1.0	0.486	0.514
484	2	219	3	262	298	149	1	1.0	0.005	0.006	-0.001
489	28	6	130	51	270	149	0.167450560266	0.4029846053347962	0.72	0.584	0.136
491	2	9	1	54	161	149	0.0778299013861	0.23526108171474044	0.171	0.017	0.154
499	2955	2	1055	2	298	149	1	1.0	0.999	0.996	0.003
501	1316	8	560	4	222	149	1	1.0	0.991	0.989	0.002
513	12	42	2	31	201	149	0.0171302546675	0.0791693363653261	0.175	0.046	0.129
517	11	8	18	26	176	149	0.20777217141	0.46424390343022043	0.538	0.37	0.168
518	0	2	4	25	203	149	0.0402067595758	0.14383731329726432	0.0	0.105	-0.105
519	0	2	3	25	298	149	0.166528949401	0.4029846053347962	0.0	0.057	-0.057
521	1	0	1	5	155	149	0.000258171225673	0.004004480690183394	1.0	0.161	0.839
525	10	1404	15	699	222	149	0.381954582308	0.6406104872963694	0.005	0.014	-0.009
529	7	1	108	0	298	149	0.516796308522	0.7836780443196327	0.778	1.0	-0.222
537	0	2	1	2	231	149	0.647027680453	0.8729738545794443	0.0	0.244	-0.244
540	766	21	173	2	292	149	0.0904012184587	0.26387718300101304	0.949	0.978	-0.029
550	1	0	101	2	298	149	0.352940490304	0.6127439067777778	1.0	0.962	0.038
565	356	50	49	7	155	149	0.939960634976	1.0	0.873	0.871	0.002
566	73	2288	21	402	162	149	0.131209284243	0.3390815703451153	0.029	0.046	-0.017
567	40	5	10	0	162	149	0.0136143058516	0.0660511414033105	0.88	1.0	-0.12
570	56	0	17	2	296	149	0.0353015834683	0.13046237368719565	1.0	0.811	0.189
571	76	2	62	3	298	149	0.47614043299	0.7428769604285975	0.95	0.912	0.038
577	6	0	6	1	298	149	0.462339124178	0.7266794666259246	1.0	0.75	0.25
578	87	22	18	12	226	149	0.0394753652365	0.14193764996203467	0.723	0.497	0.226
587	0	87	10	2009	158	149	1	1.0	0.0	0.005	-0.005
588	0	35	54	1466	250	149	0.106268399617	0.294804633402252	0.0	0.021	-0.021
589	17	0	592	13	298	149	0.0749779188355	0.2289196516170079	1.0	0.958	0.042
590	52	0	2008	13	215	149	1	1.0	1.0	0.991	0.009
596	0	25	9	1374	298	149	1	1.0	0.0	0.003	-0.003
598	0	25	9	1374	298	149	1	1.0	0.0	0.003	-0.003
599	0	25	2	1374	151	149	1	1.0	0.0	0.001	-0.001
636	2	0	19	4	298	149	0.00396285654642	0.027322272686711162	1.0	0.704	0.296
637	6	229	4	118	153	149	0.896829996756	1.0	0.025	0.032	-0.007
640	0	3	17	765	298	149	0.917614569033	1.0	0.0	0.011	-0.011
646	5	2	3	0	259	149	0.0131335833677	0.0646038533712095	0.59	1.0	-0.41
653	1	0	635	10	298	149	0.147073411612	0.3694219854320331	1.0	0.969	0.031
658	31	196	32	64	165	149	0.000386832418739	0.0052357891071361466	0.125	0.311	-0.186
660	132	1	84	0	298	149	0.602268456406	0.842917907901069	0.985	1.0	-0.015
666	0	5	1	111	198	149	1	1.0	0.0	0.007	-0.007
669	0	2	14	9	161	149	0.00134504957986	0.012669814768364538	0.0	0.59	-0.59
673	3	3	11	0	298	149	0.000297562606668	0.004305905019020409	0.333	1.0	-0.667
679	16	0	31	6	252	149	0.00200105883864	0.017215587174534412	1.0	0.753	0.247
680	1	16	0	23	298	149	0.32262970272	0.5808993254860289	0.03	0.0	0.03
681	28	2	30	0	154	149	0.199396807092	0.450285031955898	0.931	1.0	-0.069
686	3	0	9	2	298	149	0.0248656398049	0.1012250662555795	1.0	0.692	0.308
708	0	8	2	8	175	149	0.0516109428927	0.1732594844344194	0.0	0.176	-0.176
709	49	0	267	4	298	149	0.239837434204	0.49868351045352255	1.0	0.971	0.029
710	0	49	2	266	153	149	1	1.0	0.0	0.007	-0.007
742	1	0	3	3	230	149	0.00111487460472	0.011175040259575473	1.0	0.393	0.607
743	135	0	142	2	298	149	0.581550577578	0.8305073772535283	1.0	0.973	0.027
744	0	11	1	48	192	149	0.551887788256	0.8032613356465754	0.0	0.016	-0.016
747	3	1	9	2	176	149	0.7627724048	0.9545244549897733	0.717	0.792	-0.075
756	0	2	3	65	298	149	0.467050596366	0.7330003820367429	0.0	0.023	-0.023
759	5	2	43	5	298	149	0.295350994287	0.5505446165437501	0.556	0.811	-0.255
768	9	13	1	22	298	149	0.000569427135641	0.007035073623471657	0.257	0.022	0.235
770	3	6	0	11	169	149	0.00570285334148	0.0348234579041523	0.306	0.0	0.306
773	3	6	16	43	298	149	0.733631001146	0.9346318210043465	0.2	0.157	0.043
777	16	1	11	0	298	149	0.301008014937	0.5557272213215683	0.889	1.0	-0.111
784	2	8	11	7	298	149	0.0161726882341	0.07620169068173503	0.111	0.44	-0.329
788	7	14	0	4	242	149	0.00422890471151	0.0282515760111011	0.235	0.0	0.235
798	119	16	59	11	158	149	0.509876924754	0.7783599974964105	0.875	0.835	0.04
802	1	31	0	118	285	149	0.524376572065	0.7911406088542249	0.017	0.0	0.017
804	4	0	6	2	233	149	0.0193888425928	0.08619516843033473	1.0	0.657	0.343
805	4	0	5	1	201	149	0.743253474959	0.9412476962383044	1.0	0.788	0.212
807	72	80	31	19	155	149	0.0907253701717	0.2644600982371228	0.464	0.611	-0.147
817	62	1	60	0	298	149	0.322843342776	0.5808993254860289	0.969	1.0	-0.031
822	491	3	142	0	229	149	1	1.0	0.991	1.0	-0.009
827	2	0	0	16	166	149	2.68063144249e-06	0.00018967415829012097	1.0	0.0	1.0
828	3	36	1	21	187	149	0.387062074335	0.6446018261236285	0.062	0.037	0.025
836	2	0	19	4	298	149	0.00396285654642	0.027322272686711162	1.0	0.704	0.296
840	33	1	13	1	229	149	0.931376589855	1.0	0.955	0.894	0.061
841	8	2	7	0	217	149	0.0285231754911	0.11129084224977065	0.733	1.0	-0.267
855	1	21	0	37	230	149	0.325957405845	0.5837202980748736	0.03	0.0	0.03
864	0	2	149	51	206	149	0.000666578760355	0.007802033330323771	0.0	0.679	-0.679
865	12	2	590	225	206	149	0.14569583486	0.3673045222993772	0.813	0.655	0.158
868	2	0	1	2	168	149	0.00260633652657	0.020358453267371793	1.0	0.307	0.693
869	47	2	59	0	153	149	0.819336526352	0.9926397482884834	0.958	1.0	-0.042
871	0	2	2	2	161	149	0.0105562177347	0.05444651137436286	0.0	0.481	-0.481
872	92	0	63	1	298	149	0.325054887142	0.5829043334824894	1.0	0.969	0.031
885	339	0	203	2	298	149	0.528355002126	0.7911406088542249	1.0	0.981	0.019
888	0	1	3	156	159	149	0.78833835884	0.9730006574780778	0.0	0.018	-0.018
889	0	74	3	45	272	149	0.357671779307	0.6154271506294535	0.0	0.035	-0.035
890	0	20	3	15	228	149	0.0281900966297	0.11032035973869704	0.0	0.116	-0.116
894	2	88	8	76	222	149	0.0231107840175	0.09614641400002447	0.015	0.066	-0.051
902	6	0	13	1	173	149	0.226537957415	0.48811493864956934	1.0	0.918	0.082
904	8	0	35	7	167	149	0.00617641416197	0.03676437001172619	1.0	0.817	0.183
924	0	23	3	49	167	149	0.127582851331	0.3330633403911241	0.0	0.052	-0.052
928	0	8	2	7	209	149	0.0524200122416	0.17542130080850393	0.0	0.169	-0.169
933	70	10	35	7	276	149	0.555539434138	0.8063660829028819	0.791	0.73	0.061
952	1	161	0	92	153	149	1	1.0	0.006	0.0	0.006
954	9	1	11	0	298	149	0.648334229043	0.8734029486715486	0.818	1.0	-0.182
955	10	47	0	16	298	149	0.00488737381479	0.030726832415469675	0.096	0.0	0.096
961	0	34	5	77	275	149	0.10820818541	0.29901481664011703	0.0	0.034	-0.034
973	0	65	2	140	216	149	1	1.0	0.0	0.01	-0.01
979	0	2	7	198	175	149	0.184585390129	0.4310373121144231	0.0	0.029	-0.029
980	10	0	258	1	194	149	1	1.0	1.0	0.995	0.005
990	0	5	1	26	298	149	0.45857281495	0.7235634780828392	0.0	0.019	-0.019
991	36	17	28	24	180	149	0.153276526285	0.3809504308252924	0.637	0.491	0.146
996	442	12	443	19	197	149	0.23628174983	0.4941916519574311	0.965	0.946	0.019
997	0	108	1	42	158	149	0.399249484739	0.6581886385340381	0.0	0.022	-0.022
1001	75	2	77	0	298	149	0.362006512743	0.6193750721246981	0.949	1.0	-0.051
1002	75	2	77	0	298	149	0.362006512743	0.6193750721246981	0.949	1.0	-0.051
1006	2	165	1	341	180	149	1	1.0	0.01	0.002	0.008
1021	7	12	62	510	298	149	0.0138359463601	0.06697354445378702	0.226	0.057	0.169
1023	14	0	61	4	178	149	0.0609713615521	0.1941118526400075	1.0	0.927	0.073
1024	2	92	0	81	175	149	0.52807911033	0.7911406088542249	0.018	0.0	0.018
1025	0	2	8	0	298	149	1.25087145719e-06	0.00010223468640495192	0.0	1.0	-1.0
1033	0	2	4	0	194	149	5.53958776006e-06	0.00029429059975318755	0.0	1.0	-1.0
1042	2	59	3	32	162	149	0.284488699586	0.5384662029185892	0.03	0.079	-0.049
1081	2	18	0	28	298	149	0.521034181053	0.7874805367977419	0.053	0.0	0.053
1082	0	10	1	33	298	149	0.616206092071	0.850284380292776	0.0	0.015	-0.015
1087	9	0	79	1	280	149	0.384888961195	0.6429811423086214	1.0	0.977	0.023
1090	15	2	15	0	213	149	0.053684496191	0.17797122372211388	0.84	1.0	-0.16
1098	0	1	149	10	216	149	0.00175972702319	0.015516265245969918	0.0	0.911	-0.911
1102	908	2	394	0	171	149	1	1.0	0.997	1.0	-0.003
1106	0	2	34	177	185	149	0.0188359226727	0.084801558642982	0.0	0.134	-0.134
1108	6	80	3	63	298	149	0.438997284406	0.7037029438901659	0.036	0.023	0.013
1109	166	1	77	0	298	149	1	1.0	0.988	1.0	-0.012
1113	11	8	0	1	298	149	0.00400438068463	0.027449383725286294	0.407	0.0	0.407
1116	101	5	54	1	211	149	0.174360815399	0.41537750305255045	0.934	0.974	-0.04
1117	0	2	11	8	197	149	0.00159967127366	0.01440381973104873	0.0	0.51	-0.51
1118	0	25	3	20	182	149	0.0305322116084	0.11796536303245456	0.0	0.109	-0.109
1123	6	0	33	3	298	149	0.0336444294003	0.12520912867887476	1.0	0.846	0.154
1125	0	3	2	66	192	149	0.676390474327	0.8949749426804949	0.0	0.023	-0.023
1131	196	5	31	1	251	149	0.686220314295	0.9006906534137585	0.959	0.948	0.011
1133	0	4	4	11	206	149	0.0092578610699	0.04942953460687814	0.0	0.208	-0.208
1135	1	3	0	1	215	149	0.615402368851	0.8497271174843242	0.188	0.0	0.188
1140	1	0	69	3	181	149	0.196552916518	0.44576354149159547	1.0	0.95	0.05
1141	44	0	144	49	298	149	2.05207762338e-07	2.5650970292250003e-05	1.0	0.595	0.405
1152	3	0	14	3	298	149	0.00889395531735	0.048183869427624045	1.0	0.7	0.3
1156	4	0	273	2	200	149	1	1.0	1.0	0.99	0.01
1168	266	0	530	8	182	149	0.29007717509	0.5440547193876876	1.0	0.982	0.018
1180	0	1	1	6	203	149	0.291688149896	0.5461593836073944	0.0	0.109	-0.109
1185	0	1	1	16	252	149	0.297365361235	0.5527314690112544	0.0	0.036	-0.036
1203	44	3	34	6	297	149	0.173029575527	0.4135971293530652	0.88	0.74	0.14
1205	0	7	2	6	298	149	0.0652614804452	0.20469101114509589	0.0	0.143	-0.143
1207	10	34	13	39	298	149	0.788473944554	0.9730006574780778	0.128	0.143	-0.015
1208	0	2	3	161	283	149	1	1.0	0.0	0.01	-0.01
1210	304	3	248	2	298	149	0.731665123027	0.9338255405877324	0.981	0.984	-0.003
