ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
3	1	4	0	4	193	204	0.910044784585
5	0	6	2	9	298	204	0.0821559782188
8	27	12	3	6	203	222	0.0418246433287
9	6	7	3	2	298	295	0.518911609476
10	6	7	2	2	271	295	0.862958882987
12	39	10	20	0	245	294	0.000889074708256
14	19	5	33	9	298	217	0.93550181056
15	435	1993	926	526	246	219	0
16	5	48	14	7	254	231	7.89523524114e-07
18	119	98	10	15	294	234	0.158991883392
23	4	56	0	5	209	221	0.0755423414109
25	3	6	0	2	211	294	0.00434249629406
26	2	118	0	13	211	221	0.533056339891
27	3	6	0	2	294	294	0.00829442613921
29	113	4	4	0	210	210	0.237906126354
30	113	4	4	0	210	298	0.368619920209
31	89	23	4	2	210	264	0.733086689395
42	38	2	12	4	275	298	0.0409734629921
43	0	21	23	39	233	245	4.7762827915e-06
44	0	9	15	5	298	220	9.75794643532e-07
47	4	142	55	127	228	220	3.1850633242e-11
48	5	374	54	148	228	235	0
49	108	373	78	150	220	235	0.0101865710275
51	5	177	9	33	216	298	0.000163485244021
53	443	386	289	203	229	211	0.236064930601
62	0	11	8	7	298	298	3.6075584547e-05
63	5	0	14	10	298	298	0.0009188106319
64	3	0	8	8	275	298	0.00126616247757
65	7	0	19	2	219	186	0.107721259536
67	2	2	27	5	247	273	0.231749161403
68	2	2	0	5	223	273	0.0049673760281
69	2	2	0	27	223	247	0.00365372578332
70	0	2	3	20	258	247	0.0530051714526
73	0	147	3	77	203	298	0.114238326848
74	53	73	21	25	294	197	0.71931434992
75	12	2	22	1	297	298	0.251272233181
76	5	2	16	0	297	187	0.0083230819512
77	12	2	22	0	297	187	0.0288463785008
78	7	0	2	7	298	298	8.2531446185e-06
81	21	56	5	6	201	241	0.255389068154
84	20	5	18	15	277	298	0.033261902835
85	9	3	27	11	298	298	0.721263215022
86	2	1	1	3	269	298	0.153213718798
87	108	221	87	122	264	281	0.102106962176
88	0	2	19	95	219	298	0.0117850230416
90	6	1	2	2	270	260	0.132969542631
99	20	3	2236	1484	272	298	0.00284650337637
101	0	2	370	198	298	212	0.001165809368
111	22	6	23	0	260	254	0.000829287779508
112	9030	13945	9	30	244	298	0.0362946618642
113	8467	13901	6	30	276	298	0.00552802295933
114	8512	9508	6	14	276	244	0.102303527394
115	7547	9500	11	14	298	244	0.932531889258
116	7562	12581	11	15	298	276	0.70945303434
118	2	81	4	139	298	294	0.703382573988
121	31	5	1	1	241	191	0.443049228408
122	30	5	1	0	241	281	0.0207079164848
125	49	2	34	0	298	242	0.344810000064
135	10	1	4	2	298	298	0.187093944026
136	14	1	4	2	275	298	0.134612096555
137	180	4	20	0	275	258	0.355240448189
138	0	7	9	23	181	208	0.00173048412405
139	50	20	6	17	199	232	0.000146917378225
140	34	14	4	10	199	199	0.00382329596829
142	1	2	5	0	242	270	0.00272629081052
145	1	0	9	2	265	288	0.0745624195208
156	95	43	43	40	272	298	0.0230350728288
166	0	4	6	5	298	298	0.000532707678717
167	13	4	8	3	298	253	0.820272041031
