ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3	1	4	0	4	193	204
5	0	6	2	9	298	204
8	27	12	3	6	203	222
9	6	7	3	2	298	295
10	6	7	2	2	271	295
12	39	10	20	0	245	294
14	19	5	33	9	298	217
15	435	1993	926	526	246	219
16	5	48	14	7	254	231
18	119	98	10	15	294	234
23	4	56	0	5	209	221
25	3	6	0	2	211	294
26	2	118	0	13	211	221
27	3	6	0	2	294	294
29	113	4	4	0	210	210
30	113	4	4	0	210	298
31	89	23	4	2	210	264
42	38	2	12	4	275	298
43	0	21	23	39	233	245
44	0	9	15	5	298	220
47	4	142	55	127	228	220
48	5	374	54	148	228	235
49	108	373	78	150	220	235
51	5	177	9	33	216	298
53	443	386	289	203	229	211
62	0	11	8	7	298	298
63	5	0	14	10	298	298
64	3	0	8	8	275	298
65	7	0	19	2	219	186
67	2	2	27	5	247	273
68	2	2	0	5	223	273
69	2	2	0	27	223	247
70	0	2	3	20	258	247
73	0	147	3	77	203	298
74	53	73	21	25	294	197
75	12	2	22	1	297	298
76	5	2	16	0	297	187
77	12	2	22	0	297	187
78	7	0	2	7	298	298
81	21	56	5	6	201	241
84	20	5	18	15	277	298
85	9	3	27	11	298	298
86	2	1	1	3	269	298
87	108	221	87	122	264	281
88	0	2	19	95	219	298
90	6	1	2	2	270	260
99	20	3	2236	1484	272	298
101	0	2	370	198	298	212
111	22	6	23	0	260	254
112	9030	13945	9	30	244	298
113	8467	13901	6	30	276	298
114	8512	9508	6	14	276	244
115	7547	9500	11	14	298	244
116	7562	12581	11	15	298	276
118	2	81	4	139	298	294
121	31	5	1	1	241	191
122	30	5	1	0	241	281
125	49	2	34	0	298	242
135	10	1	4	2	298	298
136	14	1	4	2	275	298
137	180	4	20	0	275	258
138	0	7	9	23	181	208
139	50	20	6	17	199	232
140	34	14	4	10	199	199
142	1	2	5	0	242	270
145	1	0	9	2	265	288
156	95	43	43	40	272	298
166	0	4	6	5	298	298
167	13	4	8	3	298	253
171	8	130	62	87	202	240
177	4	2	25	9	266	232
179	22	7	95	11	288	288
180	9	14	1	0	241	276
183	0	4	4	44	266	298
184	0	3	4	62	266	298
186	0	9	5	52	200	232
199	9	11	192	164	298	298
208	301	258	110	107	245	218
209	652	12	237	4	245	230
210	34	308	12	105	175	245
211	32	13	11	9	175	245
218	125	192	100	103	253	247
219	98	2	63	57	249	258
227	0	2	1	4	263	298
238	91	0	565	773	245	298
239	460	21	1196	15	279	197
240	184	179	12	12	242	254
241	16	570	70	1101	260	279
242	16	279	70	486	260	298
249	9	2	28	24	292	278
252	69	675	40	188	240	291
253	285	2	83	0	222	221
257	32	0	361	5	235	298
266	127	301	158	288	285	295
269	38	8	66	5	287	279
270	29	870	68	294	287	279
271	788	538	209	222	279	235
272	2	6	0	6	192	203
273	26	0	20	2	180	298
276	212	326	45	80	263	278
277	238	236	65	146	278	298
279	11	33	145	141	298	298
280	32	90	7	10	195	230
281	105	38	16	7	273	195
282	54	13	16	4	232	232
295	68	26	20	31	252	298
305	44	28	7	11	284	255
306	17	56	7	12	248	246
310	21	4	36	104	225	289
321	15	3	3	2	298	152
322	2	3	0	2	298	152
324	44	53	59	33	257	222
325	39	53	53	33	249	222
326	0	86	58	92	245	257
331	279	304	43	79	298	257
332	99	91	17	13	219	246
333	144	122	25	24	246	291
334	1	4	75	112	298	277
337	8	0	87	72	277	298
338	8	0	87	72	277	267
339	8	0	87	69	277	250
342	29	46	9	6	298	276
344	97	109	17	30	248	284
345	0	15	4	3	298	244
350	554	113	46	5	297	218
351	1881	546	354	238	259	226
352	1889	546	363	238	272	226
355	47	2	12	14	235	264
356	32	48	9	12	204	241
358	8	32	3	20	182	254
359	984	83	1467	1623	254	271
361	143	103	34	24	298	298
366	1	0	58	31	298	298
367	1	0	58	10	298	298
369	0	819	4	1123	298	257
370	572	80	751	745	298	298
374	150	136	58	62	244	269
375	99	109	23	29	238	298
376	18	7	0	3	297	298
377	599	1001	19	38	227	241
378	780	598	25	30	269	227
381	45727	72011	10178	11927	246	298
382	22203	121682	13909	18869	298	298
383	57199	121654	14957	18858	298	298
384	57204	28180	14973	9223	298	246
386	40	14	26	10	206	172
387	75	41	32	30	212	206
388	2	105	0	60	193	186
389	178	191	65	84	260	298
390	143	181	83	57	298	260
394	82	122	19	30	226	250
395	19	24	8	7	290	298
396	30	21	4	7	298	298
397	31	14	4	9	298	290
398	330	225	213	136	285	240
399	308	19	194	83	266	211
400	34	33	24	24	298	230
402	25	14	19	23	278	298
403	51	12	24	10	274	200
404	19	44	13	28	217	274
405	12	10	12	9	216	210
406	132	666	42	96	298	250
407	1	7	7	13	247	278
411	53	12	3	0	263	221
412	163	472	45	140	228	298
415	10	4	15	0	298	208
416	0	4	5	6	287	211
420	6	3	2	6	201	200
423	0	2	4	0	273	221
425	36	106	43	214	203	278
426	6	10	2	0	293	293
427	7	20	2	3	293	221
428	41	26	6	9	221	293
437	1	0	13	14	296	262
439	2	48	56	38	266	280
440	89	59	102	40	262	218
441	16	11	85	123	288	291
442	25	19	17	20	269	270
443	27	19	20	17	278	270
444	51	28	20	61	180	276
445	97	77	68	67	247	278
446	31	113	26	57	239	298
448	0	6	1	37	193	254
449	0	6	1	37	201	254
450	1	13	0	8	176	298
451	2	13	0	8	176	298
452	0	14	1	8	176	298
453	0	4	2	3	188	176
454	27	4	1	3	234	176
455	25	2	8	2	298	176
460	11	25	6	11	238	222
461	65	67	57	53	287	264
464	44	45	13	9	245	272
465	4	0	11	1	298	214
467	16	55	20	52	199	297
468	1	4	0	10	225	266
472	154	110	155	352	266	272
473	0	2	96	7	264	295
476	44	3	45	14	298	274
477	2	2	22	17	298	212
478	23	366	1	39	252	298
479	53	151	9	23	227	298
483	2	13	8	33	197	227
485	2	2	0	10	231	212
486	5	294	7	117	191	298
487	41	42	30	26	261	213
488	49	110	39	58	298	290
489	8	110	12	58	213	290
490	60	110	25	59	213	290
491	136	148	90	63	297	248
492	139	181	72	34	298	269
494	209	161	67	49	298	273
495	82	258	27	87	247	298
496	8	160	27	42	252	247
498	6	341	0	120	203	234
499	3	2	192	14	235	235
501	0	12	2	8	157	224
504	5	3	10	3	251	244
505	19	30	3	6	228	293
506	7	3	5	12	236	265
514	0	5	2	5	298	298
515	0	5	2	5	298	298
516	0	5	2	17	298	298
521	36	0	47	17	298	266
522	1	5	13	15	263	298
525	1	13	13	22	263	263
527	8	8	0	6	256	263
529	9	11	3	4	266	196
530	0	3	19	16	298	266
532	38	42	30	14	298	272
534	17	459	73	180	229	213
535	22	29	18	18	195	209
537	10	167	3	44	298	221
538	70	4	7	0	298	206
544	39	4	107	26	298	298
545	1	40	0	110	263	298
552	12	381	407	165	251	251
