ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	0	12	5	13	298	149
2	1	0	30	1	298	149
11	64	0	33	1	298	149
14	0	4	6	54	298	149
15	0	3	2	59	298	149
16	2	129	2	14	298	149
17	4	1	3	2	273	149
23	11	531	8	169	262	149
24	9	48	2	15	298	149
25	16	15	5	15	298	149
36	0	7	1	16	298	149
55	2	0	3	7	235	149
58	1	0	2	34	298	149
62	2	2	26	67	298	149
64	85	321	174	336	298	149
71	0	2	3	1	298	149
81	2	0	0	14	298	149
87	5	1	24	7	298	149
88	7	4	26	11	298	149
89	2	0	10	5	298	149
90	1	0	41	4	298	149
91	7	3	5	3	298	149
99	9	0	309	8	226	149
100	7	0	400	7	267	149
103	58	2	39	2	230	149
141	0	4	66	123	298	149
148	51	11	26	2	298	149
154	0	23	2	234	278	149
155	10	4	5	0	298	149
191	0	4	3	15	298	149
196	1	2	1	21	298	149
199	2	0	80	25	298	149
200	2	130	66	3469	298	149
203	0	475	21	3308	298	149
206	0	2	69	2712	298	149
207	1	10	180	2996	298	149
208	2	0	78	2	298	149
209	0	27	70	3984	298	149
210	1	0	9	112	241	149
217	0	2	10	1774	298	149
218	47	25	18	8	298	149
221	2	22	0	31	298	149
238	12	2	2	0	298	149
240	0	3	2	158	255	149
246	3	30	8	141	288	149
247	0	113	5	157	298	149
250	4	211	1	216	252	149
251	4	147	6	143	244	149
252	1	2	19	147	298	149
255	1	0	2	40	247	149
257	4	28	1	28	298	149
261	0	2	10	75	260	149
269	0	4	2	58	224	149
270	0	4	4	40	225	149
278	0	4	2	22	298	149
282	0	2	29	66	236	149
287	4	0	12	10	298	149
293	0	5	7	118	285	149
295	0	32	11	118	238	149
311	4	19	1	45	298	149
320	2	0	7	10	298	149
324	1	0	0	18	232	149
331	6	3	36	4	298	149
342	0	2	4	70	298	149
343	0	31	18	1343	233	149
357	0	2	4	25	289	149
361	90	0	241	8	298	149
365	5	94	18	363	298	149
367	0	1	14	52	243	149
368	0	44	11	57	298	149
369	2	4	47	29	298	149
374	1	10	1	61	298	149
397	4	0	91	11	298	149
399	2	5	6	12	298	149
400	4	5	7	13	298	149
