ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
4	57	0	38	2	279	149
5	29	0	22	2	298	149
40	3	0	0	27	297	149
43	2	0	10	2	169	149
46	4	2	2	24	298	149
52	143	0	120	4	270	149
53	56	131	50	59	298	149
68	0	2	4	5	298	149
69	0	1	2	0	298	149
71	6	1	9	0	204	149
77	8	0	43	1	269	149
97	7	0	0	2	279	149
98	122	0	25	1	264	149
99	253	11	69	6	212	149
100	153	0	50	1	256	149
105	2	3	3	0	298	149
107	2	9	2	12	298	149
109	9	12	3	84	298	149
110	9	12	3	84	267	149
115	311	8	52	2	235	149
116	0	195	2	20	255	149
118	455	1	83	0	210	149
119	480	4	67	0	251	149
120	448	5	81	0	214	149
121	390	3	66	0	298	149
122	20	8	4	2	203	149
123	27	170	3	32	203	149
124	12	170	6	32	222	149
125	17	20	7	2	222	149
126	151	1	79	2	251	149
127	0	33	2	55	201	149
128	38	1	16	0	298	149
129	5	1	4	0	217	149
130	50	2	22	0	298	149
131	7	24	2	12	295	149
132	6	24	3	12	298	149
133	6	24	2	12	271	149
134	3	0	6	4	298	149
135	14	0	13	1	238	149
136	0	17	3	2	243	149
147	817	2	304	1	262	149
148	1780	8	534	1	279	149
149	143	2	288	0	200	149
150	278	2	83	0	291	149
151	113	4	23	0	280	149
152	172	1	53	0	287	149
153	240	2	86	0	298	149
154	0	66	2	25	298	149
155	343	5	85	1	298	149
161	133	2	29	2	216	149
169	1	0	109	1	298	149
170	2	2	31	6	298	149
171	2	2	44	6	273	149
172	2	1	121	0	273	149
185	10	0	0	1	294	149
187	39	0	20	1	245	149
189	89	0	55	2	217	149
190	107	4	77	0	298	149
191	25	0	52	1	287	149
195	6075	0	2213	3	246	149
196	7495	0	1801	2	219	149
197	122	2	17	0	231	149
201	11	2	23	2	298	149
204	219	2	40	0	298	149
207	920	1	362	1	229	149
208	2	117	1	220	186	149
220	11	1	10	0	252	149
222	312	1	28	0	294	149
223	119	2	10	0	294	149
224	98	2	15	0	234	149
225	293	2	33	0	234	149
226	234	2	31	0	203	149
261	160	11	4	0	212	149
262	239	4	5	0	298	149
263	0	61	2	6	281	149
267	11	53	0	5	271	149
268	2	53	0	5	200	149
272	3	64	0	8	211	149
274	3	64	0	8	294	149
275	6	64	2	8	294	149
277	118	8	13	0	221	149
279	7	78	0	8	298	149
280	5	127	0	4	298	149
283	40	118	0	4	298	149
284	86	2	4	0	210	149
285	89	4	4	0	210	149
286	113	12	4	2	210	149
287	89	2	4	2	210	149
292	4	12	0	2	210	149
294	4	12	0	2	298	149
297	23	2	2	2	264	149
302	3	2	2	0	198	149
303	277	8	68	2	273	149
304	208	4	46	0	236	149
305	324	10	49	8	277	149
306	140	2	31	0	245	149
307	288	3	73	0	298	149
308	266	2	51	0	292	149
310	12	126	1	18	245	149
312	1	1	0	5	217	149
314	0	2	2	5	228	149
318	4	0	5	2	201	149
319	1	2	0	1	298	149
321	2	1	2	0	272	149
322	2	0	0	3	219	149
329	7	18	5	5	298	149
330	4	1	3	0	298	149
346	0	2	1	6	298	149
367	4	2	10	0	198	149
373	95	0	45	2	258	149
377	46	2	9	1	275	149
378	38	23	12	19	275	149
379	2	23	4	19	298	149
380	17	8	9	8	298	149
381	18	0	70	1	262	149
382	5	7	42	8	230	149
411	2	6	9	182	297	149
412	10	184	37	156	298	149
413	4	1	79	128	275	149
414	15	8	36	13	298	149
415	4	0	17	1	233	149
416	8	0	15	2	233	149
419	0	4	13	10	249	149
421	192	1	95	1	298	149
424	2	16	0	7	284	149
429	1	59	7	41	298	149
430	1	59	7	41	298	149
431	11	59	14	41	298	149
435	4	0	34	2	298	149
436	108	0	51	2	231	149
437	183	1	127	0	231	149
447	0	3	3	43	214	149
448	39	2	75	0	236	149
449	21	2	36	0	287	149
451	10	0	255	1	292	149
457	139	0	221	1	290	149
466	7	0	25	128	298	149
471	6	0	194	2	219	149
473	8	0	67	2	267	149
476	10	0	27	1	291	149
477	18	0	50	1	236	149
478	0	13	3	31	298	149
487	5	14	0	29	268	149
489	6	0	33	1	298	149
490	6	0	50	1	283	149
495	175	0	242	2	228	149
496	4	1	55	2	228	149
497	142	1	127	2	220	149
498	316	0	317	3	220	149
499	108	1	78	2	220	149
500	373	1	150	2	235	149
501	576	0	381	1	235	149
502	9	0	34	3	265	149
503	11	0	71	1	266	149
504	12	11	7	39	241	149
505	28	0	151	1	298	149
506	0	101	1	60	268	149
507	5	177	0	33	286	149
509	282	0	68	1	298	149
510	177	6	33	2	298	149
511	177	0	33	1	298	149
512	5	6	9	2	216	149
517	6	0	19	1	210	149
519	0	9	2	27	260	149
525	22	0	125	2	298	149
526	193	19	266	0	298	149
527	6	4	48	5	232	149
535	0	9	9	28	298	149
536	2	9	6	28	298	149
537	9	0	64	2	298	149
541	2	0	25	15	214	149
542	8	0	5	2	261	149
547	0	2	9	6	298	149
548	2	0	13	5	289	149
553	258	1	343	0	298	149
554	0	321	3	336	298	149
555	1002	1	908	0	291	149
565	1210	4	682	3	229	149
566	443	1	289	2	229	149
567	386	1	203	2	211	149
569	1154	0	591	2	211	149
570	791	22	811	15	230	149
571	0	670	1	524	271	149
601	1	0	6	3	248	149
602	11	5	11	2	264	149
651	17	0	16	2	186	149
663	7	0	31	1	232	149
664	5	0	12	1	260	149
667	11	0	2	3	298	149
669	6	2	5	0	221	149
676	2	82	1	93	241	149
679	4	0	6	42	247	149
680	2	2	92	2	298	149
682	4	0	1	2	298	149
692	8	20	3	16	274	149
693	7	9	3	9	274	149
707	2	0	6	2	263	149
719	48	0	45	3	236	149
720	121	0	39	2	232	149
722	2	4	1	19	176	149
723	36	0	62	2	224	149
726	2	2	12	21	273	149
731	2	0	2	12	223	149
737	0	2	2	24	265	149
738	25	1	63	3	275	149
741	36	0	69	2	272	149
745	1	0	13	2	194	149
746	1	0	10	2	209	149
751	106	2	179	3	298	149
754	37	0	30	1	187	149
755	38	0	31	1	184	149
762	8	9	33	7	246	149
763	31	3	29	0	239	149
764	28	3	33	0	244	149
765	184	9	65	2	294	149
766	141	6	49	3	294	149
767	196	1	68	2	197	149
769	8	2	9	1	211	149
771	15	0	17	1	240	149
773	0	2	2	9	278	149
774	1	2	1	9	242	149
779	2	15	3	22	298	149
781	20	4	26	4	298	149
787	7	4	3	3	298	149
788	7	0	2	3	298	149
799	4	0	5	5	298	149
801	0	2	1	0	298	149
802	2	0	6	1	298	149
803	3	0	3	1	298	149
804	1	2	3	1	241	149
805	0	1	3	3	241	149
810	117	1	81	0	298	149
813	0	12	4	21	298	149
814	46	1	27	0	240	149
815	1	1	2	4	277	149
816	1	6	2	2	277	149
832	26	1	2	4	223	149
833	88	2	22	0	201	149
834	123	2	23	0	241	149
835	1	6	2	10	298	149
865	44	2	152	3	298	149
866	70	0	233	1	298	149
869	0	3	1	9	267	149
870	7	5	11	6	298	149
871	5	2	15	2	298	149
872	3	0	11	3	298	149
873	20	2	18	2	277	149
874	19	2	14	6	277	149
875	9	0	27	3	298	149
876	9	0	31	2	298	149
877	16	5	5	16	253	149
878	0	39	4	37	287	149
879	79	0	39	2	298	149
880	216	3	46	0	298	149
881	104	2	30	0	266	149
882	2	0	35	1	284	149
905	2	1	1	1	269	149
920	221	0	122	2	281	149
921	108	0	87	2	264	149
922	299	2	168	0	264	149
926	487	0	287	2	245	149
942	2	0	22	2	298	149
957	2	0	26	4	298	149
958	0	2	49	0	298	149
959	7	2	44	0	255	149
961	4	0	23	1	298	149
971	9	0	14	1	298	149
973	3	0	83	4	296	149
988	4	0	153	3	298	149
989	2	0	95	6	298	149
991	2	0	74	1	219	149
992	606	2	465	0	239	149
994	338	2	360	8	215	149
1011	3	2	4	0	260	149
1013	0	3	14	0	298	149
1014	10	0	13	14	292	149
1080	7	0	462	3	280	149
1081	12	0	368	5	298	149
1084	0	8	1	42	235	149
1100	2	0	1	1	271	149
1101	2	0	0	1	242	149
1103	2	2	2	0	220	149
1104	2	0	6	2	276	149
1108	1	0	3	4	276	149
1115	2	7	4	6	298	149
1117	6	4	4	0	246	149
1118	2	6	5	1	298	149
1119	2	6	5	1	298	149
1131	3	0	4	1	276	149
1144	3	0	1	3	225	149
1146	1	2	1	3	276	149
1160	3	4	8	0	298	149
1226	20	0	3890	1	272	149
1227	3	0	3153	11	298	149
1229	0	3	119	1483	298	149
1236	2	0	4	1	272	149
1238	7	0	21	1	276	149
1239	15	2	9	0	276	149
1244	9	0	3	6	234	149
1245	9	0	10	6	266	149
1246	9	0	4	6	290	149
1255	2	2	2	0	298	149
1256	2	2	2	0	298	149
1257	1	5	3	0	267	149
1263	0	1	1	4	297	149
1264	2	0	3	3	297	149
1285	1	0	0	1	298	149
1301	0	24	6	6	223	149
1308	0	1	3	0	298	149
1309	0	2	3	2	298	149
1310	0	1	3	0	298	149
1312	1	2	0	2	187	149
1316	6	0	14	1	298	149
1319	4	1	14	0	224	149
1324	31	97	0	4	200	149
1329	10	0	700	2	212	149
1349	1	2	14	0	298	149
1352	0	19	11	86	236	149
1372	2	0	14	17	203	149
1373	8	0	77	1	251	149
1382	4	0	26	4	247	149
1459	29	4	30	5	291	149
1461	9	2	7	13	298	149
1462	3	1	1	0	298	149
1463	45	1	14	1	190	149
1464	33	1	8	1	298	149
1466	67	16	20	6	293	149
1467	124	16	43	6	298	149
1469	5	22	4	13	254	149
1470	6	13	0	7	254	149
1472	4	1	0	4	298	149
1473	22	13	23	7	260	149
1474	1	2	14	0	260	149
1475	13	0	13	2	246	149
1476	13	0	6	2	277	149
1482	27637	9	54	0	298	149
1483	13945	1	30	0	298	149
1484	9030	1	9	0	244	149
1485	22374	46	31	0	244	149
1486	9508	2	14	0	244	149
1487	8512	2	6	0	276	149
