ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3	1	4	0	4	193	204
5	0	6	2	9	329	204
8	27	12	3	6	203	222
9	16	11	7	2	1104	295
10	6	11	2	2	271	295
12	39	10	22	0	245	294
14	59	5	51	9	317	217
15	496	2005	933	526	246	219
16	8	48	14	7	254	231
18	122	98	10	15	294	234
23	4	56	0	5	209	221
25	3	8	0	2	211	294
26	2	118	0	13	211	221
27	3	8	0	2	294	294
29	113	4	4	0	210	210
30	113	17	4	1	210	337
31	89	28	4	2	210	264
33	4	20	0	1	185	337
34	4	22	0	3	185	354
42	38	2	12	4	275	298
43	0	21	23	39	233	245
44	0	9	17	5	326	220
47	4	142	55	127	228	220
48	5	376	54	148	228	235
49	108	375	78	150	220	235
51	5	204	9	37	216	301
53	445	387	289	203	229	211
62	0	11	8	19	313	428
63	9	0	16	10	305	313
64	3	4	8	10	275	305
65	7	0	19	2	219	186
67	2	2	27	5	247	273
68	2	2	0	5	223	273
69	2	2	0	27	223	247
70	0	2	3	20	258	247
73	0	258	3	136	203	374
74	69	73	27	25	294	197
75	12	2	22	1	297	508
76	5	2	16	0	297	187
77	12	2	22	0	297	187
78	7	0	2	7	301	330
81	21	56	5	6	201	241
84	20	5	19	32	277	468
85	25	3	30	28	320	468
86	2	1	1	12	269	494
87	130	229	100	129	264	281
88	0	2	19	172	219	360
90	6	3	2	2	270	260
99	22	56	2314	1873	272	336
101	0	3	439	198	308	212
110	23	5	2	4	456	254
111	22	6	23	0	260	254
112	9114	21372	11	33	244	327
113	9687	21328	7	33	276	327
114	9732	9592	7	16	276	244
115	11940	9584	22	16	358	244
116	11955	13801	22	16	358	276
118	2	87	6	140	307	294
121	31	5	1	1	241	191
122	30	7	1	0	241	281
125	100	2	49	0	437	242
135	36	143	8	15	1037	353
136	20	143	4	15	275	353
137	186	5	20	0	275	258
138	0	7	9	23	181	208
139	50	20	6	17	199	232
140	34	14	4	10	199	199
142	1	2	5	0	242	270
145	1	0	11	2	265	288
156	100	45	45	50	272	326
166	3	10	20	7	392	321
167	22	6	9	3	321	253
171	8	130	62	87	202	240
177	12	2	25	9	266	232
179	26	7	95	11	288	288
180	9	14	1	0	241	276
183	0	4	4	52	266	355
184	0	3	4	68	266	323
186	0	9	5	52	200	232
189	2	0	0	1	343	339
199	13	15	201	259	298	324
208	301	258	110	107	245	218
209	652	12	237	4	245	230
210	34	308	12	105	175	245
211	32	13	11	9	175	245
214	2	1	0	4	423	249
218	129	194	101	105	253	247
219	98	4	65	57	249	258
223	0	2	2	22	300	354
227	0	2	1	4	263	304
238	99	39	567	1015	245	325
239	466	21	1208	15	279	197
240	184	198	12	12	242	254
241	16	611	72	1111	260	279
242	16	321	72	500	260	307
249	11	4	38	24	292	278
252	72	748	40	194	240	291
253	285	2	83	0	222	221
257	32	0	361	5	235	352
266	127	336	170	316	285	295
269	145	144	91	22	287	279
270	136	1006	93	311	287	279
271	924	540	226	222	279	235
272	2	6	0	6	192	203
273	26	2	20	2	180	300
276	222	352	47	82	263	278
277	264	433	67	178	278	355
278	1	0	5	6	312	316
279	11	102	170	228	312	350
280	32	90	7	10	195	230
281	113	38	16	7	273	195
282	54	13	16	4	232	232
295	68	66	20	49	252	332
305	47	28	9	11	284	255
306	17	56	7	12	248	246
310	21	4	36	106	225	289
321	25	3	5	2	358	152
322	8	3	2	2	347	152
324	49	53	61	33	257	222
325	40	53	55	33	249	222
326	2	91	58	94	245	257
331	316	304	45	79	412	257
332	99	91	17	13	219	246
333	144	148	25	28	246	291
334	3	4	123	115	327	277
335	3	0	123	3	327	277
337	8	0	90	75	277	402
338	8	0	90	73	277	267
339	8	0	90	70	277	250
342	57	46	11	6	359	276
344	97	112	17	30	248	284
345	0	15	6	3	365	244
350	617	113	48	5	297	218
351	1957	550	354	238	259	226
352	1992	550	364	238	272	226
355	47	5	12	14	235	264
356	32	48	9	12	204	241
358	8	34	3	20	182	254
359	1011	138	1473	1675	254	271
361	253	188	57	35	370	344
366	1	60	173	1715	476	2753
367	1	60	173	1696	476	2762
369	2	829	79	1128	310	257
370	721	82	819	820	310	310
371	4	0	45	34	271	284
372	1480	5	1337	2	221	319
374	150	140	58	64	244	269
375	99	273	23	58	238	379
376	21	10	2	3	297	318
377	599	1008	19	38	227	241
378	795	598	25	30	269	227
381	47042	111307	10285	17283	246	347
382	60997	156813	20171	23553	338	329
383	71683	156785	18564	23542	326	329
384	71688	29495	18580	9330	326	246
385	45	34	1	1	419	434
386	40	14	26	10	206	172
387	75	41	32	30	212	206
388	2	105	0	60	193	186
389	183	1011	69	405	260	833
