ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
16	92	4	32	0	153	149	0.118989564817	0.3084733582560682	0.957	1.0	-0.043
17	1	0	0	1	154	149	7.64874405426e-05	0.0014197617536629824	1.0	0.0	1.0
20	11	104	2	12	374	149	0.590492132175	0.8075434230655071	0.04	0.062	-0.022
22	9	5	1	4	198	149	0.0293067376886	0.1139297949214926	0.575	0.158	0.417
23	26	851	11	327	166	149	0.931638814474	1.0	0.027	0.029	-0.002
24	11	0	2	1	182	149	0.299736058413	0.5550079448721303	1.0	0.621	0.379
29	5	1	1	0	215	149	0.602857320652	0.8166658852112753	0.776	1.0	-0.224
46	2	0	1	14	152	149	4.17748160936e-05	0.0010217018974830077	1.0	0.065	0.935
50	0	2	2	40	152	149	0.293374328662	0.5497297168755044	0.0	0.047	-0.047
63	0	18	1	40	200	149	0.47329498968	0.7175616013649208	0.0	0.018	-0.018
69	4	2	5	0	233	149	0.0100337957412	0.05374639314683532	0.561	1.0	-0.439
74	0	4	4	24	266	149	0.0542899772681	0.17684988692624073	0.0	0.085	-0.085
83	0	15	2	27	168	149	0.197890059153	0.4384432139239572	0.0	0.062	-0.062
85	2	2	4	15	176	149	0.312652656056	0.5682137844796544	0.458	0.184	0.274
86	2	2	11	2	271	149	0.093900494414	0.2611854237320035	0.355	0.751	-0.396
87	2	2	22	2	244	149	0.0505702555863	0.1684785178191938	0.379	0.87	-0.491
92	12	1	16	0	218	149	0.232989190552	0.4872779877215156	0.891	1.0	-0.109
99	3	19	0	27	166	149	0.023382390529	0.09706768699867763	0.124	0.0	0.124
103	0	23	7	86	152	149	0.0172573270375	0.07822825690131106	0.0	0.074	-0.074
105	3	4	11	11	152	149	0.686905689642	0.8826826678851628	0.424	0.495	-0.071
110	0	12	3	21	258	149	0.0775575389301	0.22954412319368248	0.0	0.076	-0.076
120	8	0	259	2	246	149	0.681067577605	0.8777647905816074	1.0	0.987	0.013
122	1	0	116	35	257	149	0.00915375375549	0.050578096494870314	1.0	0.658	0.342
123	1	0	234	160	257	149	0.00625025861531	0.03928200384721723	1.0	0.459	0.541
127	3	29	14	95	152	149	0.458896817863	0.7035079982302066	0.092	0.126	-0.034
162	140	0	234	11	2845	149	6.4820110982e-05	0.0013826313501071215	1.0	0.527	0.473
184	6	0	30	10	184	149	0.00277095152376	0.02202103792811788	1.0	0.708	0.292
191	2	3	0	1	236	149	0.0352319111043	0.12925195294658892	0.296	0.0	0.296
220	37	3	168	1483	994	149	0	0.0	0.649	0.017	0.632
222	0	3	6	15	172	149	0.00546349706305	0.0354000448391409	0.0	0.257	-0.257
226	2	4	0	2	152	149	0.0246504103979	0.10074099068053691	0.329	0.0	0.329
234	27	0	32	1	161	149	0.310701649767	0.5666264190837486	1.0	0.967	0.033
251	16	0	95	2	219	149	0.597626104297	0.8130704437503385	1.0	0.97	0.03
252	16	0	101	1	257	149	0.518201848353	0.7611771312850861	1.0	0.983	0.017
259	0	4	4	15	316	149	0.0334752479837	0.12425224398655707	0.0	0.112	-0.112
261	3	2	8	21	845	149	0.478223789177	0.7229497148315452	0.209	0.063	0.146
262	4	2	8	21	1099	149	0.206586048752	0.45262429431427775	0.213	0.049	0.164
264	2	130	12	3469	254	149	1	1.0	0.009	0.002	0.007
274	1	0	107	1	199	149	1	1.0	1.0	0.988	0.012
279	2	0	0	3	173	149	8.28781182471e-06	0.0003040470500809308	1.0	0.0	1.0
287	1	10	12	1688	167	149	0.22526393588	0.4810495731641136	0.082	0.006	0.076
290	40	25	25	8	445	149	0.163022045532	0.383831756457806	0.349	0.511	-0.162
293	2	0	2	2	152	149	0.00891296198037	0.04977061070454398	1.0	0.495	0.505
294	1	73	2	160	191	149	1	1.0	0.011	0.01	0.001
313	13	43	3	30	176	149	0.0532975855586	0.17443348800558403	0.204	0.078	0.126
314	2	120	3	37	176	149	0.12285001835	0.31474468133954986	0.014	0.064	-0.05
344	0	2	1	104	224	149	1	1.0	0.0	0.006	-0.006
347	7	32	3	11	152	149	0.860663704149	1.0	0.177	0.211	-0.034
354	1	0	35	1	277	149	0.263326935638	0.5165305437059229	1.0	0.95	0.05
364	11	0	15	4	155	149	0.00585287698267	0.03715458124813652	1.0	0.783	0.217
365	0	2	1	0	152	149	3.71271938798e-05	0.0009296531483394363	0.0	1.0	-1.0
366	6	7	6	4	152	149	0.474272092717	0.7183948085434445	0.457	0.595	-0.138
367	2	0	2	9	152	149	0.000181606029474	0.0028224976501993594	1.0	0.179	0.821
380	179	0	342	1	200	149	1	1.0	1.0	0.996	0.004
382	1	6	0	11	181	149	0.227402873721	0.48303362680019835	0.121	0.0	0.121
404	25	29	7	18	152	149	0.105196430608	0.2839133777315997	0.458	0.276	0.182
405	35	58	7	17	409	149	0.344105078566	0.6034749988191939	0.18	0.13	0.05
424	78	1	31	0	1707	149	0.392606633275	0.6421326739153058	0.872	1.0	-0.128
430	9	3	5	5	152	149	0.188640184289	0.4236012679229858	0.746	0.495	0.251
431	4	0	11	3	219	149	0.00997090178028	0.05358788119674201	1.0	0.714	0.286
436	2	0	0	4	214	149	5.32810848852e-06	0.00021551515745231537	1.0	0.0	1.0
437	1	0	0	4	345	149	2.90679273575e-05	0.0007771975492619704	1.0	0.0	1.0
442	6	3	83	4	224	149	0.0269633120369	0.10726620023308804	0.571	0.932	-0.361
447	0	2	1	70	168	149	1	1.0	0.0	0.013	-0.013
468	5	0	6	1	152	149	0.40756437099	0.6553851123717889	1.0	0.855	0.145
480	11	0	60	1	183	149	0.436049979673	0.6861534592859427	1.0	0.98	0.02
481	4	0	48	7	418	149	0.00698413553759	0.04286954790096586	1.0	0.71	0.29
483	2	1	1	0	190	149	0.0600697530111	0.19010035575380413	0.611	1.0	-0.389
498	4	0	100	2	549	149	0.204685121254	0.4487710615402154	1.0	0.931	0.069
525	1	33	12	139	302	149	0.0833111187924	0.2402619559323784	0.015	0.041	-0.026
534	21	15	1	0	227	149	0.00544133437212	0.0354000448391409	0.479	1.0	-0.521
538	4	3	2	18	181	149	0.0116686656583	0.05976402622067614	0.523	0.084	0.439
