IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
92	4	32	0	153	149
1	0	0	1	154	149
11	104	2	12	374	149
9	5	1	4	198	149
26	851	11	327	166	149
11	0	2	1	182	149
5	1	1	0	215	149
2	0	1	14	152	149
0	2	2	40	152	149
0	18	1	40	200	149
4	2	5	0	233	149
0	4	4	24	266	149
0	15	2	27	168	149
2	2	4	15	176	149
2	2	11	2	271	149
2	2	22	2	244	149
12	1	16	0	218	149
3	19	0	27	166	149
0	23	7	86	152	149
3	4	11	11	152	149
0	12	3	21	258	149
8	0	259	2	246	149
1	0	116	35	257	149
1	0	234	160	257	149
3	29	14	95	152	149
140	0	234	11	2845	149
6	0	30	10	184	149
2	3	0	1	236	149
37	3	168	1483	994	149
0	3	6	15	172	149
2	4	0	2	152	149
27	0	32	1	161	149
16	0	95	2	219	149
16	0	101	1	257	149
0	4	4	15	316	149
3	2	8	21	845	149
4	2	8	21	1099	149
2	130	12	3469	254	149
1	0	107	1	199	149
2	0	0	3	173	149
1	10	12	1688	167	149
40	25	25	8	445	149
2	0	2	2	152	149
1	73	2	160	191	149
13	43	3	30	176	149
2	120	3	37	176	149
0	2	1	104	224	149
7	32	3	11	152	149
1	0	35	1	277	149
11	0	15	4	155	149
0	2	1	0	152	149
6	7	6	4	152	149
2	0	2	9	152	149
179	0	342	1	200	149
1	6	0	11	181	149
25	29	7	18	152	149
35	58	7	17	409	149
78	1	31	0	1707	149
9	3	5	5	152	149
4	0	11	3	219	149
2	0	0	4	214	149
1	0	0	4	345	149
6	3	83	4	224	149
0	2	1	70	168	149
5	0	6	1	152	149
11	0	60	1	183	149
4	0	48	7	418	149
2	1	1	0	190	149
4	0	100	2	549	149
1	33	12	139	302	149
21	15	1	0	227	149
4	3	2	18	181	149
0	2	4	21	182	149
0	4	2	1	152	149
2	0	2	25	281	149
2	0	90	2	153	149
15	6	41	11	152	149
2	17	5	563	210	149
0	20	14	529	171	149
153	2	161	0	230	149
52	38	202	86	152	149
0	1	13	60	152	149
9	0	0	4	171	149
16	380	3	135	171	149
10	71	15	107	167	149
45	10	58	14	152	149
48	2	58	2	155	149
13	2	14	2	152	149
32	2	10	0	161	149
6	0	6	1	178	149
0	54	15	149	658	149
114	1	187	0	158	149
4	2	1	2	154	149
6	7	9	4	161	149
14	32	9	13	152	149
3	0	8	2	153	149
2	8	2	11	223	149
32	0	31	1	1292	149
32	0	31	1	1419	149
448	1	24	0	1368	149
9	253	3	22	196	149
65	0	84	1	365	149
0	4	2	1	227	149
0	92	6	367	245	149
4	92	5	367	167	149
21	156	6	68	170	149
12	0	2	6	170	149
730	1	193	4	214	149
335	1	53	0	214	149
4	2	3	1	152	149
2	0	2	19	211	149
18	0	19	4	167	149
