ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
16	92	4	32	0	153	149	0.118989564817
17	1	0	0	1	154	149	7.64874405426e-05
20	11	104	2	12	374	149	0.590492132175
22	9	5	1	4	198	149	0.0293067376886
23	26	851	11	327	166	149	0.931638814474
24	11	0	2	1	182	149	0.299736058413
29	5	1	1	0	215	149	0.602857320652
46	2	0	1	14	152	149	4.17748160936e-05
50	0	2	2	40	152	149	0.293374328662
63	0	18	1	40	200	149	0.47329498968
69	4	2	5	0	233	149	0.0100337957412
74	0	4	4	24	266	149	0.0542899772681
83	0	15	2	27	168	149	0.197890059153
85	2	2	4	15	176	149	0.312652656056
86	2	2	11	2	271	149	0.093900494414
87	2	2	22	2	244	149	0.0505702555863
92	12	1	16	0	218	149	0.232989190552
99	3	19	0	27	166	149	0.023382390529
103	0	23	7	86	152	149	0.0172573270375
105	3	4	11	11	152	149	0.686905689642
110	0	12	3	21	258	149	0.0775575389301
120	8	0	259	2	246	149	0.681067577605
122	1	0	116	35	257	149	0.00915375375549
123	1	0	234	160	257	149	0.00625025861531
127	3	29	14	95	152	149	0.458896817863
162	140	0	234	11	2845	149	6.4820110982e-05
184	6	0	30	10	184	149	0.00277095152376
191	2	3	0	1	236	149	0.0352319111043
220	37	3	168	1483	994	149	0
222	0	3	6	15	172	149	0.00546349706305
226	2	4	0	2	152	149	0.0246504103979
234	27	0	32	1	161	149	0.310701649767
251	16	0	95	2	219	149	0.597626104297
252	16	0	101	1	257	149	0.518201848353
259	0	4	4	15	316	149	0.0334752479837
261	3	2	8	21	845	149	0.478223789177
262	4	2	8	21	1099	149	0.206586048752
264	2	130	12	3469	254	149	1
274	1	0	107	1	199	149	1
279	2	0	0	3	173	149	8.28781182471e-06
287	1	10	12	1688	167	149	0.22526393588
290	40	25	25	8	445	149	0.163022045532
293	2	0	2	2	152	149	0.00891296198037
294	1	73	2	160	191	149	1
313	13	43	3	30	176	149	0.0532975855586
314	2	120	3	37	176	149	0.12285001835
344	0	2	1	104	224	149	1
347	7	32	3	11	152	149	0.860663704149
354	1	0	35	1	277	149	0.263326935638
364	11	0	15	4	155	149	0.00585287698267
365	0	2	1	0	152	149	3.71271938798e-05
366	6	7	6	4	152	149	0.474272092717
367	2	0	2	9	152	149	0.000181606029474
380	179	0	342	1	200	149	1
382	1	6	0	11	181	149	0.227402873721
404	25	29	7	18	152	149	0.105196430608
405	35	58	7	17	409	149	0.344105078566
424	78	1	31	0	1707	149	0.392606633275
430	9	3	5	5	152	149	0.188640184289
431	4	0	11	3	219	149	0.00997090178028
436	2	0	0	4	214	149	5.32810848852e-06
437	1	0	0	4	345	149	2.90679273575e-05
442	6	3	83	4	224	149	0.0269633120369
447	0	2	1	70	168	149	1
468	5	0	6	1	152	149	0.40756437099
480	11	0	60	1	183	149	0.436049979673
481	4	0	48	7	418	149	0.00698413553759
483	2	1	1	0	190	149	0.0600697530111
498	4	0	100	2	549	149	0.204685121254
525	1	33	12	139	302	149	0.0833111187924
534	21	15	1	0	227	149	0.00544133437212
538	4	3	2	18	181	149	0.0116686656583
544	0	2	4	21	182	149	0.024880626661
559	0	4	2	1	152	149	0.00264903139394
592	2	0	2	25	281	149	0.0001459800395
609	2	0	90	2	153	149	0.684250952475
620	15	6	41	11	152	149	0.555311656129
627	2	17	5	563	210	149	0.355016398559
628	0	20	14	529	171	149	0.168452430273
642	153	2	161	0	230	149	0.527902880053
662	52	38	202	86	152	149	0.0626586911741
663	0	1	13	60	152	149	0.0167011691705
674	9	0	0	4	171	149	8.02134687561e-08
675	16	380	3	135	171	149	0.17952832176
679	10	71	15	107	167	149	0.986013080031
680	45	10	58	14	152	149	0.845460762149
681	48	2	58	2	155	149	0.880140079378
682	13	2	14	2	152	149	0.948496404557
685	32	2	10	0	161	149	0.191120291434
687	6	0	6	1	178	149	0.510518991543
695	0	54	15	149	658	149	0.0461219126879
697	114	1	187	0	158	149	1
700	4	2	1	2	154	149	0.222914127936
724	6	7	9	4	161	149	0.202433259791
725	14	32	9	13	152	149	0.399117950221
726	3	0	8	2	153	149	0.0522241203715
728	2	8	2	11	223	149	0.827592616729
730	32	0	31	1	1292	149	0.576897597974
731	32	0	31	1	1419	149	0.481479672533
737	448	1	24	0	1368	149	0.429387744484
738	9	253	3	22	196	149	0.258419601236
739	65	0	84	1	365	149	0.338179412611
746	0	4	2	1	227	149	0.0053576253312
747	0	92	6	367	245	149	1
748	4	92	5	367	167	149	0.181908629912
750	21	156	6	68	170	149	0.309259624671
751	12	0	2	6	170	149	2.37185637386e-06
752	730	1	193	4	214	149	0.264270683012
753	335	1	53	0	214	149	1
755	4	2	3	1	152	149	0.723825395174
759	2	0	2	19	211	149	0.000140591272072
764	18	0	19	4	167	149	0.00633463198286
765	18	0	22	2	167	149	0.103682713069
770	2	50	8	221	213	149	0.843651571413
794	0	2	5	14	276	149	0.0118701287714
795	2	69	3	59	319	149	0.510691328926
796	0	4	6	5	152	149	0.000541705711547
799	2	139	0	126	157	149	0.624260494272
804	13	63	4	30	169	149	0.391479157912
805	67	0	54	2	171	149	0.87270661613
818	5	0	37	9	153	149	0.00693330209938
832	3	0	9	72	468	149	7.10286895966e-05
833	26	2	107	0	244	149	0.145630934509
834	3	0	3	1	300	149	0.0501102571721
839	52	4	45	21	204	149	0.000389751881575
840	52	0	30	2	204	149	0.162629145069
841	3	138	17	153	266	149	0.00197376335698
842	8183	1	1306	1	5318	149	0.350487269316
849	7	46	0	4	214	149	0.0246952019112
850	44	0	10	4	243	149	0.000225275375881
854	3	0	2	1	504	149	0.013494276462
860	105	4	33	1	218	149	0.539390535284
866	30	2	2	0	213	149	0.160188426373
870	5	4	0	106	188	149	1.17411103751e-06
871	4	0	0	8	188	149	1.65025067833e-07
874	1	0	109	1	180	149	1
880	14	161	5	437	165	149	6.05916468743e-05
882	202	2	24	0	2549	149	0.080622552958
884	3	2	13	71	435	149	0.120004373633
888	1	0	14	3	246	149	0.0134277769435
894	19	2	3	0	160	149	0.131195813489
895	228	2	26	0	183	149	1
897	6	0	177	2	623	149	0.301114501545
900	157	5	91	1	158	149	0.170839489035
901	184	3	50	0	200	149	0.651181441592
902	3	179	0	18	164	149	0.632272294763
905	0	8	2	91	229	149	0.596395900498
915	0	3	2	123	169	149	0.595618849236
916	2	0	0	3	185	149	7.90501101189e-06
922	1077	4	172	4	2246	149	0.0267882792709
923	69	6	16	1	294	149	0.531853418533
924	8	2	15	0	1646	149	0.000669897258472
927	88	4	28	0	249	149	0.0570433150392
928	153	5	61	0	249	149	0.0543594364419
932	5	3	10	2	306	149	0.241322672335
948	15	0	10	4	542	149	0.000153990178777
953	44	0	89	7	183	149	0.00655726920695
956	11	1	129	18	157	149	0.362134865966
958	0	19	4	2009	163	149	1
959	9	0	1596	11	289	149	0.632953397827
960	0	35	13	1466	222	149	1
964	615	2	1534	19	153	149	0.55379958199
965	122	0	705	4	205	149	1
966	735	0	2220	4	209	149	1
968	25	0	2136	1	230	149	1
972	0	25	19	1374	251	149	1
974	4	0	125	5	232	149	0.0734302203813
977	0	2	3	73	176	149	0.305010832521
1007	8	2	26	9	675	149	0.653188505288
1009	3	19	14	593	326	149	0.107815704002
1042	6	18	8	45	546	149	0.400274619798
1053	3	0	41	1	448	149	0.242207410466
1079	0	10	2	41	170	149	0.342061991496
1084	5	153	5	88	176	149	0.454559197798
1090	695	5	390	2	230	149	0.814469968161
1091	87	5	185	3	166	149	0.0913698392878
1092	1	13	6	11	176	149	0.0234920753113
1093	4	20	3	13	152	149	0.895920568547
1095	445	1	112	0	164	149	1
