IncLevel1	IncLevel2	IncLevelDifference
1.0	0.972	0.028
0.0	0.024	-0.024
1.0	0.0	1.0
0.0	1.0	-1.0
0.094	0.0	0.094
0.0	0.21	-0.21
0.871	0.538	0.333
0.333	0.304	0.029
0.0	0.054	-0.054
0.003	0.004	-0.001
0.019	0.0	0.019
0.442	0.843	-0.401
1.0	0.952	0.048
1.0	0.497	0.503
0.0	0.025	-0.025
0.0	0.196	-0.196
0.0	0.084	-0.084
0.009	0.003	0.006
0.047	0.08	-0.033
0.191	0.053	0.138
0.105	0.044	0.061
1.0	0.965	0.035
1.0	0.97	0.03
0.143	0.253	-0.11
0.392	0.744	-0.352
0.0	1.0	-1.0
0.094	0.554	-0.46
0.0	0.104	-0.104
1.0	0.978	0.022
0.447	1.0	-0.553
0.092	0.119	-0.027
0.885	1.0	-0.115
1.0	0.25	0.75
1.0	0.992	0.008
1.0	0.587	0.413
0.109	0.009	0.1
0.0	0.008	-0.008
1.0	0.884	0.116
1.0	0.982	0.018
0.96	0.921	0.039
1.0	0.352	0.648
0.0	0.005	-0.005
0.001	0.003	-0.002
1.0	0.829	0.171
0.552	0.0	0.552
1.0	0.035	0.965
1.0	0.0	1.0
0.407	1.0	-0.593
0.023	0.039	-0.016
0.02	0.0	0.02
0.0	0.017	-0.017
1.0	0.968	0.032
0.0	0.068	-0.068
1.0	0.961	0.039
0.772	1.0	-0.228
0.298	1.0	-0.702
0.0	1.0	-1.0
0.086	0.04	0.046
0.204	0.0	0.204
0.568	1.0	-0.432
0.424	0.3	0.124
0.872	0.549	0.323
0.741	0.19	0.551
1.0	0.874	0.126
1.0	0.878	0.122
1.0	0.975	0.025
0.161	0.0	0.161
0.326	0.547	-0.221
1.0	0.603	0.397
0.0	0.014	-0.014
1.0	0.536	0.464
0.109	0.089	0.02
1.0	0.989	0.011
0.0	0.063	-0.063
0.0	0.365	-0.365
0.1	0.07	0.03
0.506	1.0	-0.494
0.705	1.0	-0.295
0.037	0.073	-0.036
0.047	0.0	0.047
0.0	0.03	-0.03
1.0	0.325	0.675
0.204	0.289	-0.085
0.157	0.318	-0.161
0.194	0.171	0.023
1.0	0.392	0.608
0.936	0.956	-0.02
0.019	0.019	0.0
0.0	0.05	-0.05
0.538	0.181	0.357
0.057	0.016	0.041
0.915	0.364	0.551
0.032	0.013	0.019
0.091	0.033	0.058
1.0	0.892	0.108
0.03	0.258	-0.228
0.854	0.922	-0.068
0.043	0.031	0.012
0.973	0.952	0.021
1.0	0.486	0.514
0.004	0.005	-0.001
0.727	0.584	0.143
0.171	0.017	0.154
0.982	0.946	0.036
0.991	0.989	0.002
0.175	0.046	0.129
0.538	0.37	0.168
0.0	0.105	-0.105
0.0	0.028	-0.028
1.0	0.161	0.839
0.005	0.014	-0.009
0.766	1.0	-0.234
0.0	0.244	-0.244
1.0	0.5	0.5
1.0	0.877	0.123
0.952	0.978	-0.026
1.0	0.908	0.092
0.873	0.871	0.002
0.029	0.046	-0.017
0.88	1.0	-0.12
1.0	0.827	0.173
0.966	0.906	0.06
1.0	0.772	0.228
0.723	0.497	0.226
0.0	0.005	-0.005
0.0	0.021	-0.021
1.0	0.956	0.044
1.0	0.991	0.009
0.0	0.003	-0.003
0.0	0.005	-0.005
0.0	0.001	-0.001
1.0	0.008	0.992
1.0	0.006	0.994
1.0	0.004	0.996
1.0	0.394	0.606
1.0	0.784	0.216
0.025	0.032	-0.007
0.0	0.011	-0.011
0.59	1.0	-0.41
1.0	0.972	0.028
0.125	0.311	-0.186
0.979	1.0	-0.021
0.0	0.007	-0.007
0.0	0.59	-0.59
0.263	1.0	-0.737
1.0	0.753	0.247
0.156	0.013	0.143
0.931	1.0	-0.069
1.0	0.428	0.572
0.0	0.176	-0.176
1.0	0.911	0.089
0.0	0.007	-0.007
1.0	0.393	0.607
1.0	0.917	0.083
0.0	0.016	-0.016
0.717	0.792	-0.075
1.0	0.047	0.953
0.0	0.029	-0.029
0.523	0.831	-0.308
0.66	1.0	-0.34
0.197	0.031	0.166
0.306	0.0	0.306
0.45	0.13	0.32
0.905	1.0	-0.095
0.098	0.484	-0.386
0.26	0.0	0.26
0.875	0.835	0.04
0.017	0.004	0.013
1.0	0.657	0.343
1.0	0.788	0.212
0.464	0.611	-0.147
0.947	1.0	-0.053
0.991	1.0	-0.009
1.0	0.0	1.0
0.062	0.037	0.025
1.0	0.722	0.278
0.957	0.894	0.063
0.733	1.0	-0.267
0.03	0.0	0.03
0.0	0.679	-0.679
0.813	0.655	0.158
1.0	0.307	0.693
0.958	1.0	-0.042
0.0	0.481	-0.481
1.0	0.963	0.037
1.0	0.981	0.019
0.0	0.018	-0.018
0.0	0.035	-0.035
0.0	0.116	-0.116
0.015	0.066	-0.051
1.0	0.918	0.082
1.0	0.817	0.183
1.0	0.03	0.97
1.0	0.0	1.0
0.0	0.052	-0.052
0.0	0.169	-0.169
0.791	0.73	0.061
0.006	0.0	0.006
0.896	1.0	-0.104
0.16	0.125	0.035
0.0	0.034	-0.034
0.0	0.01	-0.01
0.0	0.029	-0.029
1.0	0.995	0.005
0.104	0.032	0.072
0.637	0.491	0.146
0.965	0.946	0.019
0.0	0.022	-0.022
0.952	1.0	-0.048
0.946	1.0	-0.054
0.01	0.002	0.008
0.222	0.062	0.16
1.0	0.927	0.073
0.018	0.0	0.018
0.0	1.0	-1.0
0.0	1.0	-1.0
0.03	0.079	-0.049
1.0	0.013	0.987
1.0	0.995	0.005
0.008	0.0	0.008
0.0	0.002	-0.002
1.0	0.977	0.023
0.84	1.0	-0.16
0.0	0.911	-0.911
0.997	1.0	-0.003
0.0	0.134	-0.134
0.014	0.012	0.002
0.957	1.0	-0.043
0.507	0.0	0.507
0.934	0.974	-0.04
0.0	0.51	-0.51
0.0	0.109	-0.109
1.0	0.846	0.154
0.0	0.023	-0.023
0.959	0.948	0.011
0.0	0.208	-0.208
0.188	0.0	0.188
1.0	0.95	0.05
1.0	0.585	0.415
1.0	0.733	0.267
1.0	0.99	0.01
1.0	0.982	0.018
0.0	0.109	-0.109
0.0	0.036	-0.036
0.88	0.74	0.14
0.072	0.24	-0.168
0.088	0.104	-0.016
0.0	0.01	-0.01
0.983	0.985	-0.002
0.963	1.0	-0.037
0.799	0.878	-0.079
1.0	0.306	0.694
