ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	1	4	0	4	193	204	0.910044784585	0.955637684766626	0.209	0.0	0.209
5	0	6	2	9	329	204	0.0906899784757	0.1888091729003319	0.0	0.121	-0.121
8	27	12	3	6	203	222	0.0418246433287	0.10101654009440299	0.711	0.354	0.357
9	16	11	7	2	1104	295	0.299732107467	0.4600349701656186	0.28	0.483	-0.203
10	6	11	2	2	271	295	0.480325800659	0.6370470539064593	0.373	0.521	-0.148
12	39	10	22	0	245	294	0.000698314828062	0.0035471103330643686	0.824	1.0	-0.176
14	59	5	51	9	317	217	0.200243391204	0.3469819450776929	0.89	0.795	0.095
15	496	2005	933	526	246	219	0	0.0	0.18	0.612	-0.432
16	8	48	14	7	254	231	1.21860462209e-05	0.0001122062915928352	0.132	0.645	-0.513
18	122	98	10	15	294	234	0.143244460445	0.2663761522184212	0.498	0.347	0.151
23	4	56	0	5	209	221	0.0755423414109	0.16255144555312653	0.07	0.0	0.07
25	3	8	0	2	211	294	0.00705253313727	0.02319854817453091	0.343	0.0	0.343
26	2	118	0	13	211	221	0.533056339891	0.6850806081241507	0.017	0.0	0.017
27	3	8	0	2	294	294	0.0129576368252	0.038760621779415354	0.273	0.0	0.273
29	113	4	4	0	210	210	0.237906126354	0.39224616156904385	0.966	1.0	-0.034
30	113	17	4	1	210	337	0.464007929242	0.6225847629101261	0.914	0.865	0.049
31	89	28	4	2	210	264	0.699955468487	0.8179678444912291	0.8	0.715	0.085
33	4	20	0	1	185	337	0.00508296906749	0.01810486835781476	0.267	0.0	0.267
34	4	22	0	3	185	354	0.00492044793399	0.017727437575716206	0.258	0.0	0.258
42	38	2	12	4	275	298	0.0409734629921	0.0998153187398222	0.954	0.765	0.189
43	0	21	23	39	233	245	4.7762827915e-06	4.935492217883333e-05	0.0	0.383	-0.383
44	0	9	17	5	326	220	4.77733298587e-07	5.936941124730955e-06	0.0	0.696	-0.696
47	4	142	55	127	228	220	3.1850633242e-11	6.75568694554e-10	0.026	0.295	-0.269
48	5	376	54	148	228	235	0	0.0	0.014	0.273	-0.259
49	108	375	78	150	220	235	0.00950745237628	0.02990024877757623	0.235	0.357	-0.122
51	5	204	9	37	216	301	0.000132106476161	0.000862667521412456	0.033	0.253	-0.22
53	445	387	289	203	229	211	0.24013883745	0.39477369489886366	0.514	0.567	-0.053
62	0	11	8	19	313	428	0.000559715424292	0.0029458156938950222	0.0	0.365	-0.365
63	9	0	16	10	305	313	0.000344646283154	0.001940613103348172	1.0	0.621	0.379
64	3	4	8	10	275	305	0.929124499559	0.966111394491684	0.454	0.47	-0.016
65	7	0	19	2	219	186	0.107721259536	0.21250466653919997	1.0	0.89	0.11
67	2	2	27	5	247	273	0.231749161403	0.3859141884828855	0.525	0.856	-0.331
68	2	2	0	5	223	273	0.0049673760281	0.01782820327642506	0.55	0.0	0.55
69	2	2	0	27	223	247	0.00365372578332	0.013816568947380321	0.526	0.0	0.526
70	0	2	3	20	258	247	0.0530051714526	0.12276485112297587	0.0	0.126	-0.126
73	0	258	3	136	203	374	0.278160790918	0.436424689198931	0.0	0.039	-0.039
74	69	73	27	25	294	197	0.71289711269	0.8274030898887541	0.388	0.42	-0.032
75	12	2	22	1	297	508	0.257754767658	0.41597608670664643	0.911	0.974	-0.063
76	5	2	16	0	297	187	0.0083230819512	0.026833616210668803	0.612	1.0	-0.388
77	12	2	22	0	297	187	0.0288463785008	0.0752085339655793	0.791	1.0	-0.209
78	7	0	2	7	301	330	9.10855082448e-06	8.651589857191273e-05	1.0	0.239	0.761
81	21	56	5	6	201	241	0.255389068154	0.41263033291090145	0.31	0.5	-0.19
84	20	5	19	32	277	468	0.000263840533255	0.0015636431603200734	0.871	0.501	0.37
85	25	3	30	28	320	468	0.00019288353119	0.001193255354138136	0.924	0.61	0.314
86	2	1	1	12	269	494	0.00710270805812	0.023298534223205256	0.786	0.133	0.653
87	130	229	100	129	264	281	0.162608530984	0.29575671560661765	0.377	0.452	-0.075
88	0	2	19	172	219	360	0.0189157829346	0.05320181820389492	0.0	0.154	-0.154
90	6	3	2	2	270	260	0.493792779099	0.6483945651042117	0.658	0.491	0.167
99	22	56	2314	1873	272	336	3.74002827399e-05	0.00029636572362151095	0.327	0.604	-0.277
101	0	3	439	198	308	212	0.000279241997846	0.0016275654461230702	0.0	0.604	-0.604
110	23	5	2	4	456	254	0.0103218018113	0.032068064878499225	0.719	0.218	0.501
111	22	6	23	0	260	254	0.000829287779508	0.004111460151128415	0.782	1.0	-0.218
112	9114	21372	11	33	244	327	0.442806438625	0.6032055373257567	0.364	0.309	0.055
113	9687	21328	7	33	276	327	0.0444005811867	0.10641804547806345	0.35	0.201	0.149
114	9732	9592	7	16	276	244	0.0514050067439	0.11964812213246032	0.473	0.279	0.194
115	11940	9584	22	16	358	244	0.795942136927	0.8878421385018058	0.459	0.484	-0.025
116	11955	13801	22	16	358	276	0.20156931422	0.34863705420884117	0.4	0.515	-0.115
118	2	87	6	140	307	294	0.303550799437	0.46412834970828015	0.022	0.039	-0.017
121	31	5	1	1	241	191	0.443049228408	0.6032055373257567	0.831	0.442	0.389
122	30	7	1	0	241	281	0.0165528585921	0.04745489236617287	0.833	1.0	-0.167
125	100	2	49	0	437	242	0.612399867003	0.7530899810020811	0.965	1.0	-0.035
135	36	143	8	15	1037	353	0.236667289874	0.39106329563067216	0.079	0.154	-0.075
136	20	143	4	15	275	353	0.497590585103	0.6525816088217402	0.152	0.255	-0.103
137	186	5	20	0	275	258	0.2332227529	0.3872403684113596	0.972	1.0	-0.028
138	0	7	9	23	181	208	0.00173048412405	0.007542364141356096	0.0	0.31	-0.31
139	50	20	6	17	199	232	0.000146917378225	0.0009484071486790046	0.745	0.292	0.453
140	34	14	4	10	199	199	0.00382329596829	0.014342444051258098	0.708	0.286	0.422
142	1	2	5	0	242	270	0.00272629081052	0.010832206164052	0.358	1.0	-0.642
145	1	0	11	2	265	288	0.0926511568175	0.19099854261008603	1.0	0.857	0.143
156	100	45	45	50	272	326	0.00289473829435	0.011405107162515853	0.727	0.519	0.208
166	3	10	20	7	392	321	0.00108689408402	0.005109705292909735	0.197	0.701	-0.504
167	22	6	9	3	321	253	0.809878982806	0.8966517309637858	0.743	0.703	0.04
171	8	130	62	87	202	240	7.69906360887e-12	1.6836479411335093e-10	0.068	0.458	-0.39
177	12	2	25	9	266	232	0.254091591878	0.41171302739106147	0.84	0.708	0.132
179	26	7	95	11	288	288	0.173298198324	0.31117465144663425	0.788	0.896	-0.108
180	9	14	1	0	241	276	0.00333915741964	0.012804363104487501	0.424	1.0	-0.576
183	0	4	4	52	266	355	0.0466253939885	0.11052961045509116	0.0	0.093	-0.093
184	0	3	4	68	266	323	0.0857750979527	0.1800383566403026	0.0	0.067	-0.067
