ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
3	1	4	0	4	193	204	0.910044784585	0.955637684766626
5	0	6	2	9	329	204	0.0906899784757	0.1888091729003319
8	27	12	3	6	203	222	0.0418246433287	0.10101654009440299
9	16	11	7	2	1104	295	0.299732107467	0.4600349701656186
10	6	11	2	2	271	295	0.480325800659	0.6370470539064593
12	39	10	22	0	245	294	0.000698314828062	0.0035471103330643686
14	59	5	51	9	317	217	0.200243391204	0.3469819450776929
15	496	2005	933	526	246	219	0	0.0
16	8	48	14	7	254	231	1.21860462209e-05	0.0001122062915928352
18	122	98	10	15	294	234	0.143244460445	0.2663761522184212
23	4	56	0	5	209	221	0.0755423414109	0.16255144555312653
25	3	8	0	2	211	294	0.00705253313727	0.02319854817453091
26	2	118	0	13	211	221	0.533056339891	0.6850806081241507
27	3	8	0	2	294	294	0.0129576368252	0.038760621779415354
29	113	4	4	0	210	210	0.237906126354	0.39224616156904385
30	113	17	4	1	210	337	0.464007929242	0.6225847629101261
31	89	28	4	2	210	264	0.699955468487	0.8179678444912291
33	4	20	0	1	185	337	0.00508296906749	0.01810486835781476
34	4	22	0	3	185	354	0.00492044793399	0.017727437575716206
42	38	2	12	4	275	298	0.0409734629921	0.0998153187398222
43	0	21	23	39	233	245	4.7762827915e-06	4.935492217883333e-05
44	0	9	17	5	326	220	4.77733298587e-07	5.936941124730955e-06
47	4	142	55	127	228	220	3.1850633242e-11	6.75568694554e-10
48	5	376	54	148	228	235	0	0.0
49	108	375	78	150	220	235	0.00950745237628	0.02990024877757623
51	5	204	9	37	216	301	0.000132106476161	0.000862667521412456
53	445	387	289	203	229	211	0.24013883745	0.39477369489886366
62	0	11	8	19	313	428	0.000559715424292	0.0029458156938950222
63	9	0	16	10	305	313	0.000344646283154	0.001940613103348172
64	3	4	8	10	275	305	0.929124499559	0.966111394491684
65	7	0	19	2	219	186	0.107721259536	0.21250466653919997
67	2	2	27	5	247	273	0.231749161403	0.3859141884828855
68	2	2	0	5	223	273	0.0049673760281	0.01782820327642506
69	2	2	0	27	223	247	0.00365372578332	0.013816568947380321
70	0	2	3	20	258	247	0.0530051714526	0.12276485112297587
73	0	258	3	136	203	374	0.278160790918	0.436424689198931
74	69	73	27	25	294	197	0.71289711269	0.8274030898887541
75	12	2	22	1	297	508	0.257754767658	0.41597608670664643
76	5	2	16	0	297	187	0.0083230819512	0.026833616210668803
77	12	2	22	0	297	187	0.0288463785008	0.0752085339655793
78	7	0	2	7	301	330	9.10855082448e-06	8.651589857191273e-05
81	21	56	5	6	201	241	0.255389068154	0.41263033291090145
84	20	5	19	32	277	468	0.000263840533255	0.0015636431603200734
85	25	3	30	28	320	468	0.00019288353119	0.001193255354138136
86	2	1	1	12	269	494	0.00710270805812	0.023298534223205256
87	130	229	100	129	264	281	0.162608530984	0.29575671560661765
88	0	2	19	172	219	360	0.0189157829346	0.05320181820389492
90	6	3	2	2	270	260	0.493792779099	0.6483945651042117
99	22	56	2314	1873	272	336	3.74002827399e-05	0.00029636572362151095
101	0	3	439	198	308	212	0.000279241997846	0.0016275654461230702
110	23	5	2	4	456	254	0.0103218018113	0.032068064878499225
111	22	6	23	0	260	254	0.000829287779508	0.004111460151128415
112	9114	21372	11	33	244	327	0.442806438625	0.6032055373257567
113	9687	21328	7	33	276	327	0.0444005811867	0.10641804547806345
114	9732	9592	7	16	276	244	0.0514050067439	0.11964812213246032
115	11940	9584	22	16	358	244	0.795942136927	0.8878421385018058
116	11955	13801	22	16	358	276	0.20156931422	0.34863705420884117
118	2	87	6	140	307	294	0.303550799437	0.46412834970828015
121	31	5	1	1	241	191	0.443049228408	0.6032055373257567
122	30	7	1	0	241	281	0.0165528585921	0.04745489236617287
125	100	2	49	0	437	242	0.612399867003	0.7530899810020811
135	36	143	8	15	1037	353	0.236667289874	0.39106329563067216
136	20	143	4	15	275	353	0.497590585103	0.6525816088217402
137	186	5	20	0	275	258	0.2332227529	0.3872403684113596
138	0	7	9	23	181	208	0.00173048412405	0.007542364141356096
139	50	20	6	17	199	232	0.000146917378225	0.0009484071486790046
140	34	14	4	10	199	199	0.00382329596829	0.014342444051258098
142	1	2	5	0	242	270	0.00272629081052	0.010832206164052
145	1	0	11	2	265	288	0.0926511568175	0.19099854261008603
156	100	45	45	50	272	326	0.00289473829435	0.011405107162515853
166	3	10	20	7	392	321	0.00108689408402	0.005109705292909735
167	22	6	9	3	321	253	0.809878982806	0.8966517309637858
171	8	130	62	87	202	240	7.69906360887e-12	1.6836479411335093e-10
177	12	2	25	9	266	232	0.254091591878	0.41171302739106147
179	26	7	95	11	288	288	0.173298198324	0.31117465144663425
180	9	14	1	0	241	276	0.00333915741964	0.012804363104487501
183	0	4	4	52	266	355	0.0466253939885	0.11052961045509116
184	0	3	4	68	266	323	0.0857750979527	0.1800383566403026
186	0	9	5	52	200	232	0.0213605421533	0.058903313210615156
189	2	0	0	1	343	339	3.77235726327e-05	0.00029725753742135947
199	13	15	201	259	298	324	0.799541510421	0.8886529012205129
208	301	258	110	107	245	218	0.552547688355	0.700555968022227
209	652	12	237	4	245	230	0.725502689059	0.8364775051867622
210	34	308	12	105	175	245	0.940246024994	0.9726149901722386
211	32	13	11	9	175	245	0.229532380958	0.3838238569546639
214	2	1	0	4	423	249	0.00638846963725	0.02155726417067255
218	129	194	101	105	253	247	0.105631643034	0.21044270127041947
219	98	4	65	57	249	258	2.53352894219e-13	6.438815446772963e-12
223	0	2	2	22	300	354	0.142066157821	0.2648834310727303
227	0	2	1	4	263	304	0.64335033718	0.7752022285555675
238	99	39	567	1015	245	325	7.84756704064e-11	1.604201929104742e-09
239	466	21	1208	15	279	197	0.000533058861861	0.002821311537166756
240	184	198	12	12	242	254	0.858314171864	0.9255750301331591
241	16	611	72	1111	260	279	0.00170089809621	0.007439121751020791
242	16	321	72	500	260	307	0.000294122796632	0.001700246740366541
249	11	4	38	24	292	278	0.2956872453	0.45581077540508197
252	72	748	40	194	240	291	0.00387941170789	0.014533626066344873
253	285	2	83	0	222	221	1	1.0
257	32	0	361	5	235	352	1	1.0
266	127	336	170	316	285	295	0.0759023286281	0.1630772803197792
269	145	144	91	22	287	279	5.88258316836e-07	7.1529168611825684e-06
270	136	1006	93	311	287	279	0.000132656882901	0.0008642611239346905
271	924	540	226	222	279	235	0.00359508801471	0.013649721789363271
272	2	6	0	6	192	203	0.0302708018598	0.07819957147114999
273	26	2	20	2	180	300	0.858140281665	0.9255750301331591
276	222	352	47	82	263	278	0.678867748321	0.8002866351916177
277	264	433	67	178	278	355	0.0232371544732	0.06266922826854417
278	1	0	5	6	312	316	0.00197179261391	0.008351992438198364
279	11	102	170	228	312	350	5.93689764017e-10	1.0667508434980618e-08
280	32	90	7	10	195	230	0.255055627708	0.4125641776171261
281	113	38	16	7	273	195	0.666716128423	0.7915851002867353
282	54	13	16	4	232	232	0.944471478159	0.9748825612464467
295	68	66	20	49	252	332	0.00570829373045	0.01956633853414271
305	47	28	9	11	284	255	0.158545087513	0.2902073759477004
306	17	56	7	12	248	246	0.290482333966	0.4502476176472999
310	21	4	36	106	225	289	3.08748768774e-08	4.4437769219972143e-07
321	25	3	5	2	358	152	0.237391280923	0.3916450478202357
322	8	3	2	2	347	152	0.311402048595	0.4725471646511538
324	49	53	61	33	257	222	0.0301273775369	0.07790039599596232
325	40	53	55	33	249	222	0.0158797298556	0.0458044150538319
326	2	91	58	94	245	257	4.09861034001e-12	9.32433852352275e-11
331	316	304	45	79	412	257	0.0125613684338	0.037777846856876116
332	99	91	17	13	219	246	0.619594145378	0.7602463482123446
333	144	148	25	28	246	291	0.7934568494	0.885770388665374
334	3	4	123	115	327	277	0.573764991145	0.7201034328339679
335	3	0	123	3	327	277	0.371920675967	0.5317730496213416
337	8	0	90	75	277	402	0.000101767343117	0.0006901097955121562
338	8	0	90	73	277	267	9.53131728645e-05	0.0006542055003667993
339	8	0	90	70	277	250	0.000109051798468	0.0007359691949239903
342	57	46	11	6	359	276	0.442506434813	0.6032055373257567
344	97	112	17	30	248	284	0.2232048416	0.3778091562021458
345	0	15	6	3	365	244	1.25191087386e-05	0.00011466365503763181
