IncLevel1	IncLevel2	IncLevelDifference
0.0	0.133	-0.133
1.0	0.957	0.043
1.0	0.948	0.052
0.0	0.039	-0.039
0.0	0.007	-0.007
0.017	0.043	-0.026
0.686	0.45	0.236
0.016	0.029	-0.013
0.208	0.157	0.051
0.451	0.18	0.271
0.0	0.013	-0.013
1.0	0.214	0.786
0.031	0.015	0.016
1.0	0.027	0.973
0.531	0.133	0.398
0.17	0.209	-0.039
0.0	0.532	-0.532
1.0	0.0	1.0
0.98	0.813	0.167
0.924	0.736	0.188
1.0	0.531	0.469
1.0	0.793	0.207
0.468	0.668	-0.2
1.0	0.672	0.328
1.0	0.631	0.369
1.0	0.962	0.038
1.0	0.97	0.03
0.949	0.927	0.022
0.933	0.311	0.622
0.0	0.027	-0.027
0.792	0.888	-0.096
0.0	0.005	-0.005
0.475	1.0	-0.525
1.0	0.013	0.987
1.0	0.224	0.776
0.0	0.134	-0.134
0.313	0.045	0.268
1.0	0.594	0.406
0.087	0.009	0.078
0.0	0.003	-0.003
0.952	0.014	0.938
0.121	0.027	0.094
1.0	0.951	0.049
0.211	0.007	0.204
1.0	0.047	0.953
0.0	0.002	-0.002
0.468	0.584	-0.116
0.016	0.04	-0.024
0.271	0.005	0.266
0.738	1.0	-0.262
0.0	0.007	-0.007
0.049	0.029	0.02
0.0	0.023	-0.023
0.011	0.003	0.008
0.016	0.025	-0.009
0.841	0.085	0.756
1.0	0.029	0.971
0.066	0.058	0.008
0.0	0.071	-0.071
1.0	0.04	0.96
0.0	0.022	-0.022
0.0	0.062	-0.062
0.0	0.003	-0.003
0.0	0.048	-0.048
0.0	0.217	-0.217
1.0	0.036	0.964
1.0	0.354	0.646
0.0	0.03	-0.03
0.0	0.055	-0.055
0.038	0.012	0.026
1.0	0.189	0.811
1.0	0.0	1.0
0.445	0.8	-0.355
1.0	0.468	0.532
1.0	0.478	0.522
0.336	0.013	0.323
0.0	0.008	-0.008
0.0	0.076	-0.076
1.0	0.939	0.061
0.021	0.025	-0.004
0.0	0.142	-0.142
0.019	0.098	-0.079
0.297	0.449	-0.152
1.0	0.057	0.943
0.047	0.021	0.026
1.0	0.734	0.266
0.423	0.292	0.131
0.231	0.148	0.083
0.227	0.095	0.132
1.0	0.048	0.952
0.05	0.0	0.05
0.0	1.0	-1.0
0.0	1.0	-1.0
1.0	0.004	0.996
0.015	0.0	0.015
0.0	0.014	-0.014
1.0	0.034	0.966
0.06	0.0	0.06
0.002	0.009	-0.007
0.0	0.062	-0.062
1.0	0.0	1.0
1.0	0.798	0.202
0.0	0.009	-0.009
1.0	0.002	0.998
1.0	0.028	0.972
0.191	0.335	-0.144
0.0	0.014	-0.014
1.0	0.0	1.0
0.0	0.027	-0.027
0.0	0.142	-0.142
1.0	0.888	0.112
1.0	0.617	0.383
0.0	0.005	-0.005
0.045	0.039	0.006
0.78	1.0	-0.22
0.038	0.137	-0.099
0.275	0.107	0.168
0.037	0.058	-0.021
1.0	0.232	0.768
0.019	0.009	0.01
0.03	0.037	-0.007
1.0	0.746	0.254
0.011	0.005	0.006
0.114	0.004	0.11
0.016	0.022	-0.006
0.048	0.049	-0.001
0.043	0.065	-0.022
0.037	0.196	-0.159
1.0	0.0	1.0
1.0	0.0	1.0
1.0	0.417	0.583
0.201	0.097	0.104
1.0	0.305	0.695
0.512	0.208	0.304
0.0	0.096	-0.096
0.281	0.26	0.021
0.677	0.655	0.022
1.0	0.558	0.442
0.07	0.03	0.04
1.0	0.949	0.051
0.144	0.123	0.021
0.157	0.052	0.105
0.031	0.0	0.031
0.016	0.154	-0.138
1.0	0.988	0.012
0.705	0.756	-0.051
0.005	0.054	-0.049
0.008	0.008	0.0
0.16	0.066	0.094
0.088	0.076	0.012
0.057	0.027	0.03
0.023	0.029	-0.006
0.0	0.017	-0.017
1.0	0.601	0.399
0.344	0.511	-0.167
0.597	0.048	0.549
0.262	0.095	0.167
0.244	0.015	0.229
0.0	0.019	-0.019
0.151	0.084	0.067
0.031	0.13	-0.099
0.437	0.237	0.2
1.0	0.724	0.276
0.711	0.426	0.285
0.95	0.77	0.18
0.868	0.863	0.005
1.0	0.825	0.175
0.098	0.113	-0.015
0.0	0.268	-0.268
0.0	0.046	-0.046
0.0	0.014	-0.014
0.0	0.019	-0.019
0.0	0.043	-0.043
0.0	0.016	-0.016
0.006	0.002	0.004
0.017	0.021	-0.004
1.0	0.942	0.058
1.0	0.931	0.069
0.002	0.002	0.0
0.0	0.009	-0.009
1.0	0.013	0.987
1.0	0.442	0.558
0.371	0.298	0.073
0.235	0.235	0.0
1.0	0.072	0.928
0.353	0.018	0.335
0.249	0.023	0.226
0.836	1.0	-0.164
1.0	0.987	0.013
0.187	0.169	0.018
0.056	0.024	0.032
1.0	0.366	0.634
0.811	0.91	-0.099
0.0	0.145	-0.145
0.041	0.049	-0.008
1.0	0.235	0.765
0.797	1.0	-0.203
0.092	0.222	-0.13
