IncLevel1	IncLevel2	IncLevelDifference
0.209	0.0	0.209
0.0	0.132	-0.132
0.711	0.354	0.357
0.459	0.598	-0.139
0.483	0.521	-0.038
0.824	1.0	-0.176
0.735	0.728	0.007
0.163	0.61	-0.447
0.087	0.645	-0.558
0.491	0.347	0.144
0.07	0.0	0.07
0.411	0.0	0.411
0.017	0.0	0.017
0.333	0.0	0.333
0.966	1.0	-0.034
0.976	1.0	-0.024
0.829	0.715	0.114
0.954	0.765	0.189
0.0	0.383	-0.383
0.0	0.689	-0.689
0.026	0.295	-0.269
0.014	0.273	-0.259
0.236	0.357	-0.121
0.038	0.273	-0.235
0.514	0.567	-0.053
0.0	0.533	-0.533
1.0	0.583	0.417
1.0	0.52	0.48
1.0	0.89	0.11
0.525	0.856	-0.331
0.55	0.0	0.55
0.526	0.0	0.526
0.0	0.126	-0.126
0.0	0.054	-0.054
0.327	0.36	-0.033
0.858	0.957	-0.099
0.612	1.0	-0.388
0.791	1.0	-0.209
1.0	0.222	0.778
0.31	0.5	-0.19
0.811	0.564	0.247
0.75	0.711	0.039
0.689	0.27	0.419
0.342	0.432	-0.09
0.0	0.214	-0.214
0.852	0.491	0.361
0.88	0.623	0.257
0.0	0.571	-0.571
0.782	1.0	-0.218
0.442	0.268	0.174
0.397	0.178	0.219
0.442	0.275	0.167
0.394	0.391	0.003
0.358	0.404	-0.046
0.024	0.028	-0.004
0.831	0.442	0.389
0.875	1.0	-0.125
0.952	1.0	-0.048
0.909	0.667	0.242
0.938	0.684	0.254
0.977	1.0	-0.023
0.0	0.31	-0.31
0.745	0.292	0.453
0.708	0.286	0.422
0.358	1.0	-0.642
1.0	0.83	0.17
0.708	0.541	0.167
0.0	0.545	-0.545
0.734	0.694	0.04
0.068	0.458	-0.39
0.636	0.708	-0.072
0.759	0.896	-0.137
0.424	1.0	-0.576
0.0	0.092	-0.092
0.0	0.067	-0.067
0.0	0.1	-0.1
0.45	0.539	-0.089
0.509	0.478	0.031
0.981	0.982	-0.001
0.134	0.138	-0.004
0.775	0.631	0.144
0.389	0.487	-0.098
0.981	0.534	0.447
0.0	0.221	-0.221
1.0	0.471	0.529
0.939	0.983	-0.044
0.519	0.512	0.007
0.029	0.064	-0.035
0.062	0.142	-0.08
0.811	0.526	0.285
0.11	0.205	-0.095
0.993	1.0	-0.007
1.0	0.989	0.011
0.304	0.362	-0.058
0.822	0.928	-0.106
0.031	0.184	-0.153
0.552	0.442	0.11
0.261	0.0	0.261
1.0	0.943	0.057
0.407	0.373	0.034
0.519	0.323	0.196
