IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	4	0	4	193	204
0	6	2	9	298	204
27	12	3	6	203	222
6	7	3	2	298	295
6	7	2	2	271	295
39	10	20	0	245	294
19	5	33	9	298	217
435	1993	926	526	246	219
5	48	14	7	254	231
119	98	10	15	294	234
4	56	0	5	209	221
3	6	0	2	211	294
2	118	0	13	211	221
3	6	0	2	294	294
113	4	4	0	210	210
113	4	4	0	210	298
89	23	4	2	210	264
38	2	12	4	275	298
0	21	23	39	233	245
0	9	15	5	298	220
4	142	55	127	228	220
5	374	54	148	228	235
108	373	78	150	220	235
5	177	9	33	216	298
443	386	289	203	229	211
0	11	8	7	298	298
5	0	14	10	298	298
3	0	8	8	275	298
7	0	19	2	219	186
2	2	27	5	247	273
2	2	0	5	223	273
2	2	0	27	223	247
0	2	3	20	258	247
0	147	3	77	203	298
53	73	21	25	294	197
12	2	22	1	297	298
5	2	16	0	297	187
12	2	22	0	297	187
7	0	2	7	298	298
21	56	5	6	201	241
20	5	18	15	277	298
9	3	27	11	298	298
2	1	1	3	269	298
108	221	87	122	264	281
0	2	19	95	219	298
6	1	2	2	270	260
20	3	2236	1484	272	298
0	2	370	198	298	212
22	6	23	0	260	254
9030	13945	9	30	244	298
8467	13901	6	30	276	298
8512	9508	6	14	276	244
7547	9500	11	14	298	244
7562	12581	11	15	298	276
2	81	4	139	298	294
31	5	1	1	241	191
30	5	1	0	241	281
49	2	34	0	298	242
10	1	4	2	298	298
14	1	4	2	275	298
180	4	20	0	275	258
0	7	9	23	181	208
50	20	6	17	199	232
34	14	4	10	199	199
1	2	5	0	242	270
1	0	9	2	265	288
95	43	43	40	272	298
0	4	6	5	298	298
13	4	8	3	298	253
8	130	62	87	202	240
4	2	25	9	266	232
22	7	95	11	288	288
9	14	1	0	241	276
0	4	4	44	266	298
0	3	4	62	266	298
0	9	5	52	200	232
9	11	192	164	298	298
301	258	110	107	245	218
652	12	237	4	245	230
34	308	12	105	175	245
32	13	11	9	175	245
125	192	100	103	253	247
98	2	63	57	249	258
0	2	1	4	263	298
91	0	565	773	245	298
460	21	1196	15	279	197
184	179	12	12	242	254
16	570	70	1101	260	279
16	279	70	486	260	298
9	2	28	24	292	278
69	675	40	188	240	291
285	2	83	0	222	221
32	0	361	5	235	298
127	301	158	288	285	295
38	8	66	5	287	279
29	870	68	294	287	279
788	538	209	222	279	235
2	6	0	6	192	203
26	0	20	2	180	298
212	326	45	80	263	278
238	236	65	146	278	298
11	33	145	141	298	298
32	90	7	10	195	230
105	38	16	7	273	195
54	13	16	4	232	232
68	26	20	31	252	298
44	28	7	11	284	255
17	56	7	12	248	246
21	4	36	104	225	289
15	3	3	2	298	152
2	3	0	2	298	152
44	53	59	33	257	222
39	53	53	33	249	222
0	86	58	92	245	257
279	304	43	79	298	257
99	91	17	13	219	246
144	122	25	24	246	291
1	4	75	112	298	277
8	0	87	72	277	298
8	0	87	72	277	267
8	0	87	69	277	250
29	46	9	6	298	276
97	109	17	30	248	284
0	15	4	3	298	244
554	113	46	5	297	218
1881	546	354	238	259	226
1889	546	363	238	272	226
47	2	12	14	235	264
32	48	9	12	204	241
8	32	3	20	182	254
984	83	1467	1623	254	271
143	103	34	24	298	298
1	0	58	31	298	298
1	0	58	10	298	298
0	819	4	1123	298	257
572	80	751	745	298	298
150	136	58	62	244	269
99	109	23	29	238	298
18	7	0	3	297	298
599	1001	19	38	227	241
780	598	25	30	269	227
45727	72011	10178	11927	246	298
22203	121682	13909	18869	298	298
57199	121654	14957	18858	298	298
57204	28180	14973	9223	298	246
40	14	26	10	206	172
75	41	32	30	212	206
2	105	0	60	193	186
178	191	65	84	260	298
143	181	83	57	298	260
82	122	19	30	226	250
19	24	8	7	290	298
30	21	4	7	298	298
31	14	4	9	298	290
330	225	213	136	285	240
308	19	194	83	266	211
34	33	24	24	298	230
25	14	19	23	278	298
51	12	24	10	274	200
19	44	13	28	217	274
12	10	12	9	216	210
132	666	42	96	298	250
1	7	7	13	247	278
53	12	3	0	263	221
163	472	45	140	228	298
10	4	15	0	298	208
0	4	5	6	287	211
6	3	2	6	201	200
0	2	4	0	273	221
36	106	43	214	203	278
6	10	2	0	293	293
7	20	2	3	293	221
41	26	6	9	221	293
1	0	13	14	296	262
2	48	56	38	266	280
89	59	102	40	262	218
16	11	85	123	288	291
25	19	17	20	269	270
27	19	20	17	278	270
51	28	20	61	180	276
97	77	68	67	247	278
31	113	26	57	239	298
0	6	1	37	193	254
0	6	1	37	201	254
1	13	0	8	176	298
2	13	0	8	176	298
0	14	1	8	176	298
0	4	2	3	188	176
27	4	1	3	234	176
25	2	8	2	298	176
11	25	6	11	238	222
65	67	57	53	287	264
44	45	13	9	245	272
4	0	11	1	298	214
16	55	20	52	199	297
1	4	0	10	225	266
154	110	155	352	266	272
0	2	96	7	264	295
44	3	45	14	298	274
2	2	22	17	298	212
23	366	1	39	252	298
53	151	9	23	227	298
2	13	8	33	197	227
2	2	0	10	231	212
5	294	7	117	191	298
41	42	30	26	261	213
49	110	39	58	298	290
8	110	12	58	213	290
60	110	25	59	213	290
136	148	90	63	297	248
139	181	72	34	298	269
209	161	67	49	298	273
82	258	27	87	247	298
8	160	27	42	252	247
6	341	0	120	203	234
3	2	192	14	235	235
0	12	2	8	157	224
5	3	10	3	251	244
19	30	3	6	228	293
7	3	5	12	236	265
0	5	2	5	298	298
0	5	2	5	298	298
0	5	2	17	298	298
36	0	47	17	298	266
1	5	13	15	263	298
1	13	13	22	263	263
8	8	0	6	256	263
9	11	3	4	266	196
0	3	19	16	298	266
38	42	30	14	298	272
17	459	73	180	229	213
22	29	18	18	195	209
10	167	3	44	298	221
70	4	7	0	298	206
39	4	107	26	298	298
1	40	0	110	263	298
12	381	407	165	251	251
2	0	0	2	294	295
4	0	0	2	275	295
66	24	75	45	285	242
40	0	12	18	266	291
144	17	150	195	298	294
4	0	5	11	186	298
4	0	5	1	247	254
18	4	50	28	298	245
34	61	57	97	298	245
12	0	6	24	224	203
6	15	58	48	223	265
75	36	59	70	298	293
0	36	1	16	298	273
102	1388	48	296	272	298
1527	975	354	271	298	244
610	663	330	301	298	298
1	166	0	163	240	240
0	3	2	9	247	270
64	0	41	2	298	270
0	1	118	29	251	210
16	0	13	6	247	298
2	4	222	188	298	298
0	16	14	180	211	281
2	9	8	13	220	179
0	2	12	19	220	298
3	2	0	3	271	230
19	3	9	15	218	182
13	25	27	36	252	233
11	80	3	45	241	249
16	82	11	29	298	260
33	16	21	17	279	246
