ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
1	0	12	5	13	298	149	0.00486285759861	0.024562416737196984
2	1	0	30	1	298	149	0.245794794862	0.4350601219775834
11	64	0	33	1	298	149	0.286964710929	0.4814713596762802
14	0	4	6	54	298	149	0.0658459553904	0.16815837125513786
15	0	3	2	59	298	149	0.537583326297	0.7098091289352428
16	2	129	2	14	298	149	0.42803533529	0.6197248555891287
17	4	1	3	2	273	149	0.394642564818	0.5893660283973452
23	11	531	8	169	262	149	0.143736711599	0.3000072644494328
24	9	48	2	15	298	149	0.483283789931	0.6689057867002541
25	16	15	5	15	298	149	0.0448535606652	0.12775430106496374
36	0	7	1	16	298	149	0.32262970272	0.5145115491421027
55	2	0	3	7	235	149	0.000320996447278	0.00362545338072858
58	1	0	2	34	298	149	0.00216727862839	0.013898453783951792
62	2	2	26	67	298	149	0.85932233297	0.9507938790155768
64	85	321	174	336	298	149	0.00115242532919	0.008895496106084942
71	0	2	3	1	298	149	0.00240289052811	0.01521636259184221
81	2	0	0	14	298	149	6.74048827409e-06	0.0001776356960313213
87	5	1	24	7	298	149	0.608595429354	0.7704150777217789
88	7	4	26	11	298	149	0.633797822868	0.7915646337303073
89	2	0	10	5	298	149	0.00192414610002	0.012998749364277055
90	1	0	41	4	298	149	0.0156210818071	0.058388828703042836
91	7	3	5	3	298	149	0.70868298583	0.8454293141428761
99	9	0	309	8	226	149	0.0978326344557	0.22528273900699142
100	7	0	400	7	267	149	0.165613066793	0.3318621284661574
103	58	2	39	2	230	149	0.769419858976	0.8854946678731291
141	0	4	66	123	298	149	0.0031245738421	0.018237165892704472
148	51	11	26	2	298	149	0.0963248384025	0.22338800301522002
154	0	23	2	234	278	149	1	1.0
155	10	4	5	0	298	149	0.00108995032144	0.008539580746657538
191	0	4	3	15	298	149	0.0802636041739	0.19318057499050284
196	1	2	1	21	298	149	0.662326378212	0.8124163238152835
199	2	0	80	25	298	149	0.00637384527335	0.029855228578402428
200	2	130	66	3469	298	149	1	1.0
203	0	475	21	3308	298	149	1	1.0
206	0	2	69	2712	298	149	0.520578393625	0.7059194537253769
207	1	10	180	2996	298	149	0.474146609389	0.6608165084914001
208	2	0	78	2	298	149	0.283237093546	0.4782948718844751
209	0	27	70	3984	298	149	1	1.0
210	1	0	9	112	241	149	0.00400696825568	0.021457198159883752
217	0	2	10	1774	298	149	1	1.0
218	47	25	18	8	298	149	0.698770825507	0.8380487890507046
221	2	22	0	31	298	149	0.831543254557	0.9303157594936591
238	12	2	2	0	298	149	0.0377630711998	0.11208629438029373
240	0	3	2	158	255	149	1	1.0
246	3	30	8	141	288	149	0.876656869824	0.960457961329958
247	0	113	5	157	298	149	0.823280271416	0.9254365480932116
250	4	211	1	216	252	149	0.819005685404	0.9226190989719498
251	4	147	6	143	244	149	0.478366953572	0.6642146790150868
252	1	2	19	147	298	149	0.314987362713	0.506972257444921
255	1	0	2	40	247	149	0.00189434644744	0.012936939644400782
257	4	28	1	28	298	149	0.099651166061	0.22866305387260244
261	0	2	10	75	260	149	0.0437964185209	0.12542794283318123
269	0	4	2	58	224	149	0.615937882228	0.7755704318208746
270	0	4	4	40	225	149	0.0938046382244	0.21870983121310061
278	0	4	2	22	298	149	0.306120276441	0.49930208855637254
282	0	2	29	66	236	149	0.00818733928098	0.03602304870651225
287	4	0	12	10	298	149	0.000827364570287	0.007031251348139359
293	0	5	7	118	285	149	0.165162378333	0.3316013672269523
295	0	32	11	118	238	149	0.01226463964	0.048170537172036995
311	4	19	1	45	298	149	0.0213559634281	0.07272115571562242
320	2	0	7	10	298	149	0.00122849080477	0.009375095613884738
324	1	0	0	18	232	149	7.94573762967e-05	0.0012052575276633155
331	6	3	36	4	298	149	0.101414659317	0.2310837084349808
342	0	2	4	70	298	149	0.317124003092	0.5088797839227024
343	0	31	18	1343	233	149	1	1.0
357	0	2	4	25	289	149	0.0718071682374	0.17872968396693004
361	90	0	241	8	298	149	0.0119018977306	0.04720691380094666
365	5	94	18	363	298	149	0.864048932258	0.9510316357144636
367	0	1	14	52	243	149	0.0200140093407	0.0695293613447221
368	0	44	11	57	298	149	0.000620398377901	0.0057195030669389005
369	2	4	47	29	298	149	0.100081540209	0.2290462617590184
374	1	10	1	61	298	149	0.262020913889	0.4531457867958675
397	4	0	91	11	298	149	0.0118132367789	0.04698282737218003
399	2	5	6	12	298	149	0.735350630721	0.8612720757942276
400	4	5	7	13	298	149	0.668014879469	0.8170889922806474
409	9	19	34	201	240	149	0.0581318353964	0.15258144723260322
418	1	0	1	6	298	149	0.000162263900611	0.002095774835119302
420	1	6	0	3	298	149	0.221962935412	0.41041906342303897
423	0	2	2	0	298	149	1.45517215469e-05	0.00031119214357264017
425	0	4	2	0	270	149	7.79665447048e-06	0.00019773544623443126
440	1	11	0	23	298	149	0.272810732119	0.46642888039700586
453	0	2	2	21	298	149	0.29351928345	0.4883876342608737
463	5	0	1	45	298	149	6.57702659002e-09	5.0469006980477e-07
466	1	10	0	33	232	149	0.24171481174	0.43076089059403005
468	3	473	19	780	298	149	0.665630408612	0.8150108524702698
470	0	3	10	89	252	149	0.0487383977478	0.13527497842979808
477	0	5	27	1739	244	149	1	1.0
483	4	20	12	9	298	149	0.00346936721314	0.019621089125285818
491	0	2	2	93	232	149	0.616352992624	0.7757187446965826
492	1	0	0	64	242	149	0.000939540209057	0.0076791169151382245
499	0	2	2	32	298	149	0.533250187382	0.7094738839996032
517	0	5	5	552	246	149	1	1.0
523	20	241	14	193	265	149	0.70070307056	0.8388063969595954
526	13	2	12	0	298	149	0.0325098843425	0.10170058543115408
527	5	67	16	56	285	149	0.00760223185589	0.03425599812092747
528	13	15	4	19	298	149	0.0207173611708	0.07093385209267349
529	5	33	0	6	298	149	0.0468118801196	0.13132494110971654
530	2	0	25	32	298	149	0.00216640296076	0.013898453783951792
535	2	69	3	223	223	149	0.524380224668	0.7081304379703997
536	1	10	20	185	298	149	0.625681507397	0.78480915999941
537	1	0	16	2	298	149	0.0556131705743	0.1479049561960741
539	1	81	5	194	298	149	0.727289501311	0.8562718000543317
540	2	27	0	214	298	149	0.712121099504	0.8464327895962364
542	0	54	20	149	298	149	0.000731624645424	0.006383975584987344
543	10	111	21	166	298	149	0.378655501269	0.5723709170398731
546	2	19	23	160	298	149	0.426681179547	0.6184506652434016
550	0	10	4	8	298	149	0.00646659856012	0.03023540437876896
556	2	0	0	2	298	149	1.45517215469e-05	0.00031119214357264017
557	2	0	0	1	298	149	4.45915760166e-05	0.0007412564478202421
565	1	3	0	7	298	149	0.218572677588	0.40703505769242826
566	1	0	1	2	298	149	0.00084578088307	0.007095312938680483
568	2	8	2	11	298	149	0.839391347995	0.9374880252221555
569	0	3	4	24	234	149	0.0459445570662	0.12958848582239546
570	4	6	3	5	254	149	0.901114574055	0.974002804142387
571	2	2	5	2	298	149	0.392039806911	0.5861540253342332
572	2	0	5	3	298	149	0.00142754453185	0.010485471176142248
579	29	272	1	26	298	149	0.0729329766247	0.1801914166797749
581	29	0	57	1	298	149	0.307659428658	0.5007382715962083
582	1	7	5	14	298	149	0.23368628564	0.4243911898300724
590	9	32	2	24	225	149	0.0669412322975	0.17031239632923234
592	2	36	0	67	261	149	0.614760842982	0.7755704318208746
594	2	32	12	30	298	149	0.0037996391383	0.020638484861290874
611	8	0	279	2	264	149	0.684943116439	0.8305240165395137
612	34	6	305	51	298	149	0.896125413189	0.9716640655349223
615	1	123	21	217	255	149	0.000457107941992	0.004676841649635796
