IncLevel1	IncLevel2	IncLevelDifference
0.0	0.161	-0.161
1.0	0.938	0.062
1.0	0.943	0.057
0.0	0.053	-0.053
0.0	0.017	-0.017
0.008	0.067	-0.059
0.686	0.45	0.236
0.012	0.026	-0.014
0.086	0.062	0.024
0.348	0.143	0.205
0.0	0.03	-0.03
1.0	0.214	0.786
1.0	0.029	0.971
0.333	0.163	0.17
0.117	0.206	-0.089
0.0	0.6	-0.6
1.0	0.0	1.0
0.714	0.632	0.082
0.467	0.542	-0.075
1.0	0.5	0.5
1.0	0.837	0.163
0.538	0.455	0.083
1.0	0.962	0.038
1.0	0.97	0.03
0.949	0.927	0.022
0.0	0.212	-0.212
0.699	0.867	-0.168
0.0	0.005	-0.005
0.556	1.0	-0.444
0.0	0.091	-0.091
0.2	0.023	0.177
1.0	0.615	0.385
0.008	0.009	-0.001
0.0	0.003	-0.003
0.0	0.013	-0.013
0.048	0.029	0.019
1.0	0.951	0.049
0.0	0.009	-0.009
1.0	0.047	0.953
0.0	0.003	-0.003
0.485	0.529	-0.044
0.043	0.0	0.043
0.75	1.0	-0.25
0.0	0.007	-0.007
0.049	0.029	0.02
0.0	0.016	-0.016
0.011	0.003	0.008
0.016	0.025	-0.009
0.2	0.061	0.139
1.0	0.029	0.971
0.067	0.018	0.049
0.0	0.071	-0.071
0.0	0.022	-0.022
0.0	0.062	-0.062
0.0	0.043	-0.043
0.0	0.217	-0.217
1.0	0.375	0.625
0.0	0.03	-0.03
0.0	0.055	-0.055
0.095	0.011	0.084
1.0	0.259	0.741
1.0	0.0	1.0
0.5	0.818	-0.318
0.0	0.028	-0.028
0.0	0.008	-0.008
0.0	0.076	-0.076
1.0	0.938	0.062
0.026	0.024	0.002
0.0	0.142	-0.142
0.0	0.088	-0.088
0.2	0.448	-0.248
0.048	0.008	0.04
1.0	0.805	0.195
0.167	0.2	-0.033
0.286	0.212	0.074
0.227	0.095	0.132
1.0	0.077	0.923
0.077	0.0	0.077
0.0	1.0	-1.0
0.0	1.0	-1.0
0.043	0.0	0.043
0.0	0.045	-0.045
1.0	0.011	0.989
0.06	0.0	0.06
0.003	0.012	-0.009
0.0	0.062	-0.062
0.0	0.009	-0.009
0.091	0.4	-0.309
0.0	0.014	-0.014
1.0	0.0	1.0
0.0	0.03	-0.03
0.0	0.005	-0.005
0.045	0.039	0.006
0.765	1.0	-0.235
0.038	0.13	-0.092
0.302	0.095	0.207
0.07	0.0	0.07
1.0	0.281	0.719
0.019	0.009	0.01
0.048	0.051	-0.003
1.0	0.8	0.2
0.006	0.013	-0.007
0.036	0.0	0.036
0.0	0.063	-0.063
0.043	0.059	-0.016
0.05	0.067	-0.017
0.0	0.2	-0.2
1.0	0.0	1.0
1.0	0.0	1.0
0.143	0.0	0.143
1.0	0.2	0.8
0.111	0.083	0.028
0.0	0.096	-0.096
0.281	0.26	0.021
0.333	0.556	-0.223
1.0	0.455	0.545
0.051	0.019	0.032
1.0	0.966	0.034
0.067	0.152	-0.085
0.157	0.052	0.105
0.031	0.0	0.031
0.03	0.167	-0.137
1.0	0.987	0.013
0.739	0.749	-0.01
0.005	0.054	-0.049
0.047	0.043	0.004
0.148	0.167	-0.019
0.046	0.0	0.046
0.2	0.088	0.112
0.0	0.034	-0.034
0.0	0.091	-0.091
1.0	0.601	0.399
0.429	0.333	0.096
0.429	0.051	0.378
0.262	0.095	0.167
0.0	0.022	-0.022
0.0	0.029	-0.029
0.077	0.083	-0.006
0.038	0.077	-0.039
0.437	0.237	0.2
0.429	0.481	-0.052
0.966	0.915	0.051
0.929	0.913	0.016
1.0	0.833	0.167
0.094	0.137	-0.043
0.0	0.25	-0.25
0.0	0.042	-0.042
0.0	0.014	-0.014
0.0	0.019	-0.019
0.0	0.043	-0.043
0.0	0.016	-0.016
0.01	0.005	0.005
0.0	0.026	-0.026
1.0	0.959	0.041
0.002	0.002	0.0
0.0	0.011	-0.011
0.0	0.25	-0.25
0.333	0.212	0.121
1.0	0.04	0.96
0.353	0.018	0.335
0.0	0.024	-0.024
0.836	1.0	-0.164
1.0	0.992	0.008
0.172	0.147	0.025
0.059	0.023	0.036
1.0	0.357	0.643
0.667	0.933	-0.266
0.0	0.167	-0.167
0.041	0.049	-0.008
1.0	0.235	0.765
0.771	1.0	-0.229
0.2	0.167	0.033
1.0	0.5	0.5
1.0	0.333	0.667
0.091	0.153	-0.062
0.0	0.154	-0.154
0.055	0.093	-0.038
0.0	0.045	-0.045
1.0	0.0	1.0
1.0	0.818	0.182
0.004	0.022	-0.018
0.0	0.039	-0.039
1.0	0.019	0.981
1.0	0.15	0.85
1.0	0.2	0.8
0.6	0.067	0.533
0.0	0.222	-0.222
0.0	0.077	-0.077
0.912	0.976	-0.064
0.0	0.007	-0.007
0.556	1.0	-0.444
0.0	0.011	-0.011
0.046	0.042	0.004
0.705	0.652	0.053
0.024	0.034	-0.01
0.125	0.055	0.07
0.0	0.016	-0.016
0.2	0.0	0.2
0.0	0.018	-0.018
0.0	0.016	-0.016
0.021	0.0	0.021
0.073	0.046	0.027
0.05	0.045	0.005
0.02	0.016	0.004
0.075	0.085	-0.01
0.052	0.035	0.017
0.026	0.0	0.026
0.164	0.5	-0.336
0.085	0.015	0.07
1.0	0.983	0.017
0.5	1.0	-0.5
0.014	0.019	-0.005
0.152	0.028	0.124
0.103	0.1	0.003
0.4	0.1	0.3
0.111	0.029	0.082
0.068	0.099	-0.031
0.0	0.189	-0.189
0.125	0.053	0.072
0.273	0.027	0.246
0.636	0.333	0.303
0.067	0.0	0.067
0.0	0.016	-0.016
0.0	0.018	-0.018
0.0	0.097	-0.097
0.097	0.102	-0.005
