ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
1	0	12	5	13	298	149	0.00486285759861
2	1	0	30	1	298	149	0.245794794862
11	64	0	33	1	298	149	0.286964710929
14	0	4	6	54	298	149	0.0658459553904
15	0	3	2	59	298	149	0.537583326297
16	2	129	2	14	298	149	0.42803533529
17	4	1	3	2	273	149	0.394642564818
23	11	531	8	169	262	149	0.143736711599
24	9	48	2	15	298	149	0.483283789931
25	16	15	5	15	298	149	0.0448535606652
36	0	7	1	16	298	149	0.32262970272
55	2	0	3	7	235	149	0.000320996447278
58	1	0	2	34	298	149	0.00216727862839
62	2	2	26	67	298	149	0.85932233297
64	85	321	174	336	298	149	0.00115242532919
71	0	2	3	1	298	149	0.00240289052811
81	2	0	0	14	298	149	6.74048827409e-06
87	5	1	24	7	298	149	0.608595429354
88	7	4	26	11	298	149	0.633797822868
89	2	0	10	5	298	149	0.00192414610002
90	1	0	41	4	298	149	0.0156210818071
91	7	3	5	3	298	149	0.70868298583
99	9	0	309	8	226	149	0.0978326344557
100	7	0	400	7	267	149	0.165613066793
103	58	2	39	2	230	149	0.769419858976
141	0	4	66	123	298	149	0.0031245738421
148	51	11	26	2	298	149	0.0963248384025
154	0	23	2	234	278	149	1
155	10	4	5	0	298	149	0.00108995032144
191	0	4	3	15	298	149	0.0802636041739
196	1	2	1	21	298	149	0.662326378212
199	2	0	80	25	298	149	0.00637384527335
200	2	130	66	3469	298	149	1
203	0	475	21	3308	298	149	1
206	0	2	69	2712	298	149	0.520578393625
207	1	10	180	2996	298	149	0.474146609389
208	2	0	78	2	298	149	0.283237093546
209	0	27	70	3984	298	149	1
210	1	0	9	112	241	149	0.00400696825568
217	0	2	10	1774	298	149	1
218	47	25	18	8	298	149	0.698770825507
221	2	22	0	31	298	149	0.831543254557
238	12	2	2	0	298	149	0.0377630711998
240	0	3	2	158	255	149	1
246	3	30	8	141	288	149	0.876656869824
247	0	113	5	157	298	149	0.823280271416
250	4	211	1	216	252	149	0.819005685404
251	4	147	6	143	244	149	0.478366953572
252	1	2	19	147	298	149	0.314987362713
255	1	0	2	40	247	149	0.00189434644744
257	4	28	1	28	298	149	0.099651166061
261	0	2	10	75	260	149	0.0437964185209
269	0	4	2	58	224	149	0.615937882228
270	0	4	4	40	225	149	0.0938046382244
278	0	4	2	22	298	149	0.306120276441
282	0	2	29	66	236	149	0.00818733928098
287	4	0	12	10	298	149	0.000827364570287
293	0	5	7	118	285	149	0.165162378333
295	0	32	11	118	238	149	0.01226463964
311	4	19	1	45	298	149	0.0213559634281
320	2	0	7	10	298	149	0.00122849080477
324	1	0	0	18	232	149	7.94573762967e-05
331	6	3	36	4	298	149	0.101414659317
342	0	2	4	70	298	149	0.317124003092
343	0	31	18	1343	233	149	1
357	0	2	4	25	289	149	0.0718071682374
361	90	0	241	8	298	149	0.0119018977306
365	5	94	18	363	298	149	0.864048932258
367	0	1	14	52	243	149	0.0200140093407
368	0	44	11	57	298	149	0.000620398377901
369	2	4	47	29	298	149	0.100081540209
374	1	10	1	61	298	149	0.262020913889
397	4	0	91	11	298	149	0.0118132367789
399	2	5	6	12	298	149	0.735350630721
400	4	5	7	13	298	149	0.668014879469
409	9	19	34	201	240	149	0.0581318353964
418	1	0	1	6	298	149	0.000162263900611
420	1	6	0	3	298	149	0.221962935412
423	0	2	2	0	298	149	1.45517215469e-05
425	0	4	2	0	270	149	7.79665447048e-06
440	1	11	0	23	298	149	0.272810732119
453	0	2	2	21	298	149	0.29351928345
463	5	0	1	45	298	149	6.57702659002e-09
466	1	10	0	33	232	149	0.24171481174
468	3	473	19	780	298	149	0.665630408612
470	0	3	10	89	252	149	0.0487383977478
477	0	5	27	1739	244	149	1
483	4	20	12	9	298	149	0.00346936721314
491	0	2	2	93	232	149	0.616352992624
492	1	0	0	64	242	149	0.000939540209057
499	0	2	2	32	298	149	0.533250187382
517	0	5	5	552	246	149	1
523	20	241	14	193	265	149	0.70070307056
526	13	2	12	0	298	149	0.0325098843425
527	5	67	16	56	285	149	0.00760223185589
528	13	15	4	19	298	149	0.0207173611708
529	5	33	0	6	298	149	0.0468118801196
530	2	0	25	32	298	149	0.00216640296076
535	2	69	3	223	223	149	0.524380224668
536	1	10	20	185	298	149	0.625681507397
537	1	0	16	2	298	149	0.0556131705743
539	1	81	5	194	298	149	0.727289501311
540	2	27	0	214	298	149	0.712121099504
542	0	54	20	149	298	149	0.000731624645424
543	10	111	21	166	298	149	0.378655501269
546	2	19	23	160	298	149	0.426681179547
550	0	10	4	8	298	149	0.00646659856012
556	2	0	0	2	298	149	1.45517215469e-05
557	2	0	0	1	298	149	4.45915760166e-05
565	1	3	0	7	298	149	0.218572677588
566	1	0	1	2	298	149	0.00084578088307
568	2	8	2	11	298	149	0.839391347995
569	0	3	4	24	234	149	0.0459445570662
570	4	6	3	5	254	149	0.901114574055
571	2	2	5	2	298	149	0.392039806911
572	2	0	5	3	298	149	0.00142754453185
579	29	272	1	26	298	149	0.0729329766247
581	29	0	57	1	298	149	0.307659428658
582	1	7	5	14	298	149	0.23368628564
590	9	32	2	24	225	149	0.0669412322975
592	2	36	0	67	261	149	0.614760842982
594	2	32	12	30	298	149	0.0037996391383
611	8	0	279	2	264	149	0.684943116439
612	34	6	305	51	298	149	0.896125413189
615	1	123	21	217	255	149	0.000457107941992
623	480	4823	86	947	298	149	0.596760066822
624	9	26	2	5	298	149	0.741737915172
627	3	31	0	10	298	149	0.167868844616
632	4	8	5	26	298	149	0.315896491363
633	0	7	1	14	298	149	0.304594900953
634	0	2	5	25	298	149	0.0334325304568
637	1	0	5	2	247	149	0.0155705806565
638	3	2	2	2	298	149	0.717422835537
643	3	2	7	65	298	149	0.0344649712046
649	59	103	12	71	241	149	0.000442026186635
654	0	8	4	91	298	149	0.404410748697
655	0	4	7	116	298	149	0.177159371305
656	1	6	6	33	298	149	0.654079592658
658	2	25	1	6	298	149	0.564505876022
660	5	4	6	12	240	149	0.248983795527
665	6	4	65	35	298	149	0.668482907465
666	112	2	65	3	298	149	0.308569292545
667	130	5	21	1	298	149	0.686002014428
670	47	0	10	1	298	149	0.472705900998
675	31	150	14	44	298	149	0.335926193725
676	0	1	12	18	298	149	0.00880130141899
677	0	11	11	127	298	149	0.0561784776655
685	0	19	43	2009	224	149	0.379666322623
688	0	9	49	1576	244	149	0.239145044305
