ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	0,0,0,0,0	0,185,0,0,2	0,0,0,0,11,0,0,0,0,0,27,0,0,0,9,2	0,0,0,0,1153,0,0,0,4,0,3553,0,0,0,118,168	197	149	1	1.0	NA,0.0,NA,NA,0.0	NA,NA,NA,NA,0.007,NA,NA,NA,0.0,NA,0.006,NA,NA,NA,0.055,0.009	-0.015
2	0,9,0,0,0	0,78,0,0,0	0,0,0,0,39,0,0,0,0,0,73,0,0,0,0,0	0,0,0,0,385,0,0,0,0,0,993,0,0,0,8,7	442	149	1	1.0	NA,0.037,NA,NA,NA	NA,NA,NA,NA,0.033,NA,NA,NA,NA,NA,0.024,NA,NA,NA,0.0,0.0	0.023
5	0,192,0,0,0	0,979,0,0,6	0,0,0,0,47,0,0,0,0,0,114,0,0,0,0,14	0,0,0,0,148,0,0,0,0,0,672,0,0,0,0,38	152	149	1	1.0	NA,0.161,NA,NA,0.0	NA,NA,NA,NA,0.237,NA,NA,NA,NA,NA,0.143,NA,NA,NA,NA,0.265	-0.135
7	0,4,0,0,0	0,194,0,0,6	0,0,0,0,23,0,0,0,0,0,11,0,0,0,0,0	0,0,0,0,868,0,0,0,0,2,464,0,0,0,0,20	192	149	1	1.0	NA,0.016,NA,NA,0.0	NA,NA,NA,NA,0.02,NA,NA,NA,NA,0.0,0.018,NA,NA,NA,NA,0.0	-0.001
13	0,10,0,0,0	0,204,0,0,2	0,0,0,0,26,0,0,0,0,0,29,0,0,0,0,1	0,0,0,0,620,0,0,0,0,2,558,0,0,0,132,27	204	149	1	1.0	NA,0.035,NA,NA,0.0	NA,NA,NA,NA,0.03,NA,NA,NA,NA,0.0,0.037,NA,NA,NA,0.0,0.026	-0.001
14	0,29,0,0,0	0,489,0,0,0	0,0,0,0,18,0,0,0,0,0,24,0,0,0,0,12	0,0,0,0,1553,0,0,0,0,0,825,0,0,0,81,26	370	149	1	1.0	NA,0.023,NA,NA,NA	NA,NA,NA,NA,0.005,NA,NA,NA,NA,NA,0.012,NA,NA,NA,0.0,0.157	-0.02
17	0,176,0,0,4	0,0,0,0,0	0,0,0,0,659,0,0,0,0,2,510,0,0,0,36,67	0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0	2480	149	1	1.0	NA,1.0,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,0.885,NA,NA,NA,1.0,1.0	0.023
18	0,194,0,0,0	0,956,0,0,0	0,0,0,0,200,0,0,0,0,0,32,0,0,0,0,14	0,0,0,0,592,0,0,0,0,0,751,0,0,0,113,26	378	149	1	1.0	NA,0.074,NA,NA,NA	NA,NA,NA,NA,0.118,NA,NA,NA,NA,NA,0.017,NA,NA,NA,0.0,0.175	-0.004
20	0,5,0,0,0	0,67,0,0,0	0,0,0,0,5,0,0,0,0,0,8,0,0,0,8,0	0,0,0,0,16,0,0,0,0,0,78,0,0,0,60,3	374	149	1	1.0	NA,0.029,NA,NA,NA	NA,NA,NA,NA,0.111,NA,NA,NA,NA,NA,0.039,NA,NA,NA,0.05,0.0	-0.021
21	0,3,0,0,0	0,0,0,0,0	0,0,0,0,17,0,0,0,0,0,1,0,0,0,2,3	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0	198	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.201,NA,NA,NA,1.0,1.0	0.2
