IncLevel1	IncLevel2	IncLevelDifference
NA,0.918,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.825,NA,NA,NA,0.91,NA	0.006
NA,0.147,NA,NA,NA	NA,NA,NA,NA,0.076,NA,NA,NA,0.0,NA,0.076,NA,NA,NA,0.121,1.0	-0.108
NA,0.011,NA,NA,0.0	NA,NA,NA,NA,0.022,NA,NA,NA,NA,0.0,0.001,NA,NA,NA,NA,0.0	-0.0
NA,0.352,NA,NA,NA	NA,NA,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.358
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.001,NA,NA,NA,0.0,0.0	-0.0
NA,0.252,NA,NA,NA	NA,NA,NA,NA,0.233,NA,NA,NA,NA,NA,0.296,NA,NA,NA,1.0,0.441	-0.24
NA,0.577,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA	-0.423
NA,0.399,NA,NA,NA	NA,NA,NA,NA,0.274,NA,NA,NA,NA,NA,0.507,NA,NA,NA,0.0,1.0	-0.046
NA,0.157,1.0,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,0.0,1.0,0.079,NA,NA,NA,0.19,0.584	0.103
NA,0.045,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,0.076,0.145	-0.01
NA,0.007,NA,NA,0.0	NA,NA,NA,NA,0.004,NA,NA,NA,NA,0.54,0.006,NA,NA,NA,0.0,0.02	-0.111
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.159,NA,NA,NA,0.168,1.0	0.668
NA,0.002,0.0,NA,0.0	NA,NA,NA,NA,0.002,NA,NA,NA,NA,0.0,0.001,NA,NA,NA,0.011,0.003	-0.003
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.739,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0	0.087
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,0.0,0.009,NA,NA,NA,0.0,0.0	-0.002
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0
NA,0.782,NA,NA,NA	NA,NA,NA,NA,0.721,NA,NA,NA,NA,NA,0.565,NA,NA,NA,0.49,0.692	0.165
NA,0.868,NA,NA,NA	NA,NA,NA,NA,1.0,1.0,NA,1.0,NA,NA,0.884,NA,NA,NA,0.91,0.904	-0.082
NA,0.426,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.422,NA,NA,NA,0.722,0.426	-0.217
NA,0.1,NA,NA,NA	NA,NA,NA,NA,0.374,0.0,NA,0.0,NA,NA,0.056,NA,NA,NA,0.202,0.072	-0.017
NA,0.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502,NA,NA,NA,NA,NA	-0.502
NA,0.272,NA,NA,NA	NA,NA,NA,NA,0.636,NA,NA,NA,NA,NA,0.169,NA,NA,NA,0.0,0.0	0.071
NA,0.903,NA,NA,NA	NA,NA,NA,NA,0.923,NA,NA,NA,NA,NA,0.41,NA,NA,NA,0.264,0.729	0.322
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.924,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,1.0,1.0	0.015
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.92,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,1.0,1.0	0.016
NA,0.138,NA,NA,NA	NA,NA,NA,NA,0.112,NA,NA,NA,NA,NA,0.073,NA,NA,NA,0.111,0.206	0.013
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.007,NA,NA,NA,0.0,0.0	-0.002
NA,0.762,NA,NA,NA	NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0	-0.238
NA,0.176,NA,NA,NA	NA,NA,NA,NA,0.121,NA,NA,NA,NA,0.0,0.022,NA,NA,NA,0.246,0.271	0.044
NA,0.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019,NA,NA,NA,0.018,0.0	-0.012
