ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	0,30,0,0,0	0,60,0,0,0	0,0,0,0,94,0,0,0,0,0,61,0,0,0,53,4	0,0,0,0,101,0,0,0,0,0,176,0,0,0,35,9	372	149	1	1.0	NA,0.167,NA,NA,NA	NA,NA,NA,NA,0.272,NA,NA,NA,NA,NA,0.122,NA,NA,NA,0.378,0.151	-0.064
2	0,12240,2,0,0	0,86,0,0,0	0,0,0,0,2534,0,0,4,2,2,2896,0,0,0,424,73	0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1	2403	149	1	1.0	NA,0.898,1.0,NA,NA	NA,NA,NA,NA,0.844,NA,NA,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,0.819	-0.003
11	0,26,2,0,0	0,5,0,0,0	0,0,0,0,0,0,10,0,0,2,0,0,0,0,198,103	0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4	620	149	1	1.0	NA,0.555,1.0,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,NA,0.737,0.861	-0.122
13	0,58,0,0,0	0,141,0,0,4	0,0,0,0,313,0,0,0,0,0,67,0,0,0,19,31	0,0,0,0,359,0,0,0,0,0,599,0,0,0,36,23	2371	149	1	1.0	NA,0.025,NA,NA,0.0	NA,NA,NA,NA,0.052,NA,NA,NA,NA,NA,0.007,NA,NA,NA,0.032,0.078	-0.03
14	0,184,0,0,0	0,169,0,0,0	0,0,0,0,438,0,0,0,2,0,66,0,0,0,16,29	0,0,0,0,238,2,0,0,0,0,611,0,0,0,84,12	817	149	1	1.0	NA,0.166,NA,NA,NA	NA,NA,NA,NA,0.251,0.0,NA,NA,1.0,NA,0.019,NA,NA,NA,0.034,0.306	-0.102
15	0,73,0,0,0	0,197,0,0,0	0,0,0,0,396,0,0,0,0,0,50,0,0,0,10,9	0,0,0,0,326,2,0,0,0,0,529,0,0,0,49,24	1730	149	1	1.0	NA,0.031,NA,NA,NA	NA,NA,NA,NA,0.095,0.0,NA,NA,NA,NA,0.008,NA,NA,NA,0.017,0.031	0.001
17	0,17,0,0,0	0,20,0,0,0	0,0,0,0,20,0,2,0,0,0,19,0,0,0,10,2	0,0,0,0,28,0,0,0,0,0,8,0,0,0,12,0	273	149	1	1.0	NA,0.317,NA,NA,NA	NA,NA,NA,NA,0.28,NA,1.0,NA,NA,NA,0.565,NA,NA,NA,0.313,1.0	-0.315
18	0,31,0,0,0	0,0,0,0,0	0,0,0,0,43,0,0,0,0,0,4,0,0,0,53,2	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	989	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.232,NA,NA,NA,1.0,1.0	0.192
23	0,0,0,0,0	0,203,0,0,0	0,0,0,0,0,0,0,0,0,0,4,0,0,0,29,5	0,0,0,0,602,2,0,2,0,0,846,0,0,0,625,32	262	149	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,0.0,NA,0.0,NA,NA,0.003,NA,NA,NA,0.026,0.082	-0.018
24	0,51,2,0,0	0,158,0,0,0	0,0,0,0,31,6,12,0,0,0,12,0,0,0,65,38	0,0,0,0,274,0,0,0,0,0,251,0,0,0,15,65	1121	149	1	1.0	NA,0.041,1.0,NA,NA	NA,NA,NA,NA,0.015,1.0,1.0,NA,NA,NA,0.006,NA,NA,NA,0.365,0.072	0.111
25	0,87,2,0,0	0,62,0,0,0	0,0,0,0,85,2,0,0,0,0,16,0,0,0,10,6	0,0,0,0,161,0,0,0,2,0,187,0,0,0,70,16	363	149	1	1.0	NA,0.365,1.0,NA,NA	NA,NA,NA,NA,0.178,1.0,NA,NA,0.0,NA,0.034,NA,NA,NA,0.055,0.133	0.449
36	0,0,0,0,0	0,39,0,0,0	0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3	0,0,0,0,78,0,0,0,0,0,111,0,0,0,43,8	1432	149	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.003,NA,NA,NA,0.019,0.038	-0.015
