IncLevel1	IncLevel2	IncLevelDifference
NA,0.167,NA,NA,NA	NA,NA,NA,NA,0.272,NA,NA,NA,NA,NA,0.122,NA,NA,NA,0.378,0.151	-0.064
NA,0.898,1.0,NA,NA	NA,NA,NA,NA,0.844,NA,NA,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,0.819	-0.003
NA,0.555,1.0,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,NA,0.737,0.861	-0.122
NA,0.025,NA,NA,0.0	NA,NA,NA,NA,0.052,NA,NA,NA,NA,NA,0.007,NA,NA,NA,0.032,0.078	-0.03
NA,0.166,NA,NA,NA	NA,NA,NA,NA,0.251,0.0,NA,NA,1.0,NA,0.019,NA,NA,NA,0.034,0.306	-0.102
NA,0.031,NA,NA,NA	NA,NA,NA,NA,0.095,0.0,NA,NA,NA,NA,0.008,NA,NA,NA,0.017,0.031	0.001
NA,0.317,NA,NA,NA	NA,NA,NA,NA,0.28,NA,1.0,NA,NA,NA,0.565,NA,NA,NA,0.313,1.0	-0.315
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.232,NA,NA,NA,1.0,1.0	0.192
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,0.0,NA,0.0,NA,NA,0.003,NA,NA,NA,0.026,0.082	-0.018
NA,0.041,1.0,NA,NA	NA,NA,NA,NA,0.015,1.0,1.0,NA,NA,NA,0.006,NA,NA,NA,0.365,0.072	0.111
NA,0.365,1.0,NA,NA	NA,NA,NA,NA,0.178,1.0,NA,NA,0.0,NA,0.034,NA,NA,NA,0.055,0.133	0.449
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.003,NA,NA,NA,0.019,0.038	-0.015
NA,0.004,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.0	0.004
NA,0.582,NA,NA,1.0	NA,NA,NA,NA,0.779,NA,NA,1.0,NA,1.0,0.487,NA,NA,NA,NA,1.0	-0.062
NA,0.047,NA,NA,NA	NA,NA,NA,NA,0.017,NA,NA,0.0,NA,NA,0.006,NA,NA,NA,0.0,0.13	0.016
NA,0.024,NA,NA,NA	NA,NA,NA,NA,0.076,NA,NA,NA,NA,NA,0.016,NA,NA,NA,0.071,0.0	-0.017
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.044,NA,NA,NA,0.0,0.222	-0.067
NA,0.636,NA,NA,NA	NA,NA,NA,NA,0.201,NA,NA,NA,NA,NA,0.181,NA,NA,NA,0.0,NA	0.509
NA,0.136,NA,NA,NA	NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,0.232,NA,NA,NA,0.0,0.365	-0.108
NA,0.094,NA,NA,NA	NA,NA,NA,NA,0.385,NA,NA,NA,NA,NA,0.045,NA,NA,NA,0.0,0.542	-0.149
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.952,NA,NA,NA,NA,NA,0.928,NA,NA,NA,0.749,1.0	0.093
