ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
1	0,30,0,0,0	0,60,0,0,0	0,0,0,0,94,0,0,0,0,0,61,0,0,0,53,4	0,0,0,0,101,0,0,0,0,0,176,0,0,0,35,9	372	149	1
2	0,12240,2,0,0	0,86,0,0,0	0,0,0,0,2534,0,0,4,2,2,2896,0,0,0,424,73	0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1	2403	149	1
11	0,26,2,0,0	0,5,0,0,0	0,0,0,0,0,0,10,0,0,2,0,0,0,0,198,103	0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4	620	149	1
13	0,58,0,0,0	0,141,0,0,4	0,0,0,0,313,0,0,0,0,0,67,0,0,0,19,31	0,0,0,0,359,0,0,0,0,0,599,0,0,0,36,23	2371	149	1
14	0,184,0,0,0	0,169,0,0,0	0,0,0,0,438,0,0,0,2,0,66,0,0,0,16,29	0,0,0,0,238,2,0,0,0,0,611,0,0,0,84,12	817	149	1
15	0,73,0,0,0	0,197,0,0,0	0,0,0,0,396,0,0,0,0,0,50,0,0,0,10,9	0,0,0,0,326,2,0,0,0,0,529,0,0,0,49,24	1730	149	1
17	0,17,0,0,0	0,20,0,0,0	0,0,0,0,20,0,2,0,0,0,19,0,0,0,10,2	0,0,0,0,28,0,0,0,0,0,8,0,0,0,12,0	273	149	1
18	0,31,0,0,0	0,0,0,0,0	0,0,0,0,43,0,0,0,0,0,4,0,0,0,53,2	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	989	149	1
23	0,0,0,0,0	0,203,0,0,0	0,0,0,0,0,0,0,0,0,0,4,0,0,0,29,5	0,0,0,0,602,2,0,2,0,0,846,0,0,0,625,32	262	149	1
24	0,51,2,0,0	0,158,0,0,0	0,0,0,0,31,6,12,0,0,0,12,0,0,0,65,38	0,0,0,0,274,0,0,0,0,0,251,0,0,0,15,65	1121	149	1
25	0,87,2,0,0	0,62,0,0,0	0,0,0,0,85,2,0,0,0,0,16,0,0,0,10,6	0,0,0,0,161,0,0,0,2,0,187,0,0,0,70,16	363	149	1
36	0,0,0,0,0	0,39,0,0,0	0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3	0,0,0,0,78,0,0,0,0,0,111,0,0,0,43,8	1432	149	1
37	0,1,0,0,0	0,29,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,48,0,0,0,0,0,107,0,0,0,2,15	1223	149	1
40	0,124,0,0,2	0,44,0,0,0	0,0,0,0,616,0,0,2,0,2,386,0,0,0,0,22	0,0,0,0,86,0,0,0,0,0,201,0,0,0,0,0	302	149	1
41	0,18,0,0,0	0,253,0,0,0	0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,5	0,0,0,0,272,0,0,2,0,0,230,0,0,0,8,23	217	149	1
42	0,11,0,0,0	0,313,0,0,0	0,0,0,0,23,0,0,0,0,0,9,0,0,0,2,0	0,0,0,0,191,0,0,0,0,0,378,0,0,0,18,23	217	149	1
43	0,0,0,0,0	0,4,0,0,0	0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7	0,0,0,0,97,0,0,0,0,0,79,0,0,0,3,15	244	149	1
45	0,28,0,0,0	0,5,0,0,0	0,0,0,0,54,0,0,0,0,0,17,0,0,0,0,0	0,0,0,0,67,0,0,0,0,0,24,0,0,0,5,0	477	149	1
46	0,50,0,0,0	0,215,0,0,0	0,0,0,0,114,0,0,0,0,0,37,0,0,0,0,17	0,0,0,0,126,0,0,0,0,0,83,0,0,0,1,20	220	149	1
47	0,23,0,0,0	0,98,0,0,0	0,0,0,0,137,0,0,0,0,0,16,0,0,0,0,8	0,0,0,0,97,0,0,0,0,0,149,0,0,0,2,3	336	149	1
48	0,271,0,0,0	0,0,0,0,0	0,0,0,0,393,0,0,0,0,0,141,0,0,0,13,20	0,0,0,0,9,0,0,0,0,0,5,0,0,0,2,0	325	149	1
