IncLevel1	IncLevel2	IncLevelDifference
NA,0.0,NA,NA,0.0	NA,NA,NA,NA,0.007,NA,NA,NA,0.0,NA,0.006,NA,NA,NA,0.055,0.009	-0.015
NA,0.043,NA,NA,NA	NA,NA,NA,NA,0.048,NA,NA,NA,NA,NA,0.018,NA,NA,NA,0.0,0.0	0.026
NA,0.161,NA,NA,0.0	NA,NA,NA,NA,0.237,NA,NA,NA,NA,NA,0.143,NA,NA,NA,NA,0.265	-0.135
NA,0.016,NA,NA,0.0	NA,NA,NA,NA,0.02,NA,NA,NA,NA,0.0,0.018,NA,NA,NA,NA,0.0	-0.001
NA,0.035,NA,NA,0.0	NA,NA,NA,NA,0.03,NA,NA,NA,NA,0.0,0.037,NA,NA,NA,0.0,0.026	-0.001
NA,0.029,NA,NA,NA	NA,NA,NA,NA,0.006,NA,NA,NA,NA,NA,0.014,NA,NA,NA,0.0,0.188	-0.023
NA,1.0,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,0.983,NA,NA,NA,1.0,1.0	0.003
NA,0.085,NA,NA,NA	NA,NA,NA,NA,0.102,NA,NA,NA,NA,NA,0.017,NA,NA,NA,0.0,0.161	0.015
NA,0.022,NA,NA,NA	NA,NA,NA,NA,0.135,NA,NA,NA,NA,NA,0.049,NA,NA,NA,0.062,0.0	-0.04
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.201,NA,NA,NA,1.0,1.0	0.2
NA,0.311,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,0.231,1.0	-0.497
NA,0.334,NA,NA,NA	NA,NA,NA,NA,0.734,NA,NA,NA,NA,NA,0.186,NA,NA,NA,0.248,0.509	-0.085
NA,0.013,NA,NA,0.0	NA,NA,NA,NA,0.006,NA,NA,0.0,0.0,0.0,0.009,NA,NA,NA,0.004,0.0	0.004
NA,0.845,NA,NA,NA	NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,0.792,NA,NA,NA,1.0,NA	0.091
NA,0.188,NA,NA,NA	NA,NA,NA,NA,0.192,NA,NA,NA,NA,NA,0.129,NA,NA,NA,NA,0.231	0.004
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,1.0,0.794	0.041
NA,0.932,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.909	-0.045
NA,0.178,NA,NA,NA	NA,NA,NA,NA,0.113,NA,NA,NA,NA,NA,0.187,NA,NA,NA,0.329,0.087	-0.001
NA,0.551,NA,NA,NA	NA,NA,NA,NA,0.195,NA,NA,NA,NA,NA,0.284,NA,NA,NA,0.782,0.44	0.126
NA,0.111,NA,NA,NA	NA,NA,NA,NA,0.174,NA,NA,NA,NA,NA,0.012,NA,NA,NA,0.103,0.102	0.013
NA,0.072,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.062,NA,NA,NA,0.0,0.089	0.034
NA,0.008,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.025,NA,NA,NA,0.0,0.024	-0.004
NA,0.982,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0	-0.018
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.297,NA,NA,NA,NA,NA	0.352
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.952,NA,NA,NA,1.0,0.565	0.121
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.764	0.059
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.993,NA,NA,NA,1.0,1.0	0.002
NA,0.495,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.495,NA,NA,NA,0.329,0.211	-0.014
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.168,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA	-0.084
NA,0.0,0.0,NA,NA	NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,0.0,NA,NA,NA,0.167,0.166	-0.067
NA,0.089,NA,NA,0.0	NA,NA,NA,NA,0.027,NA,NA,NA,NA,NA,0.021,NA,NA,NA,0.0,0.117	0.003
NA,0.818,NA,NA,NA	NA,NA,NA,NA,0.333,NA,NA,NA,NA,NA,0.686,NA,NA,NA,0.064,0.45	0.435
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.879,NA,NA,NA,NA,NA,0.941,NA,NA,NA,0.859,0.965	0.089
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.042,NA,NA,NA,0.017,0.0	-0.015
NA,0.879,NA,NA,0.0	NA,NA,NA,NA,0.695,NA,NA,NA,NA,NA,0.712,NA,NA,NA,0.209,1.0	-0.215
NA,0.583,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.748,NA,NA,NA,1.0,0.714	-0.283
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.99,NA,NA,NA,1.0,1.0	0.002
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.003,NA,NA,NA,0.0,0.0	-0.001
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.932,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0	0.017
NA,0.058,NA,NA,NA	NA,NA,NA,NA,0.084,NA,NA,NA,NA,NA,0.023,NA,NA,NA,0.0,0.0	0.031
NA,1.0,NA,NA,1.0	NA,NA,NA,NA,0.978,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0	0.006
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.781,NA,NA,NA,NA,NA,0.966,NA,NA,NA,NA,1.0	0.084
NA,0.145,NA,NA,NA	NA,NA,NA,NA,0.017,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA,0.0	0.141
