ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	0,68,0,0,0	0,5,0,0,0	0,0,0,0,40,0,0,0,0,0,104,0,0,0,37,0	0,0,0,0,0,0,0,0,0,0,18,0,0,0,3,0	182	149	1	1.0	NA,0.918,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.825,NA,NA,NA,0.91,NA	0.006
2	0,5,0,0,0	0,24,0,0,0	0,0,0,0,7,0,0,0,0,0,5,0,0,0,4,2	0,0,0,0,70,0,0,0,2,0,50,0,0,0,24,0	180	149	1	1.0	NA,0.147,NA,NA,NA	NA,NA,NA,NA,0.076,NA,NA,NA,0.0,NA,0.076,NA,NA,NA,0.121,1.0	-0.108
5	0,4,0,0,0	0,194,0,0,6	0,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,868,0,0,0,0,2,464,0,0,0,0,20	274	149	1	1.0	NA,0.011,NA,NA,0.0	NA,NA,NA,NA,0.022,NA,NA,NA,NA,0.0,0.001,NA,NA,NA,NA,0.0	-0.0
6	0,4,0,0,0	0,4,0,0,0	0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0	274	149	1	1.0	NA,0.352,NA,NA,NA	NA,NA,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.358
8	0,0,0,0,0	0,275,0,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,1189,0,0,0,0,0,847,0,0,0,61,80	263	149	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.001,NA,NA,NA,0.0,0.0	-0.0
9	0,4,0,0,0	0,5,0,0,0	0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,15	0,0,0,0,18,0,0,0,0,0,2,0,0,0,0,8	298	149	1	1.0	NA,0.286,NA,NA,NA	NA,NA,NA,NA,0.265,NA,NA,NA,NA,NA,0.0,NA,NA,NA,1.0,0.484	-0.151
11	0,15,0,0,0	0,6,0,0,0	0,0,0,0,251,0,0,0,0,0,170,0,0,0,18,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	273	149	1	1.0	NA,0.577,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA	-0.423
13	0,10,0,0,0	0,8,0,0,0	0,0,0,0,22,0,0,0,0,0,29,0,0,0,0,2	0,0,0,0,31,0,0,0,0,0,15,0,0,0,2,0	280	149	1	1.0	NA,0.399,NA,NA,NA	NA,NA,NA,NA,0.274,NA,NA,NA,NA,NA,0.507,NA,NA,NA,0.0,1.0	-0.046
15	0,4,2,0,0	0,32,0,0,0	0,0,0,0,0,0,4,0,0,2,2,0,0,0,117,28	0,0,0,0,0,0,0,0,4,0,8,0,0,0,190,22	298	149	1	1.0	NA,0.059,1.0,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,0.0,1.0,0.111,NA,NA,NA,0.235,0.389	0.074
16	0,2,0,0,0	0,32,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5	0,0,0,0,0,0,0,0,4,0,8,0,0,0,190,22	199	149	1	1.0	NA,0.045,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,0.076,0.145	-0.01
