ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	0,68,0,0,0	0,5,0,0,0	0,0,0,0,40,0,0,0,0,0,104,0,0,0,37,0	0,0,0,0,0,0,0,0,0,0,18,0,0,0,3,0	182	149	1	1.0
2	0,5,0,0,0	0,24,0,0,0	0,0,0,0,7,0,0,0,0,0,5,0,0,0,4,2	0,0,0,0,70,0,0,0,2,0,50,0,0,0,24,0	180	149	1	1.0
5	0,4,0,0,0	0,194,0,0,6	0,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,868,0,0,0,0,2,464,0,0,0,0,20	274	149	1	1.0
6	0,4,0,0,0	0,4,0,0,0	0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0	274	149	1	1.0
8	0,0,0,0,0	0,275,0,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,1189,0,0,0,0,0,847,0,0,0,61,80	263	149	1	1.0
9	0,4,0,0,0	0,5,0,0,0	0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,15	0,0,0,0,18,0,0,0,0,0,2,0,0,0,0,8	298	149	1	1.0
11	0,15,0,0,0	0,6,0,0,0	0,0,0,0,251,0,0,0,0,0,170,0,0,0,18,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	273	149	1	1.0
13	0,10,0,0,0	0,8,0,0,0	0,0,0,0,22,0,0,0,0,0,29,0,0,0,0,2	0,0,0,0,31,0,0,0,0,0,15,0,0,0,2,0	280	149	1	1.0
15	0,4,2,0,0	0,32,0,0,0	0,0,0,0,0,0,4,0,0,2,2,0,0,0,117,28	0,0,0,0,0,0,0,0,4,0,8,0,0,0,190,22	298	149	1	1.0
16	0,2,0,0,0	0,32,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5	0,0,0,0,0,0,0,0,4,0,8,0,0,0,190,22	199	149	1	1.0
17	0,16,0,0,0	0,1419,0,0,2	0,0,0,0,6,0,0,0,0,4,18,0,0,0,0,8	0,0,0,0,981,0,0,0,0,2,1618,0,0,0,249,227	254	149	1	1.0
19	0,10,0,0,0	0,1930,2,0,4	0,0,0,0,9,0,0,0,0,0,13,0,0,0,7,2	0,0,0,0,2411,0,0,0,0,2,3314,0,0,0,617,85	298	149	1	1.0
20	0,8,0,0,0	0,0,0,0,0	0,0,0,0,10,0,0,0,0,0,16,0,0,0,0,0	0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0	298	149	1	1.0
21	0,0,0,0,0	0,20,0,0,0	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0	0,0,0,0,241,0,0,0,0,2,321,0,0,0,98,2	153	149	1	1.0
22	0,4,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0	161	149	1	1.0
23	0,36,0,0,0	0,9,0,0,0	0,0,0,0,124,0,0,0,0,0,39,0,0,0,15,15	0,0,0,0,43,0,0,0,0,0,27,0,0,0,14,6	166	149	1	1.0
24	0,21,0,0,0	0,3,0,0,0	0,0,0,0,61,4,0,2,0,0,560,0,0,0,43,50	0,0,0,0,0,0,0,0,0,0,69,0,0,0,4,5	158	149	1	1.0
25	0,3,0,0,0	0,3,0,0,0	0,0,0,0,47,0,0,0,0,0,68,0,0,0,14,5	0,0,0,0,0,0,0,0,0,0,69,0,0,0,4,5	201	149	1	1.0
26	0,3,0,0,0	0,21,0,0,0	0,0,0,0,47,0,0,0,0,0,41,0,0,0,14,5	0,0,0,0,61,4,0,2,0,0,533,0,0,0,43,50	192	149	1	1.0
27	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0	192	149	1	1.0
51	0,20,0,0,0	0,27,0,0,0	0,0,0,0,80,0,0,0,0,0,30,0,0,0,0,0	0,0,0,0,23,0,0,0,0,0,74,0,0,0,17,7	296	149	1	1.0
52	0,26,0,0,0	0,2,0,0,0	0,0,0,0,117,0,0,0,0,0,34,0,0,0,2,15	0,0,0,0,7,0,0,0,0,0,35,0,0,0,4,4	208	149	1	1.0
53	0,94,0,0,0	0,0,0,0,0	0,0,0,0,216,0,0,0,0,0,101,0,0,0,17,16	0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0	298	149	1	1.0
54	0,96,0,0,0	0,0,0,0,0	0,0,0,0,214,0,0,0,0,0,131,0,0,0,19,20	0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0	298	149	1	1.0
60	0,42,0,0,0	0,192,0,0,0	0,0,0,0,29,0,0,0,0,0,42,0,0,0,28,11	0,0,0,0,168,0,0,0,0,0,391,0,0,0,163,31	204	149	1	1.0
63	0,0,0,0,0	0,32,0,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,152,0,0,0,0,0,132,0,0,0,25,1	159	149	1	1.0
64	0,22,0,0,0	0,6,0,0,0	0,0,0,0,68,2,0,0,0,0,109,0,0,0,27,9	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	171	149	1	1.0
65	0,68,0,0,0	0,178,0,0,0	0,0,0,0,69,0,0,0,0,0,19,0,0,0,14,14	0,0,0,0,279,0,0,0,0,2,482,0,0,0,24,21	267	149	1	1.0
68	0,0,0,0,0	0,4,0,0,0	0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,175,0,0,0,38,11	215	149	1	1.0
69	0,11,0,0,0	0,5,0,0,0	0,0,0,0,117,0,0,0,0,0,51,0,0,0,7,8	0,0,0,0,24,0,0,0,0,0,5,0,0,0,0,0	155	149	1	1.0
70	0,0,0,0,0	0,181,4,0,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,1176,0,4,5,2,2,756,0,0,0,894,105	220	149	1	1.0
72	0,2,0,0,0	0,25,0,0,0	0,0,0,0,66,0,0,0,0,0,2,0,0,0,1,1	0,0,0,0,88,0,0,0,0,0,89,0,0,0,8,12	200	149	1	1.0
73	0,10,0,0,0	0,103,0,0,0	0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0	0,0,0,0,337,0,0,0,0,0,117,0,0,0,2,0	153	149	1	1.0
78	0,0,0,0,0	0,4,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3	0,0,0,0,33,0,0,2,0,0,18,0,0,0,16,1	298	149	1	1.0
79	0,3,0,0,0	0,0,0,0,0	0,0,0,0,25,0,0,2,0,0,13,0,0,0,17,0	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	153	149	1	1.0
81	0,19,0,0,0	0,0,0,0,0	0,0,0,0,49,0,0,0,0,0,45,0,0,0,40,5	0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0	273	149	1	1.0
82	0,0,0,0,0	0,58,0,0,0	0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0	0,0,0,0,25,0,0,0,0,0,33,0,0,0,17,4	177	149	1	1.0
83	0,0,0,0,0	0,20,0,0,0	0,0,0,0,8,0,0,0,0,0,13,0,0,0,16,5	0,0,0,0,96,0,0,0,0,0,57,0,0,0,74,3	298	149	1	1.0
84	0,0,0,0,0	0,20,0,0,0	0,0,0,0,0,0,0,0,0,0,13,0,0,0,16,5	0,0,0,0,96,0,0,0,0,0,57,0,0,0,74,3	298	149	1	1.0
87	0,125,0,0,0	0,0,0,0,0	0,0,0,0,295,0,0,0,0,0,572,0,0,0,55,18	0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0	230	149	1	1.0
90	0,0,0,0,0	0,11,0,0,0	0,0,0,0,2,0,0,0,0,0,5,0,0,0,1,2	0,0,0,0,39,0,0,0,0,0,75,0,0,0,0,13	196	149	1	1.0
91	0,11,0,0,0	0,77,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,18,0,0,0,0,2,75,0,0,0,34,0	164	149	1	1.0
92	0,115,0,0,0	0,26,0,0,0	0,0,0,0,501,0,0,0,0,0,593,0,0,0,191,12	0,0,0,0,40,0,0,0,0,0,17,0,0,0,7,0	298	149	1	1.0
93	0,177,0,0,0	0,5,0,0,0	0,0,0,0,349,0,0,4,4,0,138,0,0,0,111,22	0,0,0,0,14,0,0,0,0,0,5,0,0,0,0,0	204	149	1	1.0
94	0,9,0,0,0	0,57,0,0,0	0,0,0,0,90,0,0,0,0,0,11,0,0,0,23,10	0,0,0,0,64,0,0,0,4,0,22,0,0,0,39,4	154	149	1	1.0
95	0,22,0,0,0	0,4,0,0,0	0,0,0,0,12,0,0,2,0,0,15,0,0,0,3,2	0,0,0,0,18,0,0,0,0,0,10,0,0,0,6,2	154	149	1	1.0
101	0,7,0,0,0	0,13,0,0,0	0,0,0,0,0,0,0,0,0,0,15,0,0,0,25,0	0,0,0,0,12,0,0,0,0,0,20,0,0,0,13,1	240	149	1	1.0
104	0,22,0,0,2	0,0,0,0,0	0,0,0,0,98,0,0,0,0,0,88,0,0,0,34,29	0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0	236	149	1	1.0
106	0,2,0,0,0	0,13,0,0,0	0,0,0,0,49,0,0,0,0,0,2,0,0,0,0,2	0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1	153	149	1	1.0
107	0,2,0,0,0	0,0,0,0,0	0,0,0,0,19,0,0,0,0,0,2,0,0,0,5,3	0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4	156	149	1	1.0
109	0,20,0,0,0	0,0,0,0,0	0,0,0,0,103,0,0,0,0,0,20,0,0,0,24,16	0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0	298	149	1	1.0
111	0,123,0,0,0	0,79,0,0,0	0,0,0,0,39,0,0,0,0,0,86,0,0,0,0,3	0,0,0,0,22,0,0,0,0,0,53,0,0,0,0,1	208	149	1	1.0
112	0,16,0,0,0	0,36,0,0,0	0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10	0,0,0,0,58,0,0,0,0,0,0,0,0,0,5,0	159	149	1	1.0
116	0,43,0,0,0	0,0,0,0,0	0,0,0,0,58,0,0,0,0,0,15,0,0,0,0,2	0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0	208	149	1	1.0
117	0,4,0,0,0	0,47,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,35,0,0,0,0,0,1,0,0,0,0,4	165	149	1	1.0
120	0,34,0,0,0	0,0,0,0,0	0,0,0,0,32,0,0,0,0,0,16,0,0,0,12,28	0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4	211	149	1	1.0
124	0,68,0,0,0	0,3,0,0,0	0,0,0,0,340,0,0,0,0,0,84,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	227	149	1	1.0
126	0,46,0,0,0	0,0,0,0,0	0,0,0,0,246,0,0,0,0,0,110,0,0,0,28,55	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	298	149	1	1.0
129	0,0,0,0,0	0,29,0,0,0	0,0,0,0,0,0,3,0,0,0,21,0,0,0,21,0	0,0,0,0,121,0,0,0,0,0,227,0,0,0,163,12	184	149	1	1.0
132	0,0,0,0,0	0,4,0,0,0	0,0,0,0,30,0,0,0,0,0,10,0,0,0,2,6	0,0,0,0,0,0,0,0,0,0,14,0,0,0,27,24	298	149	1	1.0
135	0,0,0,0,0	0,2,0,0,0	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0	154	149	1	1.0
137	0,10,0,0,0	0,13,0,0,0	0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0	0,0,0,0,49,0,0,0,0,0,29,0,0,0,11,1	210	149	1	1.0
138	0,21027,0,0,4	0,2,0,0,0	0,0,0,0,28797,0,0,4,4,6,26719,0,0,0,970,473	0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6	168	149	1	1.0
144	0,5,0,0,0	0,53,0,0,0	0,0,0,0,15,0,0,0,0,0,34,0,0,0,0,0	0,0,0,0,65,0,0,0,0,0,275,0,0,0,5,21	298	149	1	1.0
148	0,0,0,0,0	0,13,0,0,0	0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,38,0,0,0,0,0,56,0,0,0,1,1	169	149	1	1.0
150	0,23,0,0,0	0,6,0,0,0	0,0,0,0,267,0,0,0,0,0,9,0,0,0,0,1	0,0,0,0,448,0,0,0,0,0,148,0,0,0,54,4	298	149	1	1.0
151	0,0,0,0,0	0,23,0,0,0	0,0,0,0,27,0,0,0,0,0,6,0,0,0,0,0	0,0,0,0,358,0,0,0,0,0,165,0,0,0,35,1	298	149	1	1.0
152	0,0,0,0,0	0,4,0,0,0	0,0,0,0,31,0,0,0,0,0,3,0,0,0,0,0	0,0,0,0,134,0,0,0,0,0,31,0,0,0,7,0	298	149	1	1.0
153	0,15,0,0,0	0,15,0,0,0	0,0,0,0,900,0,0,0,0,0,229,0,0,0,117,1	0,0,0,0,117,0,0,0,0,0,24,0,0,0,0,0	243	149	1	1.0
154	0,37,0,0,0	0,7,0,0,0	0,0,0,0,47,0,0,0,0,0,109,0,0,0,10,3	0,0,0,0,12,0,0,0,0,0,18,0,0,0,4,0	228	149	1	1.0
156	0,375,0,0,0	0,0,0,0,0	0,0,0,0,537,0,0,0,0,0,776,0,0,0,10,47	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	298	149	1	1.0
158	0,0,0,0,0	0,5,0,0,0	0,0,0,0,0,0,0,0,0,0,10,0,0,0,15,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0	245	149	1	1.0
159	0,1,0,0,0	0,3,0,0,0	0,0,0,0,65,0,0,0,0,0,15,0,0,0,25,0	0,0,0,0,0,0,0,0,0,0,8,0,0,0,29,6	298	149	1	1.0
161	0,29,0,0,0	0,10,0,0,0	0,0,0,0,45,0,0,0,0,0,96,0,0,0,23,7	0,0,0,0,11,0,0,0,0,0,18,0,0,0,8,0	201	149	1	1.0
163	0,16,0,0,0	0,0,0,0,0	0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0	229	149	1	1.0
170	0,36,0,0,0	0,8,0,0,0	0,0,0,0,22,0,0,0,0,0,20,0,0,0,0,11	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	290	149	1	1.0
172	0,27,0,0,0	0,7,0,0,0	0,0,0,0,93,0,0,0,0,0,24,0,0,0,30,2	0,0,0,0,36,0,0,0,0,0,5,0,0,0,8,5	164	149	1	1.0
173	0,33,0,0,0	0,0,0,0,0	0,0,0,0,39,0,0,0,0,0,47,0,0,0,56,0	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	298	149	1	1.0
175	0,72,0,0,0	0,373,0,0,0	0,0,0,0,18,0,0,0,0,0,137,0,0,0,2,0	0,0,0,0,439,0,0,0,0,0,736,0,0,0,8,3	158	149	1	1.0
