IncLevel1	IncLevel2	IncLevelDifference
NA,0.676,NA,NA,0.293	NA,NA,NA,NA,0.831,NA,NA,0.0,0.0,0.0,0.69,NA,NA,NA,0.0,0.405	0.209
NA,0.328,NA,NA,0.0	NA,NA,NA,NA,0.084,NA,NA,NA,NA,NA,0.273,NA,NA,NA,0.0,0.3	-0.0
NA,0.181,NA,NA,0.0	NA,NA,NA,NA,0.228,NA,NA,NA,NA,NA,0.266,NA,NA,NA,0.0,0.536	-0.167
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,1.0,0.0,NA,NA,NA,0.703,NA,NA,NA,0.657,1.0	-0.56
NA,1.0,0.0,NA,NA	NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,0.0,NA,NA,NA,0.682,1.0	-0.17
NA,1.0,0.0,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.367,NA,NA,NA,0.8,NA	-0.292
NA,0.574,NA,NA,NA	NA,NA,NA,NA,0.308,NA,NA,NA,NA,NA,0.389,NA,NA,NA,0.736,0.556	0.077
NA,0.267,NA,NA,NA	NA,NA,NA,NA,0.534,0.56,NA,0.0,NA,NA,0.486,NA,NA,NA,0.568,0.298	-0.141
NA,0.483,NA,NA,NA	NA,NA,NA,NA,0.777,0.0,NA,NA,NA,NA,0.572,NA,NA,NA,0.0,1.0	0.013
NA,0.477,0.653,NA,0.0	NA,NA,NA,NA,0.552,1.0,1.0,1.0,NA,0.738,0.56,NA,NA,NA,0.539,0.494	-0.359
NA,0.958,NA,NA,NA	NA,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,0.971,NA,NA,NA,1.0,1.0	-0.036
NA,0.0,NA,NA,0.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082,NA,NA,NA,NA,0.0	-0.041
NA,0.862,NA,NA,0.0	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.977,NA,NA,NA,1.0,0.884	-0.541
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.998,NA,NA,NA,1.0,1.0	0.0
NA,0.543,NA,NA,1.0	NA,NA,NA,NA,0.629,NA,NA,NA,NA,NA,0.641,NA,NA,NA,0.473,0.756	0.147
NA,0.515,0.0,NA,0.842	NA,NA,NA,NA,0.666,0.0,0.0,0.654,1.0,1.0,0.684,NA,NA,NA,0.34,0.544	-0.091
NA,0.137,NA,NA,0.0	NA,NA,NA,NA,0.763,NA,NA,0.0,1.0,NA,0.492,NA,NA,NA,0.324,0.489	-0.443
NA,0.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,0.029,0.0	-0.263
NA,0.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.081,NA	-0.081
NA,0.96,1.0,NA,NA	NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,0.878,NA,NA,NA,0.85,1.0	0.034
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.438,NA,NA,NA,NA,NA,0.091,NA,NA,NA,NA,1.0	0.49
NA,1.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376,NA,NA,NA,0.723,0.844	0.352
NA,0.544,NA,NA,NA	NA,NA,NA,NA,0.496,NA,NA,NA,NA,NA,0.547,NA,NA,NA,0.035,0.327	0.193
NA,0.592,NA,NA,NA	NA,NA,NA,NA,0.514,NA,NA,NA,NA,NA,0.63,NA,NA,NA,0.0,0.454	0.192
NA,0.306,NA,NA,NA	NA,NA,NA,NA,0.251,NA,NA,NA,NA,NA,0.396,NA,NA,NA,1.0,0.304	-0.182
NA,0.026,NA,NA,NA	NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.082	0.01
NA,0.405,NA,NA,NA	NA,NA,NA,NA,0.407,1.0,NA,NA,NA,NA,0.459,NA,NA,NA,0.262,0.0	-0.021
NA,0.232,NA,NA,NA	NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,0.383,NA,NA,NA,0.0,0.421	-0.069
NA,0.399,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.673,NA,NA,NA,0.161,0.912	-0.037
NA,0.461,NA,NA,NA	NA,NA,NA,NA,0.571,NA,0.0,NA,NA,NA,0.513,NA,NA,NA,0.193,0.0	0.206
NA,0.373,NA,NA,NA	NA,NA,NA,NA,0.344,NA,NA,NA,NA,1.0,0.468,NA,NA,NA,0.394,0.252	-0.119
NA,0.317,NA,NA,NA	NA,NA,NA,NA,0.435,0.0,NA,0.0,NA,NA,0.529,NA,NA,NA,0.365,0.0	0.096
NA,0.295,NA,NA,NA	NA,NA,NA,NA,0.369,NA,NA,0.0,NA,0.0,0.6,NA,NA,NA,0.331,NA	0.035
NA,0.349,NA,NA,NA	NA,NA,NA,NA,0.488,NA,NA,0.416,NA,0.348,0.556,NA,NA,NA,0.398,1.0	-0.185
NA,0.981,1.0,NA,NA	NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,0.99,NA,NA,NA,1.0,1.0	-0.008
NA,0.201,0.0,NA,NA	NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,0.354,NA,NA,NA,0.329,0.961	-0.228
NA,0.655,NA,NA,NA	NA,NA,NA,NA,0.735,NA,NA,NA,NA,NA,0.644,NA,NA,NA,0.181,0.492	0.142
NA,0.313,NA,NA,NA	NA,NA,NA,NA,0.443,NA,NA,1.0,NA,NA,0.508,NA,NA,NA,0.0,1.0	-0.277
NA,0.373,0.787,NA,NA	NA,NA,NA,NA,0.553,NA,1.0,1.0,NA,NA,0.499,NA,NA,NA,0.477,0.825	-0.146
NA,0.384,0.436,NA,NA	NA,NA,NA,NA,0.499,NA,NA,0.755,NA,NA,0.575,NA,NA,NA,0.576,0.536	-0.178
NA,0.054,NA,NA,1.0	NA,NA,NA,NA,0.335,NA,NA,NA,NA,NA,0.375,NA,NA,NA,0.309,0.259	0.208
NA,0.572,NA,NA,NA	NA,NA,NA,NA,0.593,NA,NA,NA,NA,NA,0.605,NA,NA,NA,0.137,0.726	0.057
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.012,NA,NA,NA,NA,NA,0.016,NA,NA,NA,0.0,0.0	-0.007
NA,0.311,NA,NA,NA	NA,NA,NA,NA,0.598,NA,NA,NA,NA,NA,0.647,NA,NA,NA,0.373,0.0	-0.094
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,1.0,NA,NA,0.494,NA,NA,NA,0.667,1.0	-0.632
NA,0.474,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.444,NA,NA,NA,0.4,1.0	0.013
NA,1.0,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,0.0,NA,NA,0.444,NA,NA,NA,0.54,0.0	0.603
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,0.108,NA,NA,NA,0.809,0.629	0.291
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.233,NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.0	-0.058
NA,0.394,NA,NA,NA	NA,NA,NA,NA,0.678,NA,NA,NA,NA,NA,0.564,NA,NA,NA,0.942,0.536	-0.286
NA,0.712,NA,NA,NA	NA,NA,NA,NA,0.596,NA,NA,1.0,NA,NA,0.413,NA,NA,NA,0.628,1.0	-0.015
NA,0.603,NA,NA,NA	NA,NA,NA,NA,0.65,NA,NA,0.0,NA,NA,0.656,NA,NA,NA,0.64,0.103	0.193
NA,0.593,NA,NA,NA	NA,NA,NA,NA,0.672,NA,NA,NA,NA,NA,0.613,NA,NA,NA,0.541,0.44	0.026
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.984,NA,NA,NA,1.0,1.0	0.004
NA,0.355,NA,NA,NA	NA,NA,NA,NA,0.338,NA,NA,NA,NA,NA,0.492,NA,NA,NA,0.236,0.067	0.072
NA,0.047,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.029,NA,NA,NA,0.0,0.0	0.04
NA,0.28,NA,NA,NA	NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,0.534,NA,NA,NA,0.519,1.0	-0.306
NA,0.903,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.754,NA,NA,NA,NA,1.0	-0.015
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.008,NA,NA,NA,0.0,0.0	-0.002
NA,0.122,NA,NA,NA	NA,NA,NA,NA,0.121,NA,NA,NA,NA,NA,0.044,NA,NA,NA,0.0,0.0	0.081
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.657	-0.164
NA,0.911,NA,NA,NA	NA,NA,NA,NA,0.735,NA,NA,NA,NA,NA,0.637,NA,NA,NA,1.0,0.406	0.217
NA,0.311,NA,NA,NA	NA,NA,NA,NA,0.039,NA,NA,NA,NA,0.0,0.253,NA,NA,NA,0.0,0.656	0.121
NA,0.555,NA,NA,NA	NA,NA,NA,NA,0.919,0.0,NA,1.0,NA,NA,0.63,NA,NA,NA,0.541,0.33	-0.015
NA,0.586,NA,NA,NA	NA,NA,NA,NA,0.912,0.0,NA,1.0,NA,NA,0.633,NA,NA,NA,0.524,0.325	0.02
NA,0.305,NA,NA,NA	NA,NA,NA,NA,0.856,NA,NA,NA,NA,0.0,0.84,NA,NA,NA,0.705,0.612	-0.298
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.819	0.045
NA,0.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,NA,NA,NA,0.1,0.0	-0.158
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.8,NA,NA,NA,1.0,1.0	0.05
NA,1.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA	1.0
NA,NA,NA,NA,1.0	NA,NA,NA,NA,0.196,1.0,NA,NA,1.0,NA,0.171,NA,NA,NA,0.438,0.408	0.465
NA,0.419,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,1.0,NA,1.0,0.555,NA,NA,NA,0.282,0.0	-0.054
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.026,NA,NA,NA,0.588,0.0	-0.153
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.015,NA,NA,NA,0.468,0.0	-0.121
NA,0.667,NA,NA,NA	NA,NA,NA,NA,0.511,NA,NA,1.0,NA,NA,0.643,NA,NA,NA,0.795,0.284	0.02
NA,0.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.292,NA,NA,NA,NA,NA	-0.292
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.985,NA,NA,NA,NA,NA,0.926,NA,NA,NA,0.0,0.744	0.336
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.985,NA,NA,NA,NA,NA,0.885,NA,NA,NA,0.181,0.688	0.315
NA,0.307,NA,NA,NA	NA,NA,NA,NA,0.555,NA,NA,NA,NA,NA,0.526,NA,NA,NA,1.0,0.24	-0.273
