ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	0,25,0,0,0	0,60,0,0,0	0,0,0,0,73,0,0,0,0,0,61,0,0,0,43,4	0,0,0,0,101,0,0,0,0,0,176,0,0,0,35,9	298	149	1	1.0	NA,0.172,NA,NA,NA	NA,NA,NA,NA,0.265,NA,NA,NA,NA,NA,0.148,NA,NA,NA,0.381,0.182	-0.072
2	0,399,0,0,0	0,86,0,0,0	0,0,0,0,197,0,0,0,0,0,127,0,0,0,8,1	0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1	298	149	1	1.0	NA,0.699,NA,NA,NA	NA,NA,NA,NA,0.773,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.333	-0.078
11	0,14,2,0,0	0,5,0,0,0	0,0,0,0,0,0,6,0,0,2,0,0,0,0,123,60	0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4	298	149	1	1.0	NA,0.583,1.0,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,NA,0.783,0.882	-0.125
13	0,7,0,0,0	0,141,0,0,4	0,0,0,0,26,0,0,0,0,0,19,0,0,0,14,10	0,0,0,0,359,0,0,0,0,0,599,0,0,0,36,23	298	149	1	1.0	NA,0.024,NA,NA,0.0	NA,NA,NA,NA,0.035,NA,NA,NA,NA,NA,0.016,NA,NA,NA,0.163,0.179	-0.086
14	0,89,0,0,0	0,169,0,0,0	0,0,0,0,127,0,0,0,0,0,42,0,0,0,16,22	0,0,0,0,238,2,0,0,0,0,611,0,0,0,84,12	298	149	1	1.0	NA,0.208,NA,NA,NA	NA,NA,NA,NA,0.211,0.0,NA,NA,NA,NA,0.033,NA,NA,NA,0.087,0.478	0.046
15	0,19,0,0,0	0,197,0,0,0	0,0,0,0,51,0,0,0,0,0,15,0,0,0,0,1	0,0,0,0,326,2,0,0,0,0,529,0,0,0,49,24	298	149	1	1.0	NA,0.046,NA,NA,NA	NA,NA,NA,NA,0.073,0.0,NA,NA,NA,NA,0.014,NA,NA,NA,0.0,0.02	0.025
17	0,17,0,0,0	0,20,0,0,0	0,0,0,0,20,0,2,0,0,0,19,0,0,0,10,2	0,0,0,0,28,0,0,0,0,0,8,0,0,0,12,0	273	149	1	1.0	NA,0.317,NA,NA,NA	NA,NA,NA,NA,0.28,NA,1.0,NA,NA,NA,0.565,NA,NA,NA,0.313,1.0	-0.315
18	0,8,0,0,0	0,0,0,0,0	0,0,0,0,15,0,0,0,0,0,3,0,0,0,12,2	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	298	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.429,NA,NA,NA,1.0,1.0	0.143
23	0,0,0,0,0	0,203,0,0,0	0,0,0,0,0,0,0,0,0,0,4,0,0,0,29,5	0,0,0,0,602,2,0,2,0,0,846,0,0,0,625,32	262	149	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,0.0,NA,0.0,NA,NA,0.003,NA,NA,NA,0.026,0.082	-0.018
24	0,29,0,0,0	0,158,0,0,0	0,0,0,0,27,2,0,0,0,0,12,0,0,0,10,15	0,0,0,0,274,0,0,0,0,0,251,0,0,0,15,65	298	149	1	1.0	NA,0.084,NA,NA,NA	NA,NA,NA,NA,0.047,1.0,NA,NA,NA,NA,0.023,NA,NA,NA,0.25,0.103	-0.201
