IncLevel1	IncLevel2	IncLevelDifference
NA,0.172,NA,NA,NA	NA,NA,NA,NA,0.265,NA,NA,NA,NA,NA,0.148,NA,NA,NA,0.381,0.182	-0.072
NA,0.699,NA,NA,NA	NA,NA,NA,NA,0.773,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.333	-0.078
NA,0.583,1.0,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,NA,0.783,0.882	-0.125
NA,0.024,NA,NA,0.0	NA,NA,NA,NA,0.035,NA,NA,NA,NA,NA,0.016,NA,NA,NA,0.163,0.179	-0.086
NA,0.208,NA,NA,NA	NA,NA,NA,NA,0.211,0.0,NA,NA,NA,NA,0.033,NA,NA,NA,0.087,0.478	0.046
NA,0.046,NA,NA,NA	NA,NA,NA,NA,0.073,0.0,NA,NA,NA,NA,0.014,NA,NA,NA,0.0,0.02	0.025
NA,0.317,NA,NA,NA	NA,NA,NA,NA,0.28,NA,1.0,NA,NA,NA,0.565,NA,NA,NA,0.313,1.0	-0.315
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.429,NA,NA,NA,1.0,1.0	0.143
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,0.0,NA,0.0,NA,NA,0.003,NA,NA,NA,0.026,0.082	-0.018
NA,0.084,NA,NA,NA	NA,NA,NA,NA,0.047,1.0,NA,NA,NA,NA,0.023,NA,NA,NA,0.25,0.103	-0.201
NA,0.344,1.0,NA,NA	NA,NA,NA,NA,0.197,1.0,NA,NA,0.0,NA,0.034,NA,NA,NA,0.048,0.158	0.432
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.013,NA,NA,NA,0.0,0.0	-0.003
NA,0.017,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.0	0.017
NA,0.585,NA,NA,1.0	NA,NA,NA,NA,0.782,NA,NA,1.0,NA,1.0,0.49,NA,NA,NA,NA,1.0	-0.062
NA,0.047,NA,NA,NA	NA,NA,NA,NA,0.017,NA,NA,0.0,NA,NA,0.006,NA,NA,NA,0.0,0.13	0.016
NA,0.024,NA,NA,NA	NA,NA,NA,NA,0.076,NA,NA,NA,NA,NA,0.016,NA,NA,NA,0.071,0.0	-0.017
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.044,NA,NA,NA,0.0,0.222	-0.067
NA,0.583,NA,NA,NA	NA,NA,NA,NA,0.146,NA,NA,NA,NA,NA,0.226,NA,NA,NA,0.0,NA	0.459
NA,0.136,NA,NA,NA	NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,0.232,NA,NA,NA,0.0,0.365	-0.108
NA,0.105,NA,NA,NA	NA,NA,NA,NA,0.396,NA,NA,NA,NA,NA,0.045,NA,NA,NA,0.0,0.538	-0.14
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.955,NA,NA,NA,NA,NA,0.929,NA,NA,NA,0.765,1.0	0.088
NA,0.982,NA,NA,NA	NA,NA,NA,NA,0.965,NA,NA,NA,NA,NA,0.639,NA,NA,NA,0.619,0.778	0.232
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.948,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0	0.013
NA,0.176,NA,NA,NA	NA,NA,NA,NA,0.326,NA,NA,NA,NA,NA,0.093,NA,NA,NA,NA,0.521	-0.137
NA,0.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.375,NA,NA,NA,1.0,1.0	-0.844
NA,0.267,NA,NA,NA	NA,NA,NA,NA,0.209,NA,NA,NA,NA,NA,0.082,NA,NA,NA,0.111,0.123	0.136
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.009,NA,NA,NA,0.209,0.385	-0.151
NA,0.079,NA,NA,NA	NA,NA,NA,NA,0.246,NA,NA,NA,NA,NA,0.0,NA,NA,NA,1.0,0.051	-0.245
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.773,NA,NA,NA,1.0,1.0	0.057
NA,0.261,NA,NA,NA	NA,NA,NA,NA,0.239,NA,NA,NA,NA,0.0,0.041,NA,NA,NA,0.226,0.455	0.069
NA,0.02,NA,NA,NA	NA,NA,NA,NA,0.016,NA,NA,NA,NA,NA,0.024,NA,NA,NA,0.091,0.265	-0.079
NA,0.628,0.0,NA,NA	NA,NA,NA,NA,0.657,1.0,1.0,0.222,1.0,NA,0.19,NA,NA,NA,0.158,0.231	-0.243
NA,0.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.033,NA,NA,NA,NA,NA	-0.516
NA,0.333,NA,NA,NA	NA,NA,NA,NA,0.385,NA,NA,NA,NA,NA,0.013,NA,NA,NA,NA,0.833	-0.077
NA,1.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043,NA,NA,NA,NA,1.0	0.479
NA,0.039,NA,NA,NA	NA,NA,NA,NA,0.107,NA,NA,NA,NA,NA,0.053,NA,NA,NA,0.181,0.284	-0.117
NA,0.456,NA,NA,NA	NA,NA,NA,NA,0.528,NA,NA,NA,NA,NA,0.074,NA,NA,NA,0.091,0.25	0.22
NA,0.48,NA,NA,NA	NA,NA,NA,NA,0.525,NA,NA,NA,1.0,NA,0.207,NA,NA,NA,0.778,1.0	-0.222
NA,0.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,NA	-0.333
NA,0.75,NA,NA,NA	NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,0.087,NA,NA,NA,1.0,0.143	0.432
NA,0.167,NA,NA,NA	NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,0.0	0.077
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.333,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA	-0.167
NA,0.011,NA,NA,NA	NA,NA,NA,NA,0.015,NA,NA,NA,NA,NA,0.006,NA,NA,NA,0.068,0.024	-0.017
NA,0.011,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.02,NA,NA,NA,0.0,0.361	-0.084
NA,0.021,NA,NA,NA	NA,NA,NA,NA,0.006,NA,NA,NA,NA,NA,0.047,NA,NA,NA,0.0,0.0	0.008
NA,0.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,1.0,1.0	-0.75
NA,0.167,NA,NA,NA	NA,NA,NA,NA,0.273,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,0.333	-0.035
NA,0.504,NA,NA,NA	NA,NA,NA,NA,0.515,NA,NA,NA,NA,NA,0.081,NA,NA,NA,0.479,0.692	0.062
NA,0.415,NA,NA,NA	NA,NA,NA,NA,0.43,NA,NA,NA,NA,NA,0.063,NA,NA,NA,0.538,0.867	-0.06
NA,0.589,NA,NA,NA	NA,NA,NA,NA,0.695,NA,NA,NA,NA,1.0,0.642,NA,NA,NA,0.414,0.75	-0.111
NA,0.747,NA,NA,NA	NA,NA,NA,NA,0.933,NA,NA,NA,NA,NA,0.84,NA,NA,NA,1.0,0.862	-0.162
NA,0.2,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.2,NA,NA,NA,1.0,1.0	-0.6
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.667	0.083
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.643,NA,NA,NA,1.0,1.0	0.089
NA,0.465,NA,NA,NA	NA,NA,NA,NA,0.452,NA,NA,NA,NA,NA,0.068,NA,NA,NA,0.793,0.875	-0.082
NA,0.138,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.121,NA,NA,NA,0.556,0.333	-0.114
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.952,NA,NA,NA,0.969,1.0	0.016
NA,0.902,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.949,NA,NA,NA,0.887,1.0	-0.065
NA,0.008,NA,NA,NA	NA,NA,NA,NA,0.025,NA,NA,NA,NA,NA,0.003,NA,NA,NA,0.0,0.0	0.001
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.6,NA,NA,NA,1.0,NA	0.133
NA,0.439,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA	-0.561
NA,0.148,NA,NA,NA	NA,NA,NA,NA,0.051,NA,NA,NA,NA,NA,0.021,NA,NA,NA,NA,NA	0.112
NA,0.486,NA,NA,NA	NA,NA,NA,NA,0.344,NA,NA,NA,NA,NA,0.121,NA,NA,NA,NA,1.0	-0.002
NA,0.466,NA,NA,NA	NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,0.243,NA,NA,NA,NA,0.8	-0.038
NA,0.25,NA,NA,NA	NA,NA,NA,NA,0.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,1.0	-0.201
NA,0.067,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.0	0.067
NA,0.533,NA,NA,NA	NA,NA,NA,NA,0.741,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0	-0.402
NA,0.25,NA,NA,NA	NA,NA,NA,NA,0.012,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA	0.244
NA,0.144,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA	0.144
NA,0.392,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.721,NA,NA,NA,NA,NA	-0.329
NA,1.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	1.0
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.381,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0	0.206
NA,0.046,NA,NA,NA	NA,NA,NA,NA,0.023,NA,NA,NA,NA,NA,0.091,NA,NA,NA,NA,NA	-0.011
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.944,NA,NA,NA,1.0,1.0	0.014
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,0.02,NA,NA,NA,0.0,0.0	0.975
NA,0.915,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0	-0.085
NA,0.048,NA,NA,NA	NA,NA,NA,NA,0.081,NA,NA,NA,NA,NA,0.167,NA,NA,NA,0.0,0.032	-0.022
NA,0.579,NA,NA,0.5	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.069,NA,NA,NA,0.32,0.18	0.397
NA,0.0,0.0,NA,NA	NA,NA,NA,NA,0.027,NA,NA,NA,NA,NA,0.048,NA,NA,NA,0.0,0.0	-0.019
NA,0.126,NA,NA,NA	NA,NA,NA,NA,0.281,NA,NA,NA,NA,NA,0.022,NA,NA,NA,0.051,0.084	0.016
NA,0.078,NA,NA,NA	NA,NA,NA,NA,0.244,NA,NA,NA,NA,0.0,0.033,NA,NA,NA,0.0,0.262	-0.03
NA,0.025,NA,NA,NA	NA,NA,NA,NA,0.126,NA,NA,NA,NA,NA,0.006,NA,NA,NA,0.092,0.094	-0.054
NA,0.314,NA,NA,1.0	NA,NA,NA,NA,0.423,NA,NA,NA,NA,NA,0.174,NA,NA,NA,1.0,0.727	0.076
NA,0.964,NA,NA,1.0	NA,NA,NA,NA,0.982,NA,NA,NA,NA,NA,0.931,NA,NA,NA,1.0,0.956	0.015
NA,0.047,NA,NA,NA	NA,NA,NA,NA,0.027,NA,NA,NA,NA,NA,0.193,NA,NA,NA,NA,NA	-0.063
NA,0.094,NA,NA,NA	NA,NA,NA,NA,0.543,NA,NA,NA,NA,NA,0.118,NA,NA,NA,0.972,0.493	-0.438
NA,0.013,NA,NA,NA	NA,NA,NA,NA,0.012,NA,NA,0.0,NA,NA,0.014,NA,NA,NA,0.009,0.035	-0.001
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,1.0,1.0,NA,NA,NA,0.655,NA,NA,NA,0.709,0.667	0.162
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.563,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA	0.146
NA,0.027,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA	0.027
NA,0.998,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,0.993,NA,NA,NA,1.0,0.881	0.024
NA,0.016,NA,NA,0.0	NA,NA,NA,NA,0.013,NA,NA,0.0,0.0,0.143,0.009,NA,NA,NA,0.019,0.052	-0.026
NA,0.324,NA,NA,NA	NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,0.176,NA,NA,NA,NA,0.667	-0.034
NA,0.05,NA,NA,NA	NA,NA,NA,NA,0.105,NA,NA,NA,NA,NA,0.028,NA,NA,NA,0.239,0.0	-0.043
NA,0.154,NA,NA,NA	NA,NA,NA,NA,0.258,NA,NA,0.0,NA,NA,0.163,NA,NA,NA,0.456,0.473	-0.116
NA,0.202,NA,NA,NA	NA,NA,NA,NA,0.379,NA,NA,NA,NA,NA,0.212,NA,NA,NA,0.844,0.557	-0.296
NA,0.025,NA,NA,NA	NA,NA,NA,NA,0.025,NA,NA,NA,NA,NA,0.046,NA,NA,NA,0.0,0.063	-0.009
NA,0.095,NA,NA,NA	NA,NA,NA,NA,0.087,NA,NA,NA,NA,NA,0.053,NA,NA,NA,0.083,0.104	0.013
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,0.922,NA	0.026
NA,0.225,NA,NA,NA	NA,NA,NA,NA,0.491,NA,NA,NA,NA,NA,0.216,NA,NA,NA,0.921,NA	-0.318
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.75,NA,NA,NA,1.0,1.0	0.062
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.111,NA,NA,NA,NA,NA,0.407,NA,NA,NA,1.0,1.0	0.371
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.976,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0	0.008
NA,0.073,NA,NA,NA	NA,NA,NA,NA,0.029,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,0.099	0.028
NA,0.008,NA,NA,NA	NA,NA,NA,NA,0.273,NA,NA,NA,NA,NA,0.039,NA,NA,NA,NA,0.4	-0.229
NA,0.125,NA,NA,NA	NA,NA,NA,NA,0.119,NA,NA,NA,NA,NA,0.011,NA,NA,NA,0.152,0.049	0.042
NA,0.2,NA,NA,NA	NA,NA,NA,NA,0.224,NA,NA,NA,NA,NA,0.007,NA,NA,NA,0.085,NA	0.095
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.002,NA,NA,0.0,NA,NA,0.007,NA,NA,NA,0.0,0.028	-0.007
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.995,NA,NA,NA,NA,1.0	0.001
NA,0.006,NA,NA,NA	NA,NA,NA,NA,0.027,NA,NA,0.0,NA,NA,0.008,NA,NA,NA,0.0,0.0	-0.001
NA,0.044,NA,NA,NA	NA,NA,NA,NA,0.041,NA,NA,NA,NA,NA,0.023,NA,NA,NA,0.149,0.0	-0.009
NA,0.545,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA	-0.455
NA,0.173,NA,NA,NA	NA,NA,NA,NA,0.168,NA,NA,NA,1.0,NA,0.145,NA,NA,NA,0.503,0.917	-0.374
NA,0.002,NA,NA,NA	NA,NA,NA,NA,0.002,NA,NA,0.0,1.0,0.0,0.001,NA,NA,NA,0.004,0.055	-0.15
NA,0.8,NA,NA,NA	NA,NA,NA,NA,0.86,NA,NA,NA,NA,NA,0.85,NA,NA,NA,0.952,1.0	-0.115
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.935,NA,NA,NA,1.0,NA,0.79,NA,NA,NA,1.0,1.0	0.055
NA,0.002,NA,NA,0.0	NA,NA,NA,NA,0.001,NA,NA,0.0,0.0,0.0,0.001,NA,NA,NA,0.002,0.011	-0.001
NA,0.975,NA,NA,NA	NA,NA,NA,NA,0.979,NA,NA,NA,NA,NA,0.962,NA,NA,NA,0.911,1.0	0.012
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,0.948,NA,NA,NA,1.0,1.0	0.01
NA,0.006,NA,NA,0.0	NA,NA,NA,NA,0.006,NA,NA,0.0,0.0,0.0,0.005,NA,NA,NA,0.025,0.016	-0.004
NA,0.017,NA,NA,0.0	NA,NA,NA,NA,0.019,NA,NA,0.133,0.0,0.091,0.017,NA,NA,NA,0.051,0.004	-0.036
NA,0.959,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0	-0.041
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.969	0.008
NA,0.002,0.0,NA,0.0	NA,NA,NA,NA,0.004,NA,NA,0.0,0.0,0.0,0.002,NA,NA,NA,0.011,0.001	-0.002
NA,0.152,NA,NA,NA	NA,NA,NA,NA,0.202,NA,NA,NA,NA,NA,0.036,NA,NA,NA,0.022,0.216	0.033
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.048,NA,NA,NA,0.714,NA	-0.254
NA,0.04,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.018,NA,NA,NA,0.086,0.333	-0.069
NA,0.068,NA,NA,NA	NA,NA,NA,NA,0.035,NA,NA,NA,NA,NA,0.009,NA,NA,NA,0.155,0.027	0.012
NA,0.005,NA,NA,0.0	NA,NA,NA,NA,0.01,NA,NA,0.0,0.0,0.0,0.001,NA,NA,NA,0.014,0.007	-0.002
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.96,NA,NA,NA,1.0,1.0	0.008
NA,0.538,NA,NA,NA	NA,NA,NA,NA,0.327,1.0,NA,NA,NA,NA,0.084,NA,NA,NA,0.576,0.548	0.031
NA,0.3,NA,NA,NA	NA,NA,NA,NA,0.851,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0	-0.67
NA,0.014,NA,NA,NA	NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,0.016,NA,NA,NA,0.02,0.049	-0.003
NA,0.536,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.419,NA,NA,NA,0.076,NA	0.038
NA,0.167,NA,NA,NA	NA,NA,NA,NA,0.169,NA,NA,NA,NA,NA,0.031,NA,NA,NA,0.091,0.022	0.089
NA,0.034,NA,NA,NA	NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,0.021,NA,NA,NA,0.0,0.035	-0.011
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.961,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0	0.01
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.075,NA,NA,NA,NA,NA,0.01,NA,NA,NA,0.036,0.073	-0.049
NA,0.06,NA,NA,NA	NA,NA,NA,NA,0.044,NA,NA,NA,NA,NA,0.047,NA,NA,NA,0.0,0.206	-0.014
NA,0.489,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA	-0.011
NA,0.883,NA,NA,NA	NA,NA,NA,NA,0.806,NA,NA,NA,NA,NA,0.93,NA,NA,NA,1.0,1.0	-0.051
NA,0.072,NA,NA,NA	NA,NA,NA,NA,0.241,NA,NA,NA,NA,NA,0.039,NA,NA,NA,0.053,0.059	-0.026
NA,0.5,NA,NA,NA	NA,NA,NA,NA,0.847,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA	-0.449
NA,0.5,NA,NA,NA	NA,NA,NA,NA,0.933,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA	-0.478
NA,0.5,NA,NA,NA	NA,NA,NA,NA,0.754,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA	-0.418
NA,0.058,NA,NA,0.0	NA,NA,NA,NA,0.055,NA,NA,0.0,NA,NA,0.022,NA,NA,NA,0.004,0.014	0.01
NA,0.037,NA,NA,0.0	NA,NA,NA,NA,0.066,NA,NA,NA,NA,NA,0.046,NA,NA,NA,0.09,0.092	-0.055
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.967,NA,NA,NA,1.0,1.0	0.008
NA,0.52,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.789,NA,NA,NA,NA,1.0	-0.41
NA,0.006,NA,NA,NA	NA,NA,NA,NA,0.016,NA,NA,0.0,NA,NA,0.01,NA,NA,NA,0.0,0.04	-0.007
NA,0.25,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.448,NA,NA,NA,NA,1.0	-0.474
NA,0.092,NA,NA,NA	NA,NA,NA,NA,0.164,0.0,NA,0.0,NA,0.0,0.019,NA,NA,NA,0.058,0.054	0.05
