ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	0,4,0,0,0	0,0,0,0,0	0,0,0,0,33,0,0,0,0,0,34,0,0,0,506,11	0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0	298	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,0.966,1.0	0.008
3	0,2,0,0,0	0,0,0,0,0	0,0,0,0,35,0,0,0,0,0,16,0,0,0,3,7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	298	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.778	0.055
4	0,16,0,0,0	0,0,0,0,0	0,0,0,0,54,0,0,0,0,0,37,0,0,0,18,22	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1	278	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.952,NA,NA,NA,1.0,0.922	0.031
6	0,179,2,0,0	0,0,0,0,0	0,0,0,0,223,0,0,0,0,0,394,0,0,0,364,84	0,0,0,0,35,0,0,0,0,0,3,0,0,0,0,4	298	149	1	1.0	NA,1.0,1.0,NA,NA	NA,NA,NA,NA,0.761,NA,NA,NA,NA,NA,0.985,NA,NA,NA,1.0,0.913	0.085
7	0,565,0,0,0	0,6,0,0,0	0,0,0,0,255,0,0,2,0,0,243,0,0,0,60,14	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	298	149	1	1.0	NA,0.979,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.984,NA,NA,NA,1.0,1.0	-0.018
8	0,649,0,0,0	0,6,0,0,0	0,0,0,0,284,0,0,2,0,0,243,0,0,0,60,15	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	298	149	1	1.0	NA,0.982,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.984,NA,NA,NA,1.0,1.0	-0.015
9	0,241,0,0,0	0,15,0,0,0	0,0,0,0,96,0,0,0,0,0,232,0,0,0,6,12	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	215	149	1	1.0	NA,0.918,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.988,NA,NA,NA,1.0,1.0	-0.079
10	0,103,0,0,0	0,8,0,0,0	0,0,0,0,131,0,0,0,0,0,244,0,0,0,69,6	0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0	246	149	1	1.0	NA,0.886,NA,NA,NA	NA,NA,NA,NA,0.988,NA,NA,NA,NA,NA,0.974,NA,NA,NA,1.0,1.0	-0.104
11	0,198,0,0,4	0,0,0,0,0	0,0,0,0,1231,0,0,0,0,0,4586,0,0,0,14,191	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	212	149	1	1.0	NA,1.0,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.999,NA,NA,NA,1.0,1.0	0.0
12	0,149,0,0,0	0,0,0,0,0	0,0,0,0,1150,0,0,0,2,0,3774,0,0,0,24,396	0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0	200	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,0.995,NA,NA,NA,1.0,1.0	0.001
13	0,243,0,0,4	0,2,0,0,0	0,0,0,0,1697,0,0,0,6,2,4774,0,0,0,132,209	0,0,0,0,77,0,0,0,0,0,17,0,0,0,0,0	195	149	1	1.0	NA,0.989,NA,NA,1.0	NA,NA,NA,NA,0.944,NA,NA,NA,1.0,1.0,0.995,NA,NA,NA,1.0,1.0	0.005
