ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
1	0,4,0,0,0	0,0,0,0,0	0,0,0,0,33,0,0,0,0,0,34,0,0,0,506,11	0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0	298	149	1	1.0
3	0,2,0,0,0	0,0,0,0,0	0,0,0,0,35,0,0,0,0,0,16,0,0,0,3,7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	298	149	1	1.0
4	0,16,0,0,0	0,0,0,0,0	0,0,0,0,54,0,0,0,0,0,37,0,0,0,18,22	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1	278	149	1	1.0
6	0,179,2,0,0	0,0,0,0,0	0,0,0,0,223,0,0,0,0,0,394,0,0,0,364,84	0,0,0,0,35,0,0,0,0,0,3,0,0,0,0,4	298	149	1	1.0
7	0,565,0,0,0	0,6,0,0,0	0,0,0,0,255,0,0,2,0,0,243,0,0,0,60,14	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	298	149	1	1.0
8	0,649,0,0,0	0,6,0,0,0	0,0,0,0,284,0,0,2,0,0,243,0,0,0,60,15	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	298	149	1	1.0
9	0,241,0,0,0	0,15,0,0,0	0,0,0,0,96,0,0,0,0,0,232,0,0,0,6,12	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	215	149	1	1.0
10	0,103,0,0,0	0,8,0,0,0	0,0,0,0,131,0,0,0,0,0,244,0,0,0,69,6	0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0	246	149	1	1.0
11	0,198,0,0,4	0,0,0,0,0	0,0,0,0,1231,0,0,0,0,0,4586,0,0,0,14,191	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	212	149	1	1.0
12	0,149,0,0,0	0,0,0,0,0	0,0,0,0,1150,0,0,0,2,0,3774,0,0,0,24,396	0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0	200	149	1	1.0
13	0,243,0,0,4	0,2,0,0,0	0,0,0,0,1697,0,0,0,6,2,4774,0,0,0,132,209	0,0,0,0,77,0,0,0,0,0,17,0,0,0,0,0	195	149	1	1.0
14	0,450,0,0,0	0,0,0,0,0	0,0,0,0,1614,0,0,0,0,0,5968,0,0,0,92,105	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	188	149	1	1.0
26	0,746,0,0,3	0,0,0,0,0	0,0,0,0,383,0,0,0,0,0,1556,0,0,0,23,52	0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0	236	149	1	1.0
27	0,551,0,0,4	0,0,0,0,0	0,0,0,0,236,0,0,4,4,0,1173,0,0,0,4,60	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	176	149	1	1.0
