IncLevel1	IncLevel2	IncLevelDifference
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,0.966,1.0	0.008
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.778	0.055
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.952,NA,NA,NA,1.0,0.922	0.031
NA,1.0,1.0,NA,NA	NA,NA,NA,NA,0.761,NA,NA,NA,NA,NA,0.985,NA,NA,NA,1.0,0.913	0.085
NA,0.979,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.984,NA,NA,NA,1.0,1.0	-0.018
NA,0.982,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.984,NA,NA,NA,1.0,1.0	-0.015
NA,0.918,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.988,NA,NA,NA,1.0,1.0	-0.079
NA,0.886,NA,NA,NA	NA,NA,NA,NA,0.988,NA,NA,NA,NA,NA,0.974,NA,NA,NA,1.0,1.0	-0.104
NA,1.0,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.999,NA,NA,NA,1.0,1.0	0.0
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,0.995,NA,NA,NA,1.0,1.0	0.001
NA,0.989,NA,NA,1.0	NA,NA,NA,NA,0.944,NA,NA,NA,1.0,1.0,0.995,NA,NA,NA,1.0,1.0	0.005
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0	0.0
NA,1.0,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.989,NA,NA,NA,1.0,1.0	0.003
NA,1.0,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,1.0,1.0,NA,0.999,NA,NA,NA,1.0,1.0	0.0
NA,1.0,NA,NA,1.0	NA,NA,NA,NA,0.941,NA,NA,NA,NA,1.0,0.999,NA,NA,NA,1.0,1.0	0.012
NA,1.0,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,0.995	0.001
NA,0.992,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,1.0,1.0,1.0,0.998,NA,NA,NA,1.0,0.985	-0.002
NA,0.995,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0,0.999,NA,NA,NA,0.941,1.0	0.007
NA,1.0,NA,NA,1.0	NA,NA,NA,NA,0.941,NA,NA,NA,1.0,1.0,1.0,NA,NA,NA,1.0,1.0	0.01
NA,0.987,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,1.0,1.0,NA,NA,NA,1.0,1.0	-0.006
NA,0.357,NA,NA,NA	NA,NA,NA,NA,0.541,NA,NA,NA,NA,NA,0.228,NA,NA,NA,0.214,0.556	-0.028
NA,0.404,NA,NA,NA	NA,NA,NA,NA,0.108,NA,NA,NA,NA,NA,0.088,NA,NA,NA,0.0,0.0	0.355
NA,0.486,NA,NA,NA	NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.0	0.408
NA,0.099,NA,NA,NA	NA,NA,NA,NA,0.043,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,NA	0.088
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.0	0.25
NA,0.041,0.416,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.021,NA,NA,NA,0.228,0.0	0.166
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0,0.995,NA,NA,NA,1.0,1.0	0.001
NA,0.99,NA,NA,1.0	NA,NA,NA,NA,0.974,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,1.0,0.919	0.016
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.252	-0.063
NA,0.373,NA,NA,NA	NA,NA,NA,NA,0.216,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.0	0.33
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,1.0,0.961	0.008
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,1.0,0.954	0.009
NA,1.0,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,0.996,NA,NA,NA,0.434,1.0	0.114
NA,1.0,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,0.996,NA,NA,NA,0.429,1.0	0.115
NA,0.991,NA,NA,NA	NA,NA,NA,NA,0.988,NA,NA,NA,NA,NA,0.977,NA,NA,NA,1.0,1.0	-0.0
NA,0.996,NA,NA,NA	NA,NA,NA,NA,0.995,NA,NA,NA,NA,NA,0.989,NA,NA,NA,1.0,1.0	0.0
NA,0.028,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.011,NA,NA,NA,0.022,0.167	-0.022
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,1.0,NA,1.0,NA,1.0,0.994,NA,NA,NA,1.0,1.0	0.001
NA,0.998,NA,NA,1.0	NA,NA,NA,NA,0.993,NA,NA,NA,NA,NA,0.998,NA,NA,NA,1.0,1.0	0.001
NA,0.005,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.093	-0.018
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.996,NA,NA,NA,1.0,1.0	0.001
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,1.0,0.999,NA,NA,NA,1.0,1.0	0.0
NA,0.982,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.992,NA,NA,NA,1.0,0.892	0.005
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,1.0,NA,NA,1.0,NA,1.0,NA,NA,NA,1.0,0.945	0.009
NA,0.997,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.963,NA,NA,NA,1.0,1.0	0.006
NA,0.894,NA,NA,0.0	NA,NA,NA,NA,0.976,NA,NA,1.0,NA,1.0,0.907,NA,NA,NA,1.0,1.0	-0.534
NA,0.094,NA,NA,NA	NA,NA,NA,NA,0.268,NA,NA,0.0,NA,0.0,0.219,NA,NA,NA,0.216,0.351	-0.082
NA,1.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA	0.02
NA,1.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.993,NA,NA,NA,NA,NA	0.007
NA,0.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,NA,NA,NA,NA,NA	-0.003
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.765,NA,NA,NA,1.0,1.0	0.059
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.922,NA,NA,NA,1.0,1.0	0.019
NA,0.69,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA	-0.31
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.976,NA,NA,NA,0.504,NA	0.173
NA,0.923,NA,NA,NA	NA,NA,NA,NA,0.943,NA,NA,NA,NA,NA,1.0,NA,NA,NA,0.538,NA	0.096
NA,0.906,NA,NA,NA	NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,1.0,NA,NA,NA,0.167,NA	0.244
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,1.0,NA	0.333
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA	-0.001
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.045,NA,NA,NA,NA,NA	-0.022
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.903,NA,NA,NA,1.0,NA	0.032
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.114,NA,NA,NA,NA,NA,0.01,NA,NA,NA,0.0,0.0	-0.031
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.773,NA,NA,NA,1.0,0.755	0.118
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,0.996,NA,NA,NA,1.0,1.0	0.001
NA,0.828,1.0,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.935,NA,NA,NA,0.954,0.901	-0.034
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.944,NA,NA,NA,0.903,1.0	0.038
NA,0.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169,1.0	-0.723
NA,0.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.249,0.123	-0.457
NA,1.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,0.704,NA	0.148
NA,0.152,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.259,NA,NA,NA,0.368,NA	-0.162
NA,0.667,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,0.656,0.0	0.115
NA,1.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,0.897,NA	0.051
NA,1.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,0.927,0.5	0.191
NA,0.099,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.111,NA,NA,NA,0.152,0.137	-0.001
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.991,NA,NA,NA,1.0,1.0	0.002
NA,0.059,NA,NA,NA	NA,NA,NA,NA,0.112,NA,NA,0.0,NA,NA,0.001,NA,NA,NA,0.242,0.001	-0.012
NA,0.04,NA,NA,NA	NA,NA,NA,NA,0.069,NA,NA,0.0,NA,NA,0.002,NA,NA,NA,0.225,0.001	-0.019
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.012,NA,NA,NA,NA,NA,0.005,NA,NA,NA,0.0,0.0	-0.004
NA,0.295,NA,NA,NA	NA,NA,NA,NA,0.363,NA,NA,NA,NA,NA,0.694,NA,NA,NA,NA,0.0	-0.057
NA,0.974,NA,NA,1.0	NA,NA,NA,NA,0.939,NA,NA,NA,NA,NA,0.997,NA,NA,NA,1.0,0.949	0.016
NA,1.0,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,0.993,NA,NA,NA,1.0,1.0	0.001
NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.958,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,0.96,1.0	0.016
NA,1.0,NA,NA,1.0	NA,NA,NA,NA,1.0,1.0,1.0,NA,NA,NA,0.989,NA,NA,NA,1.0,0.892	0.02
NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,0.987,1.0	0.003
NA,1.0,1.0,NA,NA	NA,NA,NA,NA,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,0.99,1.0	0.002
NA,0.0,0.0,NA,NA	NA,NA,NA,NA,0.0,1.0,NA,NA,NA,0.0,0.069,NA,NA,NA,0.043,0.161	-0.212
