ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,69,7,2,63	0,6,0,0,4	54,0,0,0,40,0,2,42,71,103,110,12,7,0,59,1	0,0,0,0,0,0,0,1,0,11,18,4,4,0,3,0	182	149
1	0,0,0,0,1	0,0,0,0,1	0,0,4,0,0,0,0,0,7,3,0,0,0,0,6,0	1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0	229	149
2	0,0,0,0,0	0,0,0,0,3	0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0	1,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0	218	149
3	0,5,0,0,8	4,25,4,2,84	0,0,0,0,7,0,2,0,20,10,5,1,0,0,4,2	4,6,0,0,84,2,2,5,65,73,53,10,2,0,26,0	180	149
4	0,0,0,0,8	0,0,0,0,10	0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,2	1,0,0,0,0,0,0,0,16,16,1,0,0,0,4,1	180	149
5	0,4,0,0,2	0,0,0,0,0	0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	180	149
6	0,4,0,0,3	0,200,0,0,197	0,0,0,0,37,0,0,0,42,33,2,2,2,0,0,0	2,0,0,0,907,0,0,12,420,1058,479,29,0,0,0,24	274	149
7	0,4,0,0,1	0,4,0,0,0	0,0,0,0,37,0,0,0,23,23,0,2,2,0,0,1	0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0	274	149
8	0,0,0,0,0	3,231,0,1,613	2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0	78,0,0,0,1171,14,8,84,362,687,772,59,40,7,90,48	199	149
9	0,0,0,0,1	0,279,0,2,595	0,0,0,0,0,0,0,3,8,4,3,1,0,0,0,2	67,0,2,0,1201,12,6,70,387,666,870,42,37,0,75,93	263	149
10	6,4,3,10,14	4,5,0,0,11	4,1,3,0,14,7,5,0,17,3,2,1,5,0,1,15	0,2,0,0,18,0,0,2,16,9,2,0,3,0,0,9	354	149
11	0,0,0,0,1	2,1,0,3,1	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	1,0,2,0,0,2,0,1,1,1,1,1,2,0,18,0	158	149
12	0,15,1,0,528	2,6,0,6,1	13,0,0,0,251,0,0,55,71,215,173,23,20,2,24,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	273	149
13	0,2,0,0,1	0,0,0,0,1	0,0,0,0,8,0,0,2,0,2,4,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	280	149
14	2,0,5,13,5	42,14,19,56,219	0,0,0,0,0,2,0,0,0,3,0,4,3,2,0,0	0,3,0,0,120,0,0,13,34,121,100,6,29,16,5,0	332	149
15	0,12,0,0,57	7,8,3,8,40	0,0,0,0,23,0,0,2,3,36,29,0,0,0,0,2	0,0,0,0,33,0,0,4,6,22,15,1,2,4,2,0	280	149
17	13,36,36,358,46	1,32,2,9,8	100,401,222,183,30,403,592,82,168,516,4,59,122,51,285,220	7,228,53,80,0,237,234,12,252,704,8,4,70,2,210,25	874	149
18	0,2,0,6,5	1,32,2,9,8	9,10,6,10,0,22,36,7,19,66,0,2,5,1,21,14	7,228,53,80,0,237,234,12,252,704,8,4,70,2,210,25	199	149
19	0,16,0,0,50	72,1467,140,42,2473	16,0,2,1,10,3,1,21,39,38,18,15,1,0,0,15	207,18,6,6,1028,34,40,214,589,1063,1694,122,111,57,299,263	254	149
20	0,386,7,3,593	0,0,0,0,2	22,4,2,2,768,6,11,66,306,522,652,40,23,0,103,52	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	881	149
21	16,10,3,10,22	2,0,0,0,8	14,4,13,1,0,9,4,5,25,27,10,11,11,6,30,8	0,0,0,0,9,0,0,0,6,6,8,0,4,0,9,2	982	149
22	13,33,33,19,29	610,1996,403,885,1516	26,12,14,4,37,26,10,9,29,44,16,5,54,39,66,2	530,341,166,154,2464,192,264,355,527,1553,3381,318,698,1073,738,98	1041	149
23	11,9,7,14,58	0,0,0,0,1	5,8,2,7,38,10,6,4,37,52,22,3,20,8,0,15	1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0	665	149
24	2,0,3,3,5	1,0,0,0,2	0,4,2,1,0,0,1,0,3,4,7,2,2,1,0,0	2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	153	149
25	2,0,5,3,6	184,20,84,148,225	0,4,2,1,0,0,1,0,3,3,3,4,2,1,0,0	96,118,52,37,242,36,26,61,89,258,336,47,90,116,130,2	153	149
26	8,4,0,1,7	4,0,2,2,1	0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0	0,1,0,0,34,4,0,0,8,9,0,1,0,2,0,0	161	149
27	38,36,43,15,119	9,9,7,17,54	28,3,4,2,127,36,27,12,168,56,39,9,24,17,15,15	16,7,2,4,43,7,2,2,54,36,28,5,0,7,14,6	166	149
28	32,26,7,15,29	2,3,0,0,9	63,123,103,94,61,100,59,63,66,169,590,37,111,50,65,54	8,31,13,4,0,11,18,3,4,20,69,3,24,4,4,5	158	149
29	11,3,2,6,11	2,3,0,0,9	12,9,12,12,47,14,19,4,10,23,70,13,17,5,14,5	8,31,13,4,0,11,18,3,4,20,69,3,24,4,4,5	201	149
30	7,3,2,0,10	28,26,7,9,28	6,3,9,9,47,8,14,2,6,10,43,10,10,4,14,5	57,117,100,91,61,94,54,61,62,156,563,34,104,49,65,54	192	149
31	4,1,0,6,1	0,0,0,0,3	6,6,3,3,0,6,5,2,7,13,47,3,7,1,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	158	149
32	9,0,2,6,3	0,0,0,0,3	7,7,9,12,0,9,15,3,6,19,53,6,12,4,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	201	149
33	5,0,2,0,2	0,1,0,0,0	1,1,6,9,0,3,10,1,2,6,26,3,5,3,0,0	0,0,0,0,0,0,0,0,3,0,20,0,0,0,0,0	192	149
37	8,0,0,7,0	0,0,0,2,2	0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0	159	149
38	0,0,1,0,3	2,0,0,0,0	0,0,0,4,0,0,0,0,3,5,0,0,0,7,0,0	0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0	159	149
47	5,0,1,16,3	1,0,0,0,0	6,0,0,4,0,2,4,1,1,0,0,4,3,0,0,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	222	149
48	6,0,2,18,9	1,0,0,0,0	6,0,0,4,0,2,4,3,1,0,0,4,3,1,0,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	239	149
49	37,0,11,41,19	1,0,0,0,0	8,0,9,4,0,9,6,4,4,4,0,5,13,3,0,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	418	149
55	0,0,0,0,8	0,0,0,0,2	2,0,0,0,0,0,0,1,16,10,0,2,0,0,0,0	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0	369	149
57	0,21,0,0,3	0,29,0,0,31	0,0,0,0,81,0,0,0,32,18,31,0,0,0,10,0	6,0,0,0,23,0,2,34,64,85,75,1,10,0,29,7	296	149
58	0,26,0,0,11	0,2,0,0,17	2,0,0,0,122,0,0,7,17,15,35,6,6,0,19,19	3,0,0,0,7,2,0,3,12,33,37,0,8,0,4,4	208	149
59	2,630,0,0,557	0,0,0,0,0	60,0,0,0,1219,0,0,64,724,551,725,94,41,0,142,211	0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0	1232	149
60	2,606,0,0,563	0,0,0,0,0	61,0,0,0,1104,2,0,60,719,569,727,88,43,0,127,196	0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0	1173	149
61	2,2,8,10,28	0,0,0,0,0	3,6,8,16,11,4,4,8,21,16,10,6,6,2,3,13	0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0	183	149
66	0,43,2,0,22	10,198,8,9,153	4,0,0,0,30,1,0,10,9,26,42,2,12,0,28,11	17,4,0,1,183,6,5,30,70,122,402,31,11,2,202,32	204	149
67	10,31,29,2,109	0,0,0,0,1	37,7,1,2,138,32,34,45,142,117,172,22,58,12,184,33	0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0	2483	149
68	2,0,0,1,0	3,0,0,0,0	1,0,0,0,0,0,1,0,1,0,0,0,8,1,0,0	0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0	179	149
69	0,0,0,0,0	1,32,4,3,56	0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0	4,0,0,0,153,8,4,0,54,72,134,5,5,2,25,1	159	149
70	0,22,2,0,121	0,6,0,0,1	17,0,0,0,69,18,15,9,160,138,110,11,15,4,30,9	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	171	149
71	14,680,18,11,1324	0,0,0,0,2	48,2,4,5,917,30,10,169,726,744,846,117,48,1,187,169	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	889	149
72	0,69,0,0,34	4,190,8,2,675	0,0,0,0,69,2,0,11,65,14,21,13,0,0,34,16	43,2,0,0,281,8,2,67,191,330,496,47,22,1,35,21	267	149
73	1,0,0,0,4	0,0,0,0,0	4,0,0,0,76,2,1,3,5,6,2,0,0,2,2,2	0,0,0,0,0,1,0,2,2,0,0,0,0,2,0,1	223	149
74	0,0,0,0,0	0,0,0,0,1	0,4,0,0,0,0,1,2,2,0,0,1,2,0,0,0	2,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0	189	149
75	0,0,0,0,0	0,4,0,0,21	1,0,0,0,0,0,0,0,1,4,5,0,0,0,1,0	2,0,0,0,0,0,0,0,19,62,182,6,0,0,50,11	215	149
76	0,12,0,0,41	0,5,0,0,4	3,0,0,0,121,0,0,2,21,71,52,2,0,0,13,8	0,0,0,0,25,0,0,0,2,6,5,2,0,0,0,0	155	149
77	0,0,2,9,1	696,194,418,697,1170	4,0,0,2,0,3,2,2,10,0,0,1,4,0,0,1	403,333,124,85,1187,163,115,464,528,757,780,125,347,250,942,109	220	149
78	1,72,0,0,95	0,0,0,0,1	5,3,0,0,313,0,0,44,54,66,156,6,14,2,42,21	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	350	149
79	0,2,0,0,28	0,27,0,0,79	0,0,0,0,69,0,0,6,66,33,2,2,2,0,1,1	6,0,0,0,89,0,0,13,61,100,90,5,0,0,8,12	200	149
80	0,10,0,0,1	3,103,2,2,64	0,0,0,0,2,0,0,0,8,3,10,0,0,0,0,0	1,1,0,0,349,3,6,1,153,181,120,3,15,2,10,0	153	149
84	0,1,0,0,5	0,0,0,0,0	0,0,0,0,12,0,0,3,1,0,4,0,0,0,0,0	0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0	293	149
85	17,0,3,4,7	50,4,12,32,59	9,4,2,8,0,14,3,4,12,11,0,3,4,6,26,3	1,3,18,3,33,10,3,18,55,49,18,4,8,10,28,1	381	149
86	22,3,10,13,77	2,0,0,0,7	17,10,2,6,25,9,3,25,69,76,13,5,21,16,17,0	0,2,0,0,0,4,0,0,15,10,2,0,0,0,0,0	153	149
87	0,0,0,0,0	0,14,0,0,49	0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2	0,0,0,0,26,0,0,5,61,41,13,3,6,0,5,1	173	149
88	12,19,5,0,69	0,0,0,0,0	14,1,0,0,49,4,2,16,56,39,47,5,11,0,41,7	0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0	273	149
89	0,0,0,0,1	4,62,0,2,33	0,0,0,0,7,0,2,0,1,1,0,0,0,0,3,0	4,0,2,0,27,2,0,19,17,34,33,4,4,0,31,4	177	149
90	7,0,4,8,17	35,24,40,16,101	8,4,8,7,8,15,6,6,25,17,13,1,10,2,19,7	50,8,6,10,105,17,5,51,34,76,62,15,40,1,89,11	316	149
91	7,0,4,4,16	35,24,40,16,101	8,2,4,7,0,15,6,5,23,17,13,1,10,2,19,7	50,8,6,10,105,17,5,51,34,76,62,15,40,1,89,11	317	149
94	17,128,6,1,112	0,0,0,0,6	21,6,2,0,303,6,8,43,312,392,596,36,22,0,57,18	1,0,0,0,0,0,0,1,1,6,26,1,0,0,0,0	230	149
96	1,0,0,0,0	0,0,2,0,1	1,0,0,0,0,2,0,3,2,3,0,1,2,0,0,2	0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0	196	149
97	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0,2,0,3,2,3,4,1,2,0,0,2	0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0	196	149
98	1,0,1,0,3	0,11,0,0,56	1,0,0,0,2,4,0,3,2,9,5,1,3,0,1,2	13,0,0,0,40,0,0,12,15,44,78,17,0,0,0,14	196	149
99	0,11,0,0,0	0,81,0,0,23	0,0,0,0,0,0,1,2,1,3,0,0,0,0,0,0	12,0,0,0,18,0,4,5,5,60,77,13,4,0,34,1	164	149
100	2,53,2,4,60	0,0,0,0,1	16,0,0,0,247,7,0,15,22,79,347,6,7,0,70,4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	180	149
101	4,34,4,0,16	0,0,0,0,2	1,0,0,0,69,0,0,5,13,22,73,3,2,0,19,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	180	149
