ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
1	0,0,0,0,6	0,191,0,0,1250	1,0,0,0,11,0,0,0,8,3,29,0,0,0,9,2	31,0,0,0,1201,0,1,21,506,987,3702,143,0,0,159,199	197	149	1	1.0
2	0,9,0,0,30	0,79,0,0,133	0,0,0,0,39,0,0,2,12,25,77,5,2,0,0,2	3,0,0,0,402,0,0,4,27,126,1027,17,0,0,13,7	442	149	1	1.0
3	0,0,0,0,4	0,0,0,0,0	2,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	152	149	1	1.0
5	0,203,0,0,361	0,1040,0,0,1553	0,0,0,0,49,0,0,6,11,154,120,5,0,0,0,16	1,0,0,0,151,0,0,29,45,686,722,19,0,0,2,39	152	149	1	1.0
6	16,227,16,11,151	0,0,0,0,0	39,4,0,2,551,15,20,35,231,175,297,29,32,8,116,38	0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0	2227	149	1	1.0
7	0,0,0,0,4	0,0,0,0,2	0,0,0,0,15,0,0,0,19,24,11,0,0,0,0,1	0,0,0,0,0,0,0,0,19,10,2,0,0,0,0,0	192	149	1	1.0
8	0,4,0,0,4	0,200,0,0,197	0,0,0,0,23,0,0,0,19,25,11,0,0,0,0,0	2,0,0,0,907,0,0,12,420,1058,479,29,0,0,0,24	192	149	1	1.0
13	0,0,0,0,4	0,0,0,2,8	3,0,0,0,0,0,0,0,16,3,2,2,0,0,0,0	0,0,0,0,0,0,0,0,2,5,1,0,1,2,1,6	226	149	1	1.0
14	4,10,0,0,3	37,206,33,36,314	4,0,1,2,36,0,0,0,1,1,29,1,0,2,0,1	49,26,9,10,632,57,29,44,240,546,567,68,145,52,165,32	204	149	0.765528569688	1.0
15	0,30,0,0,10	4,499,0,0,353	0,0,0,0,18,0,0,0,24,14,25,2,5,0,0,13	40,0,0,0,1601,1,8,33,320,589,852,68,33,4,91,29	370	149	1	1.0
17	43,146,42,92,328	0,0,0,4,7	12,2,2,4,312,0,0,32,50,157,109,8,40,14,40,0	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	153	149	1	1.0
18	3,0,0,1,3	0,0,0,0,0	0,1,2,8,0,0,0,0,5,10,4,0,0,2,0,2	0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0	154	149	1	1.0
19	0,194,0,0,1035	0,0,0,0,3	19,0,0,0,694,0,0,52,550,833,539,51,7,0,59,92	0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0	2480	149	1	1.0
20	0,203,0,0,36	0,985,0,0,588	2,0,0,0,205,0,0,5,104,25,34,4,2,0,2,16	28,0,0,0,616,0,0,46,207,429,786,27,5,2,172,31	378	149	1	1.0
22	33,5,0,11,11	84,74,26,104,98	4,0,0,9,5,2,4,2,8,8,8,3,6,0,14,0	23,32,31,33,16,10,11,12,29,77,79,11,28,20,67,4	374	149	0.304583958113	1.0
23	4,3,0,9,10	0,0,0,0,0	5,0,0,1,17,2,1,0,18,8,1,2,3,4,2,3	0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0	198	149	1	1.0
24	5,3,0,9,11	0,5,0,0,1	5,0,0,1,17,2,1,0,18,10,3,2,3,4,2,4	0,4,0,0,0,0,1,0,5,1,2,0,2,0,5,0	198	149	1	1.0
25	4,4,0,9,25	4,6,0,5,18	6,0,1,1,66,2,1,1,24,16,10,2,3,8,7,11	12,0,0,0,18,5,4,4,25,10,33,6,2,1,17,16	198	149	1	1.0
26	1,0,5,1,10	0,0,0,0,0	2,4,0,0,0,0,2,3,19,8,19,6,0,0,0,7	0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0	153	149	1	1.0
27	23,31,2,26,10	581,1986,336,851,1902	18,6,5,5,11,4,2,11,3,20,26,7,23,38,3,1	368,285,209,158,1827,146,175,327,775,1839,2743,289,784,1113,770,153	166	149	0.559049190003	1.0
28	16,0,18,11,60	0,0,1,0,7	10,11,2,8,16,7,2,2,39,62,46,7,13,11,50,0	0,0,0,0,0,0,0,1,1,2,0,0,0,2,2,0	182	149	1	1.0
29	16,0,16,6,52	2,0,0,0,0	11,7,2,6,16,5,2,1,31,48,40,8,13,10,58,0	0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0	182	149	1	1.0
30	11,0,0,6,3	0,0,0,0,0	9,0,0,3,0,0,0,2,4,5,0,2,3,2,10,0	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	940	149	1	1.0
32	4,0,0,2,0	0,0,2,0,1	2,0,0,0,0,2,2,2,0,3,4,0,4,0,21,6	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	905	149	1	1.0
33	54,84,59,124,164	0,0,1,0,2	10,0,2,5,22,11,4,6,44,42,16,4,8,2,0,4	0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0	2396	149	1	1.0
34	9,73,6,5,33	0,9,0,1,23	0,4,0,14,43,6,2,1,41,47,70,0,8,3,8,0	6,0,0,0,32,0,0,0,9,16,13,0,0,0,12,0	215	149	1	1.0
37	0,0,0,0,0	2,0,0,0,0	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0	164	149	1	1.0
48	0,13,0,0,17	0,13,0,0,43	0,0,0,0,102,0,0,2,48,43,37,4,0,0,0,3	0,0,0,0,65,0,0,4,32,43,65,1,1,0,3,5	845	149	1	1.0
49	0,100,0,0,34	0,0,0,0,2	1,1,0,0,59,0,0,0,68,24,27,1,4,2,2,13	0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1	155	149	1	1.0
50	0,55,2,0,59	0,3,0,0,0	19,2,0,0,31,0,4,3,110,35,4,1,18,2,8,14	0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,1	193	149	1	1.0
51	0,41,0,2,23	2,199,0,0,92	1,0,0,0,26,2,0,1,15,10,54,2,0,0,8,4	27,0,0,0,202,0,0,14,55,80,238,21,4,0,15,35	152	149	1	1.0
52	0,355,0,0,196	0,1,0,0,0	22,0,0,0,300,2,0,20,74,98,354,39,8,0,37,17	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	212	149	1	1.0
54	0,5,0,0,22	0,4,0,0,59	3,0,0,0,25,2,0,0,52,29,42,8,0,0,11,12	14,0,0,0,99,1,0,8,132,80,86,18,6,1,9,17	152	149	1	1.0
55	0,16,0,0,25	0,131,2,2,439	2,0,0,0,38,0,0,2,7,12,2,1,1,0,16,8	56,0,0,0,185,0,0,40,227,194,169,16,10,0,180,84	152	149	1	1.0
56	0,46,0,0,36	0,609,0,0,299	0,0,0,0,0,0,0,2,5,21,23,1,1,0,0,5	28,0,0,0,329,0,0,25,129,144,346,15,1,0,45,34	152	149	1	1.0
57	0,7,0,0,0	0,788,0,0,282	2,0,0,0,0,0,0,1,2,3,10,0,0,0,0,1	14,0,0,0,208,0,0,25,102,149,365,11,2,0,1,35	170	149	1	1.0
58	0,1020,0,0,265	0,18,0,0,4	6,0,0,0,197,0,0,29,53,92,355,15,4,0,67,22	0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0	153	149	1	1.0
59	0,10,0,0,13	0,0,0,0,0	0,0,0,0,102,0,0,2,16,7,6,1,0,0,0,0	0,0,0,0,0,0,0,0,0,2,10,1,0,0,0,0	235	149	1	1.0
60	0,222,0,0,45	0,0,0,0,0	5,0,0,0,141,0,0,7,38,40,126,13,0,0,9,16	0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0	181	149	1	1.0
61	2,1111,0,0,742	0,0,0,0,5	72,0,0,0,2211,0,1,102,989,749,1141,159,49,0,196,286	0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,5	2008	149	1	1.0
62	0,42,0,0,43	0,0,0,0,1	5,0,0,0,101,0,0,5,73,35,45,8,4,0,28,10	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3	153	149	1	1.0
63	0,459,4,1,253	0,0,0,0,0	21,0,0,0,904,0,0,35,226,336,392,29,16,0,47,169	0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0	401	149	1	1.0
65	0,0,0,0,6	0,0,0,0,27	0,0,0,0,2,0,0,0,46,4,0,0,0,0,4,0	2,0,0,0,56,0,0,9,15,35,24,7,0,0,0,1	582	149	1	1.0
66	4,2,1,0,69	0,2,0,0,46	3,0,0,0,7,0,0,3,14,18,7,4,0,0,1,5	0,0,0,0,0,0,0,7,7,20,7,5,0,0,2,12	152	149	1	1.0
67	0,0,0,0,6	0,0,0,0,27	0,0,0,0,0,0,0,6,2,6,3,1,0,0,0,1	2,0,0,0,4,0,0,9,9,19,3,1,1,0,0,4	152	149	1	1.0
68	0,0,0,0,0	0,2,0,0,6	0,0,0,0,16,0,0,0,6,2,0,0,0,0,0,0	0,0,0,0,59,0,0,2,0,0,26,1,0,0,0,0	200	149	1	1.0
70	0,0,1,0,3	10,22,13,18,128	0,2,0,0,0,4,0,1,4,1,0,0,0,2,14,5	27,18,0,4,151,14,16,40,93,113,86,11,22,16,68,20	200	149	1	1.0
71	0,26,0,0,8	6,114,9,0,138	4,0,0,0,21,0,0,10,19,17,19,6,3,0,0,18	38,0,0,0,361,4,5,156,64,115,466,43,31,2,74,79	309	149	1	1.0
72	0,26,0,0,10	0,5,0,0,2	4,0,0,0,21,0,0,10,19,17,19,6,3,0,0,18	0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0	309	149	1	1.0
