IncLevel1	IncLevel2	IncLevelDifference
NA,0.0,NA,NA,0.004	0.024,NA,NA,NA,0.007,NA,0.0,0.0,0.012,0.002,0.006,0.0,NA,NA,0.041,0.008	-0.008
NA,0.037,NA,NA,0.071	0.0,NA,NA,NA,0.032,NA,NA,0.144,0.13,0.063,0.025,0.09,1.0,NA,0.0,0.088	-0.103
NA,NA,NA,NA,1.0	1.0,NA,NA,NA,NA,NA,NA,NA,NA,0.831,NA,NA,1.0,NA,NA,1.0	0.042
NA,0.161,NA,NA,0.186	0.0,NA,NA,NA,0.241,NA,NA,0.169,0.193,0.18,0.14,0.205,NA,NA,0.0,0.287	0.016
1.0,1.0,1.0,1.0,1.0	1.0,1.0,NA,1.0,1.0,0.334,1.0,1.0,1.0,0.921,1.0,1.0,1.0,1.0,1.0,1.0	0.05
NA,NA,NA,NA,0.608	NA,NA,NA,NA,1.0,NA,NA,NA,0.437,0.651,0.81,NA,NA,NA,NA,1.0	-0.172
NA,0.015,NA,NA,0.016	0.0,NA,NA,NA,0.019,NA,NA,0.0,0.034,0.018,0.018,0.0,NA,NA,NA,0.0	0.004
NA,NA,NA,0.0,0.248	1.0,NA,NA,NA,NA,NA,NA,NA,0.841,0.283,0.569,1.0,0.0,0.0,0.0,0.0	-0.286
0.073,0.034,0.0,0.0,0.007	0.056,0.0,0.075,0.127,0.04,0.0,0.0,0.0,0.003,0.001,0.036,0.011,0.0,0.027,0.0,0.022	-0.002
0.0,0.024,NA,NA,0.011	0.0,NA,NA,NA,0.005,0.0,0.0,0.0,0.029,0.009,0.012,0.012,0.058,0.0,0.0,0.153	-0.01
1.0,1.0,1.0,0.957,0.979	1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0,0.994,1.0,1.0,1.0,1.0,1.0,NA	-0.012
1.0,NA,NA,1.0,1.0	NA,1.0,1.0,1.0,NA,NA,NA,0.0,1.0,1.0,1.0,NA,NA,1.0,NA,1.0	0.111
