IncLevel1	IncLevel2	IncLevelDifference
NA,0.09,0.165,NA,0.622	0.604,NA,NA,NA,0.63,0.096,0.257,1.0,0.618,0.707,0.561,0.874,0.206,0.0,0.229,0.568	-0.196
0.0,0.244,0.0,NA,0.373	0.0,0.0,NA,0.0,0.281,0.139,0.0,0.608,0.172,0.314,0.32,0.287,0.108,0.0,0.03,0.133	-0.005
0.0,0.306,0.125,0.0,0.61	0.266,0.0,0.118,0.0,0.664,0.073,0.125,0.468,0.581,0.6,0.539,0.304,0.137,0.0,0.309,0.611	-0.091
0.251,0.437,0.453,0.246,0.601	0.485,0.272,0.136,0.195,0.565,0.446,0.572,0.584,0.766,0.545,0.709,0.659,0.517,0.232,0.632,0.819	-0.111
0.0,0.567,NA,NA,0.74	0.764,NA,NA,NA,0.559,1.0,0.0,0.481,0.658,0.735,0.644,0.512,0.822,NA,0.546,0.509	-0.167
0.0,0.286,NA,NA,0.343	0.288,0.0,1.0,NA,0.301,0.433,0.0,0.364,0.302,0.339,0.366,0.268,0.179,NA,0.302,0.478	-0.12
NA,0.709,NA,NA,0.942	0.278,NA,NA,NA,0.766,NA,NA,0.667,0.971,0.936,0.756,0.786,1.0,NA,0.564,0.753	0.078
NA,0.676,1.0,NA,0.486	0.293,NA,NA,NA,0.832,NA,NA,0.543,0.228,0.552,0.691,0.597,1.0,NA,0.131,0.428	0.191
0.0,0.426,0.343,0.0,0.602	0.024,NA,NA,NA,0.702,NA,NA,0.29,0.255,0.625,0.47,0.33,0.104,NA,0.053,0.288	-0.04
NA,0.325,NA,NA,0.404	0.144,NA,NA,NA,0.089,NA,NA,0.367,0.211,0.405,0.267,0.412,0.0,NA,0.0,0.289	0.146
0.0,0.186,0.0,NA,0.483	0.032,NA,NA,NA,0.232,NA,0.0,0.26,0.361,0.458,0.263,0.536,0.0,NA,0.0,0.253	-0.05
0.105,0.0,0.0,0.0,0.0	0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.02
1.0,0.458,NA,NA,0.41	0.0,NA,NA,0.488,0.372,NA,NA,0.632,0.236,0.456,0.483,0.36,0.0,1.0,0.029,0.342	0.256
0.0,0.996,1.0,NA,1.0	0.886,NA,NA,NA,0.997,NA,NA,1.0,0.971,0.982,0.985,1.0,1.0,1.0,1.0,1.0	-0.235
0.0,0.633,1.0,0.0,0.412	0.2,NA,NA,NA,0.595,0.0,NA,0.31,0.289,0.464,0.643,0.47,0.276,0.117,0.306,0.774	0.039
0.0,0.461,1.0,NA,0.432	0.585,NA,NA,NA,0.415,0.814,0.215,0.515,0.428,0.434,0.421,0.504,0.449,0.0,0.442,0.514	0.032
0.421,0.0,0.312,0.18,0.346	0.209,0.171,0.14,0.0,1.0,0.306,0.34,0.44,0.431,0.443,0.555,0.61,0.465,0.211,0.796,0.602	-0.168
NA,NA,NA,NA,0.362	1.0,NA,1.0,0.0,NA,0.0,NA,1.0,0.85,0.487,0.126,0.0,NA,0.655,1.0,NA	-0.194
NA,NA,NA,NA,0.178	NA,NA,NA,NA,0.0,NA,0.0,0.292,0.508,0.195,0.481,0.0,0.34,0.0,0.128,0.674	-0.06
NA,NA,NA,0.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,NA,NA,NA,NA	-0.333
0.0,NA,0.0,0.0,0.0	NA,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0	-0.01
0.0,NA,0.0,0.209,0.0	NA,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.114,0.346,0.0,0.0,0.0,0.0	0.017
0.0,NA,0.0,0.0,0.425	NA,0.0,NA,0.0,0.154,0.0,0.0,0.121,0.399,0.445,0.194,0.189,0.087,0.0,0.171,0.087	-0.026
0.762,0.0,1.0,1.0,0.522	0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.776,0.277,0.314,0.535,0.497,0.919,1.0,0.922,0.82	-0.097
1.0,1.0,1.0,1.0,0.803	1.0,1.0,NA,1.0,1.0,1.0,NA,NA,1.0,0.775,0.486,0.787,1.0,1.0,1.0,0.664	0.06
0.0,0.0,0.0,0.0,0.059	0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.051,0.072,0.0,0.0,0.0,0.0,1.0	-0.063
0.0,0.423,0.0,0.0,0.333	0.438,0.0,0.0,0.0,0.124,0.438,0.609,1.0,0.824,0.395,0.134,0.342,0.0,0.0,0.438,1.0	-0.208
0.536,0.587,0.536,0.39,0.504	0.366,0.912,0.0,0.536,0.196,0.224,0.0,NA,0.867,0.62,0.268,0.48,0.776,0.316,0.366,1.0	0.049
0.785,0.499,0.671,0.783,0.518	0.553,0.609,0.738,0.476,0.54,0.777,0.818,0.593,0.545,0.517,0.566,0.623,0.787,0.731,0.622,0.428	0.031
0.0,0.259,1.0,NA,0.134	0.499,NA,NA,NA,0.232,0.0,1.0,0.395,0.053,0.175,0.258,0.179,0.749,NA,0.34,0.337	-0.003
0.608,0.826,0.568,0.729,0.679	0.464,0.651,0.55,0.651,0.369,0.728,0.807,0.677,0.61,0.702,0.613,0.608,0.577,0.628,0.741,0.401	0.071
0.985,NA,0.965,0.97,0.982	0.989,0.956,0.968,0.942,1.0,1.0,0.916,1.0,0.859,0.993,1.0,0.926,0.978,0.935,0.979,1.0	0.01
0.759,0.0,0.657,0.711,0.608	0.836,0.893,0.972,0.897,0.0,0.728,0.429,0.354,0.581,0.797,0.703,0.785,0.908,0.938,0.657,1.0	-0.17
0.448,0.553,0.559,0.362,0.46	0.462,0.438,0.533,0.225,0.541,0.537,0.661,0.437,0.417,0.517,0.518,0.546,0.58,0.487,0.571,0.482	-0.021
0.092,0.0,0.094,0.113,0.056	0.136,0.278,0.131,0.12,0.0,0.108,0.0,0.0,0.217,0.019,0.097,0.165,0.0,0.175,0.0,0.0	-0.019
0.065,0.132,0.02,0.072,0.037	0.117,0.049,0.149,0.027,0.0,0.082,0.011,0.066,0.1,0.042,0.035,0.089,0.044,0.047,0.069,0.045	0.004
0.34,0.0,0.202,0.368,0.15	0.215,0.145,0.739,0.575,0.0,0.125,0.038,0.215,0.075,0.072,0.189,0.091,0.075,0.622,0.068,0.391	-0.015
