ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	11,32,12,0,41	19,60,10,12,62	30,0,2,5,97,15,14,5,83,40,62,17,17,5,58,6	39,9,14,12,107,13,22,13,63,73,177,20,36,28,67,9	372	149	0.720973930177	1.0	0.188,0.176,0.325,0.0,0.209	0.236,0.0,0.054,0.143,0.266,0.316,0.203,0.133,0.345,0.18,0.123,0.254,0.159,0.067,0.257,0.211	-0.005
2	267,12777,121,97,564	0,90,0,0,6	525,31,52,85,2765,95,77,362,690,921,3025,196,195,84,606,108	0,0,0,0,29,0,0,1,3,3,0,0,0,2,0,1	2403	149	0.000436385556318	0.01091295742929082	1.0,0.898,1.0,1.0,0.854	1.0,1.0,1.0,1.0,0.855,1.0,1.0,0.957,0.934,0.95,1.0,1.0,1.0,0.723,1.0,0.87	-0.005
8	0,0,0,0,0	0,0,0,0,50	0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0	11,0,0,0,0,0,0,0,37,57,0,0,0,0,10,0	1223	149	1	1.0	NA,NA,NA,NA,0.0	0.0,NA,NA,NA,NA,NA,NA,NA,0.007,0.0,NA,NA,NA,NA,0.089,NA	-0.024
9	0,0,0,0,2	19,0,0,0,59	1,0,0,0,0,0,0,0,18,15,0,0,0,0,0,0	18,2,0,0,0,0,0,0,27,74,0,0,0,0,0,0	1432	149	1	1.0	0.0,NA,NA,NA,0.004	0.006,0.0,NA,NA,NA,NA,NA,NA,0.065,0.021,NA,NA,NA,NA,NA,NA	-0.021
11	13,26,28,306,42	0,5,0,0,0	78,294,185,134,30,317,515,76,106,347,0,48,94,43,218,131	3,5,0,2,0,0,2,1,28,66,0,0,2,0,17,5	620	149	1	1.0	1.0,0.555,1.0,1.0,1.0	0.862,0.934,1.0,0.942,1.0,1.0,0.984,0.948,0.476,0.558,NA,1.0,0.919,1.0,0.755,0.863	0.028
13	0,66,0,0,68	0,147,2,0,574	11,0,0,0,340,0,0,7,171,88,74,25,1,0,28,48	19,0,0,0,378,4,4,43,226,435,619,29,7,0,92,28	2371	149	1	1.0	NA,0.027,0.0,NA,0.007	0.035,NA,NA,NA,0.054,0.0,0.0,0.01,0.045,0.013,0.007,0.051,0.009,NA,0.019,0.097	-0.017
14	0,199,0,0,105	7,187,18,4,604	5,0,0,0,448,0,0,12,146,110,97,3,6,0,24,31	24,2,2,0,242,14,16,54,183,496,641,25,13,0,136,17	817	149	1	1.0	0.0,0.163,0.0,0.0,0.031	0.037,0.0,0.0,NA,0.252,0.0,0.0,0.039,0.127,0.039,0.027,0.021,0.078,NA,0.031,0.25	-0.026
15	2,249,0,0,159	0,0,0,0,2	13,0,0,0,812,4,0,12,275,167,133,4,27,0,34,37	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2462	149	1	1.0	1.0,1.0,NA,NA,0.828	1.0,NA,NA,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0	-0.057
16	2,75,0,0,64	0,212,7,3,498	11,0,0,0,402,4,0,5,141,61,51,2,15,0,10,12	20,4,2,2,358,6,11,59,171,416,570,38,11,0,79,27	1730	149	1	1.0	1.0,0.03,0.0,0.0,0.011	0.045,0.0,0.0,0.0,0.088,0.054,0.0,0.007,0.066,0.012,0.008,0.005,0.105,NA,0.011,0.037	0.179
17	2,497,0,0,69	0,0,0,0,0	11,1,0,2,574,2,0,8,171,84,94,14,8,0,19,44	0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0	1192	149	1	1.0	1.0,1.0,NA,NA,1.0	1.0,1.0,NA,1.0,1.0,1.0,NA,1.0,0.842,0.84,1.0,1.0,1.0,NA,1.0,1.0	0.024
