IncLevel1	IncLevel2	IncLevelDifference
0.188,0.176,0.325,0.0,0.209	0.236,0.0,0.054,0.143,0.266,0.316,0.203,0.133,0.345,0.18,0.123,0.254,0.159,0.067,0.257,0.211	-0.005
1.0,0.898,1.0,1.0,0.854	1.0,1.0,1.0,1.0,0.855,1.0,1.0,0.957,0.934,0.95,1.0,1.0,1.0,0.723,1.0,0.87	-0.005
NA,NA,NA,NA,0.0	0.0,NA,NA,NA,NA,NA,NA,NA,0.007,0.0,NA,NA,NA,NA,0.089,NA	-0.024
0.0,NA,NA,NA,0.004	0.006,0.0,NA,NA,NA,NA,NA,NA,0.065,0.021,NA,NA,NA,NA,NA,NA	-0.021
1.0,0.555,1.0,1.0,1.0	0.862,0.934,1.0,0.942,1.0,1.0,0.984,0.948,0.476,0.558,NA,1.0,0.919,1.0,0.755,0.863	0.028
NA,0.027,0.0,NA,0.007	0.035,NA,NA,NA,0.054,0.0,0.0,0.01,0.045,0.013,0.007,0.051,0.009,NA,0.019,0.097	-0.017
0.0,0.163,0.0,0.0,0.031	0.037,0.0,0.0,NA,0.252,0.0,0.0,0.039,0.127,0.039,0.027,0.021,0.078,NA,0.031,0.25	-0.026
1.0,1.0,NA,NA,0.828	1.0,NA,NA,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0	-0.057
1.0,0.03,0.0,0.0,0.011	0.045,0.0,0.0,0.0,0.088,0.054,0.0,0.007,0.066,0.012,0.008,0.005,0.105,NA,0.011,0.037	0.179
1.0,1.0,NA,NA,1.0	1.0,1.0,NA,1.0,1.0,1.0,NA,1.0,0.842,0.84,1.0,1.0,1.0,NA,1.0,1.0	0.024
0.025,NA,0.09,0.017,0.041	0.044,0.009,0.031,0.089,0.0,0.097,0.154,0.043,0.103,0.041,0.0,0.035,0.016,0.027,0.017,0.0	-0.001
1.0,0.306,0.732,0.686,0.656	1.0,0.522,1.0,1.0,0.273,1.0,0.656,0.45,0.492,0.199,0.565,0.884,0.45,0.0,0.402,0.353	0.098
1.0,1.0,0.833,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.764,0.131,1.0,1.0,1.0,1.0,1.0	0.036
0.145,NA,NA,1.0,NA	1.0,NA,NA,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,NA,0.0,NA,1.0,0.46	-0.274
1.0,NA,0.099,1.0,0.18	1.0,NA,NA,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0	-0.43
0.427,NA,1.0,NA,1.0	1.0,NA,NA,NA,NA,0.498,1.0,1.0,1.0,1.0,NA,1.0,0.0,NA,NA,0.0	0.087
0.016,0.0,0.017,0.016,0.017	0.016,0.002,0.02,0.043,0.0,0.102,0.083,0.029,0.016,0.022,0.003,0.0,0.019,0.021,0.022,0.058	-0.015
0.516,0.04,0.178,0.208,0.046	0.213,0.505,0.811,0.633,0.015,0.665,0.605,0.157,0.106,0.023,0.006,0.169,0.553,0.629,0.356,0.08	-0.148
0.495,0.346,0.532,0.451,0.085	0.176,0.662,1.0,1.0,0.177,0.761,0.697,0.18,0.114,0.061,0.033,0.127,0.434,0.291,0.065,0.162	0.011
1.0,NA,NA,1.0,1.0	NA,NA,1.0,1.0,NA,NA,NA,NA,1.0,0.412,NA,NA,1.0,1.0,NA,1.0	0.084
1.0,NA,1.0,NA,0.0	1.0,NA,NA,NA,0.156,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,NA,NA,1.0	0.016
0.006,0.0,0.0,0.0,0.005	0.0,0.0,NA,0.0,0.0,0.0,0.0,0.013,0.03,0.019,0.003,0.0,0.0,0.0,0.015,0.028	-0.005
NA,0.004,NA,NA,0.0	0.0,NA,NA,NA,0.0,0.0,NA,0.0,0.006,0.008,0.0,0.0,0.0,NA,0.0,0.0	0.001
NA,NA,NA,NA,0.484	1.0,NA,NA,NA,NA,NA,NA,1.0,1.0,0.575,NA,1.0,NA,NA,1.0,1.0	-0.455
NA,NA,NA,NA,0.286	NA,NA,NA,NA,NA,NA,NA,NA,0.561,0.429,NA,NA,NA,NA,1.0,1.0	-0.462
NA,1.0,NA,NA,1.0	1.0,NA,NA,NA,1.0,NA,NA,1.0,0.906,0.966,1.0,1.0,1.0,NA,1.0,1.0	0.013
NA,0.597,NA,NA,0.587	0.747,NA,NA,NA,0.777,NA,NA,0.779,0.985,0.625,0.489,0.81,1.0,NA,1.0,0.945	-0.224
NA,0.047,NA,NA,0.039	0.0,NA,NA,NA,0.016,NA,NA,0.0,0.342,0.017,0.006,0.139,NA,NA,0.0,0.115	-0.028
NA,0.023,NA,NA,0.0	0.2,NA,NA,NA,0.069,NA,NA,0.0,0.063,0.0,0.021,0.0,0.407,NA,0.108,0.04	-0.079
NA,0.0,NA,NA,0.076	0.0,NA,NA,NA,0.006,0.0,NA,0.0,0.085,0.097,0.041,0.0,0.0,0.0,0.0,0.201	0.002
NA,0.0,NA,NA,0.0	0.0,NA,NA,NA,0.024,0.0,NA,NA,0.1,0.115,0.0,0.0,NA,NA,0.0,0.0	-0.027
NA,0.667,NA,NA,0.304	NA,NA,NA,NA,0.208,NA,NA,1.0,0.401,0.211,0.175,1.0,0.135,NA,0.0,1.0	0.027
NA,NA,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,NA,0.922,0.409,1.0,NA,1.0,NA,NA,NA	0.134
NA,0.136,NA,NA,0.335	1.0,NA,NA,NA,0.384,NA,NA,0.311,0.304,0.286,0.224,0.267,NA,NA,0.0,0.311	-0.107
NA,0.107,NA,NA,0.16	0.0,NA,NA,NA,0.353,NA,NA,0.0,0.47,0.12,0.047,0.341,NA,NA,0.639,0.587	-0.151
NA,1.0,NA,NA,0.959	1.0,NA,NA,NA,0.955,NA,1.0,1.0,0.925,0.873,0.936,1.0,NA,NA,0.861,1.0	0.024
NA,0.983,NA,NA,0.582	0.437,NA,NA,NA,0.967,0.0,1.0,0.7,0.691,0.401,0.666,1.0,0.225,NA,0.81,0.799	0.141
1.0,1.0,NA,NA,1.0	1.0,NA,NA,NA,0.94,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0	0.005
NA,0.173,NA,NA,0.146	NA,NA,NA,NA,0.326,NA,NA,0.495,0.53,0.138,0.094,0.318,NA,NA,NA,0.503	-0.184
NA,NA,NA,NA,0.214	0.333,1.0,NA,0.0,0.147,NA,NA,0.077,0.462,0.115,0.414,NA,1.0,NA,NA,0.117	-0.153
