IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
19,8,11,0,75	0,0,0,0,0	4,2,1,9,61,28,30,3,83,99,40,13,11,2,555,25	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	313	149
9,4,4,1,41	0,0,0,0,0	10,5,2,8,33,11,6,4,52,80,38,1,7,0,589,12	0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0	355	149
20,1,3,2,26	2,0,0,0,0	8,7,12,7,0,9,1,0,24,17,16,3,7,1,233,10	0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0	252	149
3,0,4,2,36	0,0,0,2,16	2,2,5,0,18,2,0,0,35,41,4,0,3,0,226,7	1,0,0,0,0,0,5,0,0,8,0,0,0,2,10,1	252	149
16,4,7,2,83	0,0,0,0,0	4,3,7,0,30,4,2,10,151,93,25,23,19,0,24,13	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	269	149
0,4,2,0,178	0,0,0,0,1	11,0,0,0,110,4,2,14,383,160,53,24,5,0,10,38	1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	401	149
0,2,2,0,126	0,0,0,0,0	11,0,0,0,91,2,2,6,313,108,35,20,3,0,9,36	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	401	149
0,14,7,0,53	0,0,0,0,0	5,0,0,0,37,13,4,0,134,31,19,2,8,2,21,19	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	278	149
0,16,7,0,105	0,0,0,0,1	4,0,0,0,56,15,4,8,204,84,38,7,10,2,22,22	0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1	278	149
11,20,12,0,136	0,0,0,0,0	22,2,0,2,84,25,14,5,406,131,56,13,24,14,52,38	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	269	149
41,1,11,21,56	0,0,0,0,1	31,17,9,14,79,37,32,21,136,76,65,13,24,18,78,23	0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0	241	149
6,15,2,0,71	0,0,0,0,0	28,0,0,0,152,0,2,12,90,70,40,13,7,2,24,7	0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0	252	149
0,5,0,0,46	0,0,0,0,0	23,0,2,0,44,1,1,7,138,60,62,18,2,1,32,14	0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0	269	149
0,0,0,0,0	0,10,0,0,39	0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0	0,0,0,0,52,0,0,4,26,32,24,5,0,0,6,7	179	149
0,25,0,0,57	0,0,0,0,2	8,0,0,0,71,0,0,5,30,67,66,7,4,0,37,13	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	207	149
2,62,6,0,93	0,0,0,0,0	15,0,2,0,183,2,6,5,275,94,103,5,10,0,15,7	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	273	149
71,419,61,35,333	0,2,0,0,0	141,44,13,40,443,74,68,51,384,399,710,91,144,44,312,44	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	356	149
93,294,31,63,288	0,0,0,0,1	165,36,25,10,349,65,77,38,243,371,550,43,117,63,354,111	0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0	279	149
71,180,36,30,248	0,0,0,0,6	89,24,14,26,248,50,41,28,320,357,414,68,151,27,430,102	0,0,0,0,36,0,0,0,4,2,3,0,0,0,0,4	303	149
30,123,23,16,286	0,0,0,0,0	58,13,7,8,308,25,28,25,353,408,415,44,88,19,304,116	0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0	284	149
8,93,0,2,287	0,0,0,0,0	18,2,0,0,211,0,1,15,303,322,276,48,3,3,93,123	0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0	250	149
116,46,30,53,194	0,0,0,0,0	128,35,42,51,137,91,70,32,140,275,227,51,101,79,295,24	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0	312	149
84,47,31,35,293	0,0,0,0,0	144,26,27,28,197,93,85,47,372,359,426,78,124,54,421,90	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	418	149
6,15,6,4,258	0,0,0,0,0	87,6,0,1,200,15,17,31,313,289,241,82,45,7,302,33	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	340	149
16,6,6,8,117	0,0,0,0,0	67,2,0,0,93,6,8,24,142,125,156,33,33,3,147,15	0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0	294	149
83,19,35,40,207	0,0,0,0,0	108,25,9,26,88,47,65,31,287,243,139,50,75,45,333,36	0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0	228	149
778,55,447,497,1132	0,0,0,0,0	752,309,278,387,777,600,562,231,1562,1412,925,338,909,526,1603,264	0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0	1476	149
9,646,7,6,45	0,6,0,0,0	110,1,0,0,265,14,7,52,35,97,269,34,34,4,98,20	0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0	319	149
9,707,7,6,51	0,6,0,0,0	108,1,0,0,294,14,7,53,38,97,255,32,34,6,98,21	0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0	309	149
2,752,2,0,136	0,0,0,0,0	59,0,0,0,337,2,0,55,138,229,521,22,9,0,64,25	0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0	320	149
0,261,2,0,71	0,17,0,0,0	30,0,0,0,97,0,0,30,80,114,251,17,4,0,7,14	0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0	215	149
0,214,0,0,144	0,0,0,0,0	25,0,0,0,152,0,0,48,128,206,280,26,1,0,7,4	0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0	258	149
13,105,16,2,134	0,8,0,0,1	80,3,0,0,136,8,4,57,85,201,249,25,14,2,69,6	0,0,0,0,1,0,0,0,4,3,4,0,0,0,0,0	246	149
