IncLevel1	IncLevel2	IncLevelDifference
NA,0.904,1.0,1.0,0.928	1.0,NA,NA,NA,1.0,NA,1.0,0.972,1.0,0.885,0.833,0.711,0.589,NA,0.942,1.0	0.055
NA,NA,NA,NA,0.394	0.0,NA,1.0,NA,NA,0.0,0.0,NA,1.0,1.0,NA,NA,NA,NA,1.0,NA	-0.177
NA,NA,NA,NA,0.0	0.0,NA,NA,NA,NA,NA,NA,NA,0.804,0.313,NA,NA,0.0,NA,NA,NA	-0.279
0.0,0.142,0.0,0.0,0.073	0.0,0.0,NA,NA,0.065,0.0,0.453,0.0,0.203,0.102,0.072,0.076,0.0,NA,0.113,1.0	-0.117
NA,NA,NA,NA,0.398	0.0,NA,NA,NA,NA,NA,NA,NA,0.318,0.206,0.623,1.0,NA,NA,0.0,0.623	0.002
NA,1.0,NA,NA,1.0	NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,1.0,NA,NA,NA,NA,NA	0.333
NA,0.011,NA,NA,0.008	0.0,NA,NA,NA,0.022,NA,NA,0.0,0.052,0.017,0.002,0.036,NA,NA,NA,0.0	-0.007
NA,0.352,NA,NA,1.0	NA,NA,NA,NA,0.716,NA,NA,NA,1.0,0.926,NA,1.0,NA,NA,NA,1.0	-0.252
0.0,0.0,NA,0.0,0.0	0.019,NA,NA,NA,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0	-0.003
NA,0.0,NA,0.0,0.001	0.0,NA,0.0,NA,0.0,0.0,0.0,0.024,0.012,0.003,0.002,0.013,0.0,NA,0.0,0.012	-0.005
0.333,0.286,NA,1.0,0.312	1.0,0.0,1.0,NA,0.28,1.0,1.0,0.0,0.347,0.1,0.0,NA,0.143,NA,1.0,0.455	-0.004
0.0,0.0,NA,0.0,0.485	0.0,NA,0.0,NA,NA,0.0,NA,0.0,0.0,0.485,0.0,0.0,0.0,NA,0.0,NA	0.073
0.0,0.577,1.0,0.0,0.997	1.0,NA,NA,NA,1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA	-0.485
NA,1.0,NA,NA,0.347	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,1.0,0.68,NA,NA,NA,NA,NA	-0.247
0.0,0.0,0.116,0.104,0.009	NA,0.0,NA,NA,0.0,1.0,NA,0.0,0.0,0.012,0.0,0.143,0.049,0.059,0.0,NA	-0.069
0.0,0.444,0.0,0.0,0.431	NA,NA,NA,NA,0.271,NA,NA,0.21,0.21,0.465,0.507,0.0,0.0,0.0,0.0,1.0	-0.091
0.6,0.059,0.667,0.719,0.467	0.622,0.201,0.312,0.208,1.0,0.16,0.207,0.538,0.11,0.114,0.111,0.556,0.146,0.789,0.222,0.444	0.144
0.0,0.045,0.0,0.333,0.319	0.49,0.032,0.078,0.036,NA,0.065,0.103,0.304,0.053,0.066,0.0,0.272,0.051,0.272,0.07,0.295	-0.006
0.0,0.006,0.0,0.0,0.012	0.043,0.0,0.164,0.089,0.006,0.049,0.014,0.054,0.037,0.021,0.006,0.067,0.005,0.0,0.0,0.026	-0.033
NA,1.0,1.0,1.0,0.992	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0	-0.002
0.333,NA,NA,NA,0.304	NA,NA,NA,NA,0.0,NA,1.0,1.0,0.25,0.455,0.059,1.0,0.333,1.0,0.143,0.5	-0.203
0.002,0.002,0.009,0.0,0.001	0.004,0.0,0.003,0.003,0.002,0.02,0.004,0.001,0.009,0.004,0.002,0.002,0.006,0.006,0.005,0.01	-0.002
NA,1.0,NA,NA,0.923	0.6,NA,NA,NA,0.625,NA,NA,1.0,1.0,0.852,1.0,1.0,1.0,NA,NA,NA	0.077
0.661,NA,1.0,1.0,0.709	0.0,1.0,1.0,1.0,NA,NA,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA	-0.067
0.01,0.0,0.055,0.019,0.025	0.0,0.032,0.036,0.026,0.0,0.0,0.036,0.0,0.032,0.011,0.009,0.077,0.021,0.008,0.0,0.0	0.004
0.649,1.0,0.0,0.316,0.866	NA,0.649,1.0,NA,0.0,0.0,NA,NA,0.0,0.291,NA,0.0,NA,0.0,NA,NA	0.324
0.791,0.782,0.846,0.442,0.664	0.611,0.278,0.642,0.31,0.726,0.822,0.924,0.843,0.736,0.583,0.556,0.618,1.0,0.686,0.49,0.692	0.048
0.938,0.891,1.0,1.0,0.752	0.881,0.789,0.882,0.957,1.0,0.896,0.756,0.952,0.94,0.889,0.89,0.921,0.813,0.922,0.939,0.911	0.02
