IncLevel1	IncLevel2	IncLevelDifference
NA,0.118,0.21,NA,0.555	0.427,NA,NA,NA,0.469,0.126,0.318,1.0,0.555,0.636,0.455,0.808,0.259,0.0,0.118,0.256	-0.123
0.0,0.244,0.0,NA,0.373	0.0,0.0,NA,NA,0.281,0.139,0.0,0.608,0.172,0.314,0.32,0.287,0.139,0.0,0.03,0.133	-0.019
0.0,0.304,0.208,0.0,0.616	0.391,0.0,0.259,0.0,0.691,0.512,0.296,0.595,0.578,0.6,0.545,0.299,0.179,0.0,0.35,0.638	-0.145
0.0,0.394,0.286,0.0,0.568	0.641,0.0,0.0,0.0,0.518,0.182,0.25,0.409,0.735,0.52,0.679,0.679,0.533,0.222,0.483,0.923	-0.174
0.0,0.567,NA,NA,0.74	0.764,NA,NA,NA,0.559,1.0,0.0,0.481,0.658,0.735,0.644,0.512,0.822,NA,0.546,0.509	-0.167
0.0,0.286,NA,NA,0.343	0.288,NA,1.0,NA,0.301,0.433,NA,0.364,0.302,0.339,0.366,0.268,0.194,NA,0.302,0.487	-0.177
NA,0.633,NA,NA,0.922	0.191,NA,NA,NA,0.688,NA,NA,0.565,0.964,0.916,0.706,0.695,NA,NA,0.549,0.612	0.124
NA,0.676,1.0,NA,0.486	0.293,NA,NA,NA,0.832,NA,NA,0.543,0.228,0.552,0.691,0.597,1.0,NA,0.131,0.428	0.191
0.0,0.426,0.343,0.0,0.602	0.024,NA,NA,NA,0.702,NA,NA,0.294,0.255,0.625,0.47,0.33,0.119,NA,0.053,0.288	-0.042
NA,0.325,NA,NA,0.404	0.144,NA,NA,NA,0.089,NA,NA,0.367,0.211,0.405,0.267,0.412,0.0,NA,0.0,0.289	0.146
0.0,0.186,0.0,NA,0.483	0.032,NA,NA,NA,0.232,NA,0.0,0.26,0.361,0.458,0.263,0.536,0.0,NA,0.0,0.253	-0.05
0.113,0.0,0.0,0.0,0.0	0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.022
1.0,0.514,NA,NA,0.466	0.0,NA,NA,1.0,0.366,NA,NA,0.75,0.285,0.505,0.468,0.373,0.0,NA,0.017,0.429	0.279
NA,0.996,1.0,NA,1.0	0.83,NA,NA,NA,0.997,NA,NA,1.0,0.971,0.986,0.985,1.0,1.0,1.0,1.0,1.0	0.02
0.0,0.633,1.0,0.0,0.412	0.135,NA,NA,NA,0.595,0.0,NA,0.31,0.289,0.465,0.643,0.42,0.137,0.117,0.306,0.768	0.06
0.0,0.461,1.0,NA,0.432	0.578,NA,NA,NA,0.415,0.814,0.215,0.499,0.428,0.434,0.421,0.508,0.499,0.0,0.442,0.514	0.03
0.421,0.0,0.312,0.185,0.346	0.209,0.171,0.14,0.0,1.0,0.306,0.34,0.44,0.431,0.443,0.555,0.61,0.472,0.211,0.796,0.602	-0.168
NA,NA,NA,NA,0.362	1.0,NA,1.0,0.0,NA,0.0,NA,1.0,0.85,0.487,0.126,0.0,NA,0.655,1.0,NA	-0.194
NA,NA,NA,NA,0.178	NA,NA,NA,NA,0.0,NA,0.0,0.292,0.508,0.195,0.481,0.0,0.34,0.0,0.128,0.674	-0.06
NA,NA,NA,0.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,NA,NA,NA,NA	-0.333
0.0,NA,0.0,0.0,0.0	NA,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0	-0.01
0.0,NA,0.0,0.209,0.0	NA,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.114,0.346,0.0,0.0,0.0,0.0	0.017
0.0,NA,0.0,0.0,0.45	NA,0.0,NA,0.0,0.168,0.0,0.0,0.132,0.406,0.446,0.205,0.204,0.095,0.0,0.0,0.073	-0.011
0.731,0.0,1.0,1.0,0.522	0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.776,0.277,0.314,0.535,0.497,0.919,1.0,0.922,0.813	-0.103
