IncLevel1	IncLevel2	IncLevelDifference
0.191,0.172,0.355,0.0,0.22	0.212,0.0,0.0,0.172,0.262,0.257,0.17,0.161,0.379,0.202,0.149,0.231,0.143,0.067,0.264,0.25	0.005
1.0,0.697,NA,1.0,0.52	1.0,NA,NA,NA,0.779,NA,NA,0.938,0.786,0.812,1.0,1.0,NA,0.0,1.0,0.333	0.039
NA,NA,NA,NA,0.0	0.0,NA,NA,NA,NA,NA,NA,NA,0.013,0.0,NA,NA,NA,NA,0.286,NA	-0.075
0.0,NA,NA,NA,0.0	0.027,0.0,NA,NA,NA,NA,NA,NA,0.115,0.02,NA,NA,NA,NA,NA,NA	-0.041
1.0,0.583,1.0,1.0,1.0	0.842,0.904,1.0,0.778,1.0,1.0,0.978,0.943,0.541,0.613,NA,1.0,0.882,1.0,0.794,0.882	0.039
NA,0.03,0.0,NA,0.009	0.095,NA,NA,NA,0.034,0.0,0.0,0.011,0.064,0.021,0.017,0.065,0.0,NA,0.071,0.211	-0.036
0.0,0.194,0.0,0.0,0.034	0.059,0.0,0.0,NA,0.21,0.0,0.0,0.053,0.133,0.043,0.039,0.038,0.188,NA,0.081,0.404	-0.044
NA,1.0,NA,NA,0.889	NA,NA,NA,NA,1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0	-0.055
NA,0.043,0.0,0.0,0.017	0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.017,0.107,0.018,0.013,0.0,0.0,NA,0.0,0.018	-0.001
NA,1.0,NA,NA,1.0	1.0,NA,NA,NA,1.0,NA,NA,1.0,0.916,0.84,1.0,1.0,NA,NA,1.0,1.0	0.027
0.023,NA,0.053,0.008,0.041	0.052,0.014,0.02,0.052,0.0,0.088,0.176,0.067,0.108,0.047,0.0,0.014,0.012,0.032,0.003,0.0	-0.012
1.0,0.306,0.732,0.686,0.656	1.0,0.522,1.0,1.0,0.273,1.0,0.656,0.45,0.492,0.199,0.565,0.884,0.45,0.0,0.402,0.353	0.098
1.0,1.0,0.857,NA,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.714,0.273,1.0,1.0,1.0,1.0,1.0	0.028
0.333,NA,NA,NA,NA	1.0,NA,NA,NA,NA,1.0,1.0,1.0,1.0,1.0,NA,NA,0.0,NA,1.0,0.0	-0.445
NA,NA,0.0,NA,0.0	1.0,NA,NA,NA,NA,NA,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA	-1.0
0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.2,NA,1.0,1.0,1.0,NA,NA,0.0,NA,NA,0.0	-0.533
0.016,0.0,0.017,0.012,0.017	0.016,0.002,0.02,0.043,0.0,0.094,0.083,0.026,0.016,0.022,0.003,0.0,0.019,0.021,0.022,0.058	-0.015
0.204,0.082,0.122,0.086,0.024	0.175,0.294,0.429,0.167,0.047,0.597,0.478,0.062,0.088,0.018,0.023,0.189,0.405,0.5,0.208,0.097	-0.132
0.38,0.327,0.528,0.348,0.094	0.138,0.571,1.0,1.0,0.196,0.732,0.671,0.143,0.123,0.058,0.033,0.081,0.368,0.333,0.06,0.19	-0.021
1.0,NA,NA,1.0,1.0	NA,NA,1.0,1.0,NA,NA,NA,NA,1.0,0.429,NA,NA,1.0,1.0,NA,1.0	0.082
0.027,0.0,0.0,0.0,0.026	0.0,0.0,NA,0.0,0.0,0.0,0.0,0.03,0.011,0.008,0.013,0.0,0.0,0.0,0.0,0.0	0.006
NA,0.015,NA,NA,0.0	0.0,NA,NA,NA,0.0,0.0,NA,0.0,0.008,0.03,0.0,0.0,0.0,NA,0.0,0.0	0.004
NA,NA,NA,NA,0.556	1.0,NA,NA,NA,NA,NA,NA,1.0,1.0,0.765,NA,NA,NA,NA,1.0,NA	-0.397
NA,NA,NA,NA,0.0	NA,NA,NA,NA,NA,NA,NA,NA,0.619,0.556,NA,NA,NA,NA,1.0,1.0	-0.794
NA,1.0,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,1.0,0.905,0.905,1.0,1.0,1.0,NA,1.0,1.0	0.021
NA,0.6,NA,NA,0.588	0.667,NA,NA,NA,0.78,NA,NA,0.781,0.985,0.628,0.493,0.806,1.0,NA,1.0,0.944	-0.214
NA,0.047,NA,NA,0.039	0.0,NA,NA,NA,0.016,NA,NA,0.0,0.342,0.017,0.006,0.139,NA,NA,0.0,0.115	-0.028
NA,0.023,NA,NA,0.0	0.2,NA,NA,NA,0.069,NA,NA,0.0,0.063,0.0,0.021,0.0,0.407,NA,0.108,0.04	-0.079
NA,0.0,NA,NA,0.076	0.0,NA,NA,NA,0.006,0.0,NA,0.0,0.085,0.097,0.041,0.0,0.0,0.0,0.0,0.201	0.002
NA,0.0,NA,NA,0.0	0.0,NA,NA,NA,0.024,0.0,NA,NA,0.1,0.115,0.0,0.0,NA,NA,0.0,0.0	-0.027
NA,0.615,NA,NA,0.355	NA,NA,NA,NA,0.15,NA,NA,1.0,0.517,0.3,0.219,1.0,0.2,NA,0.0,1.0	-0.002
NA,NA,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,NA,0.926,0.333,1.0,NA,1.0,NA,NA,NA	0.148
NA,0.136,NA,NA,0.335	1.0,NA,NA,NA,0.384,NA,NA,0.311,0.304,0.286,0.224,0.267,NA,NA,0.0,0.311	-0.107
NA,0.115,NA,NA,0.152	0.0,NA,NA,NA,0.363,NA,NA,0.0,0.455,0.133,0.047,0.368,NA,NA,0.667,0.412	-0.138
NA,1.0,NA,NA,0.956	1.0,NA,NA,NA,0.957,NA,1.0,1.0,0.93,0.872,0.936,1.0,NA,NA,0.862,1.0	0.022
NA,0.982,NA,NA,0.58	0.5,NA,NA,NA,0.968,0.0,1.0,0.727,0.724,0.411,0.646,1.0,0.273,NA,0.795,0.8	0.127
NA,1.0,NA,NA,1.0	1.0,NA,NA,NA,0.95,NA,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0	0.005
NA,0.173,NA,NA,0.146	NA,NA,NA,NA,0.326,NA,NA,0.495,0.53,0.138,0.094,0.318,NA,NA,NA,0.503	-0.184
NA,NA,NA,NA,0.185	0.0,NA,NA,0.0,0.0,NA,NA,0.2,0.556,0.067,0.385,NA,1.0,NA,NA,0.167	-0.079
1.0,0.0,NA,NA,0.4	1.0,1.0,NA,NA,1.0,1.0,NA,NA,1.0,0.294,0.375,1.0,NA,NA,1.0,1.0	-0.4
NA,NA,1.0,1.0,0.413	0.526,1.0,NA,NA,1.0,1.0,1.0,0.214,0.676,0.483,0.523,1.0,0.388,NA,1.0,0.526	0.086
1.0,0.264,NA,NA,0.083	0.2,NA,NA,NA,0.215,0.0,0.0,0.158,0.316,0.136,0.082,0.143,0.714,0.0,0.148,0.131	0.276
0.0,0.0,0.143,0.0,0.048	0.087,0.0,NA,NA,0.0,0.0,0.2,0.0,0.175,0.05,0.009,0.053,0.091,NA,0.179,0.333	-0.052
NA,0.09,0.333,1.0,0.111	0.062,NA,NA,NA,0.212,NA,NA,0.029,0.448,0.068,0.0,0.0,NA,1.0,0.2,0.065	0.175
NA,1.0,1.0,1.0,0.904	1.0,NA,NA,NA,1.0,NA,1.0,1.0,0.971,1.0,0.778,1.0,1.0,NA,1.0,1.0	-0.001
0.0,0.25,0.0,0.333,0.072	0.055,0.0,NA,NA,0.241,0.111,0.6,0.163,0.289,0.082,0.042,0.21,0.17,0.0,0.327,0.462	-0.066
NA,0.02,NA,NA,0.04	0.086,NA,NA,0.0,0.015,1.0,NA,0.033,0.088,0.045,0.023,0.019,0.111,0.0,0.037,0.265	-0.102
0.342,0.638,0.285,0.117,0.117	0.385,0.242,0.402,0.619,0.656,0.79,0.626,0.206,0.441,0.211,0.187,0.304,0.632,0.46,0.172,0.263	-0.112
NA,0.0,NA,NA,0.043	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.0,0.031,NA,NA,NA,NA,NA	-0.486
NA,0.273,NA,NA,0.125	NA,NA,NA,NA,0.4,NA,NA,1.0,1.0,0.024,0.011,0.0,NA,NA,NA,0.846	-0.27
NA,1.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,0.286,0.049,0.2,NA,NA,NA,0.143	0.831
1.0,0.035,NA,NA,0.069	0.0,NA,NA,NA,0.104,NA,NA,0.083,0.453,0.078,0.054,0.0,0.398,NA,0.146,0.284	0.208
