ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
1	9,25,11,0,35	19,60,10,12,62	21,0,0,5,76,9,9,5,77,37,62,12,12,4,48,6	39,9,14,12,107,13,22,13,63,73,177,20,36,28,67,9	298	149	0.833375764975
2	4,414,0,1,13	0,90,0,0,6	23,0,0,0,204,0,0,30,22,26,131,13,0,0,23,1	0,0,0,0,29,0,0,1,3,3,0,0,0,2,0,1	298	149	1
8	0,0,0,0,0	0,0,0,0,50	0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0	11,0,0,0,0,0,0,0,37,57,0,0,0,0,10,0	298	149	1
9	0,0,0,0,0	19,0,0,0,59	1,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0	18,2,0,0,0,0,0,0,27,74,0,0,0,0,0,0	298	149	1
11	4,14,11,64,21	0,5,0,0,0	32,94,29,14,30,104,174,33,66,209,0,16,30,10,131,75	3,5,0,2,0,0,2,1,28,66,0,0,2,0,17,5	298	149	1
13	0,9,0,0,10	0,147,2,0,574	4,0,0,0,27,0,0,1,31,19,22,4,0,0,14,15	19,0,0,0,378,4,4,43,226,435,619,29,7,0,92,28	298	149	1
14	0,90,0,0,43	7,187,18,4,604	3,0,0,0,129,0,0,6,56,45,52,2,6,0,24,23	24,2,2,0,242,14,16,54,183,496,641,25,13,0,136,17	298	149	1
15	0,64,0,0,32	0,0,0,0,2	0,0,0,0,90,0,0,1,64,41,45,1,2,0,14,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	298	149	1
16	0,19,0,0,17	0,212,7,3,498	0,0,0,0,51,0,0,2,41,15,15,0,0,0,0,1	20,4,2,2,358,6,11,59,171,416,570,38,11,0,79,27	298	149	1
17	0,220,0,0,28	0,0,0,0,0	1,0,0,0,176,0,0,3,87,21,36,5,0,0,19,16	0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0	298	149	1
