IncLevel1	IncLevel2	IncLevelDifference
1.0,1.0,1.0,NA,1.0	1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,0.979,1.0,1.0,1.0,NA,1.0,1.0	0.002
1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,0.966,1.0	0.002
0.855,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,0.934,1.0,1.0,1.0,1.0,1.0,0.908,1.0	-0.018
1.0,NA,1.0,0.372,0.571	0.542,1.0,1.0,NA,1.0,1.0,0.0,NA,1.0,0.752,1.0,NA,1.0,0.0,0.93,0.805	-0.036
1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,0.988,1.0,1.0,1.0,1.0,NA,1.0,1.0	0.001
NA,1.0,1.0,NA,0.984	0.667,NA,NA,NA,1.0,1.0,1.0,1.0,1.0,0.982,1.0,1.0,1.0,NA,1.0,1.0	0.024
NA,1.0,1.0,NA,1.0	1.0,NA,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,0.778	0.018
NA,1.0,1.0,NA,1.0	1.0,NA,NA,NA,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.911	0.007
NA,1.0,1.0,NA,0.983	1.0,NA,NA,NA,1.0,1.0,1.0,1.0,0.991,0.957,0.953,0.79,1.0,1.0,1.0,0.922	0.024
1.0,1.0,1.0,NA,1.0	1.0,1.0,NA,NA,1.0,1.0,1.0,1.0,0.996,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.0
1.0,1.0,1.0,1.0,0.972	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.977,0.959,1.0,1.0,1.0,1.0,1.0,1.0	-0.002
1.0,1.0,1.0,NA,1.0	1.0,NA,NA,NA,1.0,NA,1.0,1.0,0.964,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.003
NA,1.0,NA,NA,1.0	1.0,NA,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.356,1.0,1.0,1.0	0.046
NA,0.0,NA,NA,0.0	NA,NA,NA,NA,0.0,NA,NA,0.0,0.06,0.0,0.0,0.0,NA,NA,0.0,0.0	-0.007
NA,1.0,NA,NA,0.954	1.0,NA,NA,NA,1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0	-0.023
NA,1.0,1.0,NA,1.0	1.0,NA,NA,NA,1.0,1.0,1.0,1.0,0.993,1.0,1.0,1.0,1.0,NA,1.0,1.0	0.001
1.0,0.988,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.002
1.0,1.0,1.0,1.0,0.994	1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,0.992,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.005
1.0,1.0,1.0,1.0,0.953	1.0,1.0,1.0,1.0,0.762,1.0,1.0,1.0,0.976,0.989,0.986,1.0,1.0,1.0,1.0,0.922	0.013
1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.833,1.0,1.0	0.01
1.0,1.0,NA,1.0,1.0	1.0,1.0,NA,NA,1.0,NA,1.0,1.0,0.989,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.001
1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.978,1.0,1.0,1.0,1.0,1.0,1.0	0.001
1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.991,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.001
1.0,1.0,1.0,1.0,1.0	1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,0.991,1.0,1.0,1.0,1.0,1.0,1.0	0.001
1.0,1.0,1.0,1.0,1.0	1.0,1.0,NA,NA,1.0,0.67,1.0,1.0,1.0,0.984,1.0,1.0,1.0,1.0,1.0,1.0	0.025
1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995,0.994,1.0,1.0,1.0,1.0,1.0,1.0	0.001
1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.01
1.0,0.98,1.0,1.0,1.0	1.0,1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,0.978,0.984,1.0,1.0,1.0,1.0,1.0	-0.001
1.0,0.983,1.0,1.0,1.0	1.0,1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,0.979,0.984,1.0,1.0,1.0,1.0,1.0	-0.001
NA,1.0,1.0,NA,1.0	1.0,NA,NA,NA,1.0,1.0,NA,0.962,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0	0.003
NA,0.914,1.0,NA,1.0	1.0,NA,NA,NA,1.0,NA,NA,0.839,0.965,1.0,0.989,1.0,1.0,NA,1.0,1.0	-0.008
NA,1.0,NA,NA,1.0	1.0,NA,NA,NA,1.0,NA,NA,1.0,0.949,1.0,1.0,1.0,NA,NA,1.0,1.0	0.006
1.0,0.888,1.0,1.0,0.988	1.0,1.0,NA,NA,0.988,1.0,1.0,1.0,0.928,0.976,0.974,1.0,1.0,1.0,1.0,1.0	-0.015
1.0,1.0,1.0,NA,1.0	1.0,1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,0.986,1.0,1.0,1.0,1.0,1.0,1.0	0.001
NA,1.0,1.0,1.0,1.0	1.0,NA,NA,NA,1.0,NA,1.0,1.0,0.984,1.0,1.0,1.0,1.0,NA,1.0,1.0	0.001
NA,1.0,NA,NA,1.0	1.0,NA,NA,NA,1.0,NA,NA,1.0,0.965,1.0,1.0,1.0,1.0,NA,1.0,1.0	0.004
1.0,1.0,1.0,NA,1.0	1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,0.997,1.0,1.0,1.0,1.0,NA,1.0,1.0	0.0
NA,1.0,NA,NA,1.0	1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.999,1.0,NA,NA,1.0,1.0	0.001
NA,1.0,NA,NA,0.999	1.0,NA,1.0,NA,1.0,1.0,NA,1.0,1.0,1.0,0.996,1.0,1.0,NA,1.0,1.0	-0.0
1.0,1.0,NA,NA,1.0	1.0,NA,1.0,NA,1.0,1.0,1.0,1.0,1.0,0.998,1.0,1.0,1.0,NA,1.0,1.0	0.0
1.0,1.0,NA,NA,1.0	1.0,NA,NA,NA,1.0,1.0,1.0,1.0,0.999,1.0,1.0,1.0,1.0,NA,1.0,1.0	0.0
1.0,0.99,NA,NA,0.984	1.0,NA,NA,NA,0.93,NA,1.0,1.0,0.969,0.989,0.995,0.984,1.0,NA,1.0,1.0	0.003
1.0,1.0,NA,NA,1.0	1.0,NA,NA,NA,1.0,NA,NA,1.0,1.0,1.0,0.999,1.0,1.0,1.0,1.0,1.0	0.0
NA,NA,NA,NA,1.0	0.538,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA	0.115
NA,NA,NA,NA,0.368	NA,NA,NA,NA,1.0,0.0,0.127,NA,NA,0.0,NA,NA,0.538,NA,NA,NA	0.035
NA,NA,NA,NA,0.446	NA,NA,NA,NA,NA,0.287,0.446,NA,NA,0.0,NA,NA,0.0,NA,NA,1.0	0.099
NA,1.0,NA,NA,0.759	NA,NA,NA,NA,NA,1.0,1.0,NA,NA,1.0,NA,NA,1.0,NA,NA,NA	-0.121
NA,NA,NA,NA,0.727	0.25,NA,NA,NA,NA,NA,NA,NA,1.0,0.666,NA,NA,1.0,NA,NA,NA	-0.002
NA,NA,NA,NA,0.337	0.113,NA,NA,NA,NA,NA,NA,NA,NA,0.504,NA,NA,NA,NA,NA,NA	0.029
NA,NA,NA,NA,1.0	1.0,NA,NA,NA,0.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0	0.25
NA,NA,NA,NA,1.0	1.0,NA,NA,NA,NA,NA,1.0,NA,0.0,1.0,NA,NA,NA,NA,NA,1.0	0.2
NA,1.0,1.0,1.0,1.0	1.0,NA,NA,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0	0.0
NA,1.0,NA,NA,0.999	1.0,NA,NA,NA,1.0,1.0,NA,1.0,1.0,0.997,1.0,1.0,NA,NA,1.0,1.0	-0.0
NA,1.0,NA,NA,1.0	1.0,NA,NA,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,0.986	0.001
1.0,1.0,1.0,1.0,0.999	1.0,NA,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,0.989,1.0,1.0,NA,1.0,1.0	0.001
NA,1.0,1.0,NA,1.0	1.0,NA,NA,NA,1.0,NA,1.0,1.0,1.0,0.995,1.0,1.0,NA,NA,1.0,1.0	0.0
NA,1.0,NA,NA,1.0	1.0,NA,NA,NA,1.0,NA,1.0,1.0,1.0,1.0,0.999,1.0,1.0,NA,1.0,1.0	0.0
NA,1.0,1.0,NA,1.0	1.0,NA,NA,NA,0.941,NA,NA,1.0,1.0,0.999,0.999,1.0,1.0,NA,1.0,1.0	0.006
NA,NA,NA,NA,0.458	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,NA	-0.542
NA,1.0,NA,NA,0.999	1.0,NA,NA,NA,1.0,NA,NA,1.0,0.998,1.0,1.0,1.0,NA,NA,1.0,0.995	0.0
NA,0.993,NA,NA,0.997	1.0,NA,NA,NA,1.0,NA,NA,1.0,0.994,0.997,0.998,0.986,1.0,NA,1.0,0.987	-0.001
