ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
0	11,8,11,0,75	0,0,0,0,0	2,0,0,1,43,20,18,3,79,94,37,9,3,0,540,24	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	298	149	1
1	9,4,3,1,38	0,0,0,0,0	9,5,2,8,33,11,5,2,46,73,34,1,7,0,511,11	0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0	298	149	1
2	20,1,3,2,26	2,0,0,0,0	8,5,12,7,0,9,1,0,24,17,16,3,7,1,233,10	0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0	252	149	1
3	3,0,4,2,36	0,0,0,2,16	2,2,5,0,18,2,0,0,35,41,4,0,3,0,226,7	1,0,0,0,0,0,5,0,0,8,0,0,0,2,10,1	252	149	1
4	16,4,7,2,83	0,0,0,0,0	2,3,7,0,30,4,2,10,151,93,25,18,19,0,24,13	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	269	149	1
5	0,4,2,0,123	0,0,0,0,1	4,0,0,0,54,4,2,12,249,110,35,13,5,0,4,9	1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	298	149	1
6	0,2,2,0,71	0,0,0,0,0	4,0,0,0,35,2,2,4,179,58,17,9,3,0,3,7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	298	149	1
7	0,14,7,0,53	0,0,0,0,0	5,0,0,0,37,13,4,0,134,31,19,2,8,2,21,19	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	278	149	1
8	0,16,7,0,105	0,0,0,0,1	4,0,0,0,56,15,4,8,204,84,38,7,10,2,22,22	0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1	278	149	1
9	7,20,12,0,136	0,0,0,0,0	22,2,0,0,84,25,14,5,406,131,56,13,20,14,52,38	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	269	149	1
10	41,1,11,21,56	0,0,0,0,1	31,17,9,14,79,37,32,21,136,76,65,13,14,18,78,23	0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0	241	149	1
11	6,15,2,0,71	0,0,0,0,0	28,0,0,0,152,0,2,12,90,70,40,13,7,2,24,7	0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0	252	149	1
12	0,5,0,0,46	0,0,0,0,0	23,0,2,0,44,1,1,7,138,60,62,14,2,1,32,14	0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0	269	149	1
13	0,0,0,0,0	0,10,0,0,39	0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0	0,0,0,0,52,0,0,4,26,32,24,5,0,0,6,7	179	149	1
14	0,25,0,0,57	0,0,0,0,2	8,0,0,0,71,0,0,5,30,67,66,7,4,0,37,13	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	207	149	1
15	0,62,6,0,93	0,0,0,0,0	13,0,0,0,183,2,6,5,275,94,103,5,8,0,15,7	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	273	149	1
16	56,340,43,24,200	0,2,0,0,0	66,30,9,28,367,42,48,26,240,232,550,52,51,34,190,18	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	298	149	1
17	73,294,31,57,288	0,0,0,0,1	145,34,21,10,349,59,69,38,243,371,550,42,85,47,354,107	0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0	279	149	1
18	44,179,29,22,244	0,0,0,0,6	60,16,9,9,231,25,31,21,319,355,408,56,101,23,390,95	0,0,0,0,36,0,0,0,4,2,3,0,0,0,0,4	298	149	0.00423114573141
19	30,123,23,16,286	0,0,0,0,0	53,13,7,8,308,25,28,25,353,408,415,39,82,19,304,112	0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0	284	149	1
20	8,93,0,2,287	0,0,0,0,0	18,2,0,0,211,0,1,15,303,322,276,48,3,3,93,123	0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0	250	149	1
21	64,41,26,30,183	0,0,0,0,0	81,16,26,24,137,75,57,28,129,264,220,43,62,51,275,15	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0	298	149	1
22	58,34,23,21,210	0,0,0,0,0	92,15,23,17,143,68,53,24,231,272,310,53,64,41,270,59	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	298	149	1
23	4,2,6,4,203	0,0,0,0,0	60,4,0,1,165,13,17,22,254,232,180,52,36,7,233,20	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	298	149	1
24	14,6,6,6,117	0,0,0,0,0	60,2,0,0,93,4,4,22,142,125,156,24,25,3,147,14	0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0	294	149	1
25	83,19,35,40,207	0,0,0,0,0	107,25,9,26,88,47,65,31,287,243,139,50,71,45,333,36	0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0	228	149	1
26	41,7,25,29,118	0,0,0,0,0	62,31,18,6,168,52,67,22,261,192,110,31,69,34,202,45	0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0	298	149	1
27	7,588,7,6,43	0,6,0,0,0	75,1,0,0,258,12,7,42,32,90,250,28,28,4,76,18	0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0	298	149	1
