ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4	"ENSG00000160294"	"MCM3AP"	chr21	-	46242801	46242931	46240810	46241017	46243464	46243722	4	57	0	38	2	279	149	0.129252602683	0.3754195520963927	1.0	0.91	0.09
5	"ENSG00000160294"	"MCM3AP"	chr21	-	46284067	46285394	46283614	46283838	46286150	46286297	5	29	0	22	2	298	149	0.0482423316566	0.18844980684622564	1.0	0.846	0.154
40	"ENSG00000160216"	"AGPAT3"	chr21	+	43960631	43960779	43959782	43959859	43967945	43968115	40	3	0	0	27	297	149	5.73987730901e-07	6.327179188308188e-05	1.0	0.0	1.0
43	"ENSG00000160214"	"RRP1"	chr21	+	43800861	43800881	43800516	43800614	43802273	43802387	43	2	0	10	2	169	149	0.0627063123766	0.22678411807434315	1.0	0.815	0.185
46	"ENSG00000160209"	"PDXK"	chr21	+	43732138	43732647	43719222	43719381	43734068	43734123	46	4	2	2	24	298	149	0.00331707989364	0.028953368785914854	0.5	0.04	0.46
52	"ENSG00000160194"	"NDUFV3"	chr21	+	42896926	42897047	42893267	42893381	42908863	42913304	52	143	0	120	4	270	149	0.0379408570715	0.16034885938221888	1.0	0.943	0.057
53	"ENSG00000160194"	"NDUFV3"	chr21	+	42903181	42904276	42896926	42897047	42908863	42909105	53	56	131	50	59	298	149	0.0175304660299	0.0938395534541706	0.176	0.298	-0.122
68	"ENSG00000160191"	"PDE9A"	chr21	+	42731769	42731949	42698967	42699011	42732069	42732124	68	0	2	4	5	298	149	0.00606854551474	0.04447424463081387	0.0	0.286	-0.286
69	"ENSG00000160191"	"PDE9A"	chr21	+	42731769	42731949	42698967	42699011	42733355	42733426	69	0	1	2	0	298	149	4.45915760166e-05	0.0011066137093053018	0.0	1.0	-1.0
71	"ENSG00000160191"	"PDE9A"	chr21	+	42732069	42732124	42698912	42699011	42733355	42733426	71	6	1	9	0	204	149	0.630313055677	0.9061677106321107	0.814	1.0	-0.186
77	"ENSG00000184012"	"TMPRSS2"	chr21	-	41488393	41488513	41480475	41480602	41489506	41489593	77	8	0	43	1	269	149	0.285795140214	0.6072862751864457	1.0	0.96	0.04
97	"ENSG00000185437"	"SH3BGR"	chr21	+	39511679	39511809	39508997	39509027	39515087	39515207	97	7	0	0	2	279	149	1.73944199788e-06	0.00013477524320530362	1.0	0.0	1.0
98	"ENSG00000182093"	"GET1"	chr21	+	39393165	39393280	39391768	39391836	39405913	39406058	98	122	0	25	1	264	149	0.243512040639	0.5687679052628872	1.0	0.934	0.066
