ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000160285"	"LSS"	chr21	-	46222629	46222738	46222662	46222738	46221853	46221975	0	0,68,0,0,0	0,5,0,0,0	0,0,0,0,40,0,0,0,0,0,104,0,0,0,37,0	0,0,0,0,0,0,0,0,0,0,18,0,0,0,3,0	182	149	1	1.0	NA,0.918,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.825,NA,NA,NA,0.91,NA	0.006
2	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282348	45282459	2	0,5,0,0,0	0,24,0,0,0	0,0,0,0,7,0,0,0,0,0,5,0,0,0,4,2	0,0,0,0,70,0,0,0,2,0,50,0,0,0,24,0	180	149	1	1.0	NA,0.147,NA,NA,NA	NA,NA,NA,NA,0.076,NA,NA,NA,0.0,NA,0.076,NA,NA,NA,0.121,1.0	-0.108
5	"ENSG00000160255"	"ITGB2"	chr21	-	44910599	44910785	44910724	44910785	44910283	44910372	5	0,4,0,0,0	0,194,0,0,6	0,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,868,0,0,0,0,2,464,0,0,0,0,20	274	149	1	1.0	NA,0.011,NA,NA,0.0	NA,NA,NA,NA,0.022,NA,NA,NA,NA,0.0,0.001,NA,NA,NA,NA,0.0	-0.0
6	"ENSG00000160255"	"ITGB2"	chr21	-	44910599	44910785	44910724	44910785	44910283	44910415	6	0,4,0,0,0	0,4,0,0,0	0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0	274	149	1	1.0	NA,0.352,NA,NA,NA	NA,NA,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.358
8	"ENSG00000184900"	"SUMO3"	chr21	-	44813861	44814104	44813975	44814104	44809046	44809118	8	0,0,0,0,0	0,275,0,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,1189,0,0,0,0,0,847,0,0,0,61,80	263	149	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.001,NA,NA,NA,0.0,0.0	-0.0
9	"ENSG00000160209"	"PDXK"	chr21	+	43732138	43732647	43732138	43732442	43734068	43734123	9	0,4,0,0,0	0,5,0,0,0	0,0,0,0,13,0,0,0,0,0,2,0,0,0,1,15	0,0,0,0,18,0,0,0,0,0,2,0,0,0,0,8	354	149	1	1.0	NA,0.252,NA,NA,NA	NA,NA,NA,NA,0.233,NA,NA,NA,NA,NA,0.296,NA,NA,NA,1.0,0.441	-0.24
11	"ENSG00000184012"	"TMPRSS2"	chr21	-	41494355	41494578	41494479	41494578	41489506	41489593	11	0,15,0,0,0	0,6,0,0,0	0,0,0,0,251,0,0,0,0,0,170,0,0,0,18,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	273	149	1	1.0	NA,0.577,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA	-0.423
13	"ENSG00000184012"	"TMPRSS2"	chr21	-	41507949	41508158	41508080	41508158	41498118	41498189	13	0,10,0,0,0	0,8,0,0,0	0,0,0,0,22,0,0,0,0,0,29,0,0,0,0,2	0,0,0,0,31,0,0,0,0,0,15,0,0,0,2,0	280	149	1	1.0	NA,0.399,NA,NA,NA	NA,NA,NA,NA,0.274,NA,NA,NA,NA,NA,0.507,NA,NA,NA,0.0,1.0	-0.046
15	"ENSG00000205622"	"AP001042.1"	chr21	-	38904229	38905423	38904954	38905423	38901900	38901965	15	0,35,2,0,0	0,32,0,0,0	0,0,0,0,0,0,10,0,0,2,4,0,0,0,261,181	0,0,0,0,0,0,0,0,4,0,8,0,0,0,190,22	874	149	1	1.0	NA,0.157,1.0,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,0.0,1.0,0.079,NA,NA,NA,0.19,0.584	0.103
16	"ENSG00000205622"	"AP001042.1"	chr21	-	38904904	38905452	38904954	38905452	38901900	38901965	16	0,2,0,0,0	0,32,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5	0,0,0,0,0,0,0,0,4,0,8,0,0,0,190,22	199	149	1	1.0	NA,0.045,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,0.076,0.145	-0.01
17	"ENSG00000157557"	"ETS2"	chr21	+	38819502	38819871	38819502	38819766	38821585	38821704	17	0,16,0,0,0	0,1419,0,0,2	0,0,0,0,6,0,0,0,0,4,18,0,0,0,0,8	0,0,0,0,981,0,0,0,0,2,1618,0,0,0,249,227	254	149	1	1.0	NA,0.007,NA,NA,0.0	NA,NA,NA,NA,0.004,NA,NA,NA,NA,0.54,0.006,NA,NA,NA,0.0,0.02	-0.111
18	"ENSG00000159267"	"HLCS"	chr21	-	36947332	36948287	36948165	36948287	36938831	36938994	18	0,10,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,6	0,0,0,0,9,0,0,0,0,0,8,0,0,0,9,0	982	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.159,NA,NA,NA,0.168,1.0	0.668
19	"ENSG00000241837"	"ATP5PO"	chr21	-	33906448	33907453	33907340	33907453	33903934	33904021	19	0,33,0,0,0	0,1930,2,0,4	0,0,0,0,37,0,0,0,0,0,14,0,0,0,48,2	0,0,0,0,2411,0,0,0,0,2,3314,0,0,0,617,85	1041	149	1	1.0	NA,0.002,0.0,NA,0.0	NA,NA,NA,NA,0.002,NA,NA,NA,NA,0.0,0.001,NA,NA,NA,0.011,0.003	-0.003
20	"ENSG00000241837"	"ATP5PO"	chr21	-	33915135	33915724	33915651	33915724	33914449	33914500	20	0,9,0,0,0	0,0,0,0,0	0,0,0,0,38,0,0,0,0,0,22,0,0,0,0,12	0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0	665	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.739,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0	0.087
21	"ENSG00000159131"	"GART"	chr21	-	33528514	33528604	33528518	33528604	33528166	33528335	21	0,0,0,0,0	0,20,0,0,0	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0	0,0,0,0,241,0,0,0,0,2,321,0,0,0,98,2	153	149	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,0.0,0.009,NA,NA,NA,0.0,0.0	-0.002
22	"ENSG00000205930"	"C21orf62-AS1"	chr21	+	32772160	32772320	32772160	32772308	32784796	32784919	22	0,4,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0	161	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0
23	"ENSG00000159086"	"PAXBP1"	chr21	-	32755212	32755353	32755229	32755353	32751118	32751218	23	0,36,0,0,0	0,9,0,0,0	0,0,0,0,124,0,0,0,0,0,39,0,0,0,15,15	0,0,0,0,43,0,0,0,0,0,27,0,0,0,14,6	166	149	1	1.0	NA,0.782,NA,NA,NA	NA,NA,NA,NA,0.721,NA,NA,NA,NA,NA,0.565,NA,NA,NA,0.49,0.692	0.165
24	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501495	32501414	32501486	32503925	32504015	24	0,21,0,0,0	0,3,0,0,0	0,0,0,0,61,4,0,2,0,0,560,0,0,0,43,50	0,0,0,0,0,0,0,0,0,0,69,0,0,0,4,5	158	149	1	1.0	NA,0.868,NA,NA,NA	NA,NA,NA,NA,1.0,1.0,NA,1.0,NA,NA,0.884,NA,NA,NA,0.91,0.904	-0.082
25	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501538	32501414	32501486	32503925	32504015	25	0,3,0,0,0	0,3,0,0,0	0,0,0,0,47,0,0,0,0,0,68,0,0,0,14,5	0,0,0,0,0,0,0,0,0,0,69,0,0,0,4,5	201	149	1	1.0	NA,0.426,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.422,NA,NA,NA,0.722,0.426	-0.217
26	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501538	32501414	32501495	32503925	32504015	26	0,3,0,0,0	0,21,0,0,0	0,0,0,0,47,0,0,0,0,0,41,0,0,0,14,5	0,0,0,0,61,4,0,2,0,0,533,0,0,0,43,50	192	149	1	1.0	NA,0.1,NA,NA,NA	NA,NA,NA,NA,0.374,0.0,NA,0.0,NA,NA,0.056,NA,NA,NA,0.202,0.072	-0.017
27	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501538	32501414	32501495	32514813	32515389	27	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0	192	149	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502,NA,NA,NA,NA,NA	-0.502
51	"ENSG00000188130"	"MAPK12"	chr22	-	50256787	50256964	50256934	50256964	50256598	50256646	51	0,20,0,0,0	0,27,0,0,0	0,0,0,0,80,0,0,0,0,0,30,0,0,0,0,0	0,0,0,0,23,0,0,0,0,0,74,0,0,0,17,7	296	149	1	1.0	NA,0.272,NA,NA,NA	NA,NA,NA,NA,0.636,NA,NA,NA,NA,NA,0.169,NA,NA,NA,0.0,0.0	0.071
52	"ENSG00000128159"	"TUBGCP6"	chr22	-	50220191	50221874	50220250	50221874	50219956	50220015	52	0,26,0,0,0	0,2,0,0,0	0,0,0,0,117,0,0,0,0,0,34,0,0,0,2,15	0,0,0,0,7,0,0,0,0,0,35,0,0,0,4,4	208	149	1	1.0	NA,0.903,NA,NA,NA	NA,NA,NA,NA,0.923,NA,NA,NA,NA,NA,0.41,NA,NA,NA,0.264,0.729	0.322
53	"ENSG00000128159"	"TUBGCP6"	chr22	-	50220191	50221874	50221274	50221874	50219956	50220015	53	0,558,0,0,0	0,0,0,0,0	0,0,0,0,1105,0,0,0,0,4,673,0,0,0,86,156	0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0	1232	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.924,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,1.0,1.0	0.015
54	"ENSG00000128159"	"TUBGCP6"	chr22	-	50220250	50221874	50221274	50221874	50219956	50220015	54	0,534,0,0,0	0,0,0,0,0	0,0,0,0,995,0,0,0,0,4,674,0,0,0,88,145	0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0	1173	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,0.92,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,1.0,1.0	0.016
60	"ENSG00000100413"	"POLR3H"	chr22	-	41532603	41532745	41532658	41532745	41532093	41532157	60	0,42,0,0,0	0,192,0,0,0	0,0,0,0,29,0,0,0,0,0,42,0,0,0,28,11	0,0,0,0,168,0,0,0,0,0,391,0,0,0,163,31	204	149	1	1.0	NA,0.138,NA,NA,NA	NA,NA,NA,NA,0.112,NA,NA,NA,NA,NA,0.073,NA,NA,NA,0.111,0.206	0.013
63	"ENSG00000196588"	"MRTFA"	chr22	-	40416975	40417046	40416985	40417046	40410281	40411907	63	0,0,0,0,0	0,32,0,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,152,0,0,0,0,0,132,0,0,0,25,1	159	149	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.007,NA,NA,NA,0.0,0.0	-0.002
64	"ENSG00000196588"	"MRTFA"	chr22	-	40463220	40463286	40463242	40463286	40435498	40435554	64	0,22,0,0,0	0,6,0,0,0	0,0,0,0,68,2,0,0,0,0,109,0,0,0,27,9	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	171	149	1	1.0	NA,0.762,NA,NA,NA	NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0	-0.238
65	"ENSG00000100242"	"SUN2"	chr22	-	38740888	38741050	38741006	38741050	38740266	38740432	65	0,68,0,0,0	0,178,0,0,0	0,0,0,0,69,0,0,0,0,0,19,0,0,0,14,14	0,0,0,0,279,0,0,0,0,2,482,0,0,0,24,21	267	149	1	1.0	NA,0.176,NA,NA,NA	NA,NA,NA,NA,0.121,NA,NA,NA,NA,0.0,0.022,NA,NA,NA,0.246,0.271	0.044
68	"ENSG00000128298"	"BAIAP2L2"	chr22	-	38098344	38098482	38098410	38098482	38098062	38098179	68	0,0,0,0,0	0,4,0,0,0	0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,175,0,0,0,38,11	215	149	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019,NA,NA,NA,0.018,0.0	-0.012
69	"ENSG00000100139"	"MICALL1"	chr22	+	37927410	37927826	37927410	37927820	37931798	37931933	69	0,11,0,0,0	0,5,0,0,0	0,0,0,0,117,0,0,0,0,0,51,0,0,0,7,8	0,0,0,0,24,0,0,0,0,0,5,0,0,0,0,0	155	149	1	1.0	NA,0.679,NA,NA,NA	NA,NA,NA,NA,0.824,NA,NA,NA,NA,NA,0.907,NA,NA,NA,1.0,1.0	-0.254
70	"ENSG00000100129"	"EIF3L"	chr22	+	37851279	37851561	37851279	37851490	37855564	37855644	70	0,0,0,0,0	0,181,4,0,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,1176,0,4,5,2,2,756,0,0,0,894,105	220	149	1	1.0	NA,0.0,0.0,NA,0.0	NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,0.006	-0.001
72	"ENSG00000100083"	"GGA1"	chr22	+	37616921	37617048	37616921	37616997	37618447	37618546	72	0,2,0,0,0	0,25,0,0,0	0,0,0,0,66,0,0,0,0,0,2,0,0,0,1,1	0,0,0,0,88,0,0,0,0,0,89,0,0,0,8,12	200	149	1	1.0	NA,0.056,NA,NA,NA	NA,NA,NA,NA,0.358,NA,NA,NA,NA,NA,0.016,NA,NA,NA,0.085,0.058	-0.073
73	"ENSG00000100365"	"NCF4"	chr22	+	36875652	36875787	36875652	36875783	36876028	36876094	73	0,10,0,0,0	0,103,0,0,0	0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0	0,0,0,0,337,0,0,0,0,0,117,0,0,0,2,0	153	149	1	1.0	NA,0.086,NA,NA,NA	NA,NA,NA,NA,0.006,NA,NA,NA,NA,NA,0.077,NA,NA,NA,0.0,NA	0.058
78	"ENSG00000100150"	"DEPDC5"	chr22	+	31784813	31785107	31784813	31784875	31792032	31792102	78	0,0,0,0,0	0,4,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3	0,0,0,0,33,0,0,2,0,0,18,0,0,0,16,1	381	149	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,NA,0.379,0.54	-0.184
79	"ENSG00000100150"	"DEPDC5"	chr22	+	31797599	31797703	31797599	31797699	31798581	31798656	79	0,3,0,0,0	0,0,0,0,0	0,0,0,0,25,0,0,2,0,0,13,0,0,0,17,0	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	153	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.864,NA,NA,NA,1.0,NA	0.034
81	"ENSG00000100150"	"DEPDC5"	chr22	+	31838684	31838845	31838684	31838721	31843094	31843212	81	0,19,0,0,0	0,0,0,0,0	0,0,0,0,49,0,0,0,0,0,45,0,0,0,40,5	0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0	273	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.831,NA,NA,NA,1.0,1.0	0.042
