ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"ENSG00000271254"	"AC240274.1"	chrKI270711.1	-	21056	21159	20006	20221	22932	23113
3	"ENSG00000160305"	"DIP2A"	chr21	+	46490599	46490719	46484756	46484828	46496987	46497107
4	"ENSG00000160305"	"DIP2A"	chr21	+	46498581	46498833	46496987	46497107	46504360	46504489
6	"ENSG00000160305"	"DIP2A"	chr21	+	46509256	46509376	46504312	46504489	46511416	46511614
7	"ENSG00000160305"	"DIP2A"	chr21	+	46529091	46529183	46511416	46511614	46532126	46532237
8	"ENSG00000160305"	"DIP2A"	chr21	+	46534584	46534687	46534003	46534113	46537223	46537288
10	"ENSG00000160305"	"DIP2A"	chr21	+	46561747	46561805	46560721	46560783	46563857	46563932
11	"ENSG00000160305"	"DIP2A"	chr21	+	46566559	46566683	46565712	46565887	46567369	46569585
12	"ENSG00000160294"	"MCM3AP"	chr21	-	46242801	46242931	46240810	46241017	46243464	46243722
13	"ENSG00000160294"	"MCM3AP"	chr21	-	46251528	46251682	46246306	46246886	46254391	46254526
14	"ENSG00000160294"	"MCM3AP"	chr21	-	46264116	46264217	46261279	46261411	46265320	46265523
15	"ENSG00000160294"	"MCM3AP"	chr21	-	46270400	46270563	46266981	46267142	46272560	46272829
16	"ENSG00000160294"	"MCM3AP"	chr21	-	46272560	46272829	46270400	46270563	46273387	46273585
17	"ENSG00000160294"	"MCM3AP"	chr21	-	46277526	46277717	46275185	46275325	46283614	46283838
18	"ENSG00000160294"	"MCM3AP"	chr21	-	46279992	46280137	46277526	46277717	46283614	46283838
19	"ENSG00000160294"	"MCM3AP"	chr21	-	46280496	46280575	46279992	46280137	46283614	46283838
22	"ENSG00000160285"	"LSS"	chr21	-	46196201	46196267	46195675	46195756	46205835	46205941
23	"ENSG00000160285"	"LSS"	chr21	-	46215684	46215793	46215179	46215298	46216388	46216524
24	"ENSG00000160285"	"LSS"	chr21	-	46219475	46219572	46216388	46216524	46221853	46221975
25	"ENSG00000160285"	"LSS"	chr21	-	46221853	46221975	46219475	46219572	46227551	46227690
26	"ENSG00000160285"	"LSS"	chr21	-	46222629	46222738	46221853	46221975	46227551	46227690
27	"ENSG00000160285"	"LSS"	chr21	-	46222662	46222738	46221853	46221975	46227551	46227690
28	"ENSG00000142173"	"COL6A2"	chr21	+	46114007	46114073	46112803	46112824	46115871	46115925
29	"ENSG00000142173"	"COL6A2"	chr21	+	46120514	46120577	46119787	46119850	46121060	46121123
30	"ENSG00000142173"	"COL6A2"	chr21	+	46122107	46122158	46121555	46121618	46122495	46122531
31	"ENSG00000142173"	"COL6A2"	chr21	+	46122495	46122531	46122107	46122158	46122874	46122937
32	"ENSG00000142173"	"COL6A2"	chr21	+	46122874	46122937	46122495	46122531	46124650	46124713
33	"ENSG00000142173"	"COL6A2"	chr21	+	46125265	46125311	46124884	46124920	46125464	46125617
35	"ENSG00000183570"	"PCBP3"	chr21	+	45668873	45669032	45643709	45643868	45735391	45735429
39	"ENSG00000183570"	"PCBP3"	chr21	+	45849960	45850095	45735391	45735429	45896207	45896362
45	"ENSG00000182871"	"COL18A1"	chr21	+	45475475	45475535	45473894	45473981	45476350	45476480
46	"ENSG00000182871"	"COL18A1"	chr21	+	45477749	45477965	45477410	45477487	45478326	45478353
47	"ENSG00000182871"	"COL18A1"	chr21	+	45480069	45480156	45479901	45479964	45480466	45480520
48	"ENSG00000182871"	"COL18A1"	chr21	+	45480699	45480858	45480466	45480520	45481962	45482025
49	"ENSG00000182871"	"COL18A1"	chr21	+	45482794	45482821	45481962	45482025	45486860	45486992
50	"ENSG00000182871"	"COL18A1"	chr21	+	45487446	45487509	45486860	45486992	45488417	45488444
51	"ENSG00000182871"	"COL18A1"	chr21	+	45488417	45488444	45486860	45486992	45490274	45490346
52	"ENSG00000182871"	"COL18A1"	chr21	+	45488417	45488444	45487446	45487509	45489485	45489521
53	"ENSG00000182871"	"COL18A1"	chr21	+	45489485	45489521	45488417	45488444	45490274	45490346
54	"ENSG00000182871"	"COL18A1"	chr21	+	45494544	45494571	45493500	45493575	45494861	45494915
55	"ENSG00000182871"	"COL18A1"	chr21	+	45504415	45504556	45504010	45504054	45505133	45505278
58	"ENSG00000186866"	"POFUT2"	chr21	-	45267589	45267713	45263928	45265635	45269838	45270019
62	"ENSG00000186866"	"POFUT2"	chr21	-	45282803	45282938	45282368	45282398	45283382	45283527
63	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45282348	45282459	45285268	45285328
65	"ENSG00000186866"	"POFUT2"	chr21	-	45283382	45283527	45282368	45282398	45285677	45285691
66	"ENSG00000186866"	"POFUT2"	chr21	-	45285268	45285328	45282348	45282459	45285677	45285928
69	"ENSG00000160255"	"ITGB2"	chr21	-	44889275	44889495	44888692	44888895	44889977	44890222
70	"ENSG00000160255"	"ITGB2"	chr21	-	44891808	44891996	44889977	44890222	44893403	44893544
76	"ENSG00000184900"	"SUMO3"	chr21	-	44808996	44809118	44805616	44807040	44813975	44814104
77	"ENSG00000184900"	"SUMO3"	chr21	-	44809046	44809118	44805616	44807040	44813975	44814104
78	"ENSG00000184900"	"SUMO3"	chr21	-	44813861	44814104	44809046	44809118	44817947	44818129
79	"ENSG00000184900"	"SUMO3"	chr21	-	44813975	44814104	44808996	44809118	44817947	44817968
81	"ENSG00000142182"	"DNMT3L"	chr21	-	44254616	44254705	44251622	44251698	44256066	44256154
84	"ENSG00000241945"	"PWP2"	chr21	+	44113752	44113847	44108983	44109096	44114624	44114768
87	"ENSG00000160216"	"AGPAT3"	chr21	+	43867492	43867594	43867138	43867346	43903956	43904019
88	"ENSG00000160216"	"AGPAT3"	chr21	+	43903956	43904019	43865222	43865345	43959633	43959859
89	"ENSG00000160216"	"AGPAT3"	chr21	+	43903956	43904019	43867241	43867346	43959633	43959859
90	"ENSG00000160216"	"AGPAT3"	chr21	+	43903956	43904019	43882543	43882615	43959633	43959859
93	"ENSG00000160216"	"AGPAT3"	chr21	+	43959633	43959859	43865222	43865345	43967945	43968005
95	"ENSG00000160216"	"AGPAT3"	chr21	+	43978045	43978121	43971387	43971490	43980988	43981187
98	"ENSG00000160214"	"RRP1"	chr21	+	43795188	43795250	43791349	43791432	43797421	43797537
99	"ENSG00000160214"	"RRP1"	chr21	+	43800861	43800881	43800516	43800614	43802273	43802387
102	"ENSG00000160209"	"PDXK"	chr21	+	43732138	43732647	43719222	43719381	43734068	43734123
106	"ENSG00000160209"	"PDXK"	chr21	+	43752517	43752629	43750499	43750545	43753582	43753594
107	"ENSG00000160208"	"RRP1B"	chr21	+	43673869	43673955	43672307	43672365	43674635	43674697
108	"ENSG00000160207"	"HSF2BP"	chr21	-	43644288	43644392	43633262	43633421	43656586	43656737
109	"ENSG00000142178"	"SIK1"	chr21	-	43418259	43418541	43417542	43417774	43419020	43419237
