ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
15	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44319415	44321728	44321875
17	"ENSG00000141959"	"PFKL"	chr21	+	44324855	44326060	44324855	44324917	44325960	44326060
42	"ENSG00000100299"	"ARSA"	chr22	-	50626590	50627406	50626590	50626760	50627165	50627406
49	"ENSG00000205593"	"DENND6B"	chr22	-	50316024	50316475	50316024	50316087	50316369	50316475
92	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288755	29291564	29291599
95	"ENSG00000182944"	"EWSR1"	chr22	+	29298732	29299851	29298732	29298895	29299598	29299851
112	"ENSG00000133460"	"SLC2A11"	chr22	+	23883771	23884429	23883771	23883873	23884301	23884429
158	"ENSG00000131002"	"TXLNGY"	chrY	+	19593398	19597665	19593398	19593593	19597590	19597665
211	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490576	49489849	49489922	49490474	49490576
249	"ENSG00000267107"	"PCAT19"	chr19	-	41494539	41495427	41494539	41494648	41495301	41495427
253	"ENSG00000188493"	"C19orf54"	chr19	-	40740855	40742770	40740855	40741439	40742398	40742770
254	"ENSG00000188493"	"C19orf54"	chr19	-	40740855	40742770	40740855	40741439	40742576	40742770
271	"ENSG00000187994"	"RINL"	chr19	-	38871077	38871870	38871077	38871227	38871797	38871870
294	"ENSG00000250799"	"PRODH2"	chr19	-	35806429	35807121	35806429	35806596	35807040	35807121
307	"ENSG00000105677"	"TMEM147"	chr19	+	35546671	35547240	35546671	35546808	35547118	35547240
363	"ENSG00000105650"	"PDE4C"	chr19	-	18220402	18220923	18220402	18220708	18220873	18220923
397	"ENSG00000104957"	"CCDC130"	chr19	+	13758867	13759272	13758867	13759010	13759110	13759272
554	"ENSG00000064601"	"CTSA"	chr20	+	45892724	45894741	45892724	45892880	45894649	45894741
558	"ENSG00000064601"	"CTSA"	chr20	+	45894993	45897806	45894993	45895133	45897716	45897806
598	"ENSG00000149636"	"DSN1"	chr20	-	36770872	36771473	36770872	36771024	36771424	36771473
