ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
293	"ENSG00000105677"	"TMEM147"	chr19	+	35546671	35547240	35546671	35546808	35547118	35547240
656	"ENSG00000105426"	"PTPRS"	chr19	-	5218419	5219467	5218419	5218532	5219309	5219467
916	"ENSG00000141736"	"ERBB2"	chr17	+	39715739	39716605	39715739	39715939	39716514	39716605
922	"ENSG00000125691"	"RPL23"	chr17	-	38850080	38852732	38850080	38850214	38852603	38852732
927	"ENSG00000278053"	"DDX52"	chr17	-	37619767	37621277	37619767	37619839	37621126	37621277
947	"ENSG00000108671"	"PSMD11"	chr17	+	32479250	32480197	32479250	32479376	32480145	32480197
1220	"ENSG00000051108"	"HERPUD1"	chr16	+	56939894	56940245	56939894	56940088	56940176	56940245
1427	"ENSG00000214078"	"CPNE1"	chr20	-	35630438	35631034	35630438	35630490	35630900	35631034
1460	"ENSG00000140521"	"POLG"	chr15	-	89317375	89318749	89317375	89317476	89317938	89318749
1608	"ENSG00000114062"	"UBE3A"	chr15	-	25407066	25409207	25407066	25407137	25409087	25409207
1609	"ENSG00000114062"	"UBE3A"	chr15	-	25407066	25409207	25407066	25407212	25409087	25409207
1610	"ENSG00000114062"	"UBE3A"	chr15	-	25407066	25409207	25407066	25407228	25409087	25409207
1713	"ENSG00000140043"	"PTGR2"	chr14	+	73876997	73880176	73876997	73877168	73880054	73880176
1790	"ENSG00000100911"	"PSME2"	chr14	-	24144399	24145273	24144399	24144468	24145242	24145273
2194	"ENSG00000065357"	"DGKA"	chr12	+	55951622	55952431	55951622	55951783	55952340	55952431
2300	"ENSG00000161960"	"EIF4A1"	chr17	+	7576523	7577165	7576523	7576690	7577055	7577165
2422	"ENSG00000143624"	"INTS3"	chr1	+	153746956	153748755	153746956	153747070	153748688	153748755
2474	"ENSG00000175048"	"ZDHHC14"	chr6	+	157628348	157628486	157628348	157628374	157628447	157628486
2662	"ENSG00000233058"	"LINC00884"	chr3	+	194487145	194488726	194487145	194487172	194487455	194488726
2771	"ENSG00000188313"	"PLSCR1"	chr3	-	146521543	146522053	146521543	146521701	146521832	146522053
2965	"ENSG00000173540"	"GMPPB"	chr3	-	49722595	49723302	49722595	49722754	49723253	49723302
3028	"ENSG00000165195"	"PIGA"	chrX	-	15331215	15331992	15331215	15331299	15331589	15331992
3089	"ENSG00000184014"	"DENND5A"	chr11	-	9144096	9147151	9144096	9145113	9147029	9147151
3167	"ENSG00000162777"	"DENND2D"	chr1	-	111195915	111197989	111195915	111196056	111197919	111197989
