ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	1	9	19	21,0,0,5	39,9,14,12	298	149	0.294007621426	0.8396666395375221	0.191	0.212,0.0,0.0,0.172	0.095
9	"ENSG00000241945"	"PWP2"	chr21	+	44124579	44126119	44124579	44124727	44126010	44126119	9	0	19	1,0,0,0	18,2,0,0	298	149	1	1.0	0.0	0.027,0.0,NA,NA	-0.013
11	"ENSG00000205622"	"AP001042.1"	chr21	-	38904229	38905423	38904229	38904483	38904954	38905423	11	4	0	32,94,29,14	3,5,0,2	298	149	0.0403208938337	0.23179123460549464	1.0	0.842,0.904,1.0,0.778	0.119
14	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147	14	0	7	3,0,0,0	24,2,2,0	298	149	1	1.0	0.0	0.059,0.0,0.0,NA	-0.02
16	"ENSG00000182670"	"TTC3"	chr21	+	37087832	37088346	37087832	37087875	37088195	37088346	16	11	236	6,3,6,10	55,106,147,91	298	149	0.587416152689	1.0	0.023	0.052,0.014,0.02,0.052	-0.012
17	"ENSG00000185917"	"SETD4"	chr21	-	36034540	36036251	36034540	36035960	36036084	36036251	17	5	0	25,2,4,17	0,1,0,0	273	149	1	1.0	1.0	1.0,0.522,1.0,1.0	0.119
19	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32573283	32574124	32573283	32573368	32574095	32574124	19	2	2	2,0,0,0	0,0,0,0	298	149	1	1.0	0.333	1.0,NA,NA,NA	-0.667
23	"ENSG00000156261"	"CCT8"	chr21	-	29066715	29067071	29066715	29066777	29066890	29067071	23	17	583	10,1,9,17	346,282,248,216	262	149	0.791013079213	1.0	0.016	0.016,0.002,0.02,0.043	-0.004
24	"ENSG00000154734"	"ADAMTS1"	chr21	-	26838438	26839762	26838438	26838614	26839586	26839762	24	44	86	11,15,6,2	26,18,4,5	298	149	0.676551489045	1.0	0.204	0.175,0.294,0.429,0.167	-0.062
25	"ENSG00000154734"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840275	26840562	25	76	62	8,24,12,7	25,9,0,0	298	149	0.0637638885775	0.3129962567160388	0.38	0.138,0.571,1.0,1.0	-0.297
36	"ENSG00000275464"	"FP565260.1"	chr21	-	5135934	5137474	5135934	5136043	5137326	5137474	36	1	18	0,0,0,0	4,9,0,7	298	149	1	1.0	0.027	0.0,0.0,NA,0.0	0.027
56	"ENSG00000100417"	"PMM1"	chr22	-	41583958	41584372	41583958	41584058	41584280	41584372	56	1	0	7,0,0,0	14,0,0,0	298	149	1	1.0	1.0	0.2,NA,NA,NA	0.8
57	"ENSG00000100395"	"L3MBTL2"	chr22	+	41217122	41219536	41217122	41217202	41219418	41219536	57	0	2	4,0,0,0	21,2,0,0	298	149	1	1.0	0.0	0.087,0.0,NA,NA	-0.043
62	"ENSG00000100242"	"SUN2"	chr22	-	38740266	38741050	38740266	38740432	38741006	38741050	62	0	4	5,0,0,0	43,2,0,0	298	149	1	1.0	0.0	0.055,0.0,NA,NA	-0.028
64	"ENSG00000100201"	"DDX17"	chr22	-	38487878	38492115	38487878	38488115	38492055	38492115	64	277	267	263,97,70,153	210,152,52,47	298	149	0.311773036712	0.8665823627562124	0.342	0.385,0.242,0.402,0.619	-0.07
68	"ENSG00000100124"	"ANKRD54"	chr22	-	37832957	37833206	37832957	37833082	37833158	37833206	68	1	0	0,0,0,0	9,0,0,0	225	149	1	1.0	1.0	0.0,NA,NA,NA	1.0
70	"ENSG00000100055"	"CYTH4"	chr22	+	37311455	37312174	37311455	37311527	37312019	37312174	70	0	4	0,0,1,0	2,0,0,3	298	149	1	1.0	0.0	0.0,NA,1.0,0.0	-0.333
71	"ENSG00000100365"	"NCF4"	chr22	+	36875652	36876094	36875652	36875783	36876028	36876094	71	0	3	7,0,0,0	1,1,0,0	298	149	1	1.0	0.0	0.778,0.0,NA,NA	-0.389
75	"ENSG00000198089"	"SFI1"	chr22	+	31604868	31606430	31604868	31604945	31606327	31606430	75	1	0	3,0,0,0	4,0,0,0	298	149	1	1.0	1.0	0.273,NA,NA,NA	0.727
