ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000142173"	"COL6A2"	chr21	+	46125416	46125617	46125464	46125617	46125265	46125311	1	0	185	11	1153	197	149	1	1.0	0.0	0.007	-0.007
2	"ENSG00000142173"	"COL6A2"	chr21	+	46128902	46129808	46129195	46129808	46126502	46126541	2	7	78	39	385	298	149	0.65043504163	0.7800188120127659	0.043	0.048	-0.005
5	"ENSG00000182871"	"COL18A1"	chr21	+	45505834	45505966	45505837	45505966	45505357	45505431	5	192	979	47	148	152	149	0.0468506899482	0.08771872061052113	0.161	0.237	-0.076
7	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44910283	44910372	44910724	44910785	7	4	194	23	868	192	149	0.480843105817	0.6183286160728236	0.016	0.02	-0.004
13	"ENSG00000160209"	"PDXK"	chr21	+	43743668	43743807	43743723	43743807	43741666	43741771	13	10	204	26	620	204	149	0.877287238587	0.9737663978177953	0.035	0.03	0.005
14	"ENSG00000160209"	"PDXK"	chr21	+	43755476	43755764	43755697	43755764	43753582	43753719	14	29	489	18	1553	298	149	6.21534444988e-05	0.00040260589421610746	0.029	0.006	0.023
17	"ENSG00000141959"	"PFKL"	chr21	+	44325731	44326060	44325960	44326060	44325152	44325264	17	178	956	135	592	298	149	0.291570839234	0.4093877199209188	0.085	0.102	-0.017
19	"ENSG00000159267"	"HLCS"	chr21	-	36756541	36756980	36756541	36756755	36759726	36759841	19	3	67	5	16	298	149	0.0175143641713	0.03910471551807304	0.022	0.135	-0.113
20	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36060281	36060313	20	3	5	17	0	198	149	8.89997406517e-06	8.271067974911734e-05	0.311	1.0	-0.689
21	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36060346	36060526	21	4	6	66	18	198	149	0.0139557867863	0.032302994481355735	0.334	0.734	-0.4
22	"ENSG00000241837"	"ATP5PO"	chr21	-	33903455	33903656	33903455	33903639	33903934	33904021	22	29	1925	11	1753	166	149	0.304940746159	0.4255443210064502	0.013	0.006	0.007
27	"ENSG00000156304"	"SCAF4"	chr21	-	31685048	31685240	31685048	31685174	31685397	31685484	27	71	9	41	32	215	149	8.87208270917e-06	8.262840978068197e-05	0.845	0.47	0.375
41	"ENSG00000251322"	"SHANK3"	chr22	+	50705375	50706152	50706071	50706152	50704963	50705096	41	6	13	28	59	298	149	0.897124491659	0.9870233285432396	0.188	0.192	-0.004
43	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50576535	50576637	50576535	50576593	50576856	50577034	43	53	3	31	0	193	149	0.0823842509244	0.1425628584576938	0.932	1.0	-0.068
44	"ENSG00000025770"	"NCAPH2"	chr22	+	50522497	50522569	50522500	50522569	50522342	50522415	44	40	181	26	201	152	149	0.0746208148526	0.13037614189222382	0.178	0.113	0.065
47	"ENSG00000100241"	"SBF1"	chr22	-	50467531	50467693	50467531	50467690	50467785	50467923	47	5	4	24	97	152	149	0.0354623647135	0.06954661674495707	0.551	0.195	0.356
48	"ENSG00000100239"	"PPP6R2"	chr22	+	50419345	50419462	50419348	50419462	50418866	50418979	48	16	125	38	177	152	149	0.114871000696	0.18984773153870524	0.111	0.174	-0.063
49	"ENSG00000100239"	"PPP6R2"	chr22	+	50439697	50439857	50439700	50439857	50438598	50438762	49	46	582	0	325	152	149	2.93845165977e-08	6.408482514272261e-07	0.072	0.0	0.072
50	"ENSG00000100239"	"PPP6R2"	chr22	+	50440800	50441026	50440821	50441026	50439960	50440049	50	7	759	0	199	170	149	1	1.0	0.008	0.0	0.008
51	"ENSG00000100239"	"PPP6R2"	chr22	+	50444198	50445090	50444202	50445090	50443865	50444117	51	963	17	195	0	153	149	0.124482465348	0.20333229191205118	0.982	1.0	-0.018
57	"ENSG00000186951"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46151887	46151970	57	2	2	7	0	152	149	0.00564403422685	0.015631849741243778	0.495	1.0	-0.505
58	"ENSG00000248405"	"PRR5-ARHGAP8"	chr22	+	44859679	44859834	44859730	44859834	44848931	44849060	58	0	2	16	59	200	149	0.0134936322314	0.03138390347496035	0.0	0.168	-0.168
61	"ENSG00000189306"	"RRP7A"	chr22	-	42516010	42516296	42516010	42516136	42518004	42518147	61	20	102	20	361	298	149	0.00080033419421	0.0032401589579024253	0.089	0.027	0.062
62	"ENSG00000100207"	"TCF20"	chr22	-	42168608	42168736	42168608	42168703	42169846	42169896	62	22	4	14	23	182	149	0.000103120010918	0.0006130696539508493	0.818	0.333	0.485
65	"ENSG00000100417"	"PMM1"	chr22	-	41583958	41584372	41583958	41584058	41584526	41584603	65	493	0	364	25	298	149	2.93150359543e-09	9.35494529718103e-08	1.0	0.879	0.121
68	"ENSG00000100335"	"MIEF1"	chr22	+	39512231	39512494	39512317	39512494	39511848	39512026	68	23	2	90	25	235	149	0.0466483194429	0.08737751678126283	0.879	0.695	0.184
69	"ENSG00000100307"	"CBX7"	chr22	-	39134400	39134752	39134400	39134473	39138635	39138702	69	28	10	148	0	298	149	5.93159921181e-09	1.7162093719503601e-07	0.583	1.0	-0.417
71	"ENSG00000100221"	"JOSD1"	chr22	-	38699802	38700618	38699802	38700123	38700903	38700930	71	36	0	192	7	298	149	0.024745438284	0.051731792944393055	1.0	0.932	0.068
72	"ENSG00000100211"	"CBY1"	chr22	+	38670766	38670989	38670883	38670989	38668016	38668132	72	16	146	52	318	266	149	0.184853415257	0.282885691895409	0.058	0.084	-0.026
75	"ENSG00000100124"	"ANKRD54"	chr22	-	37833683	37833755	37833683	37833750	37838499	37838593	75	15	0	185	4	154	149	0.395872348158	0.5263743844993014	1.0	0.978	0.022
76	"ENSG00000100124"	"ANKRD54"	chr22	-	37838499	37838598	37838499	37838593	37840186	37840234	76	10	0	133	36	154	149	0.00169577484791	0.006032510524532295	1.0	0.781	0.219
78	"ENSG00000100368"	"CSF2RB"	chr22	+	36930654	36930830	36930672	36930830	36930374	36930510	78	4	21	2	104	167	149	0.0128930111996	0.03036118752374607	0.145	0.017	0.128
83	"ENSG00000100150"	"DEPDC5"	chr22	+	31836971	31837155	31837093	31837155	31833914	31833980	83	9	0	0	22	271	149	9.08706443425e-12	6.465222892564754e-10	1.0	0.0	1.0
84	"ENSG00000100150"	"DEPDC5"	chr22	+	31836998	31837155	31837093	31837155	31833914	31833980	84	21	0	0	22	244	149	1.11022302463e-16	2.8343340746436465e-14	1.0	0.0	1.0
85	"ENSG00000100150"	"DEPDC5"	chr22	+	31873171	31873332	31873254	31873332	31870589	31870744	85	11	51	0	52	232	149	0.000130724007236	0.0007474864181874045	0.122	0.0	0.122
88	"ENSG00000100105"	"PATZ1"	chr22	-	31328786	31328924	31328786	31328859	31335691	31335863	88	17	0	0	12	214	149	1.07391873172e-12	1.0357349545921776e-10	1.0	0.0	1.0
