ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"ENSG00000271254"	"AC240274.1"	chrKI270711.1	-	18226	18432	16870	16922	18896	18969
3	"ENSG00000160305"	"DIP2A"	chr21	+	46498581	46498833	46496987	46497107	46509256	46509376
6	"ENSG00000160294"	"MCM3AP"	chr21	-	46251528	46251682	46246306	46246886	46254391	46254526
9	"ENSG00000160285"	"LSS"	chr21	-	46196201	46196267	46195675	46195756	46205835	46205941
10	"ENSG00000160285"	"LSS"	chr21	-	46219475	46219572	46216388	46216524	46221853	46221975
11	"ENSG00000142173"	"COL6A2"	chr21	+	46120514	46120577	46119787	46119850	46121060	46121123
12	"ENSG00000142173"	"COL6A2"	chr21	+	46122107	46122158	46121555	46121618	46122495	46122531
13	"ENSG00000142173"	"COL6A2"	chr21	+	46125265	46125311	46124884	46124920	46125464	46125617
14	"ENSG00000142173"	"COL6A2"	chr21	+	46126502	46126541	46125784	46126237	46131953	46132848
18	"ENSG00000183570"	"PCBP3"	chr21	+	45744230	45744337	45735391	45735429	45849960	45850095
22	"ENSG00000183570"	"PCBP3"	chr21	+	45917587	45917629	45910901	45911030	45929916	45929995
26	"ENSG00000182871"	"COL18A1"	chr21	+	45480069	45480156	45479901	45479964	45480466	45480520
27	"ENSG00000182871"	"COL18A1"	chr21	+	45482794	45482821	45481962	45482025	45486860	45486992
28	"ENSG00000182871"	"COL18A1"	chr21	+	45487446	45487509	45486860	45486992	45488417	45488444
29	"ENSG00000182871"	"COL18A1"	chr21	+	45488417	45488444	45487446	45487509	45489485	45489521
30	"ENSG00000182871"	"COL18A1"	chr21	+	45489485	45489521	45488417	45488444	45490274	45490346
31	"ENSG00000182871"	"COL18A1"	chr21	+	45494544	45494571	45493500	45493575	45494861	45494915
32	"ENSG00000182871"	"COL18A1"	chr21	+	45494861	45494915	45494544	45494571	45495357	45495432
33	"ENSG00000182871"	"COL18A1"	chr21	+	45504415	45504556	45504010	45504054	45505133	45505278
38	"ENSG00000186866"	"POFUT2"	chr21	-	45282803	45282938	45282348	45282459	45283351	45283527
40	"ENSG00000186866"	"POFUT2"	chr21	-	45282803	45282938	45282368	45282398	45283351	45283527
41	"ENSG00000186866"	"POFUT2"	chr21	-	45282803	45282938	45282368	45282398	45283382	45283527
45	"ENSG00000160255"	"ITGB2"	chr21	-	44888692	44888895	44886735	44886902	44889275	44889495
46	"ENSG00000160255"	"ITGB2"	chr21	-	44891808	44891996	44889977	44890222	44893403	44893544
50	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910372	44906914	44907095	44910599	44910630
51	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44906914	44907095	44910599	44910785
54	"ENSG00000184900"	"SUMO3"	chr21	-	44813861	44814104	44809046	44809118	44817947	44818129
55	"ENSG00000184900"	"SUMO3"	chr21	-	44813975	44814104	44808996	44809118	44817947	44817968
64	"ENSG00000160216"	"AGPAT3"	chr21	+	43978045	43978121	43971387	43971490	43980988	43981187
69	"ENSG00000160209"	"PDXK"	chr21	+	43732138	43732647	43719222	43719381	43734068	43734123
73	"ENSG00000160209"	"PDXK"	chr21	+	43748994	43749080	43745702	43746125	43750499	43750545
74	"ENSG00000160208"	"RRP1B"	chr21	+	43672307	43672365	43669883	43669966	43673869	43673955
75	"ENSG00000160207"	"HSF2BP"	chr21	-	43592224	43592328	43529185	43529962	43613829	43613947
78	"ENSG00000160194"	"NDUFV3"	chr21	+	42896926	42897047	42893267	42893381	42908863	42913304
100	"ENSG00000160181"	"TFF2"	chr21	-	42349880	42349993	42347485	42347632	42350878	42350997
101	"ENSG00000160181"	"TFF2"	chr21	-	42349880	42350030	42347485	42347632	42350878	42350994
104	"ENSG00000157617"	"C2CD2"	chr21	-	41899052	41899347	41885111	41889344	41901621	41901652
105	"ENSG00000157617"	"C2CD2"	chr21	-	41899052	41899362	41885111	41889344	41901621	41901749
106	"ENSG00000157617"	"C2CD2"	chr21	-	41909458	41909523	41907659	41907784	41912331	41912440
114	"ENSG00000183844"	"FAM3B"	chr21	+	41319457	41320978	41316813	41316898	41322922	41323066
127	"ENSG00000183527"	"PSMG1"	chr21	-	39178448	39178647	39177434	39177571	39180284	39180436
134	"ENSG00000205622"	"AP001042.1"	chr21	-	38893960	38894285	38863675	38864225	38901900	38901965
135	"ENSG00000205622"	"AP001042.1"	chr21	-	38893960	38894285	38871243	38871594	38901900	38901965
138	"ENSG00000205622"	"AP001042.1"	chr21	-	38904229	38904483	38901900	38901965	38904904	38905452
141	"ENSG00000157557"	"ETS2"	chr21	+	38805970	38806120	38805257	38805440	38810034	38810106
146	"ENSG00000141959"	"PFKL"	chr21	+	44311005	44311083	44306680	44306754	44312104	44312294
147	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44314021	44313637	44313682	44316243	44316339
153	"ENSG00000182670"	"TTC3"	chr21	+	37132681	37132766	37129002	37129063	37135379	37135411
155	"ENSG00000182670"	"TTC3"	chr21	+	37157160	37157214	37156654	37156906	37158130	37158203
158	"ENSG00000182670"	"TTC3"	chr21	+	37158130	37158203	37157160	37157214	37159698	37159745
159	"ENSG00000182670"	"TTC3"	chr21	+	37165549	37166615	37164050	37164215	37167554	37167620
160	"ENSG00000182670"	"TTC3"	chr21	+	37182773	37182913	37172594	37172744	37185705	37185774
162	"ENSG00000182670"	"TTC3"	chr21	+	37194965	37195017	37192111	37192213	37195674	37196036
163	"ENSG00000182670"	"TTC3"	chr21	+	37197881	37198025	37197569	37197696	37200231	37200324
164	"ENSG00000159267"	"HLCS"	chr21	-	36765011	36765172	36759726	36759841	36767217	36767285
165	"ENSG00000159267"	"HLCS"	chr21	-	36930250	36930433	36896859	36897131	36936448	36937392
166	"ENSG00000159267"	"HLCS"	chr21	-	36938831	36938994	36936448	36937392	36962035	36962170
171	"ENSG00000185917"	"SETD4"	chr21	-	36045581	36046011	36043685	36043956	36048307	36048396
173	"ENSG00000185917"	"SETD4"	chr21	-	36053582	36053620	36048307	36048396	36057108	36057204
174	"ENSG00000185917"	"SETD4"	chr21	-	36057108	36057204	36053582	36053620	36058815	36058924
182	"ENSG00000243927"	"MRPS6"	chr21	+	34125340	34125480	34073577	34073745	34142407	34143030
183	"ENSG00000243927"	"MRPS6"	chr21	+	34125340	34125480	34103496	34103519	34142407	34143030
