ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000271254"	"AC240274.1"	chrKI270711.1	-	27336	27439	26290	26505	29278	29488	1	4	0	2,0	0,5	252	149	0.00184466076487	0.025825250708180002	1.0	1.0,0.0	0.5
16	"ENSG00000186866"	"POFUT2"	chr21	-	45266021	45266227	45263927	45265635	45267589	45267713	16	6	2	2,0	3,10	355	149	0.000289699720253	0.00709439677793526	0.557	0.219,0.0	0.448
17	"ENSG00000186866"	"POFUT2"	chr21	-	45267589	45267713	45263928	45265635	45269838	45270019	17	8	0	7,13	2,0	273	149	0.674363071508	1.0	1.0	0.656,1.0	0.172
22	"ENSG00000186866"	"POFUT2"	chr21	-	45285268	45285328	45283351	45283527	45285677	45285928	22	2	5	0,0	6,6	209	149	0.0617638762164	0.2901195299204738	0.222	0.0,0.0	0.222
36	"ENSG00000160216"	"AGPAT3"	chr21	+	43960631	43960779	43959782	43959859	43967945	43968115	36	0	2	2,0	0,0	297	149	1	1.0	0.0	1.0,NA	-1.0
41	"ENSG00000160209"	"PDXK"	chr21	+	43732138	43732647	43719222	43719381	43734068	43734123	41	3	5	7,7	4,15	658	149	0.689416292784	1.0	0.12	0.284,0.096	-0.07
45	"ENSG00000160207"	"HSF2BP"	chr21	-	43644288	43644392	43633262	43633421	43656586	43656737	45	2	0	4,0	0,2	253	149	0.0433101851598	0.225726540996415	1.0	1.0,0.0	0.5
48	"ENSG00000160194"	"NDUFV3"	chr21	+	42903181	42904276	42896926	42897047	42908863	42909105	48	216	46	189,214	16,13	1244	149	9.18987485952e-05	0.0030957339143398085	0.36	0.586,0.663	-0.265
90	"ENSG00000183527"	"PSMG1"	chr21	-	39179923	39179986	39178448	39178647	39180284	39180436	90	83	15	54,39	4,0	212	149	0.00163118983619	0.023704421774044165	0.795	0.905,1.0	-0.157
94	"ENSG00000205622"	"AP001042.1"	chr21	-	38880591	38880708	38879154	38880372	38893960	38894285	94	2	0	17,13	2,9	266	149	0.00634605455413	0.06054742943828149	1.0	0.826,0.447	0.364
95	"ENSG00000205622"	"AP001042.1"	chr21	-	38880591	38880708	38879154	38880372	38901900	38901965	95	2	0	17,12	9,12	266	149	0.00327103692936	0.03835320050132579	1.0	0.514,0.359	0.564
96	"ENSG00000205622"	"AP001042.1"	chr21	-	38893960	38894285	38871243	38871594	38901900	38901965	96	6	3	130,312	10,3	474	149	0.00518269521719	0.05283079718064937	0.386	0.803,0.97	-0.501
97	"ENSG00000205622"	"AP001042.1"	chr21	-	38893960	38894285	38879102	38880372	38901900	38901965	97	6	0	132,319	9,12	474	149	0.0217950232186	0.13985139898601667	1.0	0.822,0.893	0.143
99	"ENSG00000205622"	"AP001042.1"	chr21	-	38904229	38904483	38901900	38901965	38904954	38905423	99	8	2	86,78	237,234	403	149	0.00104857459786	0.017397391701009082	0.597	0.118,0.11	0.483
101	"ENSG00000157557"	"ETS2"	chr21	+	38806450	38806808	38805950	38806120	38810034	38810106	101	4	12	0,2	3,10	507	149	0.127297143385	0.4729353636568114	0.089	0.0,0.056	0.061
102	"ENSG00000157557"	"ETS2"	chr21	+	38806690	38806808	38805982	38806120	38810034	38810106	102	4	12	0,2	3,10	267	149	0.0759196290031	0.3343541887820199	0.157	0.0,0.1	0.107
107	"ENSG00000182670"	"TTC3"	chr21	+	37094004	37094090	37091292	37091413	37095349	37095444	107	100	1	186,104	4,0	235	149	0.59409441171	1.0	0.984	0.967,1.0	0.0
109	"ENSG00000182670"	"TTC3"	chr21	+	37121816	37121979	37107737	37108446	37122982	37123028	109	171	0	230,111	2,0	312	149	1	1.0	1.0	0.982,1.0	0.009
110	"ENSG00000182670"	"TTC3"	chr21	+	37148545	37148647	37147480	37147603	37150077	37150170	110	136	0	173,94	0,2	251	149	1	1.0	1.0	1.0,0.965	0.018
111	"ENSG00000182670"	"TTC3"	chr21	+	37150819	37150884	37150077	37150170	37151892	37151958	111	180	2	255,163	0,0	214	149	0.554877716079	1.0	0.984	1.0,1.0	-0.016
112	"ENSG00000182670"	"TTC3"	chr21	+	37157160	37157214	37156654	37156906	37158130	37158203	112	8	4	5,2	2,16	203	149	0.108913344021	0.4274932589643972	0.595	0.647,0.084	0.229
113	"ENSG00000182670"	"TTC3"	chr21	+	37157160	37157214	37156654	37156906	37159698	37159745	113	14	48	22,11	64,38	203	149	0.786092795215	1.0	0.176	0.201,0.175	-0.012
114	"ENSG00000182670"	"TTC3"	chr21	+	37158130	37158203	37156654	37156906	37159698	37159745	114	8	48	9,16	64,38	222	149	0.357307060716	0.8604920041130706	0.101	0.086,0.22	-0.052
115	"ENSG00000182670"	"TTC3"	chr21	+	37158130	37158203	37157160	37157214	37159698	37159745	115	8	10	7,2	17,11	222	149	0.110143477642	0.43040739747502244	0.349	0.217,0.109	0.186
116	"ENSG00000182670"	"TTC3"	chr21	+	37165549	37166615	37164050	37164215	37167554	37167620	116	739	2	883,742	0,0	1215	149	0.527573613869	1.0	0.978	1.0,1.0	-0.022
118	"ENSG00000159267"	"HLCS"	chr21	-	36938831	36938994	36936448	36937392	36962035	36962170	118	41	0	35,50	0,1	312	149	1	1.0	1.0	1.0,0.96	0.02
119	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36938831	36938994	36947332	36948287	119	13	0	6,0	0,2	295	149	0.0337974867519	0.18952031549586937	1.0	1.0,0.0	0.5
