ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
8	"ENSG00000182670"	"TTC3"	chr21	+	37157160	37157214	37158130	37158203	37156654	37156906	37159698	37159745	8	92	32	14,23,63,24	3,3,2,3	203	222	2.66283698537e-05	0.0016239555136129719	0.759	0.836,0.893,0.972,0.897	-0.14
9	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36947332	36948287	36938831	36938994	36962035	36962170	9	18	11	22,4,13,3	10,9,5,8	1104	295	0.413676875603	0.9045369556726905	0.304	0.37,0.106,0.41,0.091	0.06
10	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36948165	36948287	36938831	36938994	36962035	36962170	10	4	11	8,0,0,2	10,9,5,8	271	295	0.408453452456	0.8982241996620011	0.284	0.465,0.0,0.0,0.214	0.114
11	"ENSG00000185917"	"SETD4"	chr21	-	36048307	36048396	36053582	36053620	36045581	36046011	36057108	36057204	11	3	2	10,4,6,2	7,3,6,4	187	238	0.651054564164	1.0	0.656	0.645,0.629,0.56,0.389	0.1
12	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32584160	32584305	32587312	32587477	32582199	32582415	32603160	32603292	12	0	4	0,1,0,0	0,0,0,0	314	294	1	1.0	0.0	NA,1.0,NA,NA	-1.0
13	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32584160	32584305	32602271	32602367	32582199	32582415	32603160	32603292	13	46	4	24,28,7,16	0,0,0,0	245	294	0.0271324831108	0.18472272306566667	0.932	1.0,1.0,1.0,1.0	-0.068
14	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32587312	32587477	32602271	32602367	32582199	32582415	32603160	32603292	14	46	0	24,28,7,16	0,1,0,0	245	314	1	1.0	1.0	1.0,0.973,1.0,1.0	0.007
20	"ENSG00000215386"	"MIR99AHG"	chr21	+	16231055	16231115	16391613	16391685	16181590	16181687	16487489	16488346	20	22	55	0,0,1,0	2,12,11,11	209	221	7.11747571991e-09	1.926166866700644e-06	0.297	0.0,0.0,0.088,0.0	0.275
21	"ENSG00000215386"	"MIR99AHG"	chr21	+	16257392	16257454	16352128	16352273	16231055	16231115	16391613	16391685	21	3	2	0,0,1,0	0,0,0,6	211	294	1	1.0	0.676	NA,NA,1.0,0.0	0.176
22	"ENSG00000215386"	"MIR99AHG"	chr21	+	16257392	16257454	16383159	16383304	16231055	16231115	16391613	16391685	22	3	9	0,0,1,0	4,0,0,0	211	294	1	1.0	0.317	0.0,NA,1.0,NA	-0.183
