ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
4	"ENSG00000160294"	"MCM3AP"	chr21	-	46251528	46251682	46246306	46246886	46254391	46254526
7	"ENSG00000160285"	"LSS"	chr21	-	46196201	46196267	46195675	46195756	46205835	46205941
8	"ENSG00000160285"	"LSS"	chr21	-	46219475	46219572	46216388	46216524	46221853	46221975
9	"ENSG00000142173"	"COL6A2"	chr21	+	46125265	46125311	46124884	46124920	46125464	46125617
13	"ENSG00000183570"	"PCBP3"	chr21	+	45744230	45744337	45735391	45735429	45849960	45850095
17	"ENSG00000183570"	"PCBP3"	chr21	+	45917587	45917629	45910901	45911030	45929916	45929995
21	"ENSG00000182871"	"COL18A1"	chr21	+	45487446	45487509	45486860	45486992	45488417	45488444
22	"ENSG00000182871"	"COL18A1"	chr21	+	45489485	45489521	45488417	45488444	45490274	45490346
23	"ENSG00000182871"	"COL18A1"	chr21	+	45494544	45494571	45493500	45493575	45494861	45494915
24	"ENSG00000182871"	"COL18A1"	chr21	+	45494861	45494915	45494544	45494571	45495357	45495432
25	"ENSG00000182871"	"COL18A1"	chr21	+	45504415	45504556	45504010	45504054	45505133	45505278
30	"ENSG00000186866"	"POFUT2"	chr21	-	45282803	45282938	45282348	45282459	45283351	45283527
32	"ENSG00000186866"	"POFUT2"	chr21	-	45282803	45282938	45282368	45282398	45283382	45283527
36	"ENSG00000160255"	"ITGB2"	chr21	-	44891808	44891996	44889977	44890222	44893403	44893544
42	"ENSG00000184900"	"SUMO3"	chr21	-	44813861	44814104	44809046	44809118	44817947	44818129
43	"ENSG00000184900"	"SUMO3"	chr21	-	44813975	44814104	44808996	44809118	44817947	44817968
56	"ENSG00000160209"	"PDXK"	chr21	+	43732138	43732647	43719222	43719381	43734068	43734123
60	"ENSG00000160209"	"PDXK"	chr21	+	43748994	43749080	43745702	43746125	43750499	43750545
63	"ENSG00000160194"	"NDUFV3"	chr21	+	42896926	42897047	42893267	42893381	42908863	42913304
87	"ENSG00000157617"	"C2CD2"	chr21	-	41909458	41909523	41907659	41907784	41912331	41912440
113	"ENSG00000205622"	"AP001042.1"	chr21	-	38893960	38894285	38871243	38871594	38901900	38901965
122	"ENSG00000141959"	"PFKL"	chr21	+	44311005	44311083	44306680	44306754	44312104	44312294
132	"ENSG00000159267"	"HLCS"	chr21	-	36765011	36765172	36759726	36759841	36767217	36767285
138	"ENSG00000185917"	"SETD4"	chr21	-	36057108	36057204	36053582	36053620	36058815	36058924
146	"ENSG00000243927"	"MRPS6"	chr21	+	34125340	34125480	34073577	34073745	34142407	34143030
149	"ENSG00000241837"	"ATP5PO"	chr21	-	33906448	33907453	33903934	33904021	33909081	33909211
152	"ENSG00000241837"	"ATP5PO"	chr21	-	33907340	33907453	33903934	33904021	33909081	33909095
153	"ENSG00000241837"	"ATP5PO"	chr21	-	33907340	33907453	33903934	33904021	33912288	33912399
154	"ENSG00000241837"	"ATP5PO"	chr21	-	33909081	33909211	33903934	33904021	33912288	33912399
156	"ENSG00000159131"	"GART"	chr21	-	33509782	33509920	33505973	33506104	33511251	33511458
178	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501495	32495026	32495170	32514813	32514880
180	"ENSG00000166979"	"EVA1C"	chr21	+	32503925	32504015	32495116	32495170	32514813	32514880
181	"ENSG00000166979"	"EVA1C"	chr21	+	32503925	32504015	32501414	32501495	32514813	32514880
195	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32609837	32610005	32607648	32607716	32612104	32612146
196	"ENSG00000142207"	"URB1"	chr21	-	32319216	32319414	32317675	32317917	32320530	32320640
197	"ENSG00000142207"	"URB1"	chr21	-	32357536	32357656	32355448	32355565	32359795	32359908
199	"ENSG00000142149"	"HUNK"	chr21	+	31990128	31990176	31983525	31983609	31995767	31995927
200	"ENSG00000156304"	"SCAF4"	chr21	-	31700994	31701171	31696568	31696750	31701775	31701823
203	"ENSG00000142168"	"SOD1"	chr21	+	31663789	31663886	31659692	31659841	31666448	31666518
204	"ENSG00000142168"	"SOD1"	chr21	+	31663789	31663886	31659692	31659841	31667257	31667341
205	"ENSG00000142168"	"SOD1"	chr21	+	31666448	31666518	31659692	31659841	31667257	31667341
206	"ENSG00000142168"	"SOD1"	chr21	+	31666448	31666518	31663789	31663886	31667257	31667341
214	"ENSG00000156261"	"CCT8"	chr21	-	29071951	29071988	29070246	29070337	29073259	29073351
260	"ENSG00000154642"	"C21orf91"	chr21	-	17795207	17795270	17792803	17793578	17796581	17797118
280	"ENSG00000215386"	"MIR99AHG"	chr21	+	16487489	16487538	16231055	16231115	16537378	16537439
302	"ENSG00000155313"	"USP25"	chr21	+	15842397	15842540	15833347	15833548	15864267	15864446
305	"ENSG00000155313"	"USP25"	chr21	+	15874402	15874526	15870067	15870147	15877795	15877991
317	"ENSG00000281903"	"LINC02246"	chr21	-	14853273	14853431	14825522	14825624	14857541	14857708
320	"ENSG00000243064"	"ABCC13"	chr21	+	14279595	14279657	14273798	14274157	14287549	14287697
354	"ENSG00000184319"	"RPL23AP82"	chr22	+	50788749	50788798	50785172	50785293	50788891	50789353
356	"ENSG00000251322"	"SHANK3"	chr22	+	50711614	50711638	50705375	50706152	50714916	50715047
358	"ENSG00000100299"	"ARSA"	chr22	-	50625578	50625681	50622753	50625464	50625935	50626063
361	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50581419	50581553	50580564	50580660	50581748	50582965
365	"ENSG00000100239"	"PPP6R2"	chr22	+	50388985	50389111	50372071	50372150	50393892	50394135
366	"ENSG00000100239"	"PPP6R2"	chr22	+	50391866	50392015	50388985	50389111	50393892	50394135
368	"ENSG00000205593"	"DENND6B"	chr22	-	50314399	50314494	50313813	50314272	50314604	50314700
375	"ENSG00000188130"	"MAPK12"	chr22	-	50249102	50249454	50248365	50248472	50249634	50249703
379	"ENSG00000128159"	"TUBGCP6"	chr22	-	50233315	50233526	50229403	50229577	50240203	50240367
380	"ENSG00000170638"	"TRABD"	chr22	+	50197240	50197351	50194899	50195040	50197448	50197588
