ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
17	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44316243	44316339	44313637	44313682
21	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36059821	36060242
24	"ENSG00000237945"	"LINC00649"	chr21	+	33969236	33969598	33969240	33969598	33945809	33945895
26	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542547	33542820
27	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542586	33542842
59	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50222027	50222102
61	"ENSG00000170638"	"TRABD"	chr22	+	50197822	50198186	50198074	50198186	50197448	50197588
64	"ENSG00000186951"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46151887	46151970
65	"ENSG00000186951"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46188722	46188822
73	"ENSG00000100417"	"PMM1"	chr22	-	41583958	41584372	41583958	41584058	41584526	41584603
78	"ENSG00000100242"	"SUN2"	chr22	-	38739341	38739426	38739341	38739423	38739721	38739943
80	"ENSG00000100221"	"JOSD1"	chr22	-	38699802	38700618	38699802	38700123	38700903	38700930
86	"ENSG00000100083"	"GGA1"	chr22	+	37613023	37613191	37613118	37613191	37609065	37609356
104	"ENSG00000248751"	"AC004997.1"	chr22	-	30286015	30286142	30286015	30286098	30286262	30286376
114	"ENSG00000182944"	"EWSR1"	chr22	+	29292487	29292606	29292499	29292606	29292158	29292169
129	"ENSG00000100031"	"GGT1"	chr22	+	24610249	24610531	24610357	24610531	24607953	24608023
130	"ENSG00000100031"	"GGT1"	chr22	+	24609961	24610033	24609964	24610033	24608989	24609231
131	"ENSG00000100031"	"GGT1"	chr22	+	24610249	24610531	24610357	24610531	24608989	24609231
174	"ENSG00000183628"	"DGCR6"	chr22	+	18910171	18910272	18910178	18910272	18906564	18906725
187	"ENSG00000183878"	"UTY"	chrY	-	13358463	13358619	13358463	13358553	13359766	13359986
211	"ENSG00000063241"	"ISOC2"	chr19	-	55455259	55455378	55455259	55455330	55456348	55456489
222	"ENSG00000186818"	"LILRB4"	chr19	+	54663753	54664038	54663833	54664038	54662818	54663067
229	"ENSG00000167613"	"LAIR1"	chr19	-	54356229	54356398	54356229	54356267	54356490	54356619
234	"ENSG00000167613"	"LAIR1"	chr19	-	54364294	54364486	54364294	54364330	54365029	54365099
246	"ENSG00000213793"	"ZNF888"	chr19	-	52917858	52917997	52917858	52917931	52918818	52918937
261	"ENSG00000161677"	"JOSD2"	chr19	-	50510285	50510448	50510285	50510445	50511074	50511159
279	"ENSG00000142546"	"NOSIP"	chr19	-	49557089	49558978	49557089	49557249	49559933	49560039
281	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490297	49490231	49490297	49487607	49487644
283	"ENSG00000142541"	"RPL13A"	chr19	+	49490231	49490576	49490474	49490576	49489849	49489922
295	"ENSG00000104872"	"PIH1D1"	chr19	-	49451484	49451591	49451484	49451578	49453392	49453494
